data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Mae Sot,Mu Soe Hill Tribes Market,,,,,,https://www.google.com/maps/place/Mu+Soe+Hill+Tribes+Market/data=!4m7!3m6!1s0x30ddc184561a4997:0x3709e9dcc9cf51df!8m2!3d16.758314!4d98.9162095!16s%2Fg%2F1hm2f1vlz!19sChIJl0kaVoTB3TAR31HPydzpCTc?authuser=0&hl=ko&rclk=1,2328,4.2
2,Thailand,Mae Sot,Robinson Lifestyle Mae Sot,,,,,,https://www.google.com/maps/place/Robinson+Lifestyle+Mae+Sot/data=!4m7!3m6!1s0x30dd98a53d246e9f:0x751357337a7f9588!8m2!3d16.7225875!4d98.5860671!16s%2Fg%2F11btv66kqm!19sChIJn24kPaWY3TARiJV_ejNXE3U?authuser=0&hl=ko&rclk=1,2227,4.3
3,Thailand,Mae Sot,딱씬마하랏 국립공원,,,"거대한 고대 크라박 나무와 동굴, 폭포로 유명한 녹음이 우거진 국립공원입니다.",,,https://www.google.com/maps/place/%EB%94%B1%EC%94%AC%EB%A7%88%ED%95%98%EB%9E%8F+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30ddc3d90d237855:0xd3f2c1bf372fdd3c!8m2!3d16.7786938!4d98.9285042!16s%2Fm%2F0w4y2dq!19sChIJVXgjDdnD3TARPN0vN7_B8tM?authuser=0&hl=ko&rclk=1,2137,4.5
4,Thailand,Mae Sot,Rim Moei Market,,,,,,https://www.google.com/maps/place/Rim+Moei+Market/data=!4m7!3m6!1s0x30dd9fad76a55851:0x2bbb5ee20a05b703!8m2!3d16.6918541!4d98.5177936!16s%2Fg%2F120lwyd3!19sChIJUVildq2f3TARA7cFCuJeuys?authuser=0&hl=ko&rclk=1,1680,3.9
5,Thailand,Mae Sot,HOP INN Mae Sot,,,,,,https://www.google.com/maps/place/HOP+INN+Mae+Sot/data=!4m10!3m9!1s0x30dd9f4f064ea88f:0xf9c513600df9766d!5m2!4m1!1i2!8m2!3d16.7197261!4d98.56322!16s%2Fg%2F11b6990y_5!19sChIJj6hOBk-f3TARbXb5DWATxfk?authuser=0&hl=ko&rclk=1,1449,4.3
6,Thailand,Mae Sot,Wat Thai Watthanaram,,,,,,https://www.google.com/maps/place/Wat+Thai+Watthanaram/data=!4m7!3m6!1s0x30dd9f0788e93a83:0x334856c46b670067!8m2!3d16.6980685!4d98.528212!16s%2Fg%2F122_97l5!19sChIJgzrpiAef3TARZwBna8RWSDM?authuser=0&hl=ko&rclk=1,1249,4.5
7,Thailand,Mae Sot,Namtok Pha Charoen National Park,,,,,,https://www.google.com/maps/place/Namtok+Pha+Charoen+National+Park/data=!4m7!3m6!1s0x30dd8e78b54347eb:0xb9484712674df9e7!8m2!3d16.5020573!4d98.7527391!16s%2Fg%2F12340_23!19sChIJ60dDtXiO3TAR5_lNZxJHSLk?authuser=0&hl=ko&rclk=1,1107,4.5
8,Thailand,Mae Sot,Khaomao-Khaofang Maesot,,,,,,https://www.google.com/maps/place/Khaomao-Khaofang+Maesot/data=!4m7!3m6!1s0x30da312164618a0b:0x14b4904c1381e0cb!8m2!3d16.7394763!4d98.5738599!16s%2Fg%2F1hm3p_10w!19sChIJC4phZCEx2jARy-CBE0yQtBQ?authuser=0&hl=ko&rclk=1,851,4.5
9,Thailand,Mae Sot,Thararak Waterfall (Pha Chan Waterfall),,,,,,https://www.google.com/maps/place/Thararak+Waterfall+%28Pha+Chan+Waterfall%29/data=!4m7!3m6!1s0x30dd9048db689c43:0x3febb1f4c6142be6!8m2!3d16.5695528!4d98.6945349!16s%2Fg%2F1hm1zf2mx!19sChIJQ5xo20iQ3TAR5isUxvSx6z8?authuser=0&hl=ko&rclk=1,793,4.3
10,Thailand,Mae Sot,Centara Life Hotel Mae Sot,,,,,,https://www.google.com/maps/place/Centara+Life+Hotel+Mae+Sot/data=!4m10!3m9!1s0x30dd98a51198b0df:0x347d51e650743e0a!5m2!4m1!1i2!8m2!3d16.7245822!4d98.5851258!16s%2Fg%2F1tg2h3hl!19sChIJ37CYEaWY3TARCj50UOZRfTQ?authuser=0&hl=ko&rclk=1,662,4.1
11,Thailand,Mae Sot,MegaHome Mae Sot,,,,,,https://www.google.com/maps/place/MegaHome+Mae+Sot/data=!4m7!3m6!1s0x30dd9f13ffc09857:0x5c8863a23636bc9f!8m2!3d16.7062452!4d98.5452849!16s%2Fg%2F11bwqbqkrs!19sChIJV5jA_xOf3TARn7w2NqJjiFw?authuser=0&hl=ko&rclk=1,567,4.3
12,Thailand,Mae Sot,Wattana Village Resort,,,,,,https://www.google.com/maps/place/Wattana+Village+Resort/data=!4m10!3m9!1s0x30dd988a375b6cb7:0x889f3848b606ec7!5m2!4m1!1i2!8m2!3d16.7125765!4d98.6148891!16s%2Fg%2F1vzxh7nb!19sChIJt2xbN4qY3TARx25gi4TziQg?authuser=0&hl=ko&rclk=1,461,4.3
13,Thailand,Mae Sot,ตลาดพาเจริญ เทศบาลนครแม่สอด,,,,,,https://www.google.com/maps/place/%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%B2%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D+%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%AD%E0%B8%94/data=!4m7!3m6!1s0x30dd9f49f33672a5:0x4d42e25b02571dc9!8m2!3d16.7122312!4d98.566071!16s%2Fg%2F11gdm8y84s!19sChIJpXI280mf3TARyR1XAlviQk0?authuser=0&hl=ko&rclk=1,459,4.2
14,Thailand,Mae Sot,Mae Sot Bus Station,,,,,,https://www.google.com/maps/place/Mae+Sot+Bus+Station/data=!4m7!3m6!1s0x30dd9f1696fe3fc3:0x88ad91948c2e100d!8m2!3d16.704636!4d98.5462015!16s%2Fg%2F11c806dds_!19sChIJwz_-lhaf3TARDRAujJSRrYg?authuser=0&hl=ko&rclk=1,438,3.9
15,Thailand,Mae Sot,Mae Moei National Park,,,,,,https://www.google.com/maps/place/Mae+Moei+National+Park/data=!4m7!3m6!1s0x30dcc093449ca0a3:0xb8a656365012b6d1!8m2!3d17.481744!4d98.074618!16s%2Fg%2F122nbxfj!19sChIJo6CcRJPA3DAR0bYSUDZWprg?authuser=0&hl=ko&rclk=1,435,4.5
16,Thailand,Mae Sot,Market Bus Mae airs.,,,,,,https://www.google.com/maps/place/Market+Bus+Mae+airs./data=!4m7!3m6!1s0x30dd9f4c576e1c47:0xf7c63e82de2abb21!8m2!3d16.7187614!4d98.5690994!16s%2Fg%2F1hm66jwc4!19sChIJRxxuV0yf3TARIbsq3oI-xvc?authuser=0&hl=ko&rclk=1,419,4.0
17,Thailand,Mae Sot,B2 Mae Sot Boutique & Budget Hotel,,,,,,https://www.google.com/maps/place/B2+Mae+Sot+Boutique+%26+Budget+Hotel/data=!4m10!3m9!1s0x30dd9f5bca4d5033:0x91c5c8ef9414df4c!5m2!4m1!1i2!8m2!3d16.7267828!4d98.5580419!16s%2Fg%2F11f5ly905l!19sChIJM1BNyluf3TARTN8UlO_IxZE?authuser=0&hl=ko&rclk=1,416,4.1
18,Thailand,Mae Sot,O2 Hotel,,,,,,https://www.google.com/maps/place/O2+Hotel/data=!4m10!3m9!1s0x30dd9f536bdc0d27:0x78fcf03b13272131!5m2!4m1!1i2!8m2!3d16.7270488!4d98.5706395!16s%2Fg%2F11f4wthcbz!19sChIJJw3ca1Of3TARMSEnEzvw_Hg?authuser=0&hl=ko&rclk=1,394,3.8
19,Thailand,Mae Sot,Blue Cave,,,,,,https://www.google.com/maps/place/Blue+Cave/data=!4m7!3m6!1s0x30dd910d53d948f3:0xe5fd908344354ce3!8m2!3d16.6023769!4d98.7125034!16s%2Fg%2F11h22j967s!19sChIJ80jZUw2R3TAR40w1RIOQ_eU?authuser=0&hl=ko&rclk=1,394,4.4
20,Thailand,Mae Sot,Tak - Mae Sot Viewpoint,,,,,,https://www.google.com/maps/place/Tak+-+Mae+Sot+Viewpoint/data=!4m7!3m6!1s0x30ddc100055e9541:0xbdea32fcbbe7e7e0!8m2!3d16.768373!4d98.8816668!16s%2Fg%2F1hm4b8gg8!19sChIJQZVeBQDB3TAR4Ofnu_wy6r0?authuser=0&hl=ko&rclk=1,384,4.3
21,Thailand,Mae Sot,Huai Nam Nak Hot Spring,,,,,,https://www.google.com/maps/place/Huai+Nam+Nak+Hot+Spring/data=!4m7!3m6!1s0x30dd861d5605a83b:0xb49718e4b653be93!8m2!3d16.4377715!4d98.6600241!16s%2Fg%2F1hm5fnznl!19sChIJO6gFVh2G3TARk75TtuQYl7Q?authuser=0&hl=ko&rclk=1,356,4.3
22,Thailand,Mae Sot,The Teak Hotel,,,,,,https://www.google.com/maps/place/The+Teak+Hotel/data=!4m10!3m9!1s0x30dd9f7213f7fb45:0xf684b22f52b2b960!5m2!4m1!1i2!8m2!3d16.7146531!4d98.5639744!16s%2Fg%2F11g3zslmvc!19sChIJRfv3E3Kf3TARYLmyUi-yhPY?authuser=0&hl=ko&rclk=1,315,4.5
23,Thailand,Mae Sot,โรงแรมฟอร์จูนดีแม่สอด,,,,,,https://www.google.com/maps/place/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%A1%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%88%E0%B8%B9%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%AD%E0%B8%94/data=!4m10!3m9!1s0x30dd98a549686dad:0x66a2f0c2c49f6a99!5m2!4m1!1i2!8m2!3d16.7217709!4d98.5842024!16s%2Fg%2F11c5zxdjqq!19sChIJrW1oSaWY3TARmWqfxMLwomY?authuser=0&hl=ko&rclk=1,293,3.7
24,Thailand,Mae Sot,Mae Ka Sa Waterfall,,,,,,https://www.google.com/maps/place/Mae+Ka+Sa+Waterfall/data=!4m7!3m6!1s0x30dda4e59e9216c1:0x11775854894c82bd!8m2!3d16.861353!4d98.630031!16s%2Fg%2F11c3tsbd9m!19sChIJwRaSnuWk3TARvYJMiVRYdxE?authuser=0&hl=ko&rclk=1,272,4.1
25,Thailand,Mae Sot,Maesot View 360,,,,,,https://www.google.com/maps/place/Maesot+View+360/data=!4m7!3m6!1s0x30dda27a5d58f1e7:0xee5e77076dea6f50!8m2!3d16.7406682!4d98.6064854!16s%2Fg%2F11c4s8xhdj!19sChIJ5_FYXXqi3TARUG_qbQd3Xu4?authuser=0&hl=ko&rclk=1,245,4.2
26,Thailand,Mae Sot,Borderlineshop,,,,,,https://www.google.com/maps/place/Borderlineshop/data=!4m7!3m6!1s0x30dd9f48ef476ff5:0x46f17484ab408385!8m2!3d16.7149378!4d98.5632178!16s%2Fg%2F11b77rh8k5!19sChIJ9W9H70if3TARhYNAq4R08UY?authuser=0&hl=ko&rclk=1,218,4.5
27,Thailand,Mae Sot,Mae Sot Night Market,,,,,,https://www.google.com/maps/place/Mae+Sot+Night+Market/data=!4m7!3m6!1s0x30dd9f4b3e913279:0x35f96b9c8960c18e!8m2!3d16.7146338!4d98.5710464!16s%2Fg%2F11c0tb5z0d!19sChIJeTKRPkuf3TARjsFgiZxr-TU?authuser=0&hl=ko&rclk=1,214,3.9
28,Thailand,Mae Sot,View Doi Coffee Home,,,,,,https://www.google.com/maps/place/View+Doi+Coffee+Home/data=!4m10!3m9!1s0x30dda5b4ffd5c921:0xa787dddbdf03a46f!5m2!4m1!1i2!8m2!3d16.8596076!4d98.6283469!16s%2Fg%2F11grc6w7xq!19sChIJIcnV_7Sl3TARb6QD39vdh6c?authuser=0&hl=ko&rclk=1,193,4.5
29,Thailand,Mae Sot,Poonnagunn Hotel,,,,,,https://www.google.com/maps/place/Poonnagunn+Hotel/data=!4m10!3m9!1s0x30dd9f4b5e741825:0xb61250402f985156!5m2!4m1!1i2!8m2!3d16.7202605!4d98.5917086!16s%2Fg%2F1tdv2_pf!19sChIJJRh0Xkuf3TARVlGYL0BQErY?authuser=0&hl=ko&rclk=1,189,4.1
30,Thailand,Mae Sot,Monte Mae Sot Hotel,,,,,,https://www.google.com/maps/place/Monte+Mae+Sot+Hotel/data=!4m10!3m9!1s0x30dda3c5f2166189:0x6bcdcabf24287a5!5m2!4m1!1i2!8m2!3d16.726434!4d98.570361!16s%2Fg%2F11j8x9d8b8!19sChIJiWEW8sWj3TARpYdC8qvcvAY?authuser=0&hl=ko&rclk=1,176,4.5
31,Thailand,Mae Sot,Eco Inn Prime Mae Sot,,,,,,https://www.google.com/maps/place/Eco+Inn+Prime+Mae+Sot/data=!4m10!3m9!1s0x30dd989801f486c3:0xc3251fa95e5be224!5m2!4m1!1i2!8m2!3d16.7212015!4d98.5945437!16s%2Fg%2F11b6b2q2_6!19sChIJw4b0AZiY3TARJOJbXqkfJcM?authuser=0&hl=ko&rclk=1,172,3.7
32,Thailand,Mae Sot,Mae Sot International Airport,,,,,,https://www.google.com/maps/place/Mae+Sot+International+Airport/data=!4m7!3m6!1s0x30dd9f10c458e9f7:0xe5b6adf23c2e172e!8m2!3d16.7030185!4d98.5455146!16s%2Fm%2F02pppzw!19sChIJ9-lYxBCf3TARLhcuPPKttuU?authuser=0&hl=ko&rclk=1,156,4.0
33,Thailand,Mae Sot,แม่สอด ซิตี้ฮิลล์ โฮเต็ล แอนด์ รีสอร์ท,,,,,,https://www.google.com/maps/place/%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%AD%E0%B8%94+%E0%B8%8B%E0%B8%B4%E0%B8%95%E0%B8%B5%E0%B9%89%E0%B8%AE%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%8C+%E0%B9%82%E0%B8%AE%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%A5+%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C+%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%97/data=!4m10!3m9!1s0x30dd98baf791250b:0x3bf1caeba03f81cc!5m2!4m1!1i2!8m2!3d16.7190814!4d98.5852306!16s%2Fg%2F1pxwcl37q!19sChIJCyWR97qY3TARzIE_oOvK8Ts?authuser=0&hl=ko&rclk=1,121,4.1
34,Thailand,Mae Sot,Phu Inn Hotel,,,,,,https://www.google.com/maps/place/Phu+Inn+Hotel/data=!4m10!3m9!1s0x30dd988287453363:0x223ded4c83a1a77a!5m2!4m1!1i2!8m2!3d16.7323788!4d98.6081052!16s%2Fg%2F1tdbz23l!19sChIJYzNFh4KY3TAReqehg0ztPSI?authuser=0&hl=ko&rclk=1,119,4.1
