data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Nagasaki,하우스텐보스,,,네덜란드 마을을 모방한 테마파크로 놀이기구가 있으며 유명한 관광 명소의 모조품이 전시되어 있습니다.,,,https://www.google.com/maps/place/%ED%95%98%EC%9A%B0%EC%8A%A4%ED%85%90%EB%B3%B4%EC%8A%A4/data=!4m7!3m6!1s0x356abd666eb3cfbd:0x6f267b427d8778f7!8m2!3d33.0897198!4d129.7918921!16s%2Fm%2F02852cx!19sChIJvc-zbma9ajUR93iHfUJ7Jm8?authuser=0&hl=ko&rclk=1,21162,4.3
2,Japan,Nagasaki,글로버 가든,,,"잘 정돈된 정원과 유서 깊은 서양식 저택, 탁 트인 전망을 갖춘 고요한 야외 박물관입니다.",,,https://www.google.com/maps/place/%EA%B8%80%EB%A1%9C%EB%B2%84+%EA%B0%80%EB%93%A0/data=!4m7!3m6!1s0x35155384824480df:0xebc85b717b0fdb9b!8m2!3d32.7343314!4d129.8691886!16zL20vMGc0czhf!19sChIJ34BEgoRTFTURm9sPe3FbyOs?authuser=0&hl=ko&rclk=1,10654,4.1
3,Japan,Nagasaki,이나사야마 전망대,,,케이블카를 타고 언덕 꼭대기에 있는 전망대에 올라 멋진 도시 풍경을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%EC%9D%B4%EB%82%98%EC%82%AC%EC%95%BC%EB%A7%88+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x3515533865a8901b:0x46fc857a983dd19f!8m2!3d32.7526235!4d129.8495163!16s%2Fg%2F1tdn6f52!19sChIJG5CoZThTFTURn9E9mHqF_EY?authuser=0&hl=ko&rclk=1,10187,4.5
4,Japan,Nagasaki,메가네바시 (안경교),,,1634년경에 만들어진 일본에서 가장 오래된 아치형 석교로 나카시마강 위에 놓여 있으며 보행자 전용입니다.,,,https://www.google.com/maps/place/%EB%A9%94%EA%B0%80%EB%84%A4%EB%B0%94%EC%8B%9C+%28%EC%95%88%EA%B2%BD%EA%B5%90%29/data=!4m7!3m6!1s0x351553473a1ffa49:0xd48e5b85a7fe8b5e!8m2!3d32.7471506!4d129.8801045!16s%2Fm%2F027lv_1!19sChIJSfofOkdTFTURXov-p4VbjtQ?authuser=0&hl=ko&rclk=1,8801,4.1
5,Japan,Nagasaki,나가사키 원폭 자료관,,,"1945년 나가사키의 원자폭탄 투하를 다룬 사진, 스크랩, 유물이 있는 박물관입니다.",,,https://www.google.com/maps/place/%EB%82%98%EA%B0%80%EC%82%AC%ED%82%A4+%EC%9B%90%ED%8F%AD+%EC%9E%90%EB%A3%8C%EA%B4%80/data=!4m7!3m6!1s0x356aacd115adaf09:0xc07c3dc7b910e5f5!8m2!3d32.7727963!4d129.8643625!16s%2Fm%2F027lq47!19sChIJCa-tFdGsajUR9eUQucc9fMA?authuser=0&hl=ko&rclk=1,8559,4.5
6,Japan,Nagasaki,평화공원,,,1955년에 건설된 장엄하고 평화로운 공원으로 원자 폭탄으로 사망한 사람들을 기리고 평화를 기원하기 위한 곳입니다.,,,https://www.google.com/maps/place/%ED%8F%89%ED%99%94%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x356aacda6d1aa7e1:0xa49cbcaa4cb67b36!8m2!3d32.7763968!4d129.8636495!16zL20vMGJ4MWo4!19sChIJ4acabdqsajURNnu2TKq8nKQ?authuser=0&hl=ko&rclk=1,7871,4.3
7,Japan,Nagasaki,나가사키 신치 중화가,,,일본에서 가장 오래된 차이나타운으로 해마다 등불 축제가 열리며 레스토랑과 상점이 늘어서 있습니다.,,,https://www.google.com/maps/place/%EB%82%98%EA%B0%80%EC%82%AC%ED%82%A4+%EC%8B%A0%EC%B9%98+%EC%A4%91%ED%99%94%EA%B0%80/data=!4m7!3m6!1s0x35155315a11f732b:0x119748a28f551116!8m2!3d32.7417024!4d129.8755941!16s%2Fm%2F04dz48t!19sChIJK3MfoRVTFTURFhFVj6JIlxE?authuser=0&hl=ko&rclk=1,7727,3.7
8,Japan,Nagasaki,쿠쥬쿠시마 펄 씨 리조트,,,"수족관, 쇼핑몰, 레스토랑이 있는 해변 복합 단지로, 보트를 탈 수 있습니다.",,,https://www.google.com/maps/place/%EC%BF%A0%EC%A5%AC%EC%BF%A0%EC%8B%9C%EB%A7%88+%ED%8E%84+%EC%94%A8+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m7!3m6!1s0x356a951373e3719d:0x4caabd9c8afef776!8m2!3d33.1615754!4d129.6793521!16s%2Fm%2F0hgnztk!19sChIJnXHjcxOVajURdvf-ipy9qkw?authuser=0&hl=ko&rclk=1,4570,4.2
9,Japan,Nagasaki,시마바라 성터,,,1600년대에 축조되어 새로 복원된 성으로 조각품이 있는 정원과 박물관이 있습니다.,,,https://www.google.com/maps/place/%EC%8B%9C%EB%A7%88%EB%B0%94%EB%9D%BC+%EC%84%B1%ED%84%B0/data=!4m7!3m6!1s0x35406c6dbabbaa31:0x3fca1528af4c0012!8m2!3d32.7892283!4d130.3673433!16zL20vMDNiYzV6!19sChIJMaq7um1sQDUREgBMrygVyj8?authuser=0&hl=ko&rclk=1,3425,4.0
10,Japan,Nagasaki,나가사키 펭귄 수족관,,,,,,https://www.google.com/maps/place/%EB%82%98%EA%B0%80%EC%82%AC%ED%82%A4+%ED%8E%AD%EA%B7%84+%EC%88%98%EC%A1%B1%EA%B4%80/data=!4m7!3m6!1s0x356aaae694236b93:0x75f0c01ba16c2e3e!8m2!3d32.7581537!4d129.9467149!16s%2Fg%2F122j882k!19sChIJk2sjlOaqajURPi5soRvA8HU?authuser=0&hl=ko&rclk=1,3389,4.3
