data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Nagoya,나고야 성(Nagoya Castle),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-231-1700, 웹사이트: https://www.nagoyajo.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJse-wx8t2A2ARd6Z1knjp07k,4.2,35721
2,Japan,Nagoya,나고야항 수족관(Port Of Nagoya Public Aquarium),"월요일: 09:00~17:30; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:30",,,,"전화번호: +81 52-654-7080, 웹사이트: https://nagoyaaqua.jp/",https://www.google.com/maps/place/?q=place_id:ChIJsyTJ06B5A2ARvt6FJ9xiqaE,4.3,18650
3,Japan,Nagoya,레고랜드 재팬(Legoland Japan Resort),"월요일, 화요일, 수요일, 목요일, 금요일: 10:00~16:00; 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 570-058-605, 웹사이트: http://www.legoland.jp/",https://www.google.com/maps/place/?q=place_id:ChIJzd5Pasd4A2ARRQZrV29qbmc,4.1,10792
4,Japan,Nagoya,나고야 시 과학관(Nagoya City Science Museum),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:00",,,,"전화번호: +81 52-201-4486, 웹사이트: http://www.ncsm.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJNfP0RCx3A2ARE9dwKx_ZRzk,4.4,10491
5,Japan,Nagoya,도요타 산업기술 기념관(Toyota Commemorative Museum of Industry and Technology),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:00",,,,"전화번호: +81 52-551-6115, 웹사이트: https://www.tcmit.org/",https://www.google.com/maps/place/?q=place_id:ChIJ____05N2A2ARK1ejw7VH1KM,4.6,10144
6,Japan,Nagoya,미들랜드 스퀘어(Midland Square),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 11:00~20:00",,,,"전화번호: +81 52-527-8877, 웹사이트: https://www.midland-square.com/",https://www.google.com/maps/place/?q=place_id:ChIJLxoOuN12A2ARqQKdP2OW-_k,3.9,9584
7,Japan,Nagoya,리니어 철도관(SCMaglev and Railway Park),"월요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:30; 화요일: 휴무",,,,"전화번호: +81 52-389-6100, 웹사이트: http://museum.jr-central.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ9W5bFM94A2ARkrOUnGq06Ew,4.4,9539
8,Japan,Nagoya,오아시스 21(Oasis 21),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~21:00",,,,"전화번호: +81 52-962-1011, 웹사이트: http://www.sakaepark.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJT5niKdRwA2AR1oO7t2LlvlQ,4.0,9488
9,Japan,Nagoya,노리타케 정원(Noritake Garden),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~18:00",,,,"전화번호: +81 52-561-7114, 웹사이트: https://www.noritake.co.jp/mori/",https://www.google.com/maps/place/?q=place_id:ChIJkVqv3Op2A2AR0laSdx5UWOA,4.1,6612
10,Japan,Nagoya,히가시야마 동식물원(Higashiyama Zoo and Botanical Gardens),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-782-2111, 웹사이트: http://www.higashiyama.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJt7ZD20plA2ARbRV7VnfVBnA,4.4,6329
11,Japan,Nagoya,시라카와 공원(Shirakawa Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,"전화번호: +81 52-261-6641, 웹사이트: https://www.oshimazoen.co.jp/park_management/shirakawa_park",https://www.google.com/maps/place/?q=place_id:ChIJw_hcrC13A2ARxHR9-sZas6E,4.0,6277
12,Japan,Nagoya,중부전력 미라이 타워(Chubu Electric Power MIRAI TOWER),"월요일, 화요일, 수요일, 목요일, 금요일, 일요일: 10:00~21:00; 토요일: 10:00~21:40",,,,"전화번호: +81 52-971-8546, 웹사이트: http://www.nagoya-tv-tower.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJRQSoYtZwA2ARwpz475VYYeo,4.1,5789
13,Japan,Nagoya,도쿠가와원(Tokugawa Park),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:30~17:30",,,,"전화번호: +81 52-935-8988, 웹사이트: https://www.tokugawaen.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJC9iGK_VwA2ARo3u3Cgs1Axs,4.2,5469
14,Japan,Nagoya,플라이트 오브 드림즈(FLIGHT OF DREAMS),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 569-38-1195, 웹사이트: https://www.centrair.jp/service/flightofdreams.html",https://www.google.com/maps/place/?q=place_id:ChIJg-2hs1h9BGARsG7AQ7AkxTI,4.2,5234
15,Japan,Nagoya,히사야오도리 공원(Hisaya Ōdōri Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,전화번호: +81 52-972-2768,https://www.google.com/maps/place/?q=place_id:ChIJxfFf3dFwA2ARM8-ff8RXTQ4,4.1,4749
16,Japan,Nagoya,나고야 역(Nagoya Station),알 수 없음,,,,"전화번호: +81 50-3772-3910, 웹사이트: https://railway.jr-central.co.jp/station-guide/shinkansen/nagoya/index.html",https://www.google.com/maps/place/?q=place_id:ChIJiYvXlOd2A2ARYxYm-Esg94E,4.0,4522
17,Japan,Nagoya,JP Tower Nagoya,알 수 없음,,,,"전화번호: +81 52-589-8511, 웹사이트: https://www.jp-re.japanpost.jp/properties/jptower-nagoya.html",https://www.google.com/maps/place/?q=place_id:ChIJT-TEvyd3A2AR4yPYELrhIic,3.8,4469
18,Japan,Nagoya,메이조 공원(Meijō Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,"전화번호: +81 52-913-0087, 웹사이트: http://www.meijyo-fp.com/",https://www.google.com/maps/place/?q=place_id:ChIJGXlLvcp2A2ARjzehP-PoMqk,4.1,3505
19,Japan,Nagoya,도쿠가와 미술관(The Tokugawa Art Museum),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 52-935-6262, 웹사이트: https://www.tokugawa-art-museum.jp/",https://www.google.com/maps/place/?q=place_id:ChIJp-eMF_1wA2ARC_ohxjLyXbY,4.2,3357
20,Japan,Nagoya,나고야 성 혼마루어전 차기(Honmaru Palace),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-231-1700, 웹사이트: https://www.nagoyajo.city.nagoya.jp/guide/honmarugoten/",https://www.google.com/maps/place/?q=place_id:ChIJleKGf8t2A2ARY_ZkNA5RTo8,4.3,2992
21,Japan,Nagoya,나고야 호빵맨 박물관(Nagoya Anpanman Children's Museum & Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 10:00~17:00",,,,"전화번호: +81 594-45-8877, 웹사이트: http://www.nagoya-anpanman.jp/",https://www.google.com/maps/place/?q=place_id:ChIJd49qcIyEA2ARmkauC95jTi0,4.0,2775
22,Japan,Nagoya,Shirotori Garden,"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~17:00",,,,"전화번호: +81 52-681-8928, 웹사이트: http://www.shirotori-garden.jp/index.html",https://www.google.com/maps/place/?q=place_id:ChIJtUfmv_d5A2ARVSbgPtJmCAo,4.3,2524
23,Japan,Nagoya,나고야시 박물관(Nagoya City Museum),알 수 없음,,,,"전화번호: +81 52-853-2655, 웹사이트: http://www.museum.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJK0MXhWZ6A2ARo7LJQY39kZk,3.9,2482
24,Japan,Nagoya,나고야시 미술관(Nagoya City Art Museum),"월요일: 휴무; 화요일, 수요일, 목요일, 토요일, 일요일: 09:30~17:00; 금요일: 09:30~20:00",,,,"전화번호: +81 52-212-0001, 웹사이트: https://art-museum.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJiaAgDi13A2ARt6jZobbCNuw,4.0,2296
25,Japan,Nagoya,아이치현 미술관(Aichi Prefectural Museum Of Art),"월요일: 휴무; 화요일, 수요일, 목요일, 토요일, 일요일: 10:00~18:00; 금요일: 10:00~20:00",,,,"전화번호: +81 52-971-5511, 웹사이트: http://www-art.aac.pref.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJD5FhuNBwA2ARhC5UKiCL4Qg,4.1,2251
26,Japan,Nagoya,히가시야마 스카이타워(Higashiyama Sky Tower),"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~21:30",,,,"전화번호: +81 52-781-5586, 웹사이트: http://www.higashiyamaskytower.jp/",https://www.google.com/maps/place/?q=place_id:ChIJyxV6ZbN6A2ARi6XVH3sJgc0,4.1,2135
27,Japan,Nagoya,Nagoya Lucent Tower,알 수 없음,,,,"전화번호: +81 52-589-0631, 웹사이트: https://www.lucent-tower.jp/",https://www.google.com/maps/place/?q=place_id:ChIJU1WVn-l2A2ARmLQVj7rnTFg,3.7,2121
28,Japan,Nagoya,Togokusan Fruits Park,"월요일: 휴무; 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~16:30",,,,"전화번호: +81 52-736-3344, 웹사이트: http://www.fruitpark.org/",https://www.google.com/maps/place/?q=place_id:ChIJJbaEK8ZuA2ARcxjo7phfbT4,3.9,1937
29,Japan,Nagoya,히사야오도리 정원 플라리에(Hisaya-odori Garden Flarie),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~22:30",,,,"전화번호: +81 52-243-0511, 웹사이트: http://www.flarie.jp/",https://www.google.com/maps/place/?q=place_id:ChIJsxuWrM5wA2ARgB6OEgdkr-Y,4.1,1714
