data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,Japan,Nagoya,나고야 성,,,1612년에 완공된 이 성채는 복원을 거쳤으며 에도 시대의 유물과 전시물을 선보입니다.,,,https://www.google.com/maps/place/%EB%82%98%EA%B3%A0%EC%95%BC+%EC%84%B1/data=!4m7!3m6!1s0x600376cbc7b0efb1:0xb9d3e9789275a677!8m2!3d35.1847501!4d136.8996883!16zL20vMDF6djdn!19sChIJse-wx8t2A2ARd6Z1knjp07k?authuser=0&hl=ko&rclk=1,,4.2,35843.0
2,Japan,Nagoya,나고야항 수족관,,,고래 등 다양한 종이 서식하는 현대식 수족관으로 돌고래 쇼를 볼 수 있으며 구내에 식음료 매장이 있습니다.,,,https://www.google.com/maps/place/%EB%82%98%EA%B3%A0%EC%95%BC%ED%95%AD+%EC%88%98%EC%A1%B1%EA%B4%80/data=!4m7!3m6!1s0x600379a0d3c924b3:0xa1a962dc2785debe!8m2!3d35.0905088!4d136.8784377!16s%2Fm%2F0g59yq7!19sChIJsyTJ06B5A2ARvt6FJ9xiqaE?authuser=0&hl=ko&rclk=1,,4.3,18742.0
3,Japan,Nagoya,아쓰타 신궁,,,사이프러스 나무로 둘러싸인 숭고한 신전으로 신성한 검이 있으며 유물이 전시되어 있습니다.,,,https://www.google.com/maps/place/%EC%95%84%EC%93%B0%ED%83%80+%EC%8B%A0%EA%B6%81/data=!4m7!3m6!1s0x60037a1b9ee1a6dd:0xaa951631c838e6bb!8m2!3d35.1273579!4d136.9086948!16zL20vMDRiaHIw!19sChIJ3abhnht6A2ARu-Y4yDEWlao?authuser=0&hl=ko&rclk=1,,4.5,17889.0
4,Japan,Nagoya,마츠자카야백화점 나고야점,,,,,,https://www.google.com/maps/place/%EB%A7%88%EC%B8%A0%EC%9E%90%EC%B9%B4%EC%95%BC%EB%B0%B1%ED%99%94%EC%A0%90+%EB%82%98%EA%B3%A0%EC%95%BC%EC%A0%90/data=!4m7!3m6!1s0x600370ce019f575b:0x9fcd6426ed276348!8m2!3d35.165279!4d136.907927!16s%2Fg%2F1hm2664_k!19sChIJW1efAc5wA2ARSGMn7SZkzZ8?authuser=0&hl=ko&rclk=1,,3.9,11604.0
5,Japan,Nagoya,레고랜드 재팬,,,어린이용 놀이기구와 게임 시설이 있으며 공장을 견학하고 블록 조립을 체험할 수 있는 알록달록한 테마파크입니다.,,,https://www.google.com/maps/place/%EB%A0%88%EA%B3%A0%EB%9E%9C%EB%93%9C+%EC%9E%AC%ED%8C%AC/data=!4m7!3m6!1s0x600378c76a4fdecd:0x676e6a6f576b0645!8m2!3d35.0506065!4d136.8438293!16s%2Fg%2F11c72lwymr!19sChIJzd5Pasd4A2ARRQZrV29qbmc?authuser=0&hl=ko&rclk=1,,4.1,10858.0
6,Japan,Nagoya,나고야 시 과학관,,,"큰 규모의 천문관이 있는 과학 박물관으로 날씨, 생물학, 전기에 관한 전시가 열립니다.",,,https://www.google.com/maps/place/%EB%82%98%EA%B3%A0%EC%95%BC+%EC%8B%9C+%EA%B3%BC%ED%95%99%EA%B4%80/data=!4m7!3m6!1s0x6003772c44f4f335:0x3947d91f2b70d713!8m2!3d35.1650768!4d136.8997026!16s%2Fm%2F0gky54s!19sChIJNfP0RCx3A2ARE9dwKx_ZRzk?authuser=0&hl=ko&rclk=1,,4.4,10548.0
7,Japan,Nagoya,리니어 철도관,,,,,,https://www.google.com/maps/place/%EB%A6%AC%EB%8B%88%EC%96%B4+%EC%B2%A0%EB%8F%84%EA%B4%80/data=!4m7!3m6!1s0x600378cf145b6ef5:0x4ce8b46a9c94b392!8m2!3d35.0491384!4d136.8509152!16s%2Fm%2F06zpkyx!19sChIJ9W5bFM94A2ARkrOUnGq06Ew?authuser=0&hl=ko&rclk=1,,4.4,9572.0
8,Japan,Nagoya,오아시스 21,,,"유리 천장이 있는 타원형의 복합 단지로 여러 상점, 식당, 버스 터미널이 있습니다.",,,https://www.google.com/maps/place/%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4+21/data=!4m7!3m6!1s0x600370d429e2994f:0x54bee562b7bb83d6!8m2!3d35.1709032!4d136.9096419!16s%2Fm%2F0gjd5r4!19sChIJT5niKdRwA2AR1oO7t2LlvlQ?authuser=0&hl=ko&rclk=1,,4.0,9500.0
9,Japan,Nagoya,라구나텐보스,,,,,,https://www.google.com/maps/place/%EB%9D%BC%EA%B5%AC%EB%82%98%ED%85%90%EB%B3%B4%EC%8A%A4/data=!4m7!3m6!1s0x6004c66a94a4bed3:0xa9bd9f8e8f44f20a!8m2!3d34.8085523!4d137.2724142!16s%2Fg%2F121zvc_g!19sChIJ076klGrGBGARCvJEj46fvak?authuser=0&hl=ko&rclk=1,,3.8,9471.0
10,Japan,Nagoya,쓰루마 공원,,,"벚나무 숲이 유명하며 연못, 테니스장, 정원이 있는 유서 깊은 공원입니다.",,,https://www.google.com/maps/place/%EC%93%B0%EB%A3%A8%EB%A7%88+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x600370bd92226147:0x505ede4ec43fca88!8m2!3d35.1550781!4d136.9200817!16s%2Fm%2F0glpdbt!19sChIJR2Eikr1wA2ARiMo_xE7eXlA?authuser=0&hl=ko&rclk=1,,4.2,7104.0
