data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,Japan,Nagoya,나고야 성(Nagoya Castle),"월, 화, 수, 목, 금, 토, 일: 09:00~16:30",,,,"전화번호: +81 52-231-1700, 홈페이지: https://www.nagoyajo.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJse-wx8t2A2ARd6Z1knjp07k,35743,4.2
2,Japan,Nagoya,나고야항 수족관(Port Of Nagoya Public Aquarium),"월: 09:00~17:30; 화, 수, 목, 금, 토, 일: 09:30~17:30",,,,"전화번호: +81 52-654-7080, 홈페이지: https://nagoyaaqua.jp/",https://www.google.com/maps/place/?q=place_id:ChIJsyTJ06B5A2ARvt6FJ9xiqaE,18650,4.3
3,Japan,Nagoya,아쓰타 신궁(Atsuta-jingu Shrine),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,"전화번호: +81 52-671-4151, 홈페이지: https://www.atsutajingu.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ3abhnht6A2ARu-Y4yDEWlao,17832,4.5
4,Japan,Nagoya,레고랜드 재팬(Legoland Japan Resort),"월, 화, 수, 목, 금: 10:00~16:00; 토, 일: 10:00~17:00",,,,"전화번호: +81 570-058-605, 홈페이지: http://www.legoland.jp/",https://www.google.com/maps/place/?q=place_id:ChIJzd5Pasd4A2ARRQZrV29qbmc,10802,4.1
5,Japan,Nagoya,나고야 시 과학관(Nagoya City Science Museum),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~17:00",,,,"전화번호: +81 52-201-4486, 홈페이지: http://www.ncsm.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJNfP0RCx3A2ARE9dwKx_ZRzk,10503,4.4
6,Japan,Nagoya,도요타 산업기술 기념관(Toyota Commemorative Museum of Industry and Technology),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~17:00",,,,"전화번호: +81 52-551-6115, 홈페이지: https://www.tcmit.org/",https://www.google.com/maps/place/?q=place_id:ChIJ____05N2A2ARK1ejw7VH1KM,10144,4.6
7,Japan,Nagoya,리니어 철도관(SCMaglev and Railway Park),"월, 수, 목, 금, 토, 일: 10:00~17:30; 화: 휴무",,,,"전화번호: +81 52-389-6100, 홈페이지: http://museum.jr-central.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ9W5bFM94A2ARkrOUnGq06Ew,9539,4.4
8,Japan,Nagoya,오아시스 21(Oasis 21),"월, 화, 수, 목, 금, 토, 일: 10:00~21:00",,,,"전화번호: +81 52-962-1011, 홈페이지: http://www.sakaepark.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJT5niKdRwA2AR1oO7t2LlvlQ,9488,4.0
9,Japan,Nagoya,노리타케 정원(Noritake Garden),"월: 휴무; 화, 수, 목, 금, 토, 일: 10:00~18:00",,,,"전화번호: +81 52-561-7114, 홈페이지: https://www.noritake.co.jp/mori/",https://www.google.com/maps/place/?q=place_id:ChIJkVqv3Op2A2AR0laSdx5UWOA,6612,4.1
10,Japan,Nagoya,히가시야마 동식물원(Higashiyama Zoo and Botanical Gardens),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:00~16:30",,,,"전화번호: +81 52-782-2111, 홈페이지: http://www.higashiyama.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJt7ZD20plA2ARbRV7VnfVBnA,6329,4.4
11,Japan,Nagoya,시라카와 공원(Shirakawa Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,"전화번호: +81 52-261-6641, 홈페이지: https://www.oshimazoen.co.jp/park_management/shirakawa_park",https://www.google.com/maps/place/?q=place_id:ChIJw_hcrC13A2ARxHR9-sZas6E,6277,4.0
12,Japan,Nagoya,중부전력 미라이 타워(Chubu Electric Power MIRAI TOWER),"월, 화, 수, 목, 금, 일: 10:00~21:00; 토: 10:00~21:40",,,,"전화번호: +81 52-971-8546, 홈페이지: http://www.nagoya-tv-tower.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJRQSoYtZwA2ARwpz475VYYeo,5789,4.1
13,Japan,Nagoya,도쿠가와원(Tokugawa Park),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~17:30",,,,"전화번호: +81 52-935-8988, 홈페이지: https://www.tokugawaen.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJC9iGK_VwA2ARo3u3Cgs1Axs,5469,4.2
14,Japan,Nagoya,히사야오도리 공원(Hisaya Ōdōri Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,전화번호: +81 52-972-2768,https://www.google.com/maps/place/?q=place_id:ChIJxfFf3dFwA2ARM8-ff8RXTQ4,4749,4.1
15,Japan,Nagoya,이온몰나고야 노리타케 가든(AEON MALL Nagoya Noritake Garden),"월, 화, 수, 목, 금, 토, 일: 10:00~21:00",,,,"전화번호: +81 52-587-1600, 홈페이지: https://nagoya-noritake-garden.aeonmall.com/",https://www.google.com/maps/place/?q=place_id:ChIJRfCWc-p3A2AR4olIdF_c4V4,4094,4.1
16,Japan,Nagoya,메이조 공원(Meijō Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,"전화번호: +81 52-913-0087, 홈페이지: http://www.meijyo-fp.com/",https://www.google.com/maps/place/?q=place_id:ChIJGXlLvcp2A2ARjzehP-PoMqk,3505,4.1
17,Japan,Nagoya,아이치 예술 문화 센터(Aichi Arts Center),"월, 화, 수, 목, 금, 토, 일: 09:00~22:00",,,,"전화번호: +81 52-971-5511, 홈페이지: http://www.aac.pref.aichi.jp/",https://www.google.com/maps/place/?q=place_id:ChIJXbkLytBwA2AR3YR8wCvQM7o,3442,4.1
18,Japan,Nagoya,도쿠가와 미술관(The Tokugawa Art Museum),"월: 휴무; 화, 수, 목, 금, 토, 일: 10:00~17:00",,,,"전화번호: +81 52-935-6262, 홈페이지: https://www.tokugawa-art-museum.jp/",https://www.google.com/maps/place/?q=place_id:ChIJp-eMF_1wA2ARC_ohxjLyXbY,3362,4.2
19,Japan,Nagoya,오다카 녹지공원(Odaka Ryokuchi Greens),"월, 화, 수, 목, 금, 토, 일: 07:00~19:00",,,,"전화번호: +81 52-622-2281, 홈페이지: https://www.aichi-koen.com/odaka/",https://www.google.com/maps/place/?q=place_id:ChIJXe_dGOx8A2ARfq6rlXAN0gA,2925,4.1
20,Japan,Nagoya,Shirotori Garden,"월: 휴무; 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,"전화번호: +81 52-681-8928, 홈페이지: http://www.shirotori-garden.jp/index.html",https://www.google.com/maps/place/?q=place_id:ChIJtUfmv_d5A2ARVSbgPtJmCAo,2524,4.3
21,Japan,Nagoya,킨샤치 요코쵸(Kinshachi Yokocho),"월, 화, 수, 목, 금, 토, 일: 10:30~17:30",,,,"전화번호: +81 52-951-0788, 홈페이지: http://kinshachi-y.jp/",https://www.google.com/maps/place/?q=place_id:ChIJQ02iFcx2A2ARMRob2W5qhtY,2493,3.5
22,Japan,Nagoya,나고야시 박물관(Nagoya City Museum),알 수 없음,,,,"전화번호: +81 52-853-2655, 홈페이지: http://www.museum.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJK0MXhWZ6A2ARo7LJQY39kZk,2482,3.9
23,Japan,Nagoya,나고야시 미술관(Nagoya City Art Museum),"월: 휴무; 화, 수, 목, 토, 일: 09:30~17:00; 금: 09:30~20:00",,,,"전화번호: +81 52-212-0001, 홈페이지: https://art-museum.city.nagoya.jp/",https://www.google.com/maps/place/?q=place_id:ChIJiaAgDi13A2ARt6jZobbCNuw,2296,4.0
