data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Nakhon Ratchasima,세이브원 야시장,,,,,,https://www.google.com/maps/place/%EC%84%B8%EC%9D%B4%EB%B8%8C%EC%9B%90+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31194cb6aaaaaaab:0xec5f662e93e55bff!8m2!3d14.9574611!4d102.0440512!16s%2Fg%2F11clwdbzmb!19sChIJq6qqqrZMGTER_1vlky5mX-w?authuser=0&hl=ko&rclk=1,11597,4.5
2,Thailand,Nakhon Ratchasima,수안락 공원,,,,,,https://www.google.com/maps/place/%EC%88%98%EC%95%88%EB%9D%BD+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x31194c9708d394f3:0xf7bc4b80b538e278!8m2!3d14.9747113!4d102.0980895!16s%2Fg%2F11cs1t2l5s!19sChIJ85TTCJdMGTEReOI4tYBLvPc?authuser=0&hl=ko&rclk=1,7161,4.8
3,Thailand,Nakhon Ratchasima,Phimai Historical Park,,,사원이 모여 있는 직사각형 모양의 고대 유적 단지로 복잡한 무늬의 조각과 석상이 있습니다.,,,https://www.google.com/maps/place/Phimai+Historical+Park/data=!4m7!3m6!1s0x31191772bf75cbeb:0x8f81ccfb46760047!8m2!3d15.2200177!4d102.4941514!16zL20vMDFwYmM1!19sChIJ68t1v3IXGTERRwB2RvvMgY8?authuser=0&hl=ko&rclk=1,7107,4.6
4,Thailand,Nakhon Ratchasima,수안락 공원,,,,,,https://www.google.com/maps/place/%EC%88%98%EC%95%88%EB%9D%BD+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x31194c970d4f68cf:0x127519914b904572!8m2!3d14.975519!4d102.098193!16s%2Fg%2F1hd_d00y2!19sChIJz2hPDZdMGTERckWQS5EZdRI?authuser=0&hl=ko&rclk=1,7103,4.5
5,Thailand,Nakhon Ratchasima,Wat Sala Loi,,,,,,https://www.google.com/maps/place/Wat+Sala+Loi/data=!4m7!3m6!1s0x31194c875b77f3b5:0x274c663ee5e8dbfb!8m2!3d14.9806479!4d102.116672!16s%2Fg%2F120n3988!19sChIJtfN3W4dMGTER-9vo5T5mTCc?authuser=0&hl=ko&rclk=1,5323,4.6
6,Thailand,Nakhon Ratchasima,Bung Ta Lua Park,,,,,,https://www.google.com/maps/place/Bung+Ta+Lua+Park/data=!4m7!3m6!1s0x31194cc49726e9db:0x4b01c4e837f2df92!8m2!3d14.9624218!4d102.0905326!16s%2Fg%2F1hdzklq49!19sChIJ2-kml8RMGTERkt_yN-jEAUs?authuser=0&hl=ko&rclk=1,3282,4.6
7,Thailand,Nakhon Ratchasima,Nakhon Ratchasima Zoo,,,,,,https://www.google.com/maps/place/Nakhon+Ratchasima+Zoo/data=!4m7!3m6!1s0x3119532a596fb995:0x8297d909b5c21505!8m2!3d14.8502489!4d102.0746645!16s%2Fg%2F121dw6z4!19sChIJlblvWSpTGTERBRXCtQnZl4I?authuser=0&hl=ko&rclk=1,1996,4.4
8,Thailand,Nakhon Ratchasima,สวนน้ำ Zoo Lagoon (สวนสัตว์นครราชสีมา),,,,,,https://www.google.com/maps/place/%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3+Zoo+Lagoon+%28%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E2%80%8B%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2%29/data=!4m7!3m6!1s0x3119532756ad1a61:0xb3832cc9ca446cdb!8m2!3d14.8509022!4d102.0885749!16s%2Fg%2F11bv3rnz0s!19sChIJYRqtVidTGTER22xEysksg7M?authuser=0&hl=ko&rclk=1,1894,4.4
9,Thailand,Nakhon Ratchasima,Therdthai Talkoo Market,,,,,,https://www.google.com/maps/place/Therdthai+Talkoo+Market/data=!4m7!3m6!1s0x311eb3aa4b55fb55:0xede675e0f941ad30!8m2!3d14.9499368!4d102.0239257!16s%2Fg%2F11c525w31c!19sChIJVftVS6qzHjERMK1B-eB15u0?authuser=0&hl=ko&rclk=1,1623,4.2
10,Thailand,Nakhon Ratchasima,시마타니 호텔,,,,,,https://www.google.com/maps/place/%EC%8B%9C%EB%A7%88%ED%83%80%EB%8B%88+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x311eb349a674ca8f:0xa6086fdc6315cc7a!5m2!4m1!1i2!8m2!3d14.9702852!4d102.0635945!16s%2Fg%2F1tf5yrw1!19sChIJj8p0pkmzHjEReswVY9xvCKY?authuser=0&hl=ko&rclk=1,1571,4.2
11,Thailand,Nakhon Ratchasima,B2 Korat Premier Hotel,,,,,,https://www.google.com/maps/place/B2+Korat+Premier+Hotel/data=!4m10!3m9!1s0x311eb3707d82e04f:0x3f5e29ab2db8f53c!5m2!4m1!1i2!8m2!3d14.9785292!4d102.0616039!16s%2Fg%2F11h7dysk76!19sChIJT-CCfXCzHjERPPW4LaspXj8?authuser=0&hl=ko&rclk=1,1500,4.7
12,Thailand,Nakhon Ratchasima,Suranakhon Market,,,,,,https://www.google.com/maps/place/Suranakhon+Market/data=!4m7!3m6!1s0x31194c9e4a69b139:0x27119f3e9bb668b!8m2!3d14.986939!4d102.0978034!16s%2Fg%2F11r8lp_7y!19sChIJObFpSp5MGTERi2a76fMZcQI?authuser=0&hl=ko&rclk=1,1453,4.1
13,Thailand,Nakhon Ratchasima,Wat Boon Night Market,,,,,,https://www.google.com/maps/place/Wat+Boon+Night+Market/data=!4m7!3m6!1s0x31194c8f4b303583:0x149e39d85d66830d!8m2!3d14.9750623!4d102.1117911!16s%2Fg%2F11c1qc3zp4!19sChIJgzUwS49MGTERDYNmXdg5nhQ?authuser=0&hl=ko&rclk=1,1408,4.3
