data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Nakhon Si Thammarat,Wat Phra Mahathat Woramahawihan,,,,,,https://www.google.com/maps/place/Wat+Phra+Mahathat+Woramahawihan/data=!4m7!3m6!1s0x3053010d706ba2a9:0xdfae6c5ff8d796d7!8m2!3d8.4112644!4d99.966135!16s%2Fg%2F122721ff!19sChIJqaJrcA0BUzAR15bX-F9srt8?authuser=0&hl=ko&rclk=1,9708,4.7
2,Thailand,Nakhon Si Thammarat,Sanam Na Muang Public Park,,,,,,https://www.google.com/maps/place/Sanam+Na+Muang+Public+Park/data=!4m7!3m6!1s0x3053013c091adf61:0x1269a829f7517f94!8m2!3d8.4292229!4d99.9624371!16s%2Fg%2F1tgwk39t!19sChIJYd8aCTwBUzARlH9R9ymoaRI?authuser=0&hl=ko&rclk=1,1858,4.4
3,Thailand,Nakhon Si Thammarat,나콘시타마랏 공항,,,,,,https://www.google.com/maps/place/%EB%82%98%EC%BD%98%EC%8B%9C%ED%83%80%EB%A7%88%EB%9E%8F+%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x305306de2807f50d:0xc8639202f974b688!8m2!3d8.5384811!4d99.9399059!16s%2Fm%2F02ppp_k!19sChIJDfUHKN4GUzARiLZ0-QKSY8g?authuser=0&hl=ko&rclk=1,1800,4.3
4,Thailand,Nakhon Si Thammarat,Kiriwong Village,,,,,,https://www.google.com/maps/place/Kiriwong+Village/data=!4m7!3m6!1s0x3053ac397d24c091:0x4820f4d04e2a92e3!8m2!3d8.4324113!4d99.7825487!16s%2Fg%2F11c70c0c_7!19sChIJkcAkfTmsUzAR45IqTtD0IEg?authuser=0&hl=ko&rclk=1,1601,4.6
5,Thailand,Nakhon Si Thammarat,Princess Mother 84 (Thung Tha Lat).,,,,,,https://www.google.com/maps/place/Princess+Mother+84+%28Thung+Tha+Lat%29./data=!4m7!3m6!1s0x305306d0b219211d:0x48c63b1c35e49dc9!8m2!3d8.4501189!4d99.9526799!16s%2Fg%2F1tjph1kz!19sChIJHSEZstAGUzARyZ3kNRw7xkg?authuser=0&hl=ko&rclk=1,1372,4.2
6,Thailand,Nakhon Si Thammarat,Robinson Ocean Nakhon Si Thammarat,,,,,,https://www.google.com/maps/place/Robinson+Ocean+Nakhon+Si+Thammarat/data=!4m7!3m6!1s0x30530149c1b425d5:0x52422435ea18cc37!8m2!3d8.4373277!4d99.9696324!16s%2Fg%2F11c1p6gf0l!19sChIJ1SW0wUkBUzARN8wY6jUkQlI?authuser=0&hl=ko&rclk=1,1268,4.1
7,Thailand,Nakhon Si Thammarat,Tharian Night Market,,,,,,https://www.google.com/maps/place/Tharian+Night+Market/data=!4m7!3m6!1s0x3053013abed6f8a7:0x3151ae9492b3bdc0!8m2!3d8.4326992!4d99.9585037!16s%2Fg%2F11cn8yl27_!19sChIJp_jWvjoBUzARwL2zkpSuUTE?authuser=0&hl=ko&rclk=1,1065,4.2
8,Thailand,Nakhon Si Thammarat,"Old City Wall, Old City Fort of Sridramasokarad",,,,,,"https://www.google.com/maps/place/Old+City+Wall,+Old+City+Fort+of+Sridramasokarad/data=!4m7!3m6!1s0x3053013c41bc139b:0xea53b8e76db508d3!8m2!3d8.4276337!4d99.9635791!16s%2Fg%2F1wdkzkzl!19sChIJmxO8QTwBUzAR0wi1bee4U-o?authuser=0&hl=ko&rclk=1",762,4.5
9,Thailand,Nakhon Si Thammarat,Namtok Yong National Park,,,,,,https://www.google.com/maps/place/Namtok+Yong+National+Park/data=!4m7!3m6!1s0x30525a959c80ff01:0x4cacd43c61971474!8m2!3d8.1722836!4d99.7418224!16s%2Fg%2F121gjysc!19sChIJAf-AnJVaUjARdBSXYTzUrEw?authuser=0&hl=ko&rclk=1,665,4.6
10,Thailand,Nakhon Si Thammarat,Day & Night Of Nakhon Si Thammarat,,,,,,https://www.google.com/maps/place/Day+%26+Night+Of+Nakhon+Si+Thammarat/data=!4m7!3m6!1s0x305301e99049f2d7:0x9e25575228471d88!8m2!3d8.4404046!4d99.9653827!16s%2Fg%2F11h2pgnb5l!19sChIJ1_JJkOkBUzARiB1HKFJXJZ4?authuser=0&hl=ko&rclk=1,541,4.5
11,Thailand,Nakhon Si Thammarat,Phrom Lok Waterfall,,,,,,https://www.google.com/maps/place/Phrom+Lok+Waterfall/data=!4m7!3m6!1s0x3053af5bc47908fd:0x6339d15e50d9186f!8m2!3d8.527861!4d99.7826671!16s%2Fg%2F122h0p5l!19sChIJ_Qh5xFuvUzARbxjZUF7ROWM?authuser=0&hl=ko&rclk=1,520,4.4
12,Thailand,Nakhon Si Thammarat,Namtok Si Khit National Park,,,,,,https://www.google.com/maps/place/Namtok+Si+Khit+National+Park/data=!4m7!3m6!1s0x305388c1f47ffaa9:0x9f030ce0c2b05836!8m2!3d9.0144093!4d99.7725192!16s%2Fg%2F121fl3j1!19sChIJqfp_9MGIUzARNliwwuAMA58?authuser=0&hl=ko&rclk=1,469,4.2
13,Thailand,Nakhon Si Thammarat,Tal Lat Open Zoo,,,,,,https://www.google.com/maps/place/Tal+Lat+Open+Zoo/data=!4m7!3m6!1s0x305306d9c4d66eb1:0x4c408860e9940ba5!8m2!3d8.4561668!4d99.9504483!16s%2Fg%2F11dxf1lpz9!19sChIJsW7WxNkGUzARpQuU6WCIQEw?authuser=0&hl=ko&rclk=1,405,4.3
