data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Nanjing,난징 루커우 국제공항,,,,,,https://www.google.com/maps/place/%EB%82%9C%EC%A7%95+%EB%A3%A8%EC%BB%A4%EC%9A%B0+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x35b59d4a84dcd813:0x4baced800bf7f89!8m2!3d31.733575!4d118.871459!16zL20vMDRwcTN6!19sChIJE9jchEqdtTURiX-_ANjOugQ?authuser=0&hl=ko&rclk=1,481,3.8
2,China,Nanjing,瞻园,,,,,,https://www.google.com/maps/place/%E7%9E%BB%E5%9B%AD/data=!4m7!3m6!1s0x35b58c68c324f81d:0x1598473e8c5b4e4c!8m2!3d32.021051!4d118.784995!16s%2Fm%2F09gqj7k!19sChIJHfgkw2iMtTURTE5bjD5HmBU?authuser=0&hl=ko&rclk=1,374,4.4
3,China,Nanjing,Sun Yat-sen Mausoleum Music Stage,,,,,,https://www.google.com/maps/place/Sun+Yat-sen+Mausoleum+Music+Stage/data=!4m7!3m6!1s0x35b5f2b2b318a2f5:0xca383a3718a3447b!8m2!3d32.058976!4d118.84709!16s%2Fm%2F0jt56hq!19sChIJ9aIYs7LytTURe0SjGDc6OMo?authuser=0&hl=ko&rclk=1,359,4.2
4,China,Nanjing,Ming Xiaoling Mausoleum,,,명나라 황제 주원장을 위해 1405년에 지어진 거대한 영묘로 통로와 조각상이 많은 것이 특징입니다.,,,https://www.google.com/maps/place/Ming+Xiaoling+Mausoleum/data=!4m7!3m6!1s0x35b58c0020a6450b:0x25daf936507f79a0!8m2!3d32.0582164!4d118.8345739!16zL20vMDVkMmtx!19sChIJC0WmIACMtTURoHl_UDb52iU?authuser=0&hl=ko&rclk=1,319,4.4
5,China,Nanjing,"Gate of China, Nanjing",,,,,,"https://www.google.com/maps/place/Gate+of+China,+Nanjing/data=!4m7!3m6!1s0x35b58c6ccd0dcd03:0xa1c69a4855ff662!8m2!3d32.0126444!4d118.781775!16zL20vMDRwM2Iz!19sChIJA80NzWyMtTURYvZfhaRpHAo?authuser=0&hl=ko&rclk=1",297,4.5
6,China,Nanjing,Presidential Palace,,,,,,https://www.google.com/maps/place/Presidential+Palace/data=!4m7!3m6!1s0x35b58cee883102cd:0x8dd960c2f24c597!8m2!3d32.044261!4d118.79732!16s%2Fm%2F026kdm_!19sChIJzQIxiO6MtTURl8UkLwyW3Qg?authuser=0&hl=ko&rclk=1,289,4.3
7,China,Nanjing,Dr. Sun Yat-sen's Mausoleum,,,가파른 계단이 현대 중국의 건국자 중 한 명을 기리기 위해 화려하게 설계된 무덤까지 연결됩니다.,,,https://www.google.com/maps/place/Dr.+Sun+Yat-sen%27s+Mausoleum/data=!4m7!3m6!1s0x35b58cc47783dd95:0x136c98791975d936!8m2!3d32.062176!4d118.8533434!16zL20vMDVkMmxn!19sChIJld2Dd8SMtTURNtl1GXmYbBM?authuser=0&hl=ko&rclk=1,283,4.5
8,China,Nanjing,샹그릴라 호텔 난징,,,,,,https://www.google.com/maps/place/%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BC+%ED%98%B8%ED%85%94+%EB%82%9C%EC%A7%95/data=!4m10!3m9!1s0x35b5f34c69d4d051:0x63fa2b07c2e2b552!5m2!4m1!1i2!8m2!3d32.0782991!4d118.7824839!16s%2Fg%2F11b73jp9qy!19sChIJUdDUaUzztTURUrXiwgcr-mM?authuser=0&hl=ko&rclk=1,218,4.3
9,China,Nanjing,Niushoushan Cultural Tourism Zone,,,,,,https://www.google.com/maps/place/Niushoushan+Cultural+Tourism+Zone/data=!4m7!3m6!1s0x35b5861efa594735:0x4e2caba2186251b2!8m2!3d31.913991!4d118.746648!16s%2Fg%2F11c5s9pqk6!19sChIJNUdZ-h6GtTURslFiGKKrLE4?authuser=0&hl=ko&rclk=1,159,4.6
10,China,Nanjing,Nanjing Museum,,,,,,https://www.google.com/maps/place/Nanjing+Museum/data=!4m7!3m6!1s0x35b58d198bc36e2b:0x2984606d08e99572!8m2!3d32.041084!4d118.825424!16zL20vMDRwcGhw!19sChIJK27DixmNtTURcpXpCG1ghCk?authuser=0&hl=ko&rclk=1,157,4.4
