data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Nong Khai,Wat Pho Chai,,,,,,https://www.google.com/maps/place/Wat+Pho+Chai/data=!4m7!3m6!1s0x312463b517cfef65:0x676e848d8873fbb5!8m2!3d17.8849152!4d102.7573315!16s%2Fg%2F122p31pk!19sChIJZe_PF7VjJDERtftziI2Ebmc?authuser=0&hl=ko&rclk=1,6801,4.7
2,Thailand,Nong Khai,차오 아누봉 공원,,,"강변 산책로, 피크닉 공간, 기념품을 판매하는 야시장이 있는 경치 좋은 공원입니다.",,,https://www.google.com/maps/place/%EC%B0%A8%EC%98%A4+%EC%95%84%EB%88%84%EB%B4%89+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x312468891baae699:0x809d0bc8d450810b!8m2!3d17.9617598!4d102.6076239!16s%2Fg%2F1yh9vhf9n!19sChIJmeaqG4loJDERC4FQ1MgLnYA?authuser=0&hl=ko&rclk=1,6435,4.1
3,Thailand,Nong Khai,딸랏싸오 아침시장,,,"직물, 보석 등 라오스 전통 수공예품과 농산물, 길거리 음식을 판매하는 상설 시장입니다.",,,https://www.google.com/maps/place/%EB%94%B8%EB%9E%8F%EC%8B%B8%EC%98%A4+%EC%95%84%EC%B9%A8%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x3124687d93c167f9:0x5577837f17076440!8m2!3d17.9652263!4d102.6143941!16s%2Fg%2F1ym82kncx!19sChIJ-WfBk31oJDERQGQHF3-Dd1U?authuser=0&hl=ko&rclk=1,5848,3.9
4,Thailand,Nong Khai,타싸뎃 시장,,,,,,https://www.google.com/maps/place/%ED%83%80%EC%8B%B8%EB%8E%83+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x312463b819c6e30f:0xaf7113b1a397d622!8m2!3d17.8855331!4d102.7473491!16s%2Fg%2F1hc2317p7!19sChIJD-PGGbhjJDERItaXo7ETca8?authuser=0&hl=ko&rclk=1,5582,4.2
5,Thailand,Nong Khai,불상 공원,,,"다양한 자세를 취한 수십 개의 부처상으로 잘 알려져 있으며, 자전거를 타기 좋은 인기 명소입니다.",,,https://www.google.com/maps/place/%EB%B6%88%EC%83%81+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x31246186d2e52a2d:0xe3fe2c89b49a77ed!8m2!3d17.912517!4d102.7647775!16s%2Fm%2F02rv5km!19sChIJLSrl0oZhJDER7XeatIks_uM?authuser=0&hl=ko&rclk=1,4202,4.3
6,Thailand,Nong Khai,Wat Pha Tak Suea,,,,,,https://www.google.com/maps/place/Wat+Pha+Tak+Suea/data=!4m7!3m6!1s0x31243df8e29e4c41:0x1dd8bb92ec74ad49!8m2!3d18.0363977!4d102.3046346!16s%2Fg%2F11r9cbwqq!19sChIJQUye4vg9JDERSa107JK72B0?authuser=0&hl=ko&rclk=1,3089,4.5
7,Thailand,Nong Khai,Sala Keo Kou,,,,,,https://www.google.com/maps/place/Sala+Keo+Kou/data=!4m7!3m6!1s0x312462157e5a5f25:0x24bc87454ac85ada!8m2!3d17.8870414!4d102.7814193!16s%2Fm%2F03hm2yt!19sChIJJV9afhViJDER2lrISkWHvCQ?authuser=0&hl=ko&rclk=1,3040,4.4
8,Thailand,Nong Khai,Khon Kaen Zoo,,,,,,https://www.google.com/maps/place/Khon+Kaen+Zoo/data=!4m7!3m6!1s0x3122fe77fb61a479:0xa02c0a80628ecf4!8m2!3d16.8451056!4d102.8966842!16s%2Fg%2F11bwtc_m4q!19sChIJeaRh-3f-IjER9OwoBqjAAgo?authuser=0&hl=ko&rclk=1,3039,4.3
9,Thailand,Nong Khai,Nong Khai Aquarium,,,,,,https://www.google.com/maps/place/Nong+Khai+Aquarium/data=!4m7!3m6!1s0x31247cce615c9f5b:0x6c079a02d19f64ee!8m2!3d17.809281!4d102.7461006!16s%2Fg%2F1q54w0xlv!19sChIJW59cYc58JDER7mSf0QKaB2w?authuser=0&hl=ko&rclk=1,1699,4.3
10,Thailand,Nong Khai,Naga Statue,,,,,,https://www.google.com/maps/place/Naga+Statue/data=!4m7!3m6!1s0x312463c9ecf87119:0x4af923631e11342a!8m2!3d17.8876578!4d102.7528018!16s%2Fg%2F11bzwq_9lh!19sChIJGXH47MljJDERKjQRHmMj-Uo?authuser=0&hl=ko&rclk=1,1663,4.6
11,Thailand,Nong Khai,반치앙 박물관,,,,,,https://www.google.com/maps/place/%EB%B0%98%EC%B9%98%EC%95%99+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x31234253a9dea717:0xcb10f63331fb6775!8m2!3d17.4072223!4d103.2362284!16s%2Fg%2F11r9m8sy1!19sChIJF6feqVNCIzERdWf7MTP2EMs?authuser=0&hl=ko&rclk=1,1640,4.5
