data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Okinawa,추라우미 수족관(Okinawa Churaumi Aquarium),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:30 AM – 6:30 PM",,,,"전화번호: 0980-48-3748, 국제 전화번호: +81 980-48-3748, 웹사이트: https://churaumi.okinawa/",https://www.google.com/maps/place/?q=place_id:ChIJPZ5hUjH65DQR_p_dD3CmCOo,4.6,57344
2,Japan,Okinawa,슈리 성(Shuri Castle),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:00 AM – 8:30 PM",,,,"전화번호: 098-886-2020, 국제 전화번호: +81 98-886-2020, 웹사이트: https://oki-park.jp/shurijo/",https://www.google.com/maps/place/?q=place_id:ChIJZ9v0bP5r5TQRi0-esrqficA,4.2,28236
3,Japan,Okinawa,아메리칸 빌리지(American Village),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 10:00 PM",,,,웹사이트: http://www.okinawa-americanvillage.com/,https://www.google.com/maps/place/?q=place_id:ChIJzZoVCAUT5TQRzIueHYt83hs,4.2,18320
4,Japan,Okinawa,만좌모(Cape Manzamo),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:00 AM – 7:00 PM",,,,"전화번호: 098-966-8080, 국제 전화번호: +81 98-966-8080, 웹사이트: https://www.manzamo.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ-adBh3gD5TQRGFnnzG897N8,4.2,18264
5,Japan,Okinawa,세나가섬 우미카지테라스(Umikaji Terrace Senagajima),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 8:00 PM",,,,"전화번호: 098-851-7446, 국제 전화번호: +81 98-851-7446, 웹사이트: https://www.umikajiterrace.com/",https://www.google.com/maps/place/?q=place_id:ChIJTXE7iR5o5TQRuIMt_jUINqU,4.3,16956
6,Japan,Okinawa,해양박람회 기념공원(Ocean Expo Park),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:00 AM – 6:00 PM",,,,"전화번호: 0980-48-2741, 국제 전화번호: +81 980-48-2741, 웹사이트: http://oki-park.jp/kaiyohaku/",https://www.google.com/maps/place/?q=place_id:ChIJja-5Bsv75DQRxL_IBwlgWZk,4.5,15542
7,Japan,Okinawa,오키나와월드(Okinawa World),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:30 PM",,,,"전화번호: 098-949-7421, 국제 전화번호: +81 98-949-7421, 웹사이트: https://www.gyokusendo.co.jp/okinawaworld/?utm_source=google&utm_medium=maps",https://www.google.com/maps/place/?q=place_id:ChIJza_GaWlv5TQRy52qkW4L2P4,4.2,14900
8,Japan,Okinawa,Gyokusendo Cave,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:30 PM",,,,"전화번호: 098-949-7421, 국제 전화번호: +81 98-949-7421, 웹사이트: https://www.gyokusendo.co.jp/okinawaworld/7recommendations/?utm_source=google&utm_medium=maps",https://www.google.com/maps/place/?q=place_id:ChIJa3ifUYVp5TQR3QZD1tyLml4,4.3,14160
9,Japan,Okinawa,나미노우에 신사(Naminoue Shrine),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:00 PM",,,,"전화번호: 098-868-3697, 국제 전화번호: +81 98-868-3697, 웹사이트: http://naminouegu.jp/",https://www.google.com/maps/place/?q=place_id:ChIJdT8KUYVp5TQRrCRV4eFRanc,4.4,11017
10,Japan,Okinawa,나고파인애플 파크(Nago Pineapple Park),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 6:00 PM",,,,"전화번호: 0980-53-3659, 국제 전화번호: +81 980-53-3659, 웹사이트: http://www.nagopain.com/",https://www.google.com/maps/place/?q=place_id:ChIJpRkTRFL_5DQRaoYquVrISOQ,3.8,8595
11,Japan,Okinawa,온나노에키 나카유쿠이 이치바(Onna no Eki Nakayukui Market),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 7:00 PM",,,,"전화번호: 098-964-1188, 국제 전화번호: +81 98-964-1188, 웹사이트: https://onnanoeki.com/",https://www.google.com/maps/place/?q=place_id:ChIJxRvW16Ya5TQRubB2b8hH3Cw,4.2,7501
12,Japan,Okinawa,류큐무라(Ryukyu Mura),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:30 AM – 5:00 PM",,,,"전화번호: 098-965-1234, 국제 전화번호: +81 98-965-1234, 웹사이트: https://www.ryukyumura.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJMdJgznoQ5TQR7jfRwP4C0o0,3.9,6406
13,Japan,Okinawa,히메유리탑(Himeyuri Cenotaph),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:00 PM",,,,"전화번호: 098-997-2100, 국제 전화번호: +81 98-997-2100, 웹사이트: http://www.himeyuri.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJjwcPX_pm5TQRziOnh5XGoOU,4.4,5588
14,Japan,Okinawa,데포 아일랜드(Depot Island),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 9:00 PM",,,,"전화번호: 098-926-3322, 국제 전화번호: +81 98-926-3322, 웹사이트: http://www.depot-island.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJD_845w8T5TQR3PMr42X4pt4,4.2,5487
15,Japan,Okinawa,평화기념공원(Peace Memorial Park),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: Open 24 hours",,,,"전화번호: 098-997-2765, 국제 전화번호: +81 98-997-2765, 웹사이트: http://kouen.heiwa-irei-okinawa.jp/",https://www.google.com/maps/place/?q=place_id:ChIJaaiFx39m5TQR_3vrJCFiQS8,4.4,5276
16,Japan,Okinawa,가쓰렌 성터,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 9:00 ~ 오후 6:00",,,,"전화번호: 098-978-2033, 국제 전화번호: +81 98-978-2033, 웹사이트: http://www.katsuren-jo.jp/",https://www.google.com/maps/place/?q=place_id:ChIJmWkqdKYO5TQRviUZ4fY-ih4,4.4,4245
17,Japan,Okinawa,오키나와현립박물관•미술관 (오키뮤)(Okinawa Prefectural Museum & Art Museum),알 수 없음,,,,"전화번호: 098-941-8200, 국제 전화번호: +81 98-941-8200, 웹사이트: http://okimu.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ-xOPl9lr5TQRH8VoYFpeKl4,4.3,4145
18,Japan,Okinawa,코우리해변(Kouri Beach),알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJM1dBT81Z5DQRQRlOgp6BQGk,4.4,4127
19,Japan,Okinawa,오키나와 어린이나라(Okinawa Zoo & Museum),"Monday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:30 AM – 6:00 PM; Tuesday: Closed",,,,"전화번호: 098-933-4190, 국제 전화번호: +81 98-933-4190, 웹사이트: https://www.okzm.jp/",https://www.google.com/maps/place/?q=place_id:ChIJDaYAgHMS5TQRC-7ZO_2U5Is,4.2,3599
20,Japan,Okinawa,부세나 해중공원(Busena Marine Park),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:30 PM",,,,"전화번호: 0980-52-3379, 국제 전화번호: +81 980-52-3379, 웹사이트: http://www.busena-marinepark.com/",https://www.google.com/maps/place/?q=place_id:ChIJcTekltIB5TQRZBundTA3oqs,4.3,3283
21,Japan,Okinawa,강가라 계곡(Valley of Gangala),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 4:00 PM",,,,"전화번호: 098-948-4192, 국제 전화번호: +81 98-948-4192, 웹사이트: https://gangala.com/?utm_source=googlemybusiness",https://www.google.com/maps/place/?q=place_id:ChIJmamfTmlv5TQR1kOHmcbH0Ao,4.4,3264
22,Japan,Okinawa,자키미 성터(Zakimi Castle Ruins),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: Open 24 hours",,,,"전화번호: 098-958-3141, 국제 전화번호: +81 98-958-3141, 웹사이트: https://bunka.nii.ac.jp/heritages/detail/173575",https://www.google.com/maps/place/?q=place_id:ChIJX6aakiAR5TQRCHgKEfmK5aY,4.3,3189
23,Japan,Okinawa,비오스 힐(Bios Hill),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:30 PM",,,,"전화번호: 098-965-3400, 국제 전화번호: +81 98-965-3400, 웹사이트: http://www.bios-hill.co.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ6QGtahAQ5TQRNzWbOSJf9P8,4.2,3092
24,Japan,Okinawa,Cape Zanpa Park,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: Open 24 hours",,,,"전화번호: 098-958-0038, 국제 전화번호: +81 98-958-0038",https://www.google.com/maps/place/?q=place_id:ChIJUSLDljYX5TQRM24DBx7LkEs,4.3,3057
25,Japan,Okinawa,오카시고텐 나고점(Okashigoten Nago Branch),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 6:00 PM",,,,"전화번호: 0980-54-8515, 국제 전화번호: +81 980-54-8515, 웹사이트: http://www.okashigoten.co.jp/nago-shop/",https://www.google.com/maps/place/?q=place_id:ChIJBWT12Lj45DQRv0-vqugULsU,4.1,2998
26,Japan,Okinawa,구 해군사령부호(Former Japanese Navy Underground Headquarters),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:00 PM",,,,"전화번호: 098-850-4055, 국제 전화번호: +81 98-850-4055, 웹사이트: https://kaigungou.ocvb.or.jp/",https://www.google.com/maps/place/?q=place_id:ChIJH7BGhlRo5TQRRZh9kSu3Iwo,4.3,2963
27,Japan,Okinawa,이시가키 야이마무라(Ishigaki Yaima Village),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 5:30 PM",,,,"전화번호: 0980-82-8798, 국제 전화번호: +81 980-82-8798, 웹사이트: https://linktr.ee/yaimamura",https://www.google.com/maps/place/?q=place_id:ChIJE44wdCXeXzQRx4DksYFT3RI,4.1,2822
28,Japan,Okinawa,오키나와후르츠랜드(Okinawa Fruits Land),"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 10:00 AM – 6:00 PM",,,,"전화번호: 0980-52-1568, 국제 전화번호: +81 980-52-1568, 웹사이트: http://www.okinawa-fruitsland.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ__8_i1L_5DQR7Prcr2WtP8E,3.5,2806
29,Japan,Okinawa,나카구스쿠 성 유적,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 8:30 ~ 오후 6:00",,,,"전화번호: 098-935-5719, 국제 전화번호: +81 98-935-5719, 웹사이트: https://www.nakagusuku-jo.jp/",https://www.google.com/maps/place/?q=place_id:ChIJ1-RYMK8S5TQRMQACOAcMQrM,4.4,2670
30,Japan,Okinawa,Ginowan Seaside Park,"Monday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 AM – 9:30 PM; Tuesday: Closed",,,,"전화번호: 098-897-2751, 국제 전화번호: +81 98-897-2751, 웹사이트: http://www.ginowankaihinkouen.jp/",https://www.google.com/maps/place/?q=place_id:ChIJbZ7fC7Bs5TQRt2QERuPyWC0,4.2,2654
