data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,Japan,Okinawa,추라우미 수족관(Okinawa Churaumi Aquarium),"월, 화, 수, 목, 금, 토, 일: 8:30 AM – 6:30 PM",,,,국제전화번호: +81 980-48-3748 홈페이지: https://churaumi.okinawa/,https://www.google.com/maps/place/?q=place_id:ChIJPZ5hUjH65DQR_p_dD3CmCOo,57344,4.6
2,Japan,Okinawa,슈리 성(Shuri Castle),"월, 화, 수, 목, 금, 토, 일: 8:00 AM – 8:30 PM",,,,국제전화번호: +81 98-886-2020 홈페이지: https://oki-park.jp/shurijo/,https://www.google.com/maps/place/?q=place_id:ChIJZ9v0bP5r5TQRi0-esrqficA,28236,4.2
3,Japan,Okinawa,아메리칸 빌리지(American Village),"월, 화, 수, 목, 금, 토, 일: 10:00 AM – 10:00 PM",,,, 홈페이지: http://www.okinawa-americanvillage.com/,https://www.google.com/maps/place/?q=place_id:ChIJzZoVCAUT5TQRzIueHYt83hs,18320,4.2
4,Japan,Okinawa,만좌모(Cape Manzamo),"월, 화, 수, 목, 금, 토, 일: 8:00 AM – 7:00 PM",,,,국제전화번호: +81 98-966-8080 홈페이지: https://www.manzamo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ-adBh3gD5TQRGFnnzG897N8,18264,4.2
5,Japan,Okinawa,세나가섬 우미카지테라스(Umikaji Terrace Senagajima),"월, 화, 수, 목, 금, 토, 일: 10:00 AM – 8:00 PM",,,,국제전화번호: +81 98-851-7446 홈페이지: https://www.umikajiterrace.com/,https://www.google.com/maps/place/?q=place_id:ChIJTXE7iR5o5TQRuIMt_jUINqU,16956,4.3
6,Japan,Okinawa,해양박람회 기념공원(Ocean Expo Park),"월, 화, 수, 목, 금, 토, 일: 8:00 AM – 6:00 PM",,,,국제전화번호: +81 980-48-2741 홈페이지: http://oki-park.jp/kaiyohaku/,https://www.google.com/maps/place/?q=place_id:ChIJja-5Bsv75DQRxL_IBwlgWZk,15542,4.5
7,Japan,Okinawa,오키나와월드(Okinawa World),"월, 화, 수, 목, 금, 토, 일: 9:00 AM – 5:30 PM",,,,국제전화번호: +81 98-949-7421 홈페이지: https://www.gyokusendo.co.jp/okinawaworld/?utm_source=google&utm_medium=maps,https://www.google.com/maps/place/?q=place_id:ChIJza_GaWlv5TQRy52qkW4L2P4,14900,4.2
8,Japan,Okinawa,나미노우에 신사(Naminoue Shrine),"월, 화, 수, 목, 금, 토, 일: 9:00 AM – 5:00 PM",,,,국제전화번호: +81 98-868-3697 홈페이지: http://naminouegu.jp/,https://www.google.com/maps/place/?q=place_id:ChIJdT8KUYVp5TQRrCRV4eFRanc,11017,4.4
9,Japan,Okinawa,나고파인애플 파크(Nago Pineapple Park),"월, 화, 수, 목, 금, 토, 일: 10:00 AM – 6:00 PM",,,,국제전화번호: +81 980-53-3659 홈페이지: http://www.nagopain.com/,https://www.google.com/maps/place/?q=place_id:ChIJpRkTRFL_5DQRaoYquVrISOQ,8595,3.8
10,Japan,Okinawa,온나노에키 나카유쿠이 이치바(Onna no Eki Nakayukui Market),"월, 화, 수, 목, 금, 토, 일: 10:00 AM – 7:00 PM",,,,국제전화번호: +81 98-964-1188 홈페이지: https://onnanoeki.com/,https://www.google.com/maps/place/?q=place_id:ChIJxRvW16Ya5TQRubB2b8hH3Cw,7501,4.2
