data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Pai,빠이 협곡,,,경치가 좋은 고요한 계곡이며 좁고 암석이 많은 하이킹 코스가 있어 광대한 계곡 전망을 제공합니다.,,,https://www.google.com/maps/place/%EB%B9%A0%EC%9D%B4+%ED%98%91%EA%B3%A1/data=!4m7!3m6!1s0x30da80e8f3eba0f9:0x83dbe124b195aec2!8m2!3d19.3061309!4d98.4525058!16s%2Fg%2F11btxhd4bg!19sChIJ-aDr8-iA2jARwq6VsSTh24M?authuser=0&hl=ko&rclk=1,6054,4.5
2,Thailand,Pai,Santichon Village,,,,,,https://www.google.com/maps/place/Santichon+Village/data=!4m7!3m6!1s0x30da81fe625cfae3:0x811eac3facc04080!8m2!3d19.3707471!4d98.4027162!16s%2Fg%2F11by_zvq90!19sChIJ4_pcYv6B2jARgEDArD-sHoE?authuser=0&hl=ko&rclk=1,3862,4.1
3,Thailand,Pai,윤라이 전망대,,,,,,https://www.google.com/maps/place/%EC%9C%A4%EB%9D%BC%EC%9D%B4+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x30da8201f4379731:0xea280ac5d8994cea!8m2!3d19.3690372!4d98.395388!16s%2Fg%2F11c61ccwz5!19sChIJMZc39AGC2jAR6kyZ2MUKKOo?authuser=0&hl=ko&rclk=1,3743,4.4
4,Thailand,Pai,빠이 여행자거리,,,,,,https://www.google.com/maps/place/%EB%B9%A0%EC%9D%B4+%EC%97%AC%ED%96%89%EC%9E%90%EA%B1%B0%EB%A6%AC/data=!4m7!3m6!1s0x30da81d2f3623a6d:0xa1ceef61c10acb7a!8m2!3d19.3588874!4d98.4437713!16s%2Fg%2F119vkdb4d!19sChIJbTpi89KB2jARessKwWHvzqE?authuser=0&hl=ko&rclk=1,2788,4.4
5,Thailand,Pai,Kho Ku So Bamboo Bridge,,,,,,https://www.google.com/maps/place/Kho+Ku+So+Bamboo+Bridge/data=!4m7!3m6!1s0x30da83d5c874a0f1:0x9ca555b654c52d7c!8m2!3d19.3225079!4d98.3931658!16s%2Fg%2F11c2kvyx7q!19sChIJ8aB0yNWD2jARfC3FVLZVpZw?authuser=0&hl=ko&rclk=1,2626,4.5
6,Thailand,Pai,Doi Kiew Lom Viewpoint,,,,,,https://www.google.com/maps/place/Doi+Kiew+Lom+Viewpoint/data=!4m7!3m6!1s0x30d079dcd96b097f:0x42f9e8019fd02540!8m2!3d19.4457839!4d98.3191576!16s%2Fg%2F11csq61cww!19sChIJfwlr2dx50DARQCXQnwHo-UI?authuser=0&hl=ko&rclk=1,2595,4.5
7,Thailand,Pai,빠이 워킹스트리트,,,,,,https://www.google.com/maps/place/%EB%B9%A0%EC%9D%B4+%EC%9B%8C%ED%82%B9%EC%8A%A4%ED%8A%B8%EB%A6%AC%ED%8A%B8/data=!4m7!3m6!1s0x30da81b26d13ebc5:0x8896296b12ac1ce9!8m2!3d19.3596294!4d98.4423653!16s%2Fg%2F11fncqz9hl!19sChIJxesTbbKB2jAR6RysEmsplog?authuser=0&hl=ko&rclk=1,2027,4.5
8,Thailand,Pai,Ta-Pai Memorial Bridge,,,,,,https://www.google.com/maps/place/Ta-Pai+Memorial+Bridge/data=!4m7!3m6!1s0x30da80bfbc14715b:0x10a0f9ca0982a59a!8m2!3d19.2974272!4d98.4650524!16s%2Fg%2F1hm5snjmq!19sChIJW3EUvL-A2jARmqWCCcr5oBA?authuser=0&hl=ko&rclk=1,1964,4.2
9,Thailand,Pai,싸이 응암 온천,,,,,,https://www.google.com/maps/place/%EC%8B%B8%EC%9D%B4+%EC%9D%91%EC%95%94+%EC%98%A8%EC%B2%9C/data=!4m7!3m6!1s0x30d079420ee683a1:0x17418418abf74753!8m2!3d19.4590854!4d98.3799452!16s%2Fg%2F11by_g7d8n!19sChIJoYPmDkJ50DARU0f3qxiEQRc?authuser=0&hl=ko&rclk=1,1761,3.9
10,Thailand,Pai,타빠이 노천온천,,,,,,https://www.google.com/maps/place/%ED%83%80%EB%B9%A0%EC%9D%B4+%EB%85%B8%EC%B2%9C%EC%98%A8%EC%B2%9C/data=!4m7!3m6!1s0x30da80909ddc8b4d:0xbda0e54244134727!8m2!3d19.3080849!4d98.47317!16s%2Fg%2F11btwr_09m!19sChIJTYvcnZCA2jARJ0cTRELloL0?authuser=0&hl=ko&rclk=1,1600,4.0
