data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Phra Nakhon Si Ayutthaya,왓 야이 차이몽콜,,,"복원된 불교 사원으로 불탑, 대형 와불상, 일렬로 놓인 소형 좌불상이 있습니다.",,,https://www.google.com/maps/place/%EC%99%93+%EC%95%BC%EC%9D%B4+%EC%B0%A8%EC%9D%B4%EB%AA%BD%EC%BD%9C/data=!4m7!3m6!1s0x30e274494e855555:0xa77a9c69f5c5a1d3!8m2!3d14.3455168!4d100.5924508!16s%2Fm%2F010gqmdn!19sChIJVVWFTkl04jAR06HF9Wmceqc?authuser=0&hl=ko&rclk=1,21696,4.7
2,Thailand,Phra Nakhon Si Ayutthaya,왓 마하탓,,,"유적, 다채로운 색감의 신사, 나무 뿌리가 감싸고 있는 유명한 부처 두상이 있는 불교 사원입니다.",,,https://www.google.com/maps/place/%EC%99%93+%EB%A7%88%ED%95%98%ED%83%93/data=!4m7!3m6!1s0x30e274494c1a49f9:0xd5d50c50180408d9!8m2!3d14.3569443!4d100.5675112!16s%2Fm%2F0472gwr!19sChIJ-UkaTEl04jAR2QgEGFAM1dU?authuser=0&hl=ko&rclk=1,19938,4.6
3,Thailand,Phra Nakhon Si Ayutthaya,아유타야 수상시장,,,물길을 따라 기념품점과 음식점이 늘어서 있으며 방문객은 걸어서 구경하거나 보트를 타고 주변을 둘러볼 수 있습니다.,,,https://www.google.com/maps/place/%EC%95%84%EC%9C%A0%ED%83%80%EC%95%BC+%EC%88%98%EC%83%81%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x30e275bc42f65279:0x4c371ce41c479799!8m2!3d14.3589799!4d100.5933314!16s%2Fg%2F11flbt7sw4!19sChIJeVL2Qrx14jARmZdHHOQcN0w?authuser=0&hl=ko&rclk=1,16824,3.9
4,Thailand,Phra Nakhon Si Ayutthaya,왓 차이와타나람,,,"아름답게 재건된 17세기 왕실 불교 사원 유적으로, 한 폭의 그림 같은 강가에 있습니다.",,,https://www.google.com/maps/place/%EC%99%93+%EC%B0%A8%EC%9D%B4%EC%99%80%ED%83%80%EB%82%98%EB%9E%8C/data=!4m7!3m6!1s0x30e27410249012b9:0x8187aa907865ff44!8m2!3d14.3429757!4d100.5418589!16zL20vMGQyamo3!19sChIJuRKQJBB04jARRP9leJCqh4E?authuser=0&hl=ko&rclk=1,16299,4.7
5,Thailand,Phra Nakhon Si Ayutthaya,왓 프라스리산펫,,,탑 3기가 복원되어 있는 웅장한 왕궁 사원 유적지에서 주변 지역 전망을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%EC%99%93+%ED%94%84%EB%9D%BC%EC%8A%A4%EB%A6%AC%EC%82%B0%ED%8E%AB/data=!4m7!3m6!1s0x30e27446c6d0d4e1:0xbdca3f70e5543696!8m2!3d14.3558794!4d100.5580484!16s%2Fm%2F0472j69!19sChIJ4dTQxkZ04jARljZU5XA_yr0?authuser=0&hl=ko&rclk=1,11077,4.7
6,Thailand,Phra Nakhon Si Ayutthaya,Ayutthaya City Park,,,,,,https://www.google.com/maps/place/Ayutthaya+City+Park/data=!4m7!3m6!1s0x30e275faffcebbfb:0xe91f72c7c80975c6!8m2!3d14.3359754!4d100.6112443!16s%2Fg%2F1hm3qfq1m!19sChIJ-7vO__p14jARxnUJyMdyH-k?authuser=0&hl=ko&rclk=1,7903,4.4
7,Thailand,Phra Nakhon Si Ayutthaya,"Maharat Buddhist Park, Luang Pu Thuat",,,,,,"https://www.google.com/maps/place/Maharat+Buddhist+Park,+Luang+Pu+Thuat/data=!4m7!3m6!1s0x30e20e91389e8a21:0x8c636cb3231403a5!8m2!3d14.5313529!4d100.5001818!16s%2Fg%2F11b5vxvsk3!19sChIJIYqeOJEO4jARpQMUI7NsY4w?authuser=0&hl=ko&rclk=1",7553,4.5
8,Thailand,Phra Nakhon Si Ayutthaya,방파인 여름 별궁,,,태국 왕실이 여름 거주지로 사용하는 화려한 19세기 궁전은 방문객에게 개방되어 있습니다.,,,https://www.google.com/maps/place/%EB%B0%A9%ED%8C%8C%EC%9D%B8+%EC%97%AC%EB%A6%84+%EB%B3%84%EA%B6%81/data=!4m7!3m6!1s0x30e2782a4ab79549:0xcdab9b0f50a40e4c!8m2!3d14.2327734!4d100.5790669!16s%2Fm%2F02rlnvb!19sChIJSZW3Sip44jARTA6kUA-bq80?authuser=0&hl=ko&rclk=1,6261,4.5
9,Thailand,Phra Nakhon Si Ayutthaya,왓 나 프라 메루,,,,,,https://www.google.com/maps/place/%EC%99%93+%EB%82%98+%ED%94%84%EB%9D%BC+%EB%A9%94%EB%A3%A8/data=!4m7!3m6!1s0x30e27444957bb4f5:0x59d99950dbdce716!8m2!3d14.3625059!4d100.5587531!16s%2Fm%2F0472h72!19sChIJ9bR7lUR04jARFufc21CZ2Vk?authuser=0&hl=ko&rclk=1,5994,4.7
10,Thailand,Phra Nakhon Si Ayutthaya,왓 로카야수타,,,,,,https://www.google.com/maps/place/%EC%99%93+%EB%A1%9C%EC%B9%B4%EC%95%BC%EC%88%98%ED%83%80/data=!4m7!3m6!1s0x30e27441c5aa20c5:0x4a6acfabdfe61d1d!8m2!3d14.3555707!4d100.5529428!16s%2Fm%2F0472j61!19sChIJxSCqxUF04jARHR3m36vPako?authuser=0&hl=ko&rclk=1,5957,4.5
