data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,Popularity
1,China,Qingdao,Shangri-La Hotel Qingdao,,,,,,https://www.google.com/maps/place/Shangri-La+Hotel+Qingdao/data=!4m10!3m9!1s0x3596105c1a7fe883:0x850fed1d1a7fef13!5m2!4m1!1i2!8m2!3d36.064804!4d120.378616!16s%2Fg%2F1tdk_jn7!19sChIJg-h_GlwQljURE-9_Gh3tD4U?authuser=0&hl=ko&rclk=1,,4.4,422.0
2,China,Qingdao,Qingdao International Sailing Centre,,,,,,https://www.google.com/maps/place/Qingdao+International+Sailing+Centre/data=!4m7!3m6!1s0x359610f59a97cb9b:0xea9d90414283481b!8m2!3d36.060096!4d120.390406!16zL20vMGZ4anF4!19sChIJm8uXmvUQljURG0iDQkGQneo?authuser=0&hl=ko&rclk=1,,4.3,232.0
3,China,Qingdao,Qingdao Jiaodong International Airport,,,,,,https://www.google.com/maps/place/Qingdao+Jiaodong+International+Airport/data=!4m7!3m6!1s0x3595d945542ebcf1:0x4dd3cbdb8399d1f1!8m2!3d36.360696!4d120.0881942!16s%2Fm%2F0_gw9_v!19sChIJ8bwuVEXZlTUR8dGZg9vL000?authuser=0&hl=ko&rclk=1,,4.4,223.0
4,China,Qingdao,"포 포인츠 바이 쉐라톤 칭다오, 청양",,,,,,"https://www.google.com/maps/place/%ED%8F%AC+%ED%8F%AC%EC%9D%B8%EC%B8%A0+%EB%B0%94%EC%9D%B4+%EC%89%90%EB%9D%BC%ED%86%A4+%EC%B9%AD%EB%8B%A4%EC%98%A4,+%EC%B2%AD%EC%96%91/data=!4m10!3m9!1s0x35966eedf2046c7b:0xba4d84a714885583!5m2!4m1!1i2!8m2!3d36.2956514!4d120.3988938!16s%2Fg%2F1v3kfgpy!19sChIJe2wE8u1uljURg1WIFKeETbo?authuser=0&hl=ko&rclk=1",,4.1,207.0
5,China,Qingdao,인터콘티넨탈 칭다오,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BD%98%ED%8B%B0%EB%84%A8%ED%83%88+%EC%B9%AD%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x3596108acc422129:0xa423b540469cbd88!5m2!4m1!1i2!8m2!3d36.056656!4d120.39156!16s%2Fg%2F1tjdp989!19sChIJKSFCzIoQljURiL2cRkC1I6Q?authuser=0&hl=ko&rclk=1,,4.4,165.0
6,China,Qingdao,하얏트 리젠시 칭다오,,,,,,https://www.google.com/maps/place/%ED%95%98%EC%96%8F%ED%8A%B8+%EB%A6%AC%EC%A0%A0%EC%8B%9C+%EC%B9%AD%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x359616bcd4e5a907:0x3e836f0fb3479ba3!5m2!4m1!1i2!8m2!3d36.088215!4d120.45571!16s%2Fg%2F11gghd2r6r!19sChIJB6nl1LwWljURo5tHsw9vgz4?authuser=0&hl=ko&rclk=1,,4.6,146.0
7,China,Qingdao,Holiday Inn Qingdao Parkview,,,,,,https://www.google.com/maps/place/Holiday+Inn+Qingdao+Parkview/data=!4m10!3m9!1s0x35966e8d073237e9:0x1caa8ae443cbb287!5m2!4m1!1i2!8m2!3d36.288909!4d120.399189!16s%2Fg%2F11b6vn16mr!19sChIJ6TcyB41uljURh7LLQ-SKqhw?authuser=0&hl=ko&rclk=1,,4.0,141.0
8,China,Qingdao,더 웨스틴 칭다오,,,,,,https://www.google.com/maps/place/%EB%8D%94+%EC%9B%A8%EC%8A%A4%ED%8B%B4+%EC%B9%AD%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x3596104333caf3ef:0x8c2198e27eba7d4e!5m2!4m1!1i2!8m2!3d36.0637184!4d120.3801746!16s%2Fg%2F1q66xl4kr!19sChIJ7_PKM0MQljURTn26fuKYIYw?authuser=0&hl=ko&rclk=1,,4.5,125.0
9,China,Qingdao,Signal Mountain Park,,,,,,https://www.google.com/maps/place/Signal+Mountain+Park/data=!4m7!3m6!1s0x35960fefa4de6551:0xd9e2d2fb556ad330!8m2!3d36.06604!4d120.332026!16s%2Fg%2F1tfw0_r2!19sChIJUWXepO8PljURMNNqVfvS4tk?authuser=0&hl=ko&rclk=1,,4.3,116.0
10,China,Qingdao,홀리데이 인 칭다오 시티 센터,,,,,,https://www.google.com/maps/place/%ED%99%80%EB%A6%AC%EB%8D%B0%EC%9D%B4+%EC%9D%B8+%EC%B9%AD%EB%8B%A4%EC%98%A4+%EC%8B%9C%ED%8B%B0+%EC%84%BC%ED%84%B0/data=!4m10!3m9!1s0x3596105813f91fc1:0x9421820ed3d6d88f!5m2!4m1!1i2!8m2!3d36.0675722!4d120.3885373!16s%2Fg%2F1tg9fj9j!19sChIJwR_5E1gQljURj9jW0w6CIZQ?authuser=0&hl=ko&rclk=1,,4.2,101.0
11,China,Qingdao,Hilton Qingdao Golden Beach,,,,,,https://www.google.com/maps/place/Hilton+Qingdao+Golden+Beach/data=!4m10!3m9!1s0x3596019bfa6e6cad:0xf48882b3e219fa7d!5m2!4m1!1i2!8m2!3d35.956319!4d120.23703!16s%2Fg%2F11b638hbhv!19sChIJrWxu-psBljURffoZ4rOCiPQ?authuser=0&hl=ko&rclk=1,,4.2,86.0
12,China,Qingdao,크라운 플라자 칭다오,,,,,,https://www.google.com/maps/place/%ED%81%AC%EB%9D%BC%EC%9A%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%EC%B9%AD%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x3596105a36252ec1:0x547aaa1b6efa892c!5m2!4m1!1i2!8m2!3d36.064198!4d120.399603!16s%2Fm%2F0wfc36_!19sChIJwS4lNloQljURLIn6bhuqelQ?authuser=0&hl=ko&rclk=1,,4.3,74.0
13,China,Qingdao,Lo Shan,,,,,,https://www.google.com/maps/place/Lo+Shan/data=!4m7!3m6!1s0x359646c61eeefcfb:0xe834b82cb95fcf3a!8m2!3d36.182869!4d120.631733!16zL20vMDJ3bW1k!19sChIJ-_zuHsZGljUROs9fuSy4NOg?authuser=0&hl=ko&rclk=1,,4.5,70.0
14,China,Qingdao,쉐라톤 칭다오 자오저우 호텔,,,,,,https://www.google.com/maps/place/%EC%89%90%EB%9D%BC%ED%86%A4+%EC%B9%AD%EB%8B%A4%EC%98%A4+%EC%9E%90%EC%98%A4%EC%A0%80%EC%9A%B0+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x3595e738d6c57a63:0xda40a2ffe698e7ca!5m2!4m1!1i2!8m2!3d36.265625!4d120.033016!16s%2Fg%2F113fnxq5d!19sChIJY3rF1jjnlTURyueY5v-iQNo?authuser=0&hl=ko&rclk=1,,4.4,66.0
