data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,China,Qingdao,五四广场,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJdzmp_mgQljUR5UIziIYzMpk,1525,4.3
2,China,Qingdao,Tsingtao Brewery Museum,,,,,국제 전화번호: +86 532 8383 3437,https://www.google.com/maps/place/?q=place_id:ChIJV5aYKSYQljURyzPaSLnejW0,1196,4.4
3,China,Qingdao,Zhanqiao Pier,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJa3aYWYsPljURmWfiJ9p_T1Y,272,4.0
4,China,Qingdao,QingDao Garden,"월, 수, 목, 금, 토, 일: 12:00 – 3:00 PM, 4:30 – 9:30 PM (unparsed); 화: 휴무",,,,웹사이트: https://www.qingdaogardentogo.com/,https://www.google.com/maps/place/?q=place_id:ChIJO3ditSR244kRJR6kCrHrYVY,231,4.2
5,China,Qingdao,Badaguan,,,,,국제 전화번호: +86 532 8386 9357,https://www.google.com/maps/place/?q=place_id:ChIJz_6oMwYQljURhgtSlMtju7Q,213,4.2
6,China,Qingdao,劈柴院,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6yamqZMPljURnvFGKRtW_TU,128,3.6
7,China,Qingdao,더 웨스틴 칭다오(The Westin Qingdao),,,,,국제 전화번호: +86 532 6777 1888 웹사이트: https://www.marriott.com/hotels/travel/taowi-the-westin-qingdao/,https://www.google.com/maps/place/?q=place_id:ChIJ7_PKM0MQljURTn26fuKYIYw,125,4.5
8,China,Qingdao,Qingdao People's Auditorium,,,,,웹사이트: http://www.qingdaoso.com/,https://www.google.com/maps/place/?q=place_id:ChIJwd5L7vAPljUR3YCzK26z5_A,121,4.0
9,China,Qingdao,Qiandao Hu(Xin'anjiang Reservoir),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9RYm8TDxSTQRGHvA7KrxXVs,108,4.6
10,China,Qingdao,小青岛,,,,,국제 전화번호: +86 532 8286 3944,https://www.google.com/maps/place/?q=place_id:ChIJe2ubm1gFljURgxu5DLUl7iY,104,4.1
11,China,Qingdao,Qingdao Zhongshan Park,,,,,국제 전화번호: +86 532 8287 0564,https://www.google.com/maps/place/?q=place_id:ChIJCVixkRcQljURh3doJOfp5iw,82,4.5
12,China,Qingdao,Huashi Building,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWfstSwYQljUR7OrbrOpQQbg,79,4.1
13,China,Qingdao,Qingdao No.1 Bathing Beach,,,,,웹사이트: http://qdrf.qingdao.gov.cn/n24298608/n24300260/n24300390/141117142013062076.html,https://www.google.com/maps/place/?q=place_id:ChIJO4TYPvwPljURXAAHvF56xKY,75,4.2
14,China,Qingdao,Golden Sandy Beach,,,,,국제 전화번호: +86 532 8670 7399,https://www.google.com/maps/place/?q=place_id:ChIJ8f0lZoQBljURNDDshfJ6sqc,74,4.3
15,China,Qingdao,"Qingdao Polar Ocean World Co.,Ltd.",,,,,국제 전화번호: +86 532 8099 9777,https://www.google.com/maps/place/?q=place_id:ChIJ6WxNp9EWljURfZSjsMicONE,74,3.9
16,China,Qingdao,Lo Shan(Laoshan Mountain),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-_zuHsZGljUROs9fuSy4NOg,70,4.5
17,China,Qingdao,"St. Michael's Cathedral, Qingdao",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJsTdUTO0PljURG6nD34Y7r9U,53,4.4
18,China,Qingdao,Naval Museum,,,,,국제 전화번호: +86 532 8286 6784 웹사이트: http://www.hjbwg.com/,https://www.google.com/maps/place/?q=place_id:ChIJ98UtK_YPljURXE6DUSFLVOw,50,4.0
19,China,Qingdao,Jimo Road Small Commodity Market,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpR1qXOoPljURongpMJEcjUA,48,3.4
20,China,Qingdao,胶澳总督府,,,,,웹사이트: https://www.tuniu.com/g5563/guide-0-0/,https://www.google.com/maps/place/?q=place_id:ChIJFVm1YPIPljURsu3z8eEdBfI,47,4.2
21,China,Qingdao,Qingdao Aquarium,,,,,국제 전화번호: +86 532 8286 8088 웹사이트: http://www.qdaqua.com/,https://www.google.com/maps/place/?q=place_id:ChIJXw8rafkPljURZwbzR3N8nUk,44,4.1
22,China,Qingdao,Lu Xun Park,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,"국제 전화번호: +86 532 8286 0760 웹사이트: http://www.qdseaside.cn/jingdian.asp?sortpath=0,113,",https://www.google.com/maps/place/?q=place_id:ChIJlXKoJfgPljUR4ewIwT1XJWw,44,4.4
23,China,Qingdao,Qingdao German Zongdulou Former Site,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQdDnbuUPljURj-WPQkR4ocA,42,4.2
24,China,Qingdao,Qingdao Music Square,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJrzh5n2cQljURGjMZguKozV0,39,4.6
25,China,Qingdao,Golden Sand Beach （Northwest Gate）,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJc9wU44IBljURRYtmSf7aXs0,37,4.2
26,China,Qingdao,Qingdao No. 1 International School of Shandong Province,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqbKAqyUVljURdTGJGAOJqQw,34,4.9
27,China,Qingdao,台东夜市,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-aotdDIQljURSgElEW7CrOU,34,3.9
