data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Qingdao,五四广场,,,잔디 광장과 해안가 산책로가 있으며 거대한 빨간색 현대 조각품을 둘러싼 공공 광장입니다.,,,https://www.google.com/maps/place/%E4%BA%94%E5%9B%9B%E5%B9%BF%E5%9C%BA/data=!4m7!3m6!1s0x35961068fea93977:0x99323386883342e5!8m2!3d36.0620325!4d120.3847568!16zL20vMGdkMzZn!19sChIJdzmp_mgQljUR5UIziIYzMpk?authuser=0&hl=ko&rclk=1,1525,4.3
2,China,Qingdao,Tsingtao Brewery Museum,,,산업용 제조 시설이 전시되어 있는 유명한 양조장으로 라운지에서 간편하게 맥주와 스낵을 즐길 수 있습니다.,,,https://www.google.com/maps/place/Tsingtao+Brewery+Museum/data=!4m7!3m6!1s0x3596102629989657:0x6d8ddeb948da33cb!8m2!3d36.07912!4d120.346834!16s%2Fg%2F155rlg_p!19sChIJV5aYKSYQljURyzPaSLnejW0?authuser=0&hl=ko&rclk=1,1197,4.4
3,China,Qingdao,Shangri-La Hotel Qingdao,,,,,,https://www.google.com/maps/place/Shangri-La+Hotel+Qingdao/data=!4m10!3m9!1s0x3596105c1a7fe883:0x850fed1d1a7fef13!5m2!4m1!1i2!8m2!3d36.064804!4d120.378616!16s%2Fg%2F1tdk_jn7!19sChIJg-h_GlwQljURE-9_Gh3tD4U?authuser=0&hl=ko&rclk=1,422,4.4
4,China,Qingdao,Zhanqiao Pier,,,현지 맥주의 이름을 딴 440m 길이의 1800년대 잔교로 끝에는 2층으로 이루어진 회란각 명소가 있습니다.,,,https://www.google.com/maps/place/Zhanqiao+Pier/data=!4m7!3m6!1s0x35960f8b5998766b:0x564f7fda27e26799!8m2!3d36.058454!4d120.320491!16zL20vMGNtZjE1!19sChIJa3aYWYsPljURmWfiJ9p_T1Y?authuser=0&hl=ko&rclk=1,272,4.0
5,China,Qingdao,Qingdao International Sailing Centre,,,,,,https://www.google.com/maps/place/Qingdao+International+Sailing+Centre/data=!4m7!3m6!1s0x359610f59a97cb9b:0xea9d90414283481b!8m2!3d36.060096!4d120.390406!16zL20vMGZ4anF4!19sChIJm8uXmvUQljURG0iDQkGQneo?authuser=0&hl=ko&rclk=1,232,4.3
6,China,Qingdao,Qingdao Jiaodong International Airport,,,,,,https://www.google.com/maps/place/Qingdao+Jiaodong+International+Airport/data=!4m7!3m6!1s0x3595d945542ebcf1:0x4dd3cbdb8399d1f1!8m2!3d36.360696!4d120.0881942!16s%2Fm%2F0_gw9_v!19sChIJ8bwuVEXZlTUR8dGZg9vL000?authuser=0&hl=ko&rclk=1,223,4.4
7,China,Qingdao,Badaguan,,,,,,https://www.google.com/maps/place/Badaguan/data=!4m10!3m9!1s0x3596100633a8fecf:0xb4bb63cb94520b86!5m2!4m1!1i2!8m2!3d36.0522009!4d120.352919!16zL20vMDdxeTgw!19sChIJz_6oMwYQljURhgtSlMtju7Q?authuser=0&hl=ko&rclk=1,213,4.2
8,China,Qingdao,Badaguan,,,,,,https://www.google.com/maps/place/Badaguan/data=!4m7!3m6!1s0x3596100633a8fecf:0xb4bb63cb94520b86!8m2!3d36.0522009!4d120.352919!16zL20vMDdxeTgw!19sChIJz_6oMwYQljURhgtSlMtju7Q?authuser=0&hl=ko&rclk=1,213,4.2
9,China,Qingdao,"포 포인츠 바이 쉐라톤 칭다오, 청양",,,,,,"https://www.google.com/maps/place/%ED%8F%AC+%ED%8F%AC%EC%9D%B8%EC%B8%A0+%EB%B0%94%EC%9D%B4+%EC%89%90%EB%9D%BC%ED%86%A4+%EC%B9%AD%EB%8B%A4%EC%98%A4,+%EC%B2%AD%EC%96%91/data=!4m10!3m9!1s0x35966eedf2046c7b:0xba4d84a714885583!5m2!4m1!1i2!8m2!3d36.2956514!4d120.3988938!16s%2Fg%2F1v3kfgpy!19sChIJe2wE8u1uljURg1WIFKeETbo?authuser=0&hl=ko&rclk=1",207,4.1
10,China,Qingdao,인터콘티넨탈 칭다오,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BD%98%ED%8B%B0%EB%84%A8%ED%83%88+%EC%B9%AD%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x3596108acc422129:0xa423b540469cbd88!5m2!4m1!1i2!8m2!3d36.056656!4d120.39156!16s%2Fg%2F1tjdp989!19sChIJKSFCzIoQljURiL2cRkC1I6Q?authuser=0&hl=ko&rclk=1,165,4.4
