data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Rayong,타이거 파크,,,다양한 크기와 연령대의 호랑이를 직접 만져보고 함께 사진도 찍을 수 있는 공원입니다.,,,https://www.google.com/maps/place/%ED%83%80%EC%9D%B4%EA%B1%B0+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x3102941744fdc3d1:0xeb2643eac204ed35!8m2!3d12.8708096!4d100.90275!16s%2Fg%2F1hm1vxt68!19sChIJ0cP9RBeUAjERNe0EwupDJus?authuser=0&hl=ko&rclk=1,12740,4.4
2,Thailand,Rayong,라마야나 워터파크,,,"온 가족이 즐기기 좋은 워터파크로 고속 워터슬라이드, 파도 풀장, 어린이 구역, 수상 시장이 있습니다.",,,https://www.google.com/maps/place/%EB%9D%BC%EB%A7%88%EC%95%BC%EB%82%98+%EC%9B%8C%ED%84%B0%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x31028d5d2353b639:0x21e96203669e7ec6!8m2!3d12.7499141!4d100.9618801!16s%2Fg%2F11bc5hlky0!19sChIJObZTI12NAjERxn6eZgNi6SE?authuser=0&hl=ko&rclk=1,7347,4.5
3,Thailand,Rayong,라용 아쿠아리움,,,,,,https://www.google.com/maps/place/%EB%9D%BC%EC%9A%A9+%EC%95%84%EC%BF%A0%EC%95%84%EB%A6%AC%EC%9B%80/data=!4m7!3m6!1s0x310300d9d0b3b811:0xcc7776922f828308!8m2!3d12.6104434!4d101.4251508!16s%2Fm%2F0283060!19sChIJEbiz0NkAAzERCIOCL5J2d8w?authuser=0&hl=ko&rclk=1,5447,4.4
4,Thailand,Rayong,램통 백화점,,,,,,https://www.google.com/maps/place/%EB%9E%A8%ED%86%B5+%EB%B0%B1%ED%99%94%EC%A0%90/data=!4m7!3m6!1s0x3102fb8b92549137:0xd0f71958126de04d!8m2!3d12.6841131!4d101.2486264!16s%2Fg%2F11c52s1l7m!19sChIJN5FUkov7AjERTeBtElgZ99A?authuser=0&hl=ko&rclk=1,4997,4.3
5,Thailand,Rayong,Ko Kloi Floating Market,,,,,,https://www.google.com/maps/place/Ko+Kloi+Floating+Market/data=!4m7!3m6!1s0x3102fc638474adb7:0x2a09c192b3d84849!8m2!3d12.6967!4d101.2664899!16s%2Fg%2F1pp2tl4gl!19sChIJt610hGP8AjERSUjYs5LBCSo?authuser=0&hl=ko&rclk=1,4499,3.8
6,Thailand,Rayong,Thung Prong Thong (Golden Meadow),,,,,,https://www.google.com/maps/place/Thung+Prong+Thong+%28Golden+Meadow%29/data=!4m7!3m6!1s0x310372cb67c8bfaf:0x504300630be02ec3!8m2!3d12.7067634!4d101.7163359!16s%2Fg%2F11c54hnqrd!19sChIJr7_IZ8tyAzERwy7gC2MAQ1A?authuser=0&hl=ko&rclk=1,3372,4.4
7,Thailand,Rayong,타퐁 과일 시장 Taphong Fruit Market,,,,,,https://www.google.com/maps/place/%ED%83%80%ED%90%81+%EA%B3%BC%EC%9D%BC+%EC%8B%9C%EC%9E%A5+Taphong+Fruit+Market/data=!4m7!3m6!1s0x3103019196ba35e5:0xf30b0873bad7c933!8m2!3d12.646701!4d101.3494055!16s%2Fg%2F11r8c0y6k!19sChIJ5TW6lpEBAzERM8nXunMIC_M?authuser=0&hl=ko&rclk=1,3099,4.1
8,Thailand,Rayong,라용 메리어트 리조트 & 스파,,,,,,https://www.google.com/maps/place/%EB%9D%BC%EC%9A%A9+%EB%A9%94%EB%A6%AC%EC%96%B4%ED%8A%B8+%EB%A6%AC%EC%A1%B0%ED%8A%B8+%26+%EC%8A%A4%ED%8C%8C/data=!4m10!3m9!1s0x310308c45a368661:0x5b31783480332cc4!5m2!4m1!1i2!8m2!3d12.6290684!4d101.5548787!16s%2Fg%2F12627y2bp!19sChIJYYY2WsQIAzERxCwzgDR4MVs?authuser=0&hl=ko&rclk=1,2819,4.5
9,Thailand,Rayong,스타 나이트 바자 야시장,,,,,,https://www.google.com/maps/place/%EC%8A%A4%ED%83%80+%EB%82%98%EC%9D%B4%ED%8A%B8+%EB%B0%94%EC%9E%90+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x3102fc6bea4f1b43:0xea139c1b342f32be!8m2!3d12.6835597!4d101.2709401!16s%2Fg%2F11b7rtrsml!19sChIJQxtP6mv8AjERvjIvNBucE-o?authuser=0&hl=ko&rclk=1,2791,4.2
10,Thailand,Rayong,Sunthon Phu Monument,,,,,,https://www.google.com/maps/place/Sunthon+Phu+Monument/data=!4m7!3m6!1s0x31030c39df818c41:0x87e5c375c60e2674!8m2!3d12.6750669!4d101.6345596!16s%2Fm%2F012cf4j2!19sChIJQYyB3zkMAzERdCYOxnXD5Yc?authuser=0&hl=ko&rclk=1,2313,4.2
