data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,Japan,Sapporo,JR 타워,,,"2003년에 문을 연 173m 높이의 초고층 건물에 쇼핑몰, 사무실, 전망대가 있습니다.",,,https://www.google.com/maps/place/JR+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x5f0b2974c3aec17f:0xbaa6b96df859cf9!8m2!3d43.0684388!4d141.3523648!16s%2Fm%2F03c74ts!19sChIJf8Guw3QpC18R-ZyF35Zrqgs?authuser=0&hl=ko&rclk=1,,4.1,17510.0
2,Japan,Sapporo,다이마루 백화점 삿포로점,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EC%9D%B4%EB%A7%88%EB%A3%A8+%EB%B0%B1%ED%99%94%EC%A0%90+%EC%82%BF%ED%8F%AC%EB%A1%9C%EC%A0%90/data=!4m7!3m6!1s0x5f0b2953dff59731:0x6bf74cb37f50c042!8m2!3d43.0675864!4d141.3493125!16s%2Fg%2F11hm5ghzzt!19sChIJMZf131MpC18RQsBQf7NM92s?authuser=0&hl=ko&rclk=1,,4.0,12117.0
3,Japan,Sapporo,삿포로 팩토리,,,빛으로 가득한 이 세련된 쇼핑몰은 옛 맥주 공장에 자리해 있으며 다양한 쇼핑 매장과 레스토랑이 있습니다.,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%ED%8C%A9%ED%86%A0%EB%A6%AC/data=!4m7!3m6!1s0x5f0b297753695faf:0x66dc74d42f71f098!8m2!3d43.0654469!4d141.3623221!16s%2Fg%2F1tvrzj47!19sChIJr19pU3cpC18RmPBxL9R03GY?authuser=0&hl=ko&rclk=1,,3.9,7750.0
4,Japan,Sapporo,삿포로 맥주원,,,공장을 개조한 넓은 현대적인 공간에서 생맥주와 바비큐 뷔페를 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%EB%A7%A5%EC%A3%BC%EC%9B%90/data=!4m7!3m6!1s0x5f0b296c094fffff:0x8da6209b02f71a4!8m2!3d43.0713342!4d141.3690782!16s%2Fg%2F1tfcn4bn!19sChIJ__9PCWwpC18RpHEvsAli2gg?authuser=0&hl=ko&rclk=1,,4.2,7323.0
5,Japan,Sapporo,아리오 삿포로,,,3층 규모의 실내 쇼핑몰로 다양한 상점 및 식당이 있으며 야외 공원도 딸려 있습니다.,,,https://www.google.com/maps/place/%EC%95%84%EB%A6%AC%EC%98%A4+%EC%82%BF%ED%8F%AC%EB%A1%9C/data=!4m7!3m6!1s0x5f0b296eac9cc67f:0x100afd58179b9dc1!8m2!3d43.0711702!4d141.3702553!16s%2Fg%2F1232j15k!19sChIJf8acrG4pC18RwZ2bF1j9ChA?authuser=0&hl=ko&rclk=1,,3.9,7021.0
6,Japan,Sapporo,삿포로 스텔라 플레이스,,,"JR 타워에 위치한 대형 쇼핑몰로 수백 개의 상점, 푸드코트, 레스토랑, 영화관이 입점해 있습니다.",,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%EC%8A%A4%ED%85%94%EB%9D%BC+%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4/data=!4m7!3m6!1s0x5f0b2974dc87f26b:0xd4a72d5b4beedb8!8m2!3d43.0681096!4d141.3518038!16s%2Fg%2F1222j5pr!19sChIJa_KH3HQpC18RuO2-tNVySg0?authuser=0&hl=ko&rclk=1,,4.0,6073.0
7,Japan,Sapporo,삿포로 국제 스키 리조트,,,"스키 리프트, 식당, 스포츠 매장을 갖춘 표준적인 시설에서 스키와 스노우보드를 즐길 수 있는 곳입니다.",,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%EA%B5%AD%EC%A0%9C+%EC%8A%A4%ED%82%A4+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m7!3m6!1s0x5f0adbce3e252739:0xeab3b0f2ca4ec210!8m2!3d43.0722253!4d141.0827825!16s%2Fg%2F12241068!19sChIJOSclPs7bCl8REMJOyvKws-o?authuser=0&hl=ko&rclk=1,,4.2,2715.0
8,Japan,Sapporo,삿포로역,,,넓고 현대적인 철도 및 지하철역으로 다양한 상점 및 레스토랑과 연결되어 있습니다.,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C%EC%97%AD/data=!4m7!3m6!1s0x5f0b2974d2c3f903:0xa5e2b18cdd4a47a5!8m2!3d43.0686606!4d141.3507553!16zL20vMDZ4MTFj!19sChIJA_nD0nQpC18RpUdK3Yyx4qU?authuser=0&hl=ko&rclk=1,,4.1,2300.0
9,Japan,Sapporo,삿포로 컨벤션센터,,,,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%EC%BB%A8%EB%B2%A4%EC%85%98%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x5f0b2bdbce792761:0x3745a6389154ea61!8m2!3d43.0569307!4d141.3884418!16s%2Fm%2F0k0s60x!19sChIJYSd5ztsrC18RYepUkTimRTc?authuser=0&hl=ko&rclk=1,,3.7,2139.0
10,Japan,Sapporo,JR타워 전망대,,,"도시의 360도 전경을 감상할 수 있고 카페, 선물 가게, 화장실을 갖춘 38층 전망대입니다.",,,https://www.google.com/maps/place/JR%ED%83%80%EC%9B%8C+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x5f0b2974dcd54fa9:0x2ca814f767ebdf05!8m2!3d43.0681393!4d141.3524285!16s%2Fg%2F1tgzb46r!19sChIJqU_V3HQpC18RBd_rZ_cUqCw?authuser=0&hl=ko&rclk=1,,4.5,2130.0
