data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,Japan,Sapporo,시로이코이비토 파크,"월, 화, 수, 목, 금, 토, 일: 오전 10:00 ~ 오후 6:00",,,,국제전화번호: +81 11-666-1481 홈페이지: https://www.shiroikoibitopark.jp/?utm_source=google&utm_medium=maps,https://www.google.com/maps/place/?q=place_id:ChIJU8vHZBIoC18RkQEK1Lg8HsI,19115,4.2
2,Japan,Sapporo,JR 타워(JR Tower),"월, 화, 수, 목, 금, 토, 일: 오전 10:00 ~ 오후 10:00",,,, 홈페이지: http://www.jr-tower.com/,https://www.google.com/maps/place/?q=place_id:ChIJf8Guw3QpC18R-ZyF35Zrqgs,17459,4.1
3,Japan,Sapporo,다누키코지 상점가,알 수 없음,,,,국제전화번호: +81 11-241-5125 홈페이지: http://www.tanukikoji.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJyWjcFIMpC18RoRfh7HqDCT4,15519,4.1
4,Japan,Sapporo,삿포로시 시계탑,"월, 화, 수, 목, 금, 토, 일: 오전 8:45 ~ 오후 5:00",,,,국제전화번호: +81 11-231-0838 홈페이지: http://sapporoshi-tokeidai.jp/,https://www.google.com/maps/place/?q=place_id:ChIJR3JQJ3YpC18R680ES0qomxs,14392,3.8
5,Japan,Sapporo,삿포로 TV 타워,"월, 화, 수, 목, 금, 토, 일: 오전 9:00 ~ 오후 9:50",,,,국제전화번호: +81 11-241-1131 홈페이지: https://www.tv-tower.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJjWSHX50pC18RMSAiw3gaBOI,13824,4.1
6,Japan,Sapporo,삿포로 맥주 박물관,"월: 휴무; 화, 수, 목, 금, 토, 일: 오전 11:00 ~ 오후 6:00",,,,국제전화번호: +81 11-748-1876 홈페이지: http://www.sapporobeer.jp/brewery/s_museum/,https://www.google.com/maps/place/?q=place_id:ChIJ0fYsL4QpC18Ry-fF7_rGYBM,12689,4.2
7,Japan,Sapporo,홋카이도 신궁,"월, 화, 수, 목, 금, 토, 일: 오전 6:00 ~ 오후 5:00",,,,국제전화번호: +81 11-611-0261 홈페이지: http://www.hokkaidojingu.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJk6jwxNwpC18RCNdmWzXijew,11545,4.5
8,Japan,Sapporo,니조시장,"월, 화, 수, 목, 금, 토, 일: 오전 7:00 ~ 오후 5:00",,,,국제전화번호: +81 11-222-5308 홈페이지: http://nijomarket.com/,https://www.google.com/maps/place/?q=place_id:ChIJCb2qW4IpC18R93EsGNFraJI,10764,3.8
9,Japan,Sapporo,마루야마 공원,"월, 화, 수, 목, 금, 토, 일: 24시간 영업",,,,국제전화번호: +81 11-621-0453 홈페이지: http://maruyamapark.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ__9bfcIpC18RoJ9c21tKf2w,9096,4.2
10,Japan,Sapporo,삿포로시 마루야마 동물원,"월, 화, 목, 금, 토, 일: 오전 9:30 ~ 오후 4:30; 수: 휴무",,,,국제전화번호: +81 11-621-1426 홈페이지: https://www.city.sapporo.jp/zoo/,https://www.google.com/maps/place/?q=place_id:ChIJIbbLfcMpC18RJo93WEZMsnQ,8292,4.3
