data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Shanghai,동방명주탑,,,"도시 전망과 역사박물관, 회전식 레스토랑을 자랑하는 468m 높이의 초현대적인 TV 타워입니다.",,,https://www.google.com/maps/place/%EB%8F%99%EB%B0%A9%EB%AA%85%EC%A3%BC%ED%83%91/data=!4m7!3m6!1s0x35b270fb25b0d4db:0x163e9f3be2e08565!8m2!3d31.2396889!4d121.4997553!16zL20vMDI1cWw1!19sChIJ29SwJftwsjURZYXg4jufPhY?authuser=0&hl=ko&rclk=1,6228,4.6
2,China,Shanghai,동방명주탑(Oriental Pearl TV Tower),알 수 없음,,,,"국제 전화번호: +86 21 5879 1888, 웹사이트: http://www.orientalpearltower.com/",https://www.google.com/maps/place/?q=place_id:ChIJ29SwJftwsjURZYXg4jufPhY,6215,4.6
3,China,Shanghai,외탄,,,"유서 깊은 1,500m 길이의 강변 산책로이며 독특한 현대 및 식민지 시대의 건물을 볼 수 있습니다.",,,https://www.google.com/maps/place/%EC%99%B8%ED%83%84/data=!4m7!3m6!1s0x35b270578b874861:0x4d56fbed10d1af64!8m2!3d31.2402611!4d121.490577!16zL20vMDJiYnpx!19sChIJYUiHi1dwsjURZK_REO37Vk0?authuser=0&hl=ko&rclk=1,4690,4.7
4,China,Shanghai,외탄(The Bund),알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYUiHi1dwsjURZK_REO37Vk0,4662,4.7
5,China,Shanghai,예원,,,"1577년에 지어진 5에이커 규모의 정원으로 명나라 시대의 건물, 연못, 암석 정원, 아치형 다리가 특징입니다.",,,https://www.google.com/maps/place/%EC%98%88%EC%9B%90/data=!4m7!3m6!1s0x35ad874131d9d389:0x84a0e976b888d7db!8m2!3d31.2272355!4d121.492094!16zL20vMDh4Mzhr!19sChIJidPZMUGHrTUR29eIuHbpoIQ?authuser=0&hl=ko&rclk=1,3018,4.5
6,China,Shanghai,예원(Yu Garden),알 수 없음,,,,"국제 전화번호: +86 21 6326 0830, 웹사이트: https://www.yugarden.com.cn/page/articleView/index.html",https://www.google.com/maps/place/?q=place_id:ChIJidPZMUGHrTUR29eIuHbpoIQ,3006,4.5
7,China,Shanghai,상하이 타워,,,"전망대 2곳과 레스토랑, 바, 상점, 호텔이 있는 632m 높이의 초고층 건물입니다.",,,https://www.google.com/maps/place/%EC%83%81%ED%95%98%EC%9D%B4+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x35b2706a26763e71:0x352a1022bb7caa28!8m2!3d31.233518!4d121.505618!16s%2Fm%2F03y4m5c!19sChIJcT52JmpwsjURKKp8uyIQKjU?authuser=0&hl=ko&rclk=1,2026,4.6
8,China,Shanghai,상하이 타워(Shanghai Tower),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 08:30~21:30",,,,국제 전화번호: +86 21 6199 9766,https://www.google.com/maps/place/?q=place_id:ChIJcT52JmpwsjURKKp8uyIQKjU,2011,4.6
9,China,Shanghai,Shanghai Science and Technology Museum,알 수 없음,,,,국제 전화번호: +86 21 6854 2000,https://www.google.com/maps/place/?q=place_id:ChIJAbtWITN3sjURgaPgumjFhWs,1636,4.2
10,China,Shanghai,Waitan Sightseeing Tunnel,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 08:00~22:30",,,,국제 전화번호: +86 21 5888 6000,https://www.google.com/maps/place/?q=place_id:ChIJlX301ftwsjURctF3CNRJjvQ,1472,4.0
11,China,Shanghai,Century Park,알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJuccQ7El3sjURFulj6_8THUg,1409,4.3
12,China,Shanghai,Shanghai Zhujiajiao Ancient Town Tourist Zone,알 수 없음,,,,국제 전화번호: +86 21 5924 0077,https://www.google.com/maps/place/?q=place_id:ChIJrWDlybX5sjURIN1UyXg53qM,1397,4.4
13,China,Shanghai,Tianzifang,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,웹사이트: https://www.marcotogni.it/tianzifang/,https://www.google.com/maps/place/?q=place_id:ChIJ2-UI76F6sjURj_HAeG5PMhE,1373,4.2
14,China,Shanghai,상하이 디즈니랜드,,,"놀이기구, 디즈니 영화를 주제로 한 공연, 기념품 가게, 테마형 식당이 있는 유명 리조트입니다.",,,https://www.google.com/maps/place/%EC%83%81%ED%95%98%EC%9D%B4+%EB%94%94%EC%A6%88%EB%8B%88%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x35ad876850923779:0x6a140e897da4d4ac!8m2!3d31.1433969!4d121.6578713!16s%2Fm%2F0gtw002!19sChIJeTeSUGiHrTURrNSkfYkOFGo?authuser=0&hl=ko&rclk=1,1230,4.5
15,China,Shanghai,상하이 디즈니랜드(Shanghai Disneyland Park),알 수 없음,,,,웹사이트: https://www.shanghaidisneyresort.com/,https://www.google.com/maps/place/?q=place_id:ChIJeTeSUGiHrTURrNSkfYkOFGo,1220,4.5
16,China,Shanghai,Nanjing Road Pedestrian Street,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,국제 전화번호: +86 21 6352 6638,https://www.google.com/maps/place/?q=place_id:ChIJ443NM0NwsjURrWjV1_GoGSU,1152,4.4
17,China,Shanghai,Shanghai Museum,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~17:00",,,,"국제 전화번호: +86 21 6372 3500, 웹사이트: http://www.shanghaimuseum.net/",https://www.google.com/maps/place/?q=place_id:ChIJPWUSbWlwsjURbNvIw3tOTE0,977,4.4
18,China,Shanghai,Dongfangmingzhu Pleasure Cruise Boat Wharf,,,,,,https://www.google.com/maps/place/Dongfangmingzhu+Pleasure+Cruise+Boat+Wharf/data=!4m7!3m6!1s0x35b270f957b431b5:0x19b1e2fb58ebeb48!8m2!3d31.240716!4d121.496792!16s%2Fg%2F1tgw30vz!19sChIJtTG0V_lwsjURSOvrWPvisRk?authuser=0&hl=ko&rclk=1,975,4.5
19,China,Shanghai,인민광장,,,"도시 명소로 편리하게 이동할 수 있는 시내 만남의 장소로, 인파가 붐비는 광장과 그늘진 정원이 있습니다.",,,https://www.google.com/maps/place/%EC%9D%B8%EB%AF%BC%EA%B4%91%EC%9E%A5/data=!4m7!3m6!1s0x35b27069bae30e4f:0x69bed10757a4f1b8!8m2!3d31.22967!4d121.476161!16zL20vMDdjXzdi!19sChIJTw7jumlwsjURuPGkVwfRvmk?authuser=0&hl=ko&rclk=1,886,4.3
20,China,Shanghai,인민광장(People's Square),알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTw7jumlwsjURuPGkVwfRvmk,885,4.3
21,China,Shanghai,상하이 세계금융센터,,,"세계에서 가장 높은 고층 건물로 손꼽히며, 101층에는 세련된 호텔, 전망대, 상점, 식당이 갖춰져 있습니다.",,,https://www.google.com/maps/place/%EC%83%81%ED%95%98%EC%9D%B4+%EC%84%B8%EA%B3%84%EA%B8%88%EC%9C%B5%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x35b270e5c4dae7c1:0x20049ba69e14a93b!8m2!3d31.2345644!4d121.5074394!16s%2Fg%2F1wk6xs8p!19sChIJwefaxOVwsjURO6kUnqabBCA?authuser=0&hl=ko&rclk=1,724,4.6
22,China,Shanghai,People's Park,알 수 없음,,,,국제 전화번호: +86 21 6358 6128,https://www.google.com/maps/place/?q=place_id:ChIJCyKw82pwsjURaeSnC8R9EXI,630,4.4
23,China,Shanghai,Jing'an Temple,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 07:30~17:00",,,,국제 전화번호: +86 21 6256 6366,https://www.google.com/maps/place/?q=place_id:ChIJVV1KHv5vsjURQgiHHZfGW3o,627,4.3
24,China,Shanghai,Shanghai Disneyland Resort,알 수 없음,,,,웹사이트: https://www.shanghaidisneyresort.com/en/,https://www.google.com/maps/place/?q=place_id:ChIJM43-s2eHrTURgj0a3xTHPeo,602,4.5
25,China,Shanghai,Yau Ma Tei Temporary Jade Hawker Bazaar,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~18:00",,,,"국제 전화번호: +852 2302 1322, 웹사이트: http://www.discoverhongkong.com/tc/shop/where-to-shop/street-markets-and-shopping-streets/jade-market-and-jade-street.jsp",https://www.google.com/maps/place/?q=place_id:ChIJJzOvoOoABDQR8Lxzs5ajBHQ,594,3.4
26,China,Shanghai,Qibao Ancient Town,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,국제 전화번호: +86 21 3410 1300,https://www.google.com/maps/place/?q=place_id:ChIJh4X6LFZhsjURb_9EMhv-BeA,541,4.0
27,China,Shanghai,Chen Yi Square,,,,,,https://www.google.com/maps/place/Chen+Yi+Square/data=!4m7!3m6!1s0x35b27057e8f4cad3:0xc420e88846bd3e5f!8m2!3d31.238993!4d121.490515!16s%2Fg%2F11bxc69ttc!19sChIJ08r06FdwsjURXz69RojoIMQ?authuser=0&hl=ko&rclk=1,526,4.5
28,China,Shanghai,Shanghai Old Street,알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJV5LAV4twsjURVTbWYnxGe8M,494,4.4
29,China,Shanghai,위포쓰,,,활기 넘치는 불교 사원은 크고 화려한 옥 불상으로 유명합니다.,,,https://www.google.com/maps/place/%EC%9C%84%ED%8F%AC%EC%93%B0/data=!4m7!3m6!1s0x35b26fdf8cf76b63:0x766a68ec082d9a98!8m2!3d31.2413465!4d121.4451206!16zL20vMDI2bGN0!19sChIJY2v3jN9vsjURmJotCOxoanY?authuser=0&hl=ko&rclk=1,491,4.6
30,China,Shanghai,위포쓰(Jade Buddha Temple),알 수 없음,,,,"국제 전화번호: +86 21 6266 3668, 웹사이트: http://www.yufotemple.com/",https://www.google.com/maps/place/?q=place_id:ChIJY2v3jN9vsjURmJotCOxoanY,490,4.6
31,China,Shanghai,진마오 타워,,,"끝이 뾰족한 모양의 88층 높이 초고층 건물에 레스토랑, 사무실, 그랜드 하얏트 호텔, 전망대가 있습니다.",,,https://www.google.com/maps/place/%EC%A7%84%EB%A7%88%EC%98%A4+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x35b270e5a0e698f3:0x3f2e83dc82e40153!8m2!3d31.2352515!4d121.5057491!16zL20vMDI1cWp0!19sChIJ85jmoOVwsjURUwHkgtyDLj8?authuser=0&hl=ko&rclk=1,442,4.6
32,China,Shanghai,진마오 타워(Jin Mao Tower),알 수 없음,,,,국제 전화번호: +86 21 5047 6688,https://www.google.com/maps/place/?q=place_id:ChIJ85jmoOVwsjURUwHkgtyDLj8,440,4.6
33,China,Shanghai,인터콘티넨탈 상하이 푸둥,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BD%98%ED%8B%B0%EB%84%A8%ED%83%88+%EC%83%81%ED%95%98%EC%9D%B4+%ED%91%B8%EB%91%A5/data=!4m10!3m9!1s0x35b270c499fe6699:0xf8c8b937e2b545f2!5m2!4m1!1i2!8m2!3d31.229531!4d121.521604!16s%2Fg%2F1tl1lgbq!19sChIJmWb-mcRwsjUR8kW14je5yPg?authuser=0&hl=ko&rclk=1,431,4.4
34,China,Shanghai,Bund Sightseeing Tunnel,,,,,,https://www.google.com/maps/place/Bund+Sightseeing+Tunnel/data=!4m7!3m6!1s0x35b27057c4b2af25:0x78ad73b35aad0964!8m2!3d31.239518!4d121.49061!16s%2Fg%2F155s4315!19sChIJJa-yxFdwsjURZAmtWrNzrXg?authuser=0&hl=ko&rclk=1,424,3.7
35,China,Shanghai,Shanghai Wild Animal Park,,,"200여 마리의 동물, 버스 투어, 동물 쇼, 야외 서식지가 있는 1.53km² 규모의 드넓은 동물 공원입니다.",,,https://www.google.com/maps/place/Shanghai+Wild+Animal+Park/data=!4m7!3m6!1s0x35b2706a244cfceb:0xba2c09ae3c5b6ffb!8m2!3d31.0547658!4d121.7243301!16s%2Fm%2F0nbgm22!19sChIJ6_xMJGpwsjUR-29bPK4JLLo?authuser=0&hl=ko&rclk=1,368,4.4
36,China,Shanghai,Shanghai A.P. Xinyang Fashion & Gifts Market,알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQWy0TDF3sjURUsII9bWaVS4,361,4.1
