data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Shanghai,동방명주탑,,,"도시 전망과 역사박물관, 회전식 레스토랑을 자랑하는 468m 높이의 초현대적인 TV 타워입니다.",,,https://www.google.com/maps/place/%EB%8F%99%EB%B0%A9%EB%AA%85%EC%A3%BC%ED%83%91/data=!4m7!3m6!1s0x35b270fb25b0d4db:0x163e9f3be2e08565!8m2!3d31.2396889!4d121.4997553!16zL20vMDI1cWw1!19sChIJ29SwJftwsjURZYXg4jufPhY?authuser=0&hl=ko&rclk=1,6220,4.6
2,China,Shanghai,외탄,,,"유서 깊은 1,500m 길이의 강변 산책로이며 독특한 현대 및 식민지 시대의 건물을 볼 수 있습니다.",,,https://www.google.com/maps/place/%EC%99%B8%ED%83%84/data=!4m7!3m6!1s0x35b270578b874861:0x4d56fbed10d1af64!8m2!3d31.2402611!4d121.490577!16zL20vMDJiYnpx!19sChIJYUiHi1dwsjURZK_REO37Vk0?authuser=0&hl=ko&rclk=1,4672,4.7
3,China,Shanghai,예원,,,"1577년에 지어진 5에이커 규모의 정원으로 명나라 시대의 건물, 연못, 암석 정원, 아치형 다리가 특징입니다.",,,https://www.google.com/maps/place/%EC%98%88%EC%9B%90/data=!4m7!3m6!1s0x35ad874131d9d389:0x84a0e976b888d7db!8m2!3d31.2272355!4d121.492094!16zL20vMDh4Mzhr!19sChIJidPZMUGHrTUR29eIuHbpoIQ?authuser=0&hl=ko&rclk=1,3014,4.5
4,China,Shanghai,상하이 타워,,,"전망대 2곳과 레스토랑, 바, 상점, 호텔이 있는 632m 높이의 초고층 건물입니다.",,,https://www.google.com/maps/place/%EC%83%81%ED%95%98%EC%9D%B4+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x35b2706a26763e71:0x352a1022bb7caa28!8m2!3d31.233518!4d121.505618!16s%2Fm%2F03y4m5c!19sChIJcT52JmpwsjURKKp8uyIQKjU?authuser=0&hl=ko&rclk=1,2014,4.6
5,China,Shanghai,Shanghai Science and Technology Museum,,,,,,https://www.google.com/maps/place/Shanghai+Science+and+Technology+Museum/data=!4m7!3m6!1s0x35b277332156bb01:0x6b85c568bae0a381!8m2!3d31.21797!4d121.541078!16zL20vMDdjX21m!19sChIJAbtWITN3sjURgaPgumjFhWs?authuser=0&hl=ko&rclk=1,1636,4.2
6,China,Shanghai,Waitan Sightseeing Tunnel,,,,,,https://www.google.com/maps/place/Waitan+Sightseeing+Tunnel/data=!4m7!3m6!1s0x35b270fbd5f47d95:0xf48e49d40877d172!8m2!3d31.2390196!4d121.4969881!16s%2Fg%2F1tj1khwc!19sChIJlX301ftwsjURctF3CNRJjvQ?authuser=0&hl=ko&rclk=1,1472,4.0
7,China,Shanghai,Shanghai Zhujiajiao Ancient Town Tourist Zone,,,,,,https://www.google.com/maps/place/Shanghai+Zhujiajiao+Ancient+Town+Tourist+Zone/data=!4m7!3m6!1s0x35b2f9b5c9e560ad:0xa3de3978c954dd20!8m2!3d31.1143702!4d121.053999!16s%2Fg%2F1ts3cn10!19sChIJrWDlybX5sjURIN1UyXg53qM?authuser=0&hl=ko&rclk=1,1397,4.4
8,China,Shanghai,Tianzifang,,,"좁은 골목이 늘어선 이 프랑스 옛 조계지는 고풍스러운 상점과 카페, 바로 잘 알려져 있습니다.",,,https://www.google.com/maps/place/Tianzifang/data=!4m7!3m6!1s0x35b27aa1ef08e5db:0x11324f6e78c0f18f!8m2!3d31.208812!4d121.468898!16s%2Fm%2F080h18v!19sChIJ2-UI76F6sjURj_HAeG5PMhE?authuser=0&hl=ko&rclk=1,1374,4.2
9,China,Shanghai,상하이 디즈니랜드,,,"놀이기구, 디즈니 영화를 주제로 한 공연, 기념품 가게, 테마형 식당이 있는 유명 리조트입니다.",,,https://www.google.com/maps/place/%EC%83%81%ED%95%98%EC%9D%B4+%EB%94%94%EC%A6%88%EB%8B%88%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x35ad876850923779:0x6a140e897da4d4ac!8m2!3d31.1433969!4d121.6578713!16s%2Fm%2F0gtw002!19sChIJeTeSUGiHrTURrNSkfYkOFGo?authuser=0&hl=ko&rclk=1,1224,4.5
10,China,Shanghai,Nanjing Road Pedestrian Street,,,"여러 기념품 가게, 노점상, 레스토랑이 길게 뻗어 있고 길거리 공연도 펼쳐지는 번화가입니다.",,,https://www.google.com/maps/place/Nanjing+Road+Pedestrian+Street/data=!4m7!3m6!1s0x35b2704333cd8de3:0x2519a8f1d7d568ad!8m2!3d31.234721!4d121.474898!16s%2Fg%2F1tdlf8y2!19sChIJ443NM0NwsjURrWjV1_GoGSU?authuser=0&hl=ko&rclk=1,1154,4.4
