data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Shenzhen,Festival Walk,,,"200개가 넘는 상점과 레스토랑, 영화관, 아이스 스케이트장이 있는 현대적인 고급 실내 쇼핑몰입니다.",,,https://www.google.com/maps/place/Festival+Walk/data=!4m7!3m6!1s0x34040731464f1e7f:0xfd4f7b8a34403120!8m2!3d22.337381!4d114.1744322!16zL20vMDV4ampm!19sChIJfx5PRjEHBDQRIDFANIp7T_0?authuser=0&hl=ko&rclk=1,8658,4.1
2,China,Shenzhen,홍콩문화박물관,,,"오페라, 디자인, 이소룡 관련 소장품 등 홍콩 문화유산을 다양하게 전시한 지역 박물관입니다.",,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9%EB%AC%B8%ED%99%94%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x340407a963d178cd:0x6549dadf640be218!8m2!3d22.3766464!4d114.1856267!16zL20vMDI0cHgx!19sChIJzXjRY6kHBDQRGOILZN_aSWU?authuser=0&hl=ko&rclk=1,7060,4.3
3,China,Shenzhen,Shenzhen Central Park,,,,,,https://www.google.com/maps/place/Shenzhen+Central+Park/data=!4m7!3m6!1s0x3403f43f3bedf3d7:0xb8563351ee25a81f!8m2!3d22.544999!4d114.077466!16s%2Fg%2F12fgs7065!19sChIJ1_PtOz_0AzQRH6gl7lEzVrg?authuser=0&hl=ko&rclk=1,2683,4.3
4,China,Shenzhen,Jao Tsung-I Academy,,,,,,https://www.google.com/maps/place/Jao+Tsung-I+Academy/data=!4m7!3m6!1s0x3403f8aaf1a418f7:0x4b24f372187d88c0!8m2!3d22.3379536!4d114.1420587!16s%2Fg%2F11h1twdfs!19sChIJ9xik8ar4AzQRwIh9GHLzJEs?authuser=0&hl=ko&rclk=1,2403,4.1
5,China,Shenzhen,선전 바오안 국제공항,,,,,,https://www.google.com/maps/place/%EC%84%A0%EC%A0%84+%EB%B0%94%EC%98%A4%EC%95%88+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x3403ead8aa1d54f7:0xfc263ee96a7dc355!8m2!3d22.636828!4d113.814606!16zL20vMDVrbmt4!19sChIJ91QdqtjqAzQRVcN9auk-Jvw?authuser=0&hl=ko&rclk=1,1705,4.2
6,China,Shenzhen,Silvermine Waterfall,,,,,,https://www.google.com/maps/place/Silvermine+Waterfall/data=!4m7!3m6!1s0x3403fd7cf0294263:0x3730e82351c268c0!8m2!3d22.2735452!4d113.9915795!16s%2Fg%2F11b7kfksv1!19sChIJY0Ip8Hz9AzQRwGjCUSPoMDc?authuser=0&hl=ko&rclk=1,1034,3.9
7,China,Shenzhen,Lizhi Park,,,,,,https://www.google.com/maps/place/Lizhi+Park/data=!4m7!3m6!1s0x3403f5b6cf27ff67:0x69c9cd7e50fc9bf7!8m2!3d22.546229!4d114.102018!16s%2Fg%2F1q6flw_ms!19sChIJZ_8nz7b1AzQR95v8UH7NyWk?authuser=0&hl=ko&rclk=1,952,4.1
8,China,Shenzhen,Lianhuashan Park,,,,,,https://www.google.com/maps/place/Lianhuashan+Park/data=!4m7!3m6!1s0x3403f473b276927d:0xb583aba8f8122753!8m2!3d22.554571!4d114.057378!16s%2Fg%2F155r80ld!19sChIJfZJ2snP0AzQRUycS-Kirg7U?authuser=0&hl=ko&rclk=1,931,4.3
9,China,Shenzhen,Shenzhen Safari Park,,,"자이언트 판다, 남중국 호랑이 등 멸종 위기에 처한 동물이 있는 동물원에서 매일 쇼를 구경할 수 있습니다.",,,https://www.google.com/maps/place/Shenzhen+Safari+Park/data=!4m7!3m6!1s0x3403f2924ad17dc3:0x347310e1c6f870a2!8m2!3d22.599578!4d113.973129!16s%2Fg%2F11c3xc_fty!19sChIJw33RSpLyAzQRonD4xuEQczQ?authuser=0&hl=ko&rclk=1,526,4.1
10,China,Shenzhen,Tsui Sing Lau Pagoda,,,,,,https://www.google.com/maps/place/Tsui+Sing+Lau+Pagoda/data=!4m7!3m6!1s0x3403f0819c97b58b:0xf7063d1953792fce!8m2!3d22.44884!4d114.0061862!16s%2Fm%2F0b74d0q!19sChIJi7WXnIHwAzQRzi95Uxk9Bvc?authuser=0&hl=ko&rclk=1,437,3.9
