data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Sukhothai,수코타이역사공원,,,13~14세기 왕국의 수도였던 수코타이의 유적지에 왕궁과 사원이 많습니다.,,,https://www.google.com/maps/place/%EC%88%98%EC%BD%94%ED%83%80%EC%9D%B4%EC%97%AD%EC%82%AC%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30de5836f40b1401:0x78f6f57e5fd9c7e6!8m2!3d17.0187799!4d99.7064501!16zL20vMDFmbDJ4!19sChIJARQL9DZY3jAR5sfZX3719ng?authuser=0&hl=ko&rclk=1,15092,4.7
2,Thailand,Sukhothai,왓 씨춤,,,,,,https://www.google.com/maps/place/%EC%99%93+%EC%94%A8%EC%B6%A4/data=!4m7!3m6!1s0x30de58445305e215:0xa3f91d57d5c5948f!8m2!3d17.0268355!4d99.693192!16s%2Fg%2F1yxkhn77p!19sChIJFeIFU0RY3jARj5TF1Vcd-aM?authuser=0&hl=ko&rclk=1,3714,4.8
3,Thailand,Sukhothai,왓 마하탓,,,그림처럼 아름다운 공원 같은 분위기에 자리한 대규모 고대 사원 유적지입니다.,,,https://www.google.com/maps/place/%EC%99%93+%EB%A7%88%ED%95%98%ED%83%93/data=!4m7!3m6!1s0x30de58369c7a90ad:0x661878132b7d0d04!8m2!3d17.0168768!4d99.7036978!16s%2Fg%2F122fvjbm!19sChIJrZB6nDZY3jARBA19KxN4GGY?authuser=0&hl=ko&rclk=1,2851,4.8
4,Thailand,Sukhothai,씨 싸차날라이 역사공원,,,,,,https://www.google.com/maps/place/%EC%94%A8+%EC%8B%B8%EC%B0%A8%EB%82%A0%EB%9D%BC%EC%9D%B4+%EC%97%AD%EC%82%AC%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30dee760471f1fa1:0x744450a47b9a918c!8m2!3d17.4260711!4d99.7888509!16s%2Fm%2F03m6_0c!19sChIJoR8fR2Dn3jARjJGae6RQRHQ?authuser=0&hl=ko&rclk=1,2805,4.7
5,Thailand,Sukhothai,더 수코타이 방콕,,,,,,https://www.google.com/maps/place/%EB%8D%94+%EC%88%98%EC%BD%94%ED%83%80%EC%9D%B4+%EB%B0%A9%EC%BD%95/data=!4m10!3m9!1s0x30e2b83a8a87f73d:0xfede73f06cf0b65b!5m2!4m1!1i2!8m2!3d13.7229783!4d100.540869!16s%2Fg%2F11clg6_rc_!19sChIJPfeHijq44jARW7bwbPBz3v4?authuser=0&hl=ko&rclk=1,2124,4.6
6,Thailand,Sukhothai,람캄행 국립공원,,,,,,https://www.google.com/maps/place/%EB%9E%8C%EC%BA%84%ED%96%89+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30de5f300ef8ab41:0xe128ea3f27a278eb!8m2!3d16.8774283!4d99.6930719!16s%2Fm%2F09ggsp_!19sChIJQav4DjBf3jAR63iiJz_qKOE?authuser=0&hl=ko&rclk=1,1052,4.7
7,Thailand,Sukhothai,Sukhothai Thani Municipal Food Market,,,,,,https://www.google.com/maps/place/Sukhothai+Thani+Municipal+Food+Market/data=!4m7!3m6!1s0x30de55d17d22ee87:0xd01d42be55fc3a9f!8m2!3d17.0112955!4d99.8201024!16s%2Fg%2F1tg9w0bf!19sChIJh-4ifdFV3jARnzr8Vb5CHdA?authuser=0&hl=ko&rclk=1,1005,4.2
8,Thailand,Sukhothai,왓 씨싸와이,,,,,,https://www.google.com/maps/place/%EC%99%93+%EC%94%A8%EC%8B%B8%EC%99%80%EC%9D%B4/data=!4m7!3m6!1s0x30de5835a040b6eb:0xfd8ef0f522da09d4!8m2!3d17.0138064!4d99.7022709!16s%2Fg%2F121bd3w8!19sChIJ67ZAoDVY3jAR1AnaIvXwjv0?authuser=0&hl=ko&rclk=1,746,4.6
9,Thailand,Sukhothai,To Rung Market,,,,,,https://www.google.com/maps/place/To+Rung+Market/data=!4m7!3m6!1s0x30de55d3bd6410ed:0xe35520a72240512!8m2!3d17.008765!4d99.8195392!16s%2Fg%2F1hm47zm2_!19sChIJ7RBkvdNV3jAREgUkcgpSNQ4?authuser=0&hl=ko&rclk=1,497,3.9
10,Thailand,Sukhothai,Wat Saphan Hin,,,,,,https://www.google.com/maps/place/Wat+Saphan+Hin/data=!4m7!3m6!1s0x30de58f9da7a4287:0x1d4f27460ec46864!8m2!3d17.023033!4d99.6767364!16s%2Fg%2F121cm7q_!19sChIJh0J62vlY3jARZGjEDkYnTx0?authuser=0&hl=ko&rclk=1,485,4.6
