data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Surat Thani,카오속 국립공원,,,"대규모 국립공원에 고대 열대 우림, 석회암 절벽, 폭포, 희귀 동식물군이 있습니다.",,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%EC%86%8D+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3051287e3275975f:0x8e7f172ecc1fad30!8m2!3d8.9777134!4d98.6381879!16zL20vMDNnOGw3!19sChIJX5d1Mn4oUTARMK0fzC4Xf44?authuser=0&hl=ko&rclk=1,6709,4.7
2,Thailand,Surat Thani,Central Surat Thani,,,,,,https://www.google.com/maps/place/Central+Surat+Thani/data=!4m7!3m6!1s0x3054071f4fbd5a91:0x7c4b60f2bf7b7126!8m2!3d9.1106812!4d99.3020505!16s%2Fg%2F1jgm2zg2n!19sChIJkVq9Tx8HVDARJnF7v_JgS3w?authuser=0&hl=ko&rclk=1,2515,4.5
3,Thailand,Surat Thani,Ko Lamphu Park,,,,,,https://www.google.com/maps/place/Ko+Lamphu+Park/data=!4m7!3m6!1s0x3054068b7bb4e6b3:0x52ac9ad9e3553ed0!8m2!3d9.13862!4d99.317888!16s%2Fg%2F1hfdtg1xw!19sChIJs-a0e4sGVDAR0D5V49marFI?authuser=0&hl=ko&rclk=1,1623,4.5
4,Thailand,Surat Thani,Samui Aquarium & Tiger Zoo,,,,,,https://www.google.com/maps/place/Samui+Aquarium+%26+Tiger+Zoo/data=!4m7!3m6!1s0x3054f1b7f04497d5:0x84f87da9054be470!8m2!3d9.431056!4d100.01654!16s%2Fg%2F1q5blllx4!19sChIJ1ZdE8LfxVDARcORLBal9-IQ?authuser=0&hl=ko&rclk=1,1362,3.0
5,Thailand,Surat Thani,Surat Thani City Fresh Market,,,,,,https://www.google.com/maps/place/Surat+Thani+City+Fresh+Market/data=!4m7!3m6!1s0x30540661f8e1bb31:0x7910c14a13e504a8!8m2!3d9.1414417!4d99.3235889!16s%2Fg%2F1tf9168m!19sChIJMbvh-GEGVDARqATlE0rBEHk?authuser=0&hl=ko&rclk=1,1264,4.1
6,Thailand,Surat Thani,Surat Thani City Pillar Shrine,,,,,,https://www.google.com/maps/place/Surat+Thani+City+Pillar+Shrine/data=!4m7!3m6!1s0x3054068a60fc430f:0xe6ca1a71cd2b2638!8m2!3d9.1391623!4d99.3216506!16s%2Fg%2F11bw5ykqt_!19sChIJD0P8YIoGVDAROCYrzXEayuY?authuser=0&hl=ko&rclk=1,1019,4.6
7,Thailand,Surat Thani,수랏타니 국제공항,,,,,,https://www.google.com/maps/place/%EC%88%98%EB%9E%8F%ED%83%80%EB%8B%88+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x3056ab48e1884b8f:0x1496160741d87b6b!8m2!3d9.1342049!4d99.143039!16zL20vMDQ3OWoy!19sChIJj0uI4UirVjARa3vYQQcWlhQ?authuser=0&hl=ko&rclk=1,957,4.2
8,Thailand,Surat Thani,"Pracha Rat Floating Market, Bang Bai Mai",,,,,,"https://www.google.com/maps/place/Pracha+Rat+Floating+Market,+Bang+Bai+Mai/data=!4m7!3m6!1s0x3054069bc580a133:0x9618b4f59625ffcc!8m2!3d9.1515684!4d99.3074319!16s%2Fg%2F11cs6g8j0m!19sChIJM6GAxZsGVDARzP8llvW0GJY?authuser=0&hl=ko&rclk=1",820,4.3
9,Thailand,Surat Thani,따이롬옌 국립공원,,,"폭포와 숲이 우거진 산, 암석 지형과 박쥐 서식지로 유명한 카민 동굴이 있습니다.",,,https://www.google.com/maps/place/%EB%94%B0%EC%9D%B4%EB%A1%AC%EC%98%8C+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3053ef67dbdd93c5:0xea39246260d30034!8m2!3d8.8632229!4d99.4787892!16zL20vMDdocm1k!19sChIJxZPd22fvUzARNADTYGIkOeo?authuser=0&hl=ko&rclk=1,508,4.3
10,Thailand,Surat Thani,Skyhill bar restaurant and skykoff,,,,,,https://www.google.com/maps/place/Skyhill+bar+restaurant+and+skykoff/data=!4m7!3m6!1s0x305407382c68c02b:0xa2d4a33345a46e85!8m2!3d9.0954525!4d99.2905967!16s%2Fg%2F11clsyjzyz!19sChIJK8BoLDgHVDARhW6kRTOj1KI?authuser=0&hl=ko&rclk=1,484,4.3
11,Thailand,Surat Thani,Surat Thani Rama 9 Public Park,,,,,,https://www.google.com/maps/place/Surat+Thani+Rama+9+Public+Park/data=!4m7!3m6!1s0x30540616e7d43a63:0xb0775a3c1e0f0cf5!8m2!3d9.1387378!4d99.3499796!16s%2Fg%2F1hf3vczsr!19sChIJYzrU5xYGVDAR9QwPHjxad7A?authuser=0&hl=ko&rclk=1,477,4.3
12,Thailand,Surat Thani,Khao Sok Elephant Sanctuary,,,,,,https://www.google.com/maps/place/Khao+Sok+Elephant+Sanctuary/data=!4m7!3m6!1s0x3051264a3e890765:0x8c3f2d3e05c7bd79!8m2!3d8.8919451!4d98.5328855!16s%2Fg%2F11gg_tnqqj!19sChIJZQeJPkomUTAReb3HBT4tP4w?authuser=0&hl=ko&rclk=1,463,4.5
13,Thailand,Surat Thani,Wat Bang Bai Mai,,,,,,https://www.google.com/maps/place/Wat+Bang+Bai+Mai/data=!4m7!3m6!1s0x3054069a1c38216b:0x95be1c4601acf5df!8m2!3d9.1503718!4d99.3065703!16s%2Fg%2F1tj43b66!19sChIJayE4HJoGVDAR3_WsAUYcvpU?authuser=0&hl=ko&rclk=1,320,4.4
14,Thailand,Surat Thani,Athit Salak Garden,,,,,,https://www.google.com/maps/place/Athit+Salak+Garden/data=!4m7!3m6!1s0x3053e62b3be3a71f:0xdecfc4cd92eb4d14!8m2!3d8.7651217!4d99.3636084!16s%2Fg%2F11byp65rt2!19sChIJH6fjOyvmUzARFE3rks3Ez94?authuser=0&hl=ko&rclk=1,300,4.4
15,Thailand,Surat Thani,Street Food Nightmarket,,,,,,https://www.google.com/maps/place/Street+Food+Night%E2%80%8Bmarket/data=!4m7!3m6!1s0x3054078a3ddf1cd7:0x6815d04f98872f87!8m2!3d9.1463549!4d99.3256095!16s%2Fg%2F11s8r0xdb1!19sChIJ1xzfPYoHVDARhy-HmE_QFWg?authuser=0&hl=ko&rclk=1,266,4.7
16,Thailand,Surat Thani,Samui Water Park,,,,,,https://www.google.com/maps/place/Samui+Water+Park/data=!4m7!3m6!1s0x3054f0c1b9a62b05:0x54395084dea3a084!8m2!3d9.55329!4d100.012043!16s%2Fg%2F11bwg1yzfh!19sChIJBSumucHwVDARhKCj3oRQOVQ?authuser=0&hl=ko&rclk=1,225,3.3
17,Thailand,Surat Thani,언니 떡볶이 ออนนี่ต๊อกบกกี,,,,,,https://www.google.com/maps/place/%EC%96%B8%EB%8B%88+%EB%96%A1%EB%B3%B6%EC%9D%B4+%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%95%E0%B9%8A%E0%B8%AD%E0%B8%81%E0%B8%9A%E0%B8%81%E0%B8%81%E0%B8%B5/data=!4m7!3m6!1s0x305407cad2e88e75:0xb4ca4160abc4a150!8m2!3d9.1457473!4d99.3263084!16s%2Fg%2F11rstlr74l!19sChIJdY7o0soHVDARUKHEq2BByrQ?authuser=0&hl=ko&rclk=1,171,4.9
