data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Suzhou,Humble Administrator's Garden,,,쑤저우에서 가장 큰 전통적인 정원으로 명황제 정덕제 시절 건립되었으며 3개의 구역으로 나뉘어져 있습니다.,,,https://www.google.com/maps/place/Humble+Administrator%27s+Garden/data=!4m7!3m6!1s0x35b3a6cfe09f92f7:0xc8f57739a7809511!8m2!3d31.324224!4d120.62997!16zL20vMDczbTIx!19sChIJ95Kf4M-mszUREZWApzl39cg?authuser=0&hl=ko&rclk=1,2473,4.4
2,China,Suzhou,"Suzhou City, Zhouzhuang Resorts",,,,,,"https://www.google.com/maps/place/Suzhou+City,+Zhouzhuang+Resorts/data=!4m7!3m6!1s0x35b303cbf1d0a8dd:0xe8960b54511a65aa!8m2!3d31.116067!4d120.845093!16s%2Fg%2F113j7lh4k!19sChIJ3ajQ8csDszURqmUaUVQLlug?authuser=0&hl=ko&rclk=1",548,4.4
3,China,Suzhou,Suzhou Fengqiao Scenery Spot,,,,,,https://www.google.com/maps/place/Suzhou+Fengqiao+Scenery+Spot/data=!4m7!3m6!1s0x35b3a060baf4f959:0xa396e063f0f2812d!8m2!3d31.308856!4d120.567782!16s%2Fg%2F1td1bfx3!19sChIJWfn0umCgszURLYHy8GPglqM?authuser=0&hl=ko&rclk=1,540,4.3
4,China,Suzhou,Lion Grove Garden,,,"넓은 석재 배열, 인공 폭포, 정교한 정자를 갖춘 수수한 중국식 정원입니다.",,,https://www.google.com/maps/place/Lion+Grove+Garden/data=!4m7!3m6!1s0x35b3a6d042d2238f:0xf46a72c225ceae2!8m2!3d31.320802!4d120.629648!16s%2Fm%2F05zq6kk!19sChIJjyPSQtCmszUR4upcIiynRg8?authuser=0&hl=ko&rclk=1,505,4.5
5,China,Suzhou,留园,,,고전적인 16세기 중국 산과 정원으로 구성된 유네스코 지정 세계 문화 유산입니다.,,,https://www.google.com/maps/place/%E7%95%99%E5%9B%AD/data=!4m7!3m6!1s0x35b3a0e659af00f5:0xe479ff0a043379b!8m2!3d31.3157066!4d120.5925704!16s%2Fm%2F0462y01!19sChIJ9QCvWeagszURmzdDoPCfRw4?authuser=0&hl=ko&rclk=1,498,4.4
6,China,Suzhou,苏州国际博览中心,,,,,,https://www.google.com/maps/place/%E8%8B%8F%E5%B7%9E%E5%9B%BD%E9%99%85%E5%8D%9A%E8%A7%88%E4%B8%AD%E5%BF%83/data=!4m7!3m6!1s0x35b3a61b435c647f:0x8e74bef87a75b67e!8m2!3d31.324054!4d120.708356!16s%2Fm%2F0pc5rgl!19sChIJf2RcQxumszURfrZ1evi-dI4?authuser=0&hl=ko&rclk=1,462,4.4
7,China,Suzhou,Suzhou Culture and Arts Centre,,,,,,https://www.google.com/maps/place/Suzhou+Culture+and+Arts+Centre/data=!4m7!3m6!1s0x35b3a61a5a8dca57:0xc29d6f2149f3caf!8m2!3d31.321186!4d120.702186!16s%2Fm%2F0pc5_k8!19sChIJV8qNWhqmszURrzyfFPLWKQw?authuser=0&hl=ko&rclk=1,430,4.5
8,China,Suzhou,Suzhou Museum,,,"I. M. 페이가 설계한 박물관으로 서예 작품, 고대 공예품 등 중국의 유물을 볼 수 있습니다.",,,https://www.google.com/maps/place/Suzhou+Museum/data=!4m7!3m6!1s0x35b3a6d1c670f09b:0xdd2808575804de6b!8m2!3d31.322879!4d120.627791!16s%2Fm%2F0264t_1!19sChIJm_BwxtGmszURa94EWFcIKN0?authuser=0&hl=ko&rclk=1,341,4.4
9,China,Suzhou,Tiger Hill Pagoda,,,,,,https://www.google.com/maps/place/Tiger+Hill+Pagoda/data=!4m7!3m6!1s0x35b3a105e7ffed63:0x3fd70d7184d3bb99!8m2!3d31.335796!4d120.580404!16zL20vMDZuZzg3!19sChIJY-3_5wWhszURmbvThHEN1z8?authuser=0&hl=ko&rclk=1,255,4.4
10,China,Suzhou,W Suzhou,,,,,,https://www.google.com/maps/place/W+Suzhou/data=!4m10!3m9!1s0x35b3a65b1153f663:0x8b13384e4b152d88!5m2!4m1!1i2!8m2!3d31.314926!4d120.67569!16s%2Fg%2F11fy_5m7w3!19sChIJY_ZTEVumszURiC0VS044E4s?authuser=0&hl=ko&rclk=1,234,4.6
11,China,Suzhou,"르네상스 쑤저우 호텔, 메리어트 럭셔리 & 라이프스타일 호텔",,,,,,"https://www.google.com/maps/place/%EB%A5%B4%EB%84%A4%EC%83%81%EC%8A%A4+%EC%91%A4%EC%A0%80%EC%9A%B0+%ED%98%B8%ED%85%94,+%EB%A9%94%EB%A6%AC%EC%96%B4%ED%8A%B8+%EB%9F%AD%EC%85%94%EB%A6%AC+%26+%EB%9D%BC%EC%9D%B4%ED%94%84%EC%8A%A4%ED%83%80%EC%9D%BC+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x35b3a6f9dd5cf46b:0x73d58016c9487222!5m2!4m1!1i2!8m2!3d31.3139917!4d120.6645144!16s%2Fg%2F1tgz8ctf!19sChIJa_Rc3fmmszURInJIyRaA1XM?authuser=0&hl=ko&rclk=1",174,4.4
12,China,Suzhou,인터컨티넨탈 쑤저우,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BB%A8%ED%8B%B0%EB%84%A8%ED%83%88+%EC%91%A4%EC%A0%80%EC%9A%B0/data=!4m10!3m9!1s0x35b3a61dc33dada1:0x7982ef4cad7961ac!5m2!4m1!1i2!8m2!3d31.3192544!4d120.7100809!16s%2Fg%2F1tjz1d5j!19sChIJoa09wx2mszURrGF5rUzvgnk?authuser=0&hl=ko&rclk=1,156,4.6
13,China,Suzhou,크라운 플라자 쑤저우,,,,,,https://www.google.com/maps/place/%ED%81%AC%EB%9D%BC%EC%9A%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%EC%91%A4%EC%A0%80%EC%9A%B0/data=!4m10!3m9!1s0x35b3a667da7518dd:0x594f1b46fcdb4afb!5m2!4m1!1i2!8m2!3d31.3222!4d120.683!16s%2Fg%2F1tf9wfvf!19sChIJ3Rh12memszUR-0rb_EYbT1k?authuser=0&hl=ko&rclk=1,145,4.6
14,China,Suzhou,Zhouzhuang Ancient Town,,,,,,https://www.google.com/maps/place/Zhouzhuang+Ancient+Town/data=!4m7!3m6!1s0x35b303d2f8eb52b3:0x1d9d3141a38885a9!8m2!3d31.124254!4d120.845657!16s%2Fg%2F1thzlxrv!19sChIJs1Lr-NIDszURqYWIo0ExnR0?authuser=0&hl=ko&rclk=1,144,4.4
15,China,Suzhou,Suzhou Pingjiang History Culture Quarters,,,,,,https://www.google.com/maps/place/Suzhou+Pingjiang+History+Culture+Quarters/data=!4m7!3m6!1s0x35b3a7270412473b:0x86aba79f77ae621c!8m2!3d31.309589!4d120.634804!16s%2Fg%2F11cnp5t7j1!19sChIJO0cSBCenszURHGKud5-nq4Y?authuser=0&hl=ko&rclk=1,143,4.4
16,China,Suzhou,Suzhou Center,,,,,,https://www.google.com/maps/place/Suzhou+Center/data=!4m7!3m6!1s0x35b3a642e8205993:0x2171c2efd16aa16b!8m2!3d31.319026!4d120.678951!16s%2Fg%2F11cm1jcyt2!19sChIJk1kg6EKmszURa6Fq0e_CcSE?authuser=0&hl=ko&rclk=1,139,4.6
17,China,Suzhou,周庄舫,,,,,,https://www.google.com/maps/place/%E5%91%A8%E5%BA%84%E8%88%AB/data=!4m7!3m6!1s0x35b303cc185e57c1:0x98a247f7e5640be5!8m2!3d31.118008!4d120.844655!16s%2Fg%2F1tdk35jp!19sChIJwVdeGMwDszUR5Qtk5fdHopg?authuser=0&hl=ko&rclk=1,130,4.4
18,China,Suzhou,盘门三景,,,,,,https://www.google.com/maps/place/%E7%9B%98%E9%97%A8%E4%B8%89%E6%99%AF/data=!4m7!3m6!1s0x35b3a0b3b70797f7:0xbdbd1508e4bd5e4!8m2!3d31.289665!4d120.617666!16s%2Fg%2F1tcw66fd!19sChIJ95cHt7OgszUR5NVLjlDR2ws?authuser=0&hl=ko&rclk=1,128,4.3
