data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Taiyuan,天龙山景区,,,,,,https://www.google.com/maps/place/%E5%A4%A9%E9%BE%99%E5%B1%B1%E6%99%AF%E5%8C%BA/data=!4m7!3m6!1s0x367552058fad7cfd:0xd04335c74d4399ae!8m2!3d37.707852!4d112.436237!16s%2Fg%2F1v2jb4d1!19sChIJ_XytjwVSdTYRrplDTcc1Q9A?authuser=0&hl=ko&rclk=1,110,4.3
2,China,Taiyuan,Jinci,,,,,,https://www.google.com/maps/place/Jinci/data=!4m7!3m6!1s0x36755217421cda9f:0x1476f8d4b4f18d30!8m2!3d37.70674!4d112.447623!16s%2Fm%2F0gfflp6!19sChIJn9ocQhdSdTYRMI3xtNT4dhQ?authuser=0&hl=ko&rclk=1,105,4.5
3,China,Taiyuan,Yingze Park,,,,,,https://www.google.com/maps/place/Yingze+Park/data=!4m7!3m6!1s0x360aa90e6f9adefb:0x5dccc24927d6fc4!8m2!3d37.855034!4d112.562256!16s%2Fm%2F0wjl3s3!19sChIJ-96abw6pCjYRxG99kiTM3AU?authuser=0&hl=ko&rclk=1,72,4.4
4,China,Taiyuan,汾河公园,,,,,,https://www.google.com/maps/place/%E6%B1%BE%E6%B2%B3%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x360aa9371a347c81:0x544429a22190973f!8m2!3d37.862807!4d112.534021!16s%2Fg%2F12nvpc433!19sChIJgXw0GjepCjYRP5eQIaIpRFQ?authuser=0&hl=ko&rclk=1,67,4.4
5,China,Taiyuan,Shanxi Museum,,,,,,https://www.google.com/maps/place/Shanxi+Museum/data=!4m7!3m6!1s0x360aa93144db6433:0xb6d162949218bc9a!8m2!3d37.865445!4d112.531097!16s%2Fm%2F011v6d98!19sChIJM2TbRDGpCjYRmrwYkpRi0bY?authuser=0&hl=ko&rclk=1,58,4.6
6,China,Taiyuan,Food Street,,,,,,https://www.google.com/maps/place/Food+Street/data=!4m7!3m6!1s0x360aa904976f06ed:0xd3fbfd87bd0d0750!8m2!3d37.8688914!4d112.562316!16s%2Fg%2F1tcxsfcn!19sChIJ7QZvlwSpCjYRUAcNvYf9-9M?authuser=0&hl=ko&rclk=1,37,4.5
7,China,Taiyuan,Longtan Park,,,,,,https://www.google.com/maps/place/Longtan+Park/data=!4m7!3m6!1s0x360aa8e7288b2245:0xa053ca210fbd4cf1!8m2!3d37.882086!4d112.553646!16s%2Fg%2F1tdfwxqt!19sChIJRSKLKOeoCjYR8Uy9DyHKU6A?authuser=0&hl=ko&rclk=1,34,4.5
8,China,Taiyuan,中国煤炭博物馆,,,,,,https://www.google.com/maps/place/%E4%B8%AD%E5%9B%BD%E7%85%A4%E7%82%AD%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x360aa94bb7932255:0x109ad3f2e11d259!8m2!3d37.856938!4d112.528604!16s%2Fg%2F15dp5f71!19sChIJVSKTt0upCjYRWdIRLj-tCQE?authuser=0&hl=ko&rclk=1,28,3.9
9,China,Taiyuan,Shuanglin Temple,,,,,,https://www.google.com/maps/place/Shuanglin+Temple/data=!4m7!3m6!1s0x3675a7380e789c8d:0xf8ade431bfc657ad!8m2!3d37.170716!4d112.131591!16s%2Fm%2F027gry5!19sChIJjZx4DjindTYRrVfGvzHkrfg?authuser=0&hl=ko&rclk=1,25,4.2
10,China,Taiyuan,Twin Pagoda Temple,,,,,,https://www.google.com/maps/place/Twin+Pagoda+Temple/data=!4m7!3m6!1s0x360aa9ea66014027:0x758e6f347c24b92a!8m2!3d37.845211!4d112.599735!16s%2Fm%2F04zysw_!19sChIJJ0ABZuqpCjYRKrkkfDRvjnU?authuser=0&hl=ko&rclk=1,23,4.0
