data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Pattaya,파타야 여행자거리,,,"야간에는 차량 통행이 금지되는 화려한 홍등가로 바, 나이트클럽, 식당, 네온 불빛이 늘어서 있습니다.",,,https://www.google.com/maps/place/%ED%8C%8C%ED%83%80%EC%95%BC+%EC%97%AC%ED%96%89%EC%9E%90%EA%B1%B0%EB%A6%AC/data=!4m7!3m6!1s0x310296139344efab:0x5777d7113c8165ed!8m2!3d12.9274258!4d100.8746721!16s%2Fg%2F11bc95yzkz!19sChIJq-9EkxOWAjER7WWBPBHXd1c?authuser=0&hl=ko&rclk=1,45400,4.3
2,Thailand,Pattaya,농눗 정원,,,"다양한 테마의 정원, 코끼리 쇼, 놀이 기구, 먹거리를 즐길 수 있는 2km² 규모의 공원입니다.",,,https://www.google.com/maps/place/%EB%86%8D%EB%88%97+%EC%A0%95%EC%9B%90/data=!4m7!3m6!1s0x3102926cb01933bf:0xdfafa55b926f8451!8m2!3d12.765497!4d100.9351314!16s%2Fg%2F11b41gxmg!19sChIJvzMZsGySAjERUYRvklulr98?authuser=0&hl=ko&rclk=1,38195,4.5
3,Thailand,Pattaya,센트럴 페스티벌 파타야,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%8A%B8%EB%9F%B4+%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C+%ED%8C%8C%ED%83%80%EC%95%BC/data=!4m7!3m6!1s0x31029605ee332697:0xdb517308033b503!8m2!3d12.9347259!4d100.8834718!16s%2Fm%2F09v37n0!19sChIJlyYz7gWWAjERA7UzgDAXtQ0?authuser=0&hl=ko&rclk=1,31754,4.5
4,Thailand,Pattaya,파타야 수상시장,,,선박과 물가의 상점에서 전통적인 태국 공예품과 농산물을 판매하는 다채로운 시장입니다.,,,https://www.google.com/maps/place/%ED%8C%8C%ED%83%80%EC%95%BC+%EC%88%98%EC%83%81%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x310295905714b48f:0x63218b030a8654d8!8m2!3d12.8684!4d100.9043884!16s%2Fm%2F0j5zcn6!19sChIJj7QUV5CVAjER2FSGCgOLIWM?authuser=0&hl=ko&rclk=1,25107,3.9
5,Thailand,Pattaya,진리의 성전 박물관,,,건물 전체가 수공 나무 조각으로 연결되었으며 아직 완성되지 않은 20층 건물에서 투어를 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EC%A7%84%EB%A6%AC%EC%9D%98+%EC%84%B1%EC%A0%84+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x3102bddf49b7a21d:0x55ddcadf85390c69!8m2!3d12.9728707!4d100.8891322!16s%2Fm%2F03hmplc!19sChIJHaK3Sd-9AjERaQw5hd_K3VU?authuser=0&hl=ko&rclk=1,23815,4.6
6,Thailand,Pattaya,터미널21 파타야,,,,,,https://www.google.com/maps/place/%ED%84%B0%EB%AF%B8%EB%84%9021+%ED%8C%8C%ED%83%80%EC%95%BC/data=!4m7!3m6!1s0x3102bdfe74ed1bbd:0xa7affe9a9b93b608!8m2!3d12.9502055!4d100.8886785!16s%2Fg%2F11f3dcd796!19sChIJvRvtdP69AjERCLaTm5r-r6c?authuser=0&hl=ko&rclk=1,23590,4.6
7,Thailand,Pattaya,알카자 쇼,,,화려한 의상을 갖춰 입은 트랜스젠더 공연자와 최첨단 조명이 어우러진 무용 공연을 선보이는 극장입니다.,,,https://www.google.com/maps/place/%EC%95%8C%EC%B9%B4%EC%9E%90+%EC%87%BC/data=!4m7!3m6!1s0x310296006af587c5:0xce57d2f9e78f9b4a!8m2!3d12.9431331!4d100.8887535!16s%2Fg%2F1hc61v7sz!19sChIJxYf1agCWAjERSpuP5_nSV84?authuser=0&hl=ko&rclk=1,22073,4.5
8,Thailand,Pattaya,카오키어우 오픈 동물원,,,"거대한 아프리카 포유류, 호랑이, 유인원이 사는 사파리 공원에서 먹이 주기 체험과 공연을 즐길 수 있습니다.",,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%ED%82%A4%EC%96%B4%EC%9A%B0+%EC%98%A4%ED%94%88+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x3102cbe39be70053:0xa646ca64787640be!8m2!3d13.214808!4d101.057001!16s%2Fg%2F122dld_y!19sChIJUwDnm-PLAjERvkB2eGTKRqY?authuser=0&hl=ko&rclk=1,19037,4.4
9,Thailand,Pattaya,파타야 나이트바자,,,"250개가 넘는 가판대에서 의류, 신발, 여행 가방, 보석, 태국 기념품 등을 판매하는 활기찬 시장입니다.",,,https://www.google.com/maps/place/%ED%8C%8C%ED%83%80%EC%95%BC+%EB%82%98%EC%9D%B4%ED%8A%B8%EB%B0%94%EC%9E%90/data=!4m7!3m6!1s0x3102960f4bdb9ceb:0x971c23366c98f53e!8m2!3d12.932562!4d100.884052!16s%2Fg%2F11bwh5m7x3!19sChIJ65zbSw-WAjERPvWYbDYjHJc?authuser=0&hl=ko&rclk=1,18653,4.1
10,Thailand,Pattaya,Pattaya Beach,,,,,,https://www.google.com/maps/place/Pattaya+Beach/data=!4m7!3m6!1s0x310297e2fee3fe03:0x74a84e1422ec1d0a!8m2!3d12.9338116!4d100.8808151!16s%2Fg%2F11rcqkt37n!19sChIJA_7j_uKXAjERCh3sIhROqHQ?authuser=0&hl=ko&rclk=1,17665,4.2
