data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Phuket,프라 풋타 밍몽콘,,,산 정상에 있는 45m 높이의 대리석 불상으로 탁 트인 전망을 감상할 수 있으며 카페와 선물 가게가 있습니다.,,,https://www.google.com/maps/place/%ED%94%84%EB%9D%BC+%ED%92%8B%ED%83%80+%EB%B0%8D%EB%AA%BD%EC%BD%98/data=!4m7!3m6!1s0x30502f60cf972939:0x7fcb3b1b04652c5c!8m2!3d7.8275763!4d98.3128423!16s%2Fg%2F122qm6lg!19sChIJOSmXz2AvUDARXCxlBBs7y38?authuser=0&hl=ko&rclk=1,35671,4.6
2,Thailand,Phuket,프롬텝 곶,,,특히 해 질 녘 바다 경치가 근사한 것으로 유명한 전망대와 아름다운 해변입니다.,,,https://www.google.com/maps/place/%ED%94%84%EB%A1%AC%ED%85%9D+%EA%B3%B6/data=!4m7!3m6!1s0x30502621260298b5:0xb68d0b2dcb95a1b!8m2!3d7.7618264!4d98.3053487!16s%2Fg%2F121vrkts!19sChIJtZgCJiEmUDARG1q53LLQaAs?authuser=0&hl=ko&rclk=1,14149,4.7
3,Thailand,Phuket,Tiger Kingdom - Phuket,,,우리 속 호랑이와 가까이에서 교감할 수 있는 여행 상품입니다.,,,https://www.google.com/maps/place/Tiger+Kingdom+-+Phuket/data=!4m7!3m6!1s0x305030683a721bd3:0x4488b243ea334729!8m2!3d7.9070382!4d98.3300115!16s%2Fg%2F1yfh_j3_h!19sChIJ0xtyOmgwUDARKUcz6kOyiEQ?authuser=0&hl=ko&rclk=1,12919,3.9
4,Thailand,Phuket,반싼 시장,,,의류에서부터 과일까지 다양한 상점과 푸드 코트가 있는 실내외 시장입니다.,,,https://www.google.com/maps/place/%EB%B0%98%EC%8B%BC+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x30503aa4367683ff:0xecb83eaace4d02a5!8m2!3d7.8910961!4d98.3017803!16s%2Fg%2F1hdzkxrcs!19sChIJ_4N2NqQ6UDARpQJNzqo-uOw?authuser=0&hl=ko&rclk=1,12141,4.2
5,Thailand,Phuket,까론 전망대,,,"아름다운 바다, 해변, 녹음이 우거진 주변 섬의 풍경으로 잘 알려진 명소입니다.",,,https://www.google.com/maps/place/%EA%B9%8C%EB%A1%A0+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x305025fbe9f11075:0x28839d11c67aa3af!8m2!3d7.7973175!4d98.3021487!16s%2Fg%2F1thn7v42!19sChIJdRDx6fslUDARr6N6xhGdgyg?authuser=0&hl=ko&rclk=1,11466,4.5
6,Thailand,Phuket,돌핀스 베이 푸켓,,,활기찬 해양생물 공연과 가까이서 돌고래와 만날 수 있는 프로그램이 마련된 해양 테마 공원입니다.,,,https://www.google.com/maps/place/%EB%8F%8C%ED%95%80%EC%8A%A4+%EB%B2%A0%EC%9D%B4+%ED%91%B8%EC%BC%93/data=!4m7!3m6!1s0x30502e520d7572df:0x2f44c55005d8e23d!8m2!3d7.842307!4d98.3568409!16s%2Fg%2F11bwkdkdhz!19sChIJ33J1DVIuUDARPeLYBVDFRC8?authuser=0&hl=ko&rclk=1,6924,4.6
7,Thailand,Phuket,Central Phuket,,,,,,https://www.google.com/maps/place/Central+Phuket/data=!4m7!3m6!1s0x305031c6a7059d45:0xe309a98147636491!8m2!3d7.8905371!4d98.3666881!16s%2Fg%2F11clwpcxqv!19sChIJRZ0Fp8YxUDARkWRjR4GpCeM?authuser=0&hl=ko&rclk=1,5751,4.6
8,Thailand,Phuket,Cafe Phuket Viewpoint,,,,,,https://www.google.com/maps/place/Cafe+Phuket+Viewpoint/data=!4m7!3m6!1s0x30503b7ee9a6b86f:0xa75a5f9a470eeb4!8m2!3d7.9200687!4d98.2805212!16s%2Fg%2F11k7tcgjkf!19sChIJb7im6X47UDARtO5wpPmldQo?authuser=0&hl=ko&rclk=1,5584,4.4
9,Thailand,Phuket,카오랑 전망대,,,"유명한 언덕 위 전망대로 공원, 탁 트인 마을 전망과 연안 섬 전망을 감상할 수 있는 테라스가 있습니다.",,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%EB%9E%91+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x305031eb18d4a4df:0x57b67c22181b17ee!8m2!3d7.8924253!4d98.3802184!16s%2Fg%2F11r8c86lp!19sChIJ36TUGOsxUDAR7hcbGCJ8tlc?authuser=0&hl=ko&rclk=1,5518,4.5
10,Thailand,Phuket,Hanuman World,,,광대한 열대우림 어드벤처 공원으로 나무 위 산책로와 집라인이 있습니다.,,,https://www.google.com/maps/place/Hanuman+World/data=!4m7!3m6!1s0x3050302a98c3f6ff:0xc5b7182191c2a787!8m2!3d7.8764221!4d98.3511369!16s%2Fg%2F11by_wt7rm!19sChIJ__bDmCowUDARh6fCkSEYt8U?authuser=0&hl=ko&rclk=1,5424,4.7
11,Thailand,Phuket,Phuket Aquarium,,,"물고기 및 산호초 전시, 수중 터널, 체험형 수조를 갖춘 아동 친화적인 수족관입니다.",,,https://www.google.com/maps/place/Phuket+Aquarium/data=!4m7!3m6!1s0x30502c10a78e1e07:0x57f971912f7659d8!8m2!3d7.8035035!4d98.4079073!16s%2Fg%2F1211rd9l!19sChIJBx6OpxAsUDAR2Fl2L5Fx-Vc?authuser=0&hl=ko&rclk=1,4823,4.1
