data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Tianjin,톈진 빈하이 국제공항,,,,,,https://www.google.com/maps/place/%ED%86%88%EC%A7%84+%EB%B9%88%ED%95%98%EC%9D%B4+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x35edf9e05bb3326d:0x9227ab44d2b34a9b!8m2!3d39.130406!4d117.3592!16zL20vMDU4c2My!19sChIJbTKzW-D57TURm0qz0kSrJ5I?authuser=0&hl=ko&rclk=1,214,3.7
2,China,Tianjin,天津之眼,,,하이허강 위로 우뚝 솟은 120m의 대관람차가 밤이 되면 다채로운 색상으로 빛납니다.,,,https://www.google.com/maps/place/%E5%A4%A9%E6%B4%A5%E4%B9%8B%E7%9C%BC/data=!4m7!3m6!1s0x35edfde2c2914399:0x98611b6be2bbe8bc!8m2!3d39.154415!4d117.187519!16s%2Fm%2F06wb85t!19sChIJmUORwuL97TURvOi74msbYZg?authuser=0&hl=ko&rclk=1,213,4.4
3,China,Tianjin,샹그릴라 호텔 톈진,,,,,,https://www.google.com/maps/place/%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BC+%ED%98%B8%ED%85%94+%ED%86%88%EC%A7%84/data=!4m10!3m9!1s0x35edfdb085b6dd19:0x87d51859dee4697d!5m2!4m1!1i2!8m2!3d39.124428!4d117.2094!16s%2Fg%2F11f3y6bmry!19sChIJGd22hbD97TURfWnk3lkY1Yc?authuser=0&hl=ko&rclk=1,121,4.7
4,China,Tianjin,五大道,,,,,,https://www.google.com/maps/place/%E4%BA%94%E5%A4%A7%E9%81%93/data=!4m7!3m6!1s0x35edfda9a32e91bf:0xec8a5172b1f091ff!8m2!3d39.112881!4d117.213092!16s%2Fm%2F0lpy_dm!19sChIJv5Euo6n97TUR_5HwsXJRiuw?authuser=0&hl=ko&rclk=1,114,4.3
5,China,Tianjin,Hotel Nikko Tianjin,,,,,,https://www.google.com/maps/place/Hotel+Nikko+Tianjin/data=!4m10!3m9!1s0x35edfda02cbee7ef:0x56127203f74e1ce1!5m2!4m1!1i2!8m2!3d39.1172445!4d117.1968538!16s%2Fg%2F1v0lhxnq!19sChIJ7-e-LKD97TUR4RxO9wNyElY?authuser=0&hl=ko&rclk=1,108,4.3
6,China,Tianjin,Century Clock,,,,,,https://www.google.com/maps/place/Century+Clock/data=!4m7!3m6!1s0x35edfdc70c78ca8f:0x3d9adb5adca3c958!8m2!3d39.133639!4d117.205503!16s%2Fg%2F1q5bkjdq2!19sChIJj8p4DMf97TURWMmj3Frbmj0?authuser=0&hl=ko&rclk=1,99,4.0
7,China,Tianjin,쉐라톤 톈진 호텔,,,,,,https://www.google.com/maps/place/%EC%89%90%EB%9D%BC%ED%86%A4+%ED%86%88%EC%A7%84+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x35edfd460a680627:0xa309d9039558aa31!5m2!4m1!1i2!8m2!3d39.087337!4d117.184676!16s%2Fg%2F1td5v97j!19sChIJJwZoCkb97TURMapYlQPZCaM?authuser=0&hl=ko&rclk=1,99,4.0
8,China,Tianjin,Tianjin Museum,,,,,,https://www.google.com/maps/place/Tianjin+Museum/data=!4m7!3m6!1s0x35edfd252dcaa347:0x44bf3dfaf0e1311b!8m2!3d39.085014!4d117.209095!16s%2Fm%2F06zm9hd!19sChIJR6PKLSX97TURGzHh8Po9v0Q?authuser=0&hl=ko&rclk=1,89,4.5
9,China,Tianjin,Marco Polo Square,,,,,,https://www.google.com/maps/place/Marco+Polo+Square/data=!4m7!3m6!1s0x35edfdc072ef5875:0x5e53d8e85cce6123!8m2!3d39.134494!4d117.198672!16s%2Fg%2F155rhjj_!19sChIJdVjvcsD97TURI2HOXOjYU14?authuser=0&hl=ko&rclk=1,89,4.2
10,China,Tianjin,Beijing Botanical Garden,,,,,,https://www.google.com/maps/place/Beijing+Botanical+Garden/data=!4m7!3m6!1s0x35f052e3b3531d8f:0x1542e3dc1f06336!8m2!3d39.9991794!4d116.209002!16zL20vMDd2MjMx!19sChIJjx1Ts-NS8DURNmPwwT0uVAE?authuser=0&hl=ko&rclk=1,86,4.6
