data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Japan,Tokyo,도쿄부청사 유적,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84%EB%B6%80%EC%B2%AD%EC%82%AC+%EC%9C%A0%EC%A0%81/data=!4m7!3m6!1s0x60188bfae0a4423f:0x576e5278a09d7627!8m2!3d35.6775109!4d139.764943!16s%2Fg%2F11g9q9wyf5!19sChIJP0Kk4PqLGGARJ3adoHhSblc?authuser=0&hl=ko&rclk=1,3.6,(17)
2,Japan,Tokyo,Historic Site Memorial Monument,,,,,,https://www.google.com/maps/place/Historic+Site+Memorial+Monument/data=!4m7!3m6!1s0x60188b7f68f67c27:0xcc3a868df0c83913!8m2!3d35.634357!4d139.7714576!16s%2Fg%2F11rs9yh6_y!19sChIJJ3z2aH-LGGAREznI8I2GOsw?authuser=0&hl=ko&rclk=1,3.8,(13)
3,Japan,Tokyo,Hagi Mohri Residence Ruins,,,,,,https://www.google.com/maps/place/Hagi+Mohri+Residence+Ruins/data=!4m7!3m6!1s0x60188b78f53d2201:0x767a0ff81c0be682!8m2!3d35.6669641!4d139.7330525!16s%2Fg%2F11c0t232g7!19sChIJASI99XiLGGARguYLHPgPenY?authuser=0&hl=ko&rclk=1,4.3,(120)
4,Japan,Tokyo,Site of Kunikida Doppo’s Residence,,,,,,https://www.google.com/maps/place/Site+of+Kunikida+Doppo%E2%80%99s+Residence/data=!4m7!3m6!1s0x60188cae9dd25a27:0xf83c2c6849eca853!8m2!3d35.6640405!4d139.6963076!16s%2Fg%2F11clsh_t02!19sChIJJ1rSna6MGGARU6jsSWgsPPg?authuser=0&hl=ko&rclk=1,3.2,(15)
5,Japan,Tokyo,Nerima Castle Ruins (Historic site designated by Tokyo Government),,,,,,https://www.google.com/maps/place/Nerima+Castle+Ruins+%28Historic+site+designated+by+Tokyo+Government%29/data=!4m7!3m6!1s0x6018edabe01fe591:0xf2d79a61e9decfc7!8m2!3d35.7434561!4d139.6462364!16s%2Fg%2F11hd58msk0!19sChIJkeUf4KvtGGARx8_e6WGa1_I?authuser=0&hl=ko&rclk=1,4.0,(10)
6,Japan,Tokyo,도지정역사유적 세타가야 대관야시키,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%A7%80%EC%A0%95%EC%97%AD%EC%82%AC%EC%9C%A0%EC%A0%81+%EC%84%B8%ED%83%80%EA%B0%80%EC%95%BC+%EB%8C%80%EA%B4%80%EC%95%BC%EC%8B%9C%ED%82%A4/data=!4m7!3m6!1s0x6018f3810693b851:0x72d0b71324b0275e!8m2!3d35.6414113!4d139.6476627!16s%2Fg%2F11cn9kd806!19sChIJUbiTBoHzGGARXiewJBO30HI?authuser=0&hl=ko&rclk=1,3.8,(334)
7,Japan,Tokyo,도쿄 타워,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60188bbd9009ec09:0x481a93f0d2a409dd!8m2!3d35.6585805!4d139.7454329!16zL20vMDEzMl94!19sChIJCewJkL2LGGAR3Qmk0vCTGkg?authuser=0&hl=ko&rclk=1,4.5,"(74,195)"
8,Japan,Tokyo,도쿄 돔 시티,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%8F%94+%EC%8B%9C%ED%8B%B0/data=!4m7!3m6!1s0x60188c38bbfa1709:0x44298a802542c472!8m2!3d35.7042855!4d139.7542081!16s%2Fm%2F04ydqbx!19sChIJCRf6uziMGGARcsRCJYCKKUQ?authuser=0&hl=ko&rclk=1,4.1,"(12,371)"
9,Japan,Tokyo,도쿄 조이 폴리스,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EC%A1%B0%EC%9D%B4+%ED%8F%B4%EB%A6%AC%EC%8A%A4/data=!4m7!3m6!1s0x601889f65e4f37b9:0x54acae2e02ff1426!8m2!3d35.62866!4d139.775364!16zL20vMGJ6NnE1!19sChIJuTdPXvaJGGARJhT_Ai6urFQ?authuser=0&hl=ko&rclk=1,4.0,"(5,663)"
10,Japan,Tokyo,도쿄 디즈니씨,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88%EC%94%A8/data=!4m7!3m6!1s0x60187d03114737b3:0x41471d704ab72d25!8m2!3d35.6267108!4d139.8850779!16zL20vMDRjN3R0!19sChIJszdHEQN9GGARJS23SnAdR0E?authuser=0&hl=ko&rclk=1,4.6,"(87,539)"
