data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Tokyo,도쿄 디즈니랜드,,,"놀이기구, 라이브쇼, 의상을 차려입은 캐릭터로 유명한 상징적인 도쿄 테마파크입니다.",,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x60187d03114737b3:0xe4d93636d509d3cb!8m2!3d35.6328964!4d139.8803943!16zL20vMDQ0ejFu!19sChIJszdHEQN9GGARy9MJ1TY22eQ?authuser=0&hl=ko&rclk=1,105536,4.6
2,Japan,Tokyo,도쿄 디즈니 리조트,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m7!3m6!1s0x60187d19d0d3a2cd:0xda29db8ad489735f!8m2!3d35.6306579!4d139.8828695!16zL20vMDEwNDIz!19sChIJzaLT0Bl9GGARX3OJ1IrbKdo?authuser=0&hl=ko&rclk=1,100989,4.6
3,Japan,Tokyo,도쿄 스카이트리,,,360도 전망을 자랑하는 전망대가 있는 세계에서 가장 높은 독립형 전파탑입니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EC%8A%A4%EC%B9%B4%EC%9D%B4%ED%8A%B8%EB%A6%AC/data=!4m7!3m6!1s0x60188ed0d12f9adf:0x7d1d4fb31f43f72a!8m2!3d35.7100627!4d139.8107004!16zL20vMDd0aGty!19sChIJ35ov0dCOGGARKvdDH7NPHX0?authuser=0&hl=ko&rclk=1,89300,4.4
4,Japan,Tokyo,도쿄 디즈니씨,,,"디즈니 리조트의 일부인 이 대규모 놀이공원에는 놀이기구, 쇼, 식사를 즐길 수 있는 7개의 테마 구역이 있습니다.",,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88%EC%94%A8/data=!4m7!3m6!1s0x60187d03114737b3:0x41471d704ab72d25!8m2!3d35.6267108!4d139.8850779!16zL20vMDRjN3R0!19sChIJszdHEQN9GGARJS23SnAdR0E?authuser=0&hl=ko&rclk=1,88163,4.6
5,Japan,Tokyo,센소지,,,도쿄에서 가장 오래되었으며 645년에 완공된 이 사원은 자비의 여신인 관음을 기리기 위해 세워졌습니다.,,,https://www.google.com/maps/place/%EC%84%BC%EC%86%8C%EC%A7%80/data=!4m7!3m6!1s0x60188ec1a4463df1:0x6c0d289a8292810d!8m2!3d35.7147651!4d139.7966553!16zL20vMDNrOTg3!19sChIJ8T1GpMGOGGARDYGSgpooDWw?authuser=0&hl=ko&rclk=1,74916,4.5
6,Japan,Tokyo,도쿄 타워,,,에펠탑을 연상시키는 이 랜드마크는 전망대와 다양한 어트랙션을 갖추고 있습니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60188bbd9009ec09:0x481a93f0d2a409dd!8m2!3d35.6585805!4d139.7454329!16zL20vMDEzMl94!19sChIJCewJkL2LGGAR3Qmk0vCTGkg?authuser=0&hl=ko&rclk=1,74836,4.5
7,Japan,Tokyo,쓰키지 장외시장,,,각종 해산물을 판매하는 대규모 도매 수산 시장으로 인기 있는 참치 경매를 구경할 수 있습니다.,,,https://www.google.com/maps/place/%EC%93%B0%ED%82%A4%EC%A7%80+%EC%9E%A5%EC%99%B8%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x60188b21cd0b675b:0xa26e24a1bf97025c!8m2!3d35.6649185!4d139.7702195!16zL20vMDJsazc2!19sChIJW2cLzSGLGGARXAKXv6EkbqI?authuser=0&hl=ko&rclk=1,54123,4.2
8,Japan,Tokyo,도쿄 돔,,,"이 유명한 돔형 스타디움에서는 야구 경기를 비롯한 스포츠 이벤트, 콘서트, 전시회가 열립니다.",,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%8F%94/data=!4m7!3m6!1s0x60188c4782eed4f3:0x5058b288249e640e!8m2!3d35.7056396!4d139.7518913!16zL20vMDMyY3Rw!19sChIJ89TugkeMGGARDmSeJIiyWFA?authuser=0&hl=ko&rclk=1,42865,4.2
9,Japan,Tokyo,신주쿠 교엔,,,"옛 사유지에 조성된 0.58km² 규모의 공원으로 다양한 정원, 녹지, 온실을 둘러볼 수 있습니다.",,,https://www.google.com/maps/place/%EC%8B%A0%EC%A3%BC%EC%BF%A0+%EA%B5%90%EC%97%94/data=!4m7!3m6!1s0x60188cc21b93233f:0x6a1eb1b5a117f287!8m2!3d35.6851763!4d139.7100517!16zL20vMDdkM24x!19sChIJPyOTG8KMGGARh_IXobWxHmo?authuser=0&hl=ko&rclk=1,37977,4.6
10,Japan,Tokyo,메이지 신궁,,,숲으로 둘러싸여 있는 이 신사에는 계절마다 변화하는 붓꽃 정원이 있습니다.,,,https://www.google.com/maps/place/%EB%A9%94%EC%9D%B4%EC%A7%80+%EC%8B%A0%EA%B6%81/data=!4m7!3m6!1s0x60188cb79a4c26e5:0x8fca893849103f73!8m2!3d35.6763976!4d139.6993259!16zL20vMDFxX2s5!19sChIJ5SZMmreMGGARcz8QSTiJyo8?authuser=0&hl=ko&rclk=1,37698,4.6
11,Japan,Tokyo,우에노 동물원,,,판다를 포함한 400여 종의 동물이 사는 19세기 동물원에 동물 체험장과 5층 탑이 있습니다.,,,https://www.google.com/maps/place/%EC%9A%B0%EC%97%90%EB%85%B8+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x60188c28f7766d7f:0x76b8b5efa1988ef4!8m2!3d35.7160153!4d139.772882!16zL20vMDN6Zm5t!19sChIJf2129yiMGGAR9I6Yoe-1uHY?authuser=0&hl=ko&rclk=1,33687,4.3
12,Japan,Tokyo,팀랩 플래닛 도쿄,,,,,,https://www.google.com/maps/place/%ED%8C%80%EB%9E%A9+%ED%94%8C%EB%9E%98%EB%8B%9B+%EB%8F%84%EC%BF%84/data=!4m7!3m6!1s0x60188908e728e749:0x6de450c94bd3d622!8m2!3d35.6491207!4d139.7897739!16s%2Fg%2F11ghxr0p5m!19sChIJSeco5wiJGGARItbTS8lQ5G0?authuser=0&hl=ko&rclk=1,30607,4.6
13,Japan,Tokyo,우에노 공원,,,"인기 있는 도시공원에 드넓은 산책로, 대여용 보트를 탈 수 있는 호수, 동물원, 여러 박물관이 있습니다.",,,https://www.google.com/maps/place/%EC%9A%B0%EC%97%90%EB%85%B8+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60188e9b45906ac3:0xb1cb3623124e645a!8m2!3d35.7147557!4d139.7734312!16zL20vMDJ5NWdk!19sChIJw2qQRZuOGGARWmROEiM2y7E?authuser=0&hl=ko&rclk=1,28835,4.3
14,Japan,Tokyo,도쿄 국제공항,,,도쿄 수도권 방문자들이 이용하는 바다 근처 공항으로 직통 도심 철도가 연결되어 있고 무료 Wi-Fi가 제공됩니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x6018640ba43192e3:0xd32c3a9d146f8df!8m2!3d35.5493932!4d139.7798386!16zL20vMDFubG1t!19sChIJ45IxpAtkGGAR3_hG0anDMg0?authuser=0&hl=ko&rclk=1,28337,4.3
15,Japan,Tokyo,고쿄,,,멋진 전경의 정원이 있는 일왕 거주지로 경내 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EA%B3%A0%EC%BF%84/data=!4m7!3m6!1s0x60188c0d02d8064d:0xd11a5f0b379e6db7!8m2!3d35.685175!4d139.7527995!16zL20vMDFuZjI5!19sChIJTQbYAg2MGGARt22eNwtfGtE?authuser=0&hl=ko&rclk=1,25726,4.4
16,Japan,Tokyo,도쿄 국립박물관,,,일본과 다른 아시아 국가의 예술 작품과 유물을 주로 선보이는 웅장한 박물관 단지입니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EA%B5%AD%EB%A6%BD%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60188e8314d77d11:0x232fd618bd4977dd!8m2!3d35.7188351!4d139.7765215!16zL20vMDVzazVn!19sChIJEX3XFIOOGGAR3XdJvRjWLyM?authuser=0&hl=ko&rclk=1,24532,4.5
17,Japan,Tokyo,국립과학박물관,,,"화면이 360도로 펼쳐지는 영화관과 공룡, 진화 등의 주제를 다룬 전시가 있는 드넓은 박물관입니다.",,,https://www.google.com/maps/place/%EA%B5%AD%EB%A6%BD%EA%B3%BC%ED%95%99%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60188e9ceba15bf1:0x89884580e40b3eca!8m2!3d35.7164273!4d139.7763336!16zL20vMDd2M3Zk!19sChIJ8Vuh65yOGGARyj4L5IBFiIk?authuser=0&hl=ko&rclk=1,23629,4.5
18,Japan,Tokyo,요요기 공원,,,"호수, 분수, 성목으로 가득한 숲이 있는 대형 공원입니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%9A%94%EA%B8%B0+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60188cb479620a33:0x34bcc78ce7f8bf3e!8m2!3d35.6700649!4d139.6949656!16zL20vMDNjcWtq!19sChIJMwpiebSMGGARPr_454zHvDQ?authuser=0&hl=ko&rclk=1,23322,4.3
19,Japan,Tokyo,하치코 동상,,,아키타견인 충견 하치코를 기리는 청동상이 있는 유명한 만남의 장소입니다.,,,https://www.google.com/maps/place/%ED%95%98%EC%B9%98%EC%BD%94+%EB%8F%99%EC%83%81/data=!4m7!3m6!1s0x60188b57efbd57c7:0x217e9d9fe306fba!8m2!3d35.6590579!4d139.7006293!16s%2Fg%2F122cnh70!19sChIJx1e971eLGGARum8w_tnpFwI?authuser=0&hl=ko&rclk=1,18901,4.3
20,Japan,Tokyo,국립신미술관,,,"현대적인 대규모 미술관으로, 일본과 세계 각국의 예술을 감상할 수 있는 단기 전시회가 열립니다.",,,https://www.google.com/maps/place/%EA%B5%AD%EB%A6%BD%EC%8B%A0%EB%AF%B8%EC%88%A0%EA%B4%80/data=!4m7!3m6!1s0x60188b7bf6ceeb3f:0x4025f2eaf2aa9d18!8m2!3d35.665289!4d139.726374!16s%2Fm%2F027tlcf!19sChIJP-vO9nuLGGARGJ2q8uryJUA?authuser=0&hl=ko&rclk=1,18670,4.3
