data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Trat,카오키어우 오픈 동물원,,,"거대한 아프리카 포유류, 호랑이, 유인원이 사는 사파리 공원에서 먹이 주기 체험과 공연을 즐길 수 있습니다.",,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%ED%82%A4%EC%96%B4%EC%9A%B0+%EC%98%A4%ED%94%88+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x3102cbe39be70053:0xa646ca64787640be!8m2!3d13.214808!4d101.057001!16s%2Fg%2F122dld_y!19sChIJUwDnm-PLAjERvkB2eGTKRqY?authuser=0&hl=ko&rclk=1,19057,4.4
2,Thailand,Trat,만다린 오리엔탈 호텔 방콕,,,,,,https://www.google.com/maps/place/%EB%A7%8C%EB%8B%A4%EB%A6%B0+%EC%98%A4%EB%A6%AC%EC%97%94%ED%83%88+%ED%98%B8%ED%85%94+%EB%B0%A9%EC%BD%95/data=!4m10!3m9!1s0x30e298c4c9a7a0b3:0xbb2ce336689cae5!5m2!4m1!1i2!8m2!3d13.7239926!4d100.5142411!16zL20vMDg1Yjdn!19sChIJs6CnycSY4jAR5cqJZjPOsgs?authuser=0&hl=ko&rclk=1,5569,4.7
3,Thailand,Trat,더 페닌슐라 방콕,,,,,,https://www.google.com/maps/place/%EB%8D%94+%ED%8E%98%EB%8B%8C%EC%8A%90%EB%9D%BC+%EB%B0%A9%EC%BD%95/data=!4m10!3m9!1s0x30e298d3ecbfc7a7:0x57b57b2760cdcd37!5m2!4m1!1i2!8m2!3d13.7231212!4d100.5108006!16s%2Fm%2F0gg80z9!19sChIJp8e_7NOY4jARN83NYCd7tVc?authuser=0&hl=ko&rclk=1,4159,4.6
4,Thailand,Trat,Koh Chang Ferry,,,,,,https://www.google.com/maps/place/Koh+Chang+Ferry/data=!4m7!3m6!1s0x310412c1b373476d:0xfed941d93995a337!8m2!3d12.1413736!4d102.2804489!16s%2Fg%2F11c52nvmtr!19sChIJbUdzs8ESBDERN6OVOdlB2f4?authuser=0&hl=ko&rclk=1,3147,4.2
5,Thailand,Trat,하얏트 리젠시 방콕 수쿰윗,,,,,,https://www.google.com/maps/place/%ED%95%98%EC%96%8F%ED%8A%B8+%EB%A6%AC%EC%A0%A0%EC%8B%9C+%EB%B0%A9%EC%BD%95+%EC%88%98%EC%BF%B0%EC%9C%97/data=!4m10!3m9!1s0x30e29ee6adc8c0bd:0xe8f31b0018615dcd!5m2!4m1!1i2!8m2!3d13.7401029!4d100.5572244!16s%2Fg%2F11gdvz9dzy!19sChIJvcDIreae4jARzV1hGAAb8-g?authuser=0&hl=ko&rclk=1,2614,4.6
6,Thailand,Trat,파크 하얏트 방콕,,,,,,https://www.google.com/maps/place/%ED%8C%8C%ED%81%AC+%ED%95%98%EC%96%8F%ED%8A%B8+%EB%B0%A9%EC%BD%95/data=!4m10!3m9!1s0x30e29edca1c6e303:0x4ba3502c936201f5!5m2!4m1!1i2!8m2!3d13.743764!4d100.54729!16s%2Fg%2F11cjj82z3x!19sChIJA-PGodye4jAR9QFikyxQo0s?authuser=0&hl=ko&rclk=1,2288,4.6
7,Thailand,Trat,센타라 코 창 트로피카나 리조트,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%83%80%EB%9D%BC+%EC%BD%94+%EC%B0%BD+%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%B9%B4%EB%82%98+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m10!3m9!1s0x3104128ee043aed1:0x8ad7aa27ea308e09!5m2!4m1!1i2!8m2!3d12.046708!4d102.2956572!16s%2Fg%2F1tf6ttz2!19sChIJ0a5D4I4SBDERCY4w6ieq14o?authuser=0&hl=ko&rclk=1,1882,4.5
8,Thailand,Trat,Sri Trat Restaurant and Bar,,,,,,https://www.google.com/maps/place/Sri+Trat+Restaurant+and+Bar/data=!4m7!3m6!1s0x30e29efc3bbbcfa1:0x1ae0f08f959b616b!8m2!3d13.7368037!4d100.5680964!16s%2Fg%2F11c2n_wlzx!19sChIJoc-7O_ye4jARa2GblY_w4Bo?authuser=0&hl=ko&rclk=1,1869,4.5
9,Thailand,Trat,Ubon Ratchathani Zoo,,,,,,https://www.google.com/maps/place/Ubon+Ratchathani+Zoo/data=!4m7!3m6!1s0x3116635b1a320bfb:0x6e31ed1b257ddb68!8m2!3d15.2839683!4d104.8078531!16s%2Fg%2F11b6ybc8nx!19sChIJ-wsyGltjFjERaNt9JRvtMW4?authuser=0&hl=ko&rclk=1,1854,4.3
10,Thailand,Trat,센타라 짠 탈레 리조트 & 빌라 뜨랏,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%83%80%EB%9D%BC+%EC%A7%A0+%ED%83%88%EB%A0%88+%EB%A6%AC%EC%A1%B0%ED%8A%B8+%26+%EB%B9%8C%EB%9D%BC+%EB%9C%A8%EB%9E%8F/data=!4m10!3m9!1s0x3104338840528f19:0x6cf1c9fe54676384!5m2!4m1!1i2!8m2!3d11.9967395!4d102.7700957!16s%2Fg%2F1tyt2tp2!19sChIJGY9SQIgzBDERhGNnVP7J8Ww?authuser=0&hl=ko&rclk=1,1243,4.3
