data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Udon Thani,Nong Prajak Park,,,,,,https://www.google.com/maps/place/Nong+Prajak+Park/data=!4m7!3m6!1s0x31239d6b4161b277:0xe8759caee41e0aad!8m2!3d17.4190376!4d102.7808741!16s%2Fg%2F1hd_vfgy7!19sChIJd7JhQWudIzERrQoe5K6cdeg?authuser=0&hl=ko&rclk=1,6723,4.5
2,Thailand,Udon Thani,UD Town Udon Thani,,,,,,https://www.google.com/maps/place/UD+Town+Udon+Thani/data=!4m7!3m6!1s0x31239d7d90cad489:0xd0aecb40fe875a45!8m2!3d17.3989684!4d102.8046139!16s%2Fg%2F11b6c_fw1l!19sChIJidTKkH2dIzERRVqH_kDLrtA?authuser=0&hl=ko&rclk=1,4010,4.4
3,Thailand,Udon Thani,Wat Pa Phu Kon,,,,,,https://www.google.com/maps/place/Wat+Pa+Phu+Kon/data=!4m7!3m6!1s0x31241c94cf821b07:0x3b6d2b21313921ac!8m2!3d17.9228956!4d102.1181706!16s%2Fg%2F1s064rghd!19sChIJBxuCz5QcJDERrCE5MSErbTs?authuser=0&hl=ko&rclk=1,3889,4.7
4,Thailand,Udon Thani,TUKCOM LANDMARK Udon Thani,,,,,,https://www.google.com/maps/place/TUKCOM+LANDMARK+Udon+Thani/data=!4m7!3m6!1s0x31239d6feade04ff:0xc8820e2a0caa7bae!8m2!3d17.4087094!4d102.7921806!16s%2Fg%2F12q4r6y7h!19sChIJ_wTe6m-dIzERrnuqDCoOgsg?authuser=0&hl=ko&rclk=1,3298,4.2
5,Thailand,Udon Thani,붉은 연꽃 호수,,,,,,https://www.google.com/maps/place/%EB%B6%89%EC%9D%80+%EC%97%B0%EA%BD%83+%ED%98%B8%EC%88%98/data=!4m7!3m6!1s0x312312e18c810935:0xba2dab4713d188d!8m2!3d17.2118691!4d103.0335097!16s%2Fg%2F11b6dx6_k2!19sChIJNQmBjOESIzERjRg9cbTaogs?authuser=0&hl=ko&rclk=1,2951,4.4
6,Thailand,Udon Thani,Thung Si Muang,,,,,,https://www.google.com/maps/place/Thung+Si+Muang/data=!4m7!3m6!1s0x31239d6c3acd9491:0xfb13593b59de5533!8m2!3d17.4115942!4d102.7863568!16s%2Fg%2F1hf001jmj!19sChIJkZTNOmydIzERM1XeWTtZE_s?authuser=0&hl=ko&rclk=1,2631,4.3
7,Thailand,Udon Thani,우돈타니 국제공항,,,,,,https://www.google.com/maps/place/%EC%9A%B0%EB%8F%88%ED%83%80%EB%8B%88+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x31239d88ac386879:0x960d0f16cb0ab983!8m2!3d17.387112!4d102.7755279!16zL20vMGN0ZHo2!19sChIJeWg4rIidIzERg7kKyxYPDZY?authuser=0&hl=ko&rclk=1,2380,4.4
8,Thailand,Udon Thani,Wat Pa Ban Tat,,,,,,https://www.google.com/maps/place/Wat+Pa+Ban+Tat/data=!4m7!3m6!1s0x31239fb6bd6d9583:0x8a6302705d21a926!8m2!3d17.2972943!4d102.7781759!16s%2Fm%2F04lf0s5!19sChIJg5VtvbafIzERJqkhXXACY4o?authuser=0&hl=ko&rclk=1,2179,4.8
9,Thailand,Udon Thani,센타라 호텔 & 컨벤션 센터 우돈 타니,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%83%80%EB%9D%BC+%ED%98%B8%ED%85%94+%26+%EC%BB%A8%EB%B2%A4%EC%85%98+%EC%84%BC%ED%84%B0+%EC%9A%B0%EB%8F%88+%ED%83%80%EB%8B%88/data=!4m10!3m9!1s0x31239d6ee97248d7:0xaa6b9fadedce9985!5m2!4m1!1i2!8m2!3d17.40661!4d102.8008414!16s%2Fg%2F1tf5h32f!19sChIJ10hy6W6dIzERhZnO7a2fa6o?authuser=0&hl=ko&rclk=1,2098,4.3
10,Thailand,Udon Thani,Thai-Chinese Cultural Center,,,,,,https://www.google.com/maps/place/Thai-Chinese+Cultural+Center/data=!4m7!3m6!1s0x312377d5bea156d9:0x650bcda334347ad5!8m2!3d17.3990818!4d102.8070806!16s%2Fg%2F11c3k56j_t!19sChIJ2VahvtV3IzER1Xo0NKPNC2U?authuser=0&hl=ko&rclk=1,1888,4.6
11,Thailand,Udon Thani,Mueang Thong Charoensri Market,,,,,,https://www.google.com/maps/place/Mueang+Thong+Charoensri+Market/data=!4m7!3m6!1s0x3123771b6daa3e17:0x69d085ee0e39d609!8m2!3d17.3903366!4d102.8182663!16s%2Fg%2F1hdz2zl6r!19sChIJFz6qbRt3IzERCdY5Du6F0Gk?authuser=0&hl=ko&rclk=1,1558,4.3
12,Thailand,Udon Thani,Wat Pothisomphon,,,금박을 입힌 중앙 체디와 전망대가 있는 20세기 불교 사원 단지입니다.,,,https://www.google.com/maps/place/Wat+Pothisomphon/data=!4m7!3m6!1s0x31239d13768d403d:0xaf305b0634166812!8m2!3d17.4136964!4d102.7784902!16s%2Fg%2F1203nb300!19sChIJPUCNdhOdIzEREmgWNAZbMK8?authuser=0&hl=ko&rclk=1,1494,4.6
13,Thailand,Udon Thani,City Pillar Shrine or San Lak Mueang,,,,,,https://www.google.com/maps/place/City+Pillar+Shrine+or+San+Lak+Mueang/data=!4m7!3m6!1s0x31239d6c06492bad:0x5c6652ca3c29df9a!8m2!3d17.4133846!4d102.7876223!16s%2Fg%2F122z34n1!19sChIJrStJBmydIzERmt8pPMpSZlw?authuser=0&hl=ko&rclk=1,921,4.7
14,Thailand,Udon Thani,Phu Phra Bat Historical Park,,,"희귀한 사암, 고대 그림, 신사가 있는 유서 깊은 공원으로 자연 산책로를 이용할 수 있습니다.",,,https://www.google.com/maps/place/Phu+Phra+Bat+Historical+Park/data=!4m7!3m6!1s0x31240be603562329:0x7ad9cb3068b5f38d!8m2!3d17.730814!4d102.3575728!16s%2Fm%2F0s8x4lj!19sChIJKSNWA-YLJDERjfO1aDDL2Xo?authuser=0&hl=ko&rclk=1,865,4.6
15,Thailand,Udon Thani,Napalai Hotel,,,,,,https://www.google.com/maps/place/Napalai+Hotel/data=!4m10!3m9!1s0x31239d0fee431aed:0xb6cfffaca9474c0c!5m2!4m1!1i2!8m2!3d17.408004!4d102.7720417!16s%2Fg%2F1vlqmphz!19sChIJ7RpD7g-dIzERDExHqaz_z7Y?authuser=0&hl=ko&rclk=1,849,4.0
16,Thailand,Udon Thani,Preecha Market,,,,,,https://www.google.com/maps/place/Preecha+Market/data=!4m7!3m6!1s0x31239d7d221b5317:0x794bbfe2927cfc74!8m2!3d17.404352!4d102.8033729!16s%2Fg%2F11bwmrhnng!19sChIJF1MbIn2dIzERdPx8kuK_S3k?authuser=0&hl=ko&rclk=1,830,4.2
17,Thailand,Udon Thani,더 판나라이 호텔,,,,,,https://www.google.com/maps/place/%EB%8D%94+%ED%8C%90%EB%82%98%EB%9D%BC%EC%9D%B4+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x31239d7cd0e82805:0x519417dad4cde75e!5m2!4m1!1i2!8m2!3d17.4061119!4d102.8021357!16s%2Fg%2F119x5zbtj!19sChIJBSjo0HydIzERXufN1NoXlFE?authuser=0&hl=ko&rclk=1,802,4.2
18,Thailand,Udon Thani,유디타운,,,,,,https://www.google.com/maps/place/%EC%9C%A0%EB%94%94%ED%83%80%EC%9A%B4/data=!4m7!3m6!1s0x31239d6d4d087251:0x3d79fc919068f41f!8m2!3d17.4033551!4d102.8043342!16s%2Fg%2F11jv8jxjth!19sChIJUXIITW2dIzERH_RokJH8eT0?authuser=0&hl=ko&rclk=1,663,4.5
