data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Bac Giang,February 3rd Square Bac Giang City,,,,,,https://www.google.com/maps/place/February+3rd+Square+Bac+Giang+City/data=!4m7!3m6!1s0x31356d0a21a395c9:0x59b00c64d9ca3374!8m2!3d21.2796498!4d106.2037602!16s%2Fg%2F11c1q9jd2j!19sChIJyZWjIQptNTERdDPK2WQMsFk?authuser=0&hl=ko&rclk=1,1750,4.5
2,Vietnam,Bac Giang,보다 탑,,,미로처럼 복잡한 형태의 11세기 사찰로 목판에 새긴 희귀 불교 경전과 정원이 있습니다.,,,https://www.google.com/maps/place/%EB%B3%B4%EB%8B%A4+%ED%83%91/data=!4m7!3m6!1s0x31350e72a9598aa7:0xb4e6d26018416540!8m2!3d21.2425299!4d106.0526344!16s%2Fg%2F121wh_9f!19sChIJp4pZqXIONTERQGVBGGDS5rQ?authuser=0&hl=ko&rclk=1,1581,4.7
3,Vietnam,Bac Giang,므엉타잉박장호텔,,,,,,https://www.google.com/maps/place/%EB%AF%80%EC%97%89%ED%83%80%EC%9E%89%EB%B0%95%EC%9E%A5%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x31356d09b9862cdd:0x725d263ebb64dced!5m2!4m1!1i2!8m2!3d21.2823893!4d106.2033578!16s%2Fg%2F11bv35f_cx!19sChIJ3SyGuQltNTER7dxkuz4mXXI?authuser=0&hl=ko&rclk=1,1227,4.2
4,Vietnam,Bac Giang,Bắc Giang Province Stadium,,,,,,https://www.google.com/maps/place/B%E1%BA%AFc+Giang+Province+Stadium/data=!4m7!3m6!1s0x31356d0dd4bc8f3b:0xf069734d340000b6!8m2!3d21.2806339!4d106.1963552!16s%2Fg%2F11c72jwmrc!19sChIJO4-81A1tNTERtgAANE1zafA?authuser=0&hl=ko&rclk=1,811,4.0
5,Vietnam,Bac Giang,Thành cổ Xương Giang,,,,,,https://www.google.com/maps/place/Th%C3%A0nh+c%E1%BB%95+X%C6%B0%C6%A1ng+Giang/data=!4m7!3m6!1s0x31356d340c95fd2d:0x90eec6d570cea2a4!8m2!3d21.2920103!4d106.2132494!16s%2Fg%2F11cs5wmdz_!19sChIJLf2VDDRtNTERpKLOcNXG7pA?authuser=0&hl=ko&rclk=1,388,4.6
6,Vietnam,Bac Giang,Thuong Market,,,,,,https://www.google.com/maps/place/Thuong+Market/data=!4m7!3m6!1s0x31356d6d77de6bd9:0xb2aafeb226e4b70d!8m2!3d21.2732279!4d106.1930081!16s%2Fg%2F1hc6296dr!19sChIJ2Wved21tNTERDbfkJrL-qrI?authuser=0&hl=ko&rclk=1,347,4.2
7,Vietnam,Bac Giang,Golf Bac Giang,,,,,,https://www.google.com/maps/place/Golf+Bac+Giang/data=!4m7!3m6!1s0x313572e415727eb9:0xc0bcd3112cbb4f85!8m2!3d21.2138268!4d106.1820298!16s%2Fg%2F11csp9dtcr!19sChIJuX5yFeRyNTERhU-7LBHTvMA?authuser=0&hl=ko&rclk=1,315,3.9
8,Vietnam,Bac Giang,Lotte Cinema Bắc Giang,,,,,,https://www.google.com/maps/place/Lotte+Cinema+B%E1%BA%AFc+Giang/data=!4m7!3m6!1s0x31356d9c4a64e8b7:0x48975daeab212230!8m2!3d21.2669754!4d106.2079834!16s%2Fg%2F11bx8j8yk9!19sChIJt-hkSpxtNTERMCIhq65dl0g?authuser=0&hl=ko&rclk=1,303,4.2
9,Vietnam,Bac Giang,Chợ Giang Liễu,,,,,,https://www.google.com/maps/place/Ch%E1%BB%A3+Giang+Li%E1%BB%85u/data=!4m7!3m6!1s0x31350b646d912395:0x11986b988634c863!8m2!3d21.1607629!4d106.1271615!16s%2Fg%2F11b7sn08ws!19sChIJlSORbWQLNTERY8g0hphrmBE?authuser=0&hl=ko&rclk=1,267,4.0
10,Vietnam,Bac Giang,Ecological Tourist Area Suoi Mo,,,,,,https://www.google.com/maps/place/Ecological+Tourist+Area+Suoi+Mo/data=!4m7!3m6!1s0x31356300f1937321:0xb933a6997bde9381!8m2!3d21.2748406!4d106.4844499!16s%2Fg%2F1td7f60c!19sChIJIXOT8QBjNTERgZPee5mmM7k?authuser=0&hl=ko&rclk=1,229,4.3
11,Vietnam,Bac Giang,Nhà Thi Đấu Thể Thao Tỉnh Bắc Giang,,,,,,https://www.google.com/maps/place/Nh%C3%A0+Thi+%C4%90%E1%BA%A5u+Th%E1%BB%83+Thao+T%E1%BB%89nh+B%E1%BA%AFc+Giang/data=!4m7!3m6!1s0x31356d406a4309cb:0xbc488a7dc1ff7b39!8m2!3d21.2767553!4d106.2228792!16s%2Fg%2F11f778vs8s!19sChIJywlDakBtNTEROXv_wX2KSLw?authuser=0&hl=ko&rclk=1,228,4.5
12,Vietnam,Bac Giang,Khu Du Lịch Sinh Thái Cộng Đồng Bản Ven Xanh,,,,,,https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+C%E1%BB%99ng+%C4%90%E1%BB%93ng+B%E1%BA%A3n+Ven+Xanh/data=!4m7!3m6!1s0x3135393a4c399de3:0xbb64b0642cf70a86!8m2!3d21.5932486!4d106.0794467!16s%2Fg%2F11sb0n8t8k!19sChIJ4505TDo5NTERhgr3LGSwZLs?authuser=0&hl=ko&rclk=1,222,4.2
13,Vietnam,Bac Giang,Ke Market,,,,,,https://www.google.com/maps/place/Ke+Market/data=!4m7!3m6!1s0x31356dba82cf4301:0xf168a2f543aa322d!8m2!3d21.2870835!4d106.2298187!16s%2Fg%2F1tgdl0mv!19sChIJAUPPgrptNTERLTKqQ_WiaPE?authuser=0&hl=ko&rclk=1,221,4.2
14,Vietnam,Bac Giang,Tháp đồng hồ Rùa Vàng City,,,,,,https://www.google.com/maps/place/Th%C3%A1p+%C4%91%E1%BB%93ng+h%E1%BB%93+R%C3%B9a+V%C3%A0ng+City/data=!4m7!3m6!1s0x3135693f84c21c6f:0x2259ec8a5d271548!8m2!3d21.3493541!4d106.2554033!16s%2Fg%2F11nxpyk1nt!19sChIJbxzChD9pNTERSBUnXYrsWSI?authuser=0&hl=ko&rclk=1,213,4.5
15,Vietnam,Bac Giang,박장역(北江驛),,,,,,https://www.google.com/maps/place/%EB%B0%95%EC%9E%A5%EC%97%AD%28%E5%8C%97%E6%B1%9F%E9%A9%9B%29/data=!4m7!3m6!1s0x31356d12601cf5b9:0x4e9875ab07083cae!8m2!3d21.2787594!4d106.1918249!16s%2Fm%2F0cc923_!19sChIJufUcYBJtNTERrjwIB6t1mE4?authuser=0&hl=ko&rclk=1,194,4.0
16,Vietnam,Bac Giang,Tho Ha Village Communal House,,,,,,https://www.google.com/maps/place/Tho+Ha+Village+Communal+House/data=!4m7!3m6!1s0x31350e60684d32f7:0x115f1dc4330025!8m2!3d21.202987!4d106.0423186!16s%2Fg%2F11btlsqgtd!19sChIJ9zJNaGAONTERJQAzxB1fEQA?authuser=0&hl=ko&rclk=1,179,4.4
17,Vietnam,Bac Giang,Thác Thùm Thùm,,,,,,https://www.google.com/maps/place/Th%C3%A1c+Th%C3%B9m+Th%C3%B9m/data=!4m7!3m6!1s0x31356325aee71c15:0xc634aeaf50d81b86!8m2!3d21.2446724!4d106.4743427!16s%2Fg%2F1hc1mm53m!19sChIJFRznriVjNTERhhvYUK-uNMY?authuser=0&hl=ko&rclk=1,159,4.2
18,Vietnam,Bac Giang,Đền Dành,,,,,,https://www.google.com/maps/place/%C4%90%E1%BB%81n+D%C3%A0nh/data=!4m7!3m6!1s0x31356b50149f8203:0xe339f3f7249dd933!8m2!3d21.3575806!4d106.1687892!16s%2Fg%2F11b708m1fz!19sChIJA4KfFFBrNTERM9mdJPfzOeM?authuser=0&hl=ko&rclk=1,145,4.8
19,Vietnam,Bac Giang,SojoHotel Bac Giang,,,,,,https://www.google.com/maps/place/SojoHotel+Bac+Giang/data=!4m10!3m9!1s0x31356d4ebcbc11f1:0x97ab29e1f2e4d629!5m2!4m1!1i2!8m2!3d21.2766819!4d106.1945114!16s%2Fg%2F11kmqkfk7d!19sChIJ8RG8vE5tNTERKdbk8uEpq5c?authuser=0&hl=ko&rclk=1,128,4.8
20,Vietnam,Bac Giang,박장신문사(北江報),,,,,,https://www.google.com/maps/place/%EB%B0%95%EC%9E%A5%EC%8B%A0%EB%AC%B8%EC%82%AC%28%E5%8C%97%E6%B1%9F%E5%A0%B1%29/data=!4m7!3m6!1s0x31356d0d6ed39309:0x36dfd7e10dac4d4!8m2!3d21.2774249!4d106.1947897!16s%2Fg%2F1tm102gr!19sChIJCZPTbg1tNTER1MTaEH79bQM?authuser=0&hl=ko&rclk=1,128,4.0
