data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Bac Ha,박하 시장,,,,,,https://www.google.com/maps/place/%EB%B0%95%ED%95%98+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x36cce2a5f7675f11:0x494580acd7f22574!8m2!3d22.534914!4d104.292839!16s%2Fg%2F11c6dwd_d0!19sChIJEV9n96XizDYRdCXy16yARUk?authuser=0&hl=ko&rclk=1,1838,4.3
2,Vietnam,Bac Ha,Lac Ba Be,,,열대의 푸른 잎으로 둘러싸인 넓은 정글 호수에서 여러 개의 계단식 폭포를 볼 수 있습니다.,,,https://www.google.com/maps/place/Lac+Ba+Be/data=!4m7!3m6!1s0x36cb1aca9a2c82a3:0xb792a986b5043701!8m2!3d22.4119661!4d105.6133961!16s%2Fm%2F03cg8vy!19sChIJo4IsmsoayzYRATcEtYapkrc?authuser=0&hl=ko&rclk=1,983,4.5
3,Vietnam,Bac Ha,Thung lũng hoa Bắc Hà,,,,,,https://www.google.com/maps/place/Thung+l%C5%A9ng+hoa+B%E1%BA%AFc+H%C3%A0/data=!4m7!3m6!1s0x36cce2b0c3b77fc5:0xbd53c428b758dfdb!8m2!3d22.5323145!4d104.3086015!16s%2Fg%2F11c4wwmq12!19sChIJxX-3w7DizDYR299YtyjEU70?authuser=0&hl=ko&rclk=1,893,3.8
4,Vietnam,Bac Ha,베트남 최북단,,,,,,https://www.google.com/maps/place/%EB%B2%A0%ED%8A%B8%EB%82%A8+%EC%B5%9C%EB%B6%81%EB%8B%A8/data=!4m7!3m6!1s0x36c95f4fc69802e3:0xa2930ab3e99ea3c2!8m2!3d23.3825604!4d105.3222182!16s%2Fg%2F11bw4sl61y!19sChIJ4wKYxk9fyTYRwqOe6bMKk6I?authuser=0&hl=ko&rclk=1,653,4.7
5,Vietnam,Bac Ha,Fanxipan Mountain,,,,,,https://www.google.com/maps/place/Fanxipan+Mountain/data=!4m7!3m6!1s0x36cd447dbb9edf8d:0xb1e8f8dda6932eac!8m2!3d22.3046344!4d103.7772983!16s%2Fg%2F1hjh99b7j!19sChIJjd-eu31EzTYRrC6Tpt346LE?authuser=0&hl=ko&rclk=1,454,4.7
6,Vietnam,Bac Ha,Bac Ha Trekking Tour,,,,,,https://www.google.com/maps/place/Bac+Ha+Trekking+Tour/data=!4m7!3m6!1s0x36cce2a8b9882271:0x97434591357bb63!8m2!3d22.5371076!4d104.2916828!16s%2Fg%2F11bw4s2_16!19sChIJcSKIuajizDYRY7tXE1k0dAk?authuser=0&hl=ko&rclk=1,349,4.1
7,Vietnam,Bac Ha,Bảo Tàng Con Đường Hạnh Phúc,,,,,,https://www.google.com/maps/place/B%E1%BA%A3o+T%C3%A0ng+Con+%C4%90%C6%B0%E1%BB%9Dng+H%E1%BA%A1nh+Ph%C3%BAc/data=!4m7!3m6!1s0x36cbe778c5d0a941:0xd534964062fdc751!8m2!3d23.2497358!4d105.3938815!16s%2Fg%2F11h7q45d91!19sChIJQanQxXjnyzYRUcf9YkCWNNU?authuser=0&hl=ko&rclk=1,313,4.4
8,Vietnam,Bac Ha,Coc Ly Tuesday Market,,,,,,https://www.google.com/maps/place/Coc+Ly+Tuesday+Market/data=!4m7!3m6!1s0x36cd1c7961817633:0xa168536c804a34be!8m2!3d22.5022141!4d104.1983368!16s%2Fg%2F11bwqlk0vl!19sChIJM3aBYXkczTYRvjRKgGxTaKE?authuser=0&hl=ko&rclk=1,200,4.0
9,Vietnam,Bac Ha,Lung Phinh Market,,,,,,https://www.google.com/maps/place/Lung+Phinh+Market/data=!4m7!3m6!1s0x36ccfda90a3da0a3:0xde7971908b32a7c4!8m2!3d22.5934534!4d104.3250657!16s%2Fg%2F11dy1ncmbh!19sChIJo6A9Cqn9zDYRxKcyi5Bxed4?authuser=0&hl=ko&rclk=1,174,4.1
10,Vietnam,Bac Ha,Sapa Heaven Gate,,,,,,https://www.google.com/maps/place/Sapa+Heaven+Gate/data=!4m7!3m6!1s0x36cd43404526bf77:0x635e0cb2cd8b99ef!8m2!3d22.3523571!4d103.7653944!16s%2Fg%2F11h0g_kzw0!19sChIJd78mRUBDzTYR75mLzbIMXmM?authuser=0&hl=ko&rclk=1,162,4.1
