data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Bac Ninh,탕롱황성(昇龍皇城),,,제국의 요새 단지에 탑과 돌로 조각한 용과 같은 11세기 건물과 조각품이 있습니다.,,,https://www.google.com/maps/place/%ED%83%95%EB%A1%B1%ED%99%A9%EC%84%B1%28%E6%98%87%E9%BE%8D%E7%9A%87%E5%9F%8E%29/data=!4m7!3m6!1s0x3135aba3381d7c49:0xb521a7d98f582937!8m2!3d21.0352231!4d105.8402594!16s%2Fm%2F05zw9vk!19sChIJSXwdOKOrNTERNylYj9mnIbU?authuser=0&hl=ko&rclk=1,14625,4.4
2,Vietnam,Bac Ninh,베트남 민족학박물관,,,베트남의 다양한 문화를 전시하는 민족 박물관으로 정원과 레스토랑이 있습니다.,,,https://www.google.com/maps/place/%EB%B2%A0%ED%8A%B8%EB%82%A8+%EB%AF%BC%EC%A1%B1%ED%95%99%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x3135ab394353b821:0x47c950bb0f081a1c!8m2!3d21.0403422!4d105.7987354!16s%2Fm%2F03c23m3!19sChIJIbhTQzmrNTERHBoID7tQyUc?authuser=0&hl=ko&rclk=1,13073,4.6
3,Vietnam,Bac Ninh,바쭈아코사원,,,여신을 모시는 유서 깊은 사원으로 정교한 사당과 금박을 입힌 신상이 있고 연례행사가 열립니다.,,,https://www.google.com/maps/place/%EB%B0%94%EC%AD%88%EC%95%84%EC%BD%94%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x31350c381f792de3:0x445ed54e38660185!8m2!3d21.2049918!4d106.0856166!16s%2Fm%2F0knljrx!19sChIJ4y15HzgMNTERhQFmOE7VXkQ?authuser=0&hl=ko&rclk=1,4376,4.6
4,Vietnam,Bac Ninh,황화탐공원,,,"자전거 도로, 놀이터, 중앙 호수, 골프 연습장이 있는 도심 공원입니다.",,,https://www.google.com/maps/place/%ED%99%A9%ED%99%94%ED%83%90%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x31356d9f9cab77cd:0xcff50e72f95ba29a!8m2!3d21.2718238!4d106.2061546!16s%2Fg%2F1td__ypq!19sChIJzXernJ9tNTERmqJb-XIO9c8?authuser=0&hl=ko&rclk=1,3964,4.4
5,Vietnam,Bac Ninh,Kinh Bac Cultural Center,,,,,,https://www.google.com/maps/place/Kinh+Bac+Cultural+Center/data=!4m7!3m6!1s0x31350c10e6162693:0x80c3a43bc90d0b70!8m2!3d21.1877153!4d106.0789495!16s%2Fg%2F119vv2c63!19sChIJkyYW5hAMNTERcAsNyTukw4A?authuser=0&hl=ko&rclk=1,3337,4.4
6,Vietnam,Bac Ninh,Chùa Phật Tích,,,거대한 야외 석조 불상과 높은 탑이 있는 사원으로 정원에는 코이 잉어가 사는 연못이 있습니다.,,,https://www.google.com/maps/place/Ch%C3%B9a+Ph%E1%BA%ADt+T%C3%ADch/data=!4m7!3m6!1s0x31350993e1e8f201:0x1699f86afdf6e515!8m2!3d21.0938278!4d106.0261107!16s%2Fm%2F063zm07!19sChIJAfLo4ZMJNTERFeX2_Wr4mRY?authuser=0&hl=ko&rclk=1,2519,4.5
7,Vietnam,Bac Ninh,빈컴 플라자 박닌,,,,,,https://www.google.com/maps/place/%EB%B9%88%EC%BB%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%EB%B0%95%EB%8B%8C/data=!4m7!3m6!1s0x31350c043978fa17:0x24f7e1c61eddf4b!8m2!3d21.1783389!4d106.072202!16s%2Fg%2F11hbt63xj0!19sChIJF_p4OQQMNTERS9_tYRx-TwI?authuser=0&hl=ko&rclk=1,2275,4.3
8,Vietnam,Bac Ninh,Chùa Dâu,,,베트남에서 가장 오래된 불탑으로 유명하며 일부는 서기 2세기에 지어졌습니다.,,,https://www.google.com/maps/place/Ch%C3%B9a+D%C3%A2u/data=!4m7!3m6!1s0x3135a728d52208b1:0xdb6c875878fa71be!8m2!3d21.0355286!4d106.042591!16s%2Fm%2F0pkzxw5!19sChIJsQgi1SinNTERvnH6eFiHbNs?authuser=0&hl=ko&rclk=1,2211,4.6
9,Vietnam,Bac Ninh,다바코마트 박닌점,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EB%B0%94%EC%BD%94%EB%A7%88%ED%8A%B8+%EB%B0%95%EB%8B%8C%EC%A0%90/data=!4m7!3m6!1s0x31350eaaa817db0d:0xc6880b0153df73cf!8m2!3d21.1732358!4d106.0646456!16s%2Fg%2F1tp05ktp!19sChIJDdsXqKoONTERz3PfUwELiMY?authuser=0&hl=ko&rclk=1,1681,3.9
10,Vietnam,Bac Ninh,Thành Chương's Viet Palace,,,연못과 푸르른 정원에 둘러싸인 전통 건축물을 복원한 곳으로 골동품과 예술 작품을 볼 수 있습니다.,,,https://www.google.com/maps/place/Th%C3%A0nh+Ch%C6%B0%C6%A1ng%27s+Viet+Palace/data=!4m7!3m6!1s0x313502b847f606d3:0xd16d8df025ee1884!8m2!3d21.2766945!4d105.8031905!16s%2Fg%2F11f282ttdx!19sChIJ0wb2R7gCNTERhBjuJfCNbdE?authuser=0&hl=ko&rclk=1,1663,4.3
11,Vietnam,Bac Ninh,호치민 관저,,,공산주의자로 활동한 호찌민이 거주했던 깔끔한 기둥형 주택으로 유물과 정원이 있으며 투어가 진행됩니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%B9%98%EB%AF%BC+%EA%B4%80%EC%A0%80/data=!4m7!3m6!1s0x3135aba6cb40909b:0x15d0fe7c07f55c3b!8m2!3d21.0381582!4d105.8331705!16s%2Fg%2F12xq69yv7!19sChIJm5BAy6arNTERO1z1B3z-0BU?authuser=0&hl=ko&rclk=1,1316,4.5
12,Vietnam,Bac Ninh,Di tích Cửa Bắc-Hà Nội,,,19세기 응우옌 왕조 시대에 벽돌로 만든 아치형 북문으로 옛날 하노이의 중심지 역할을 했습니다.,,,https://www.google.com/maps/place/Di+t%C3%ADch+C%E1%BB%ADa+B%E1%BA%AFc-H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3135abbad46fffff:0xc82ebac0a5dda0c3!8m2!3d21.0405472!4d105.8410016!16s%2Fg%2F1222zn1w!19sChIJ__9v1LqrNTERw6DdpcC6Lsg?authuser=0&hl=ko&rclk=1,1089,4.5
13,Vietnam,Bac Ninh,Nhà Hàng Hà Phong,,,,,,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0+Phong/data=!4m7!3m6!1s0x31350eaa0f58342b:0xbdcdb462a4e0e0fa!8m2!3d21.1741744!4d106.0578238!16s%2Fg%2F1tdp2j14!19sChIJKzRYD6oONTER-uDgpGK0zb0?authuser=0&hl=ko&rclk=1,933,4.1
14,Vietnam,Bac Ninh,Bac Ninh Cathedral,,,,,,https://www.google.com/maps/place/Bac+Ninh+Cathedral/data=!4m7!3m6!1s0x31350ea9bea52b0f:0x51593f94773364f4!8m2!3d21.1802299!4d106.0623281!16s%2Fg%2F1n3dw82b_!19sChIJDyulvqkONTER9GQzd5Q_WVE?authuser=0&hl=ko&rclk=1,921,4.5
