data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Binh Thuan,ZooDoo Zoo,,,,,,https://www.google.com/maps/place/ZooDoo+Zoo/data=!4m7!3m6!1s0x317108f65aa14ad9:0x7d971942e209c206!8m2!3d12.1120052!4d108.5861358!16s%2Fg%2F11g8p0ndfk!19sChIJ2UqhWvYIcTERBsIJ4kIZl30?authuser=0&hl=ko&rclk=1,5843,4.3
2,Vietnam,Binh Thuan,Lâu đài rượu vang RD Phan Thiết - Mũi Né,,,,,,https://www.google.com/maps/place/L%C3%A2u+%C4%91%C3%A0i+r%C6%B0%E1%BB%A3u+vang+RD+Phan+Thi%E1%BA%BFt+-+M%C5%A9i+N%C3%A9/data=!4m7!3m6!1s0x317684db87bd9ced:0x2f7a79e7084692fd!8m2!3d10.9474643!4d108.1819972!16s%2Fg%2F11b726v1bm!19sChIJ7Zy9h9uEdjER_ZJGCOd5ei8?authuser=0&hl=ko&rclk=1,4925,4.2
3,Vietnam,Binh Thuan,붉은모래사막,,,바다가 내려다보이는 인상적인 사구 지대로 모래 썰매 타기와 아름다운 일몰 풍경으로 유명합니다.,,,https://www.google.com/maps/place/%EB%B6%89%EC%9D%80%EB%AA%A8%EB%9E%98%EC%82%AC%EB%A7%89/data=!4m7!3m6!1s0x31768fac53024b1b:0x153b24c8ad4ca418!8m2!3d10.9492961!4d108.2963502!16s%2Fg%2F11j490y2lh!19sChIJG0sCU6yPdjERGKRMrcgkOxU?authuser=0&hl=ko&rclk=1,4782,4.0
4,Vietnam,Binh Thuan,Doi Duong Beach,,,,,,https://www.google.com/maps/place/Doi+Duong+Beach/data=!4m7!3m6!1s0x3176830a7d2b5d53:0x4a0851115bfe6583!8m2!3d10.9242215!4d108.1150157!16s%2Fg%2F11cfjrnj_!19sChIJU10rfQqDdjERg2X-WxFRCEo?authuser=0&hl=ko&rclk=1,4091,4.2
5,Vietnam,Binh Thuan,Cam Binh Beach,,,,,,https://www.google.com/maps/place/Cam+Binh+Beach/data=!4m7!3m6!1s0x3175c632472a73e7:0xde4fae948ccf11ec!8m2!3d10.6316616!4d107.7211005!16s%2Fg%2F1hc737m0r!19sChIJ53MqRzLGdTER7BHPjJSuT94?authuser=0&hl=ko&rclk=1,3875,3.9
6,Vietnam,Binh Thuan,Dai Nam Zoo,,,,,,https://www.google.com/maps/place/Dai+Nam+Zoo/data=!4m7!3m6!1s0x3174d203c44ae929:0xe52e32c0eb624876!8m2!3d11.0487616!4d106.625251!16s%2Fg%2F1hc6ppn3v!19sChIJKelKxAPSdDERdkhi68AyLuU?authuser=0&hl=ko&rclk=1,3772,4.4
7,Vietnam,Binh Thuan,Bãi đá Ông Địa,,,"카이트서핑, 패러세일링과 같은 레저 활동으로 유명한 해안 지역입니다.",,,https://www.google.com/maps/place/B%C3%A3i+%C4%91%C3%A1+%C3%94ng+%C4%90%E1%BB%8Ba/data=!4m7!3m6!1s0x317684e3e2b75663:0x144b665eea92a03c!8m2!3d10.9367259!4d108.1843512!16s%2Fg%2F12z65vv8s!19sChIJY1a34uOEdjERPKCS6l5mSxQ?authuser=0&hl=ko&rclk=1,3314,4.3
8,Vietnam,Binh Thuan,판티엣 중앙시장,,,,,,https://www.google.com/maps/place/%ED%8C%90%ED%8B%B0%EC%97%A3+%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31768373f34bb143:0xbb59c98a2dec906f!8m2!3d10.9256323!4d108.0963841!16s%2Fg%2F11f9y5vmrf!19sChIJQ7FL83ODdjERb5DsLYrJWbs?authuser=0&hl=ko&rclk=1,3062,4.3
9,Vietnam,Binh Thuan,무이네 어촌시장,,,,,,https://www.google.com/maps/place/%EB%AC%B4%EC%9D%B4%EB%84%A4+%EC%96%B4%EC%B4%8C%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31768fcbfdce4a8d:0xda181fa599ff193c!8m2!3d10.9403776!4d108.2796535!16s%2Fg%2F11bt_k18j4!19sChIJjUrO_cuPdjERPBn_maUfGNo?authuser=0&hl=ko&rclk=1,2835,3.8
10,Vietnam,Binh Thuan,Du Lịch Sinh Thái Bàu Trắng Minh Thái,,,,,,https://www.google.com/maps/place/Du+L%E1%BB%8Bch+Sinh+Tha%CC%81i+B%C3%A0u+Tr%E1%BA%AFng+Minh+Th%C3%A1i/data=!4m7!3m6!1s0x3176eb34b5eed4d7:0xc52e26c600668ea6!8m2!3d11.0609478!4d108.4279477!16s%2Fg%2F11clwnlspr!19sChIJ19TutTTrdjERpo5mAMYmLsU?authuser=0&hl=ko&rclk=1,2716,4.2
11,Vietnam,Binh Thuan,Bình Sơn Sea Park,,,,,,https://www.google.com/maps/place/B%C3%ACnh+S%C6%A1n+Sea+Park/data=!4m7!3m6!1s0x3170cfb5a24c90a5:0xacfb5e328ce3f937!8m2!3d11.5638631!4d109.0232035!16s%2Fg%2F1vmqzwlq!19sChIJpZBMorXPcDERN_njjDJe-6w?authuser=0&hl=ko&rclk=1,2674,4.3
12,Vietnam,Binh Thuan,Ke Ga Cape,,,,,,https://www.google.com/maps/place/Ke+Ga+Cape/data=!4m7!3m6!1s0x3175d68fad3d4809:0x315cf1774b56da33!8m2!3d10.6994252!4d107.9929762!16s%2Fg%2F12269fx_!19sChIJCUg9rY_WdTERM9pWS3fxXDE?authuser=0&hl=ko&rclk=1,2546,4.3
