data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Can Tho,Ninh Kieu Wharf,,,"북적이는 강변 공원과 산책로를 따라 화원, 수상 시장, 길거리 음식 가판대가 늘어서 있습니다.",,,https://www.google.com/maps/place/Ninh+Kieu+Wharf/data=!4m7!3m6!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77!19sChIJcT7kqphioDERXSiCxdpLpsY?authuser=0&hl=ko&rclk=1,14129,4.4
2,Vietnam,Can Tho,Luu Huu Phuoc Park,,,"도심에 위치한 녹지이자 인기 축제 장소로, 스포츠, 산책, 피크닉, 운동을 즐기는 방문객이 모입니다.",,,https://www.google.com/maps/place/Luu+Huu+Phuoc+Park/data=!4m7!3m6!1s0x31a088201d6fb47d:0x386e8daf62eeb4a8!8m2!3d10.0326801!4d105.7811579!16s%2Fg%2F1td10r_6!19sChIJfbRvHSCIoDERqLTuYq-Nbjg?authuser=0&hl=ko&rclk=1,5376,4.4
3,Vietnam,Can Tho,까이랑 수상시장,,,"배를 탄 행상 수백 명이 과일, 야채, 뜨거운 음식을 판매하는 다채롭고 북적이는 시장입니다.",,,https://www.google.com/maps/place/%EA%B9%8C%EC%9D%B4%EB%9E%91+%EC%88%98%EC%83%81%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31a089afb6342d8d:0xcdb2b569f5f13898!8m2!3d10.0050363!4d105.7459816!16s%2Fg%2F122qmlw5!19sChIJjS00tq-JoDERmDjx9Wm1ss0?authuser=0&hl=ko&rclk=1,5348,4.1
4,Vietnam,Can Tho,Trúc Lâm Phương Nam Zen Monastery,,,,,,https://www.google.com/maps/place/Tr%C3%BAc+L%C3%A2m+Ph%C6%B0%C6%A1ng+Nam+Zen+Monastery/data=!4m7!3m6!1s0x31a089466860f259:0xfeda73cf27058a98!8m2!3d9.9904208!4d105.7039445!16s%2Fg%2F1q6fx1s72!19sChIJWfJgaEaJoDERmIoFJ89z2v4?authuser=0&hl=ko&rclk=1,5286,4.5
5,Vietnam,Can Tho,My Khanh Tourist Village,,,,,,https://www.google.com/maps/place/My+Khanh+Tourist+Village/data=!4m7!3m6!1s0x31a089ae6c592dbb:0x5475c9775633f9fe!8m2!3d9.9906359!4d105.7062033!16s%2Fg%2F1td_w2gr!19sChIJuy1ZbK6JoDER_vkzVnfJdVQ?authuser=0&hl=ko&rclk=1,4598,3.9
6,Vietnam,Can Tho,Vincom Plaza Xuân Khánh,,,,,,https://www.google.com/maps/place/Vincom+Plaza+Xu%C3%A2n+Kh%C3%A1nh/data=!4m7!3m6!1s0x31a08820e288dc5b:0x301560920bedaf72!8m2!3d10.0247075!4d105.7749292!16s%2Fg%2F11b7q5_73l!19sChIJW9yI4iCIoDERcq_tC5JgFTA?authuser=0&hl=ko&rclk=1,4206,4.4
7,Vietnam,Can Tho,Song Hau Park,,,,,,https://www.google.com/maps/place/Song+Hau+Park/data=!4m7!3m6!1s0x31a062bace665131:0xd83b259e10eb81dd!8m2!3d10.0493781!4d105.7909928!16s%2Fg%2F11h1pxr9g!19sChIJMVFmzrpioDER3YHrEJ4lO9g?authuser=0&hl=ko&rclk=1,2307,4.4
8,Vietnam,Can Tho,Chợ nổi,,,,,,https://www.google.com/maps/place/Ch%E1%BB%A3+n%E1%BB%95i/data=!4m7!3m6!1s0x31a08930ad9f1ed1:0x20e05ef33fbd4a73!8m2!3d9.9988135!4d105.7433324!16s%2Fg%2F11mhdjn2qg!19sChIJ0R6frTCJoDERc0q9P_Ne4CA?authuser=0&hl=ko&rclk=1,2306,4.2
9,Vietnam,Can Tho,CGV Vincom Xuân Khánh,,,,,,https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/data=!4m7!3m6!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101!19sChIJrY_ByiWIoDERmM_G3MbWafA?authuser=0&hl=ko&rclk=1,1508,4.4
10,Vietnam,Can Tho,Vincom Plaza,,,,,,https://www.google.com/maps/place/Vincom+Plaza/data=!4m7!3m6!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq!19sChIJgzB75AKIoDERdpVcKANabls?authuser=0&hl=ko&rclk=1,1483,4.3
