data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Da Lat,다딴라 폭포(Datanla Waterfall),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,홈페이지: https://dalattourist.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJQTO5pKEUcTERZcAVKbeOzvg,20568,4.3
2,Vietnam,Da Lat,다딴라 폭포,,,"작은 폭포가 모여있고 롤러코스터, 케이블카, 등산로가 있는 경치 좋은 인기 명소입니다.",,,https://www.google.com/maps/place/%EB%8B%A4%EB%94%B4%EB%9D%BC+%ED%8F%AD%ED%8F%AC/data=!4m7!3m6!1s0x317114a1a4b93341:0xf8ce8eb72915c065!8m2!3d11.9039259!4d108.4495704!16s%2Fg%2F1hb_d7my5!19sChIJQTO5pKEUcTERZcAVKbeOzvg?authuser=0&hl=ko&rclk=1,20536,4.3
3,Vietnam,Da Lat,Đường Hầm Điêu Khắc,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 338 985 899 홈페이지: https://dalattourist.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJv2dGwzhrcTERWbixSfB_mD0,14697,4.1
4,Vietnam,Da Lat,사랑의 계곡(Valley Of Love),"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,홈페이지: https://www.klook.com/en-US/activity/75307-valley-of-love-da-lat-admission-ticket/?aid=58993&aff_adid=892868&aff_label1=V%C3%A9%20Tham%20Quan%20Thung%20L%C5%A9ng%20T%C3%ACnh%20Y%C3%AAu%20%E1%BB%9F%20%C4%90%C3%A0%20L%E1%BA%A1t&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=58993&utm_term=&utm_content=&aff_klick_id=73504902775-58993-892868-144e1f8&spm=Activity.TopNavigation.SelectCurrency&clickId=2fe598a318,https://www.google.com/maps/place/?q=place_id:ChIJc6HmQ70ScTER9nFcY5EPR7k,13824,4.4
5,Vietnam,Da Lat,달랏 야시장(Da Lat Night Market),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 263 3821 586,https://www.google.com/maps/place/?q=place_id:ChIJw-dBTv8TcTERPCSnIa35zyE,13782,4.2
6,Vietnam,Da Lat,달랏 야시장,,,"상인들이 생활용품, 건조 제품, 조리된 현지 음식을 판매하는 북적이는 시장입니다.",,,https://www.google.com/maps/place/%EB%8B%AC%EB%9E%8F+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x317113ff4e41e7c3:0x21cff9ad21a7243c!8m2!3d11.9414015!4d108.4372912!16s%2Fg%2F11hylzhqyv!19sChIJw-dBTv8TcTERPCSnIa35zyE?authuser=0&hl=ko&rclk=1,13738,4.2
7,Vietnam,Da Lat,사랑의 계곡,,,독특한 예술작품과 화려한 정원이 있는 낭만적인 공원으로 호수에서 백조 모양 배를 탈 수 있습니다.,,,https://www.google.com/maps/place/%EC%82%AC%EB%9E%91%EC%9D%98+%EA%B3%84%EA%B3%A1/data=!4m7!3m6!1s0x317112bd43e6a173:0xb9470f91635c71f6!8m2!3d11.9777758!4d108.4470352!16s%2Fg%2F122z_vxt!19sChIJc6HmQ70ScTER9nFcY5EPR7k?authuser=0&hl=ko&rclk=1,13726,4.4
8,Vietnam,Da Lat,항응아 빌라(크레이지 하우스),,,,,,https://www.google.com/maps/place/%ED%95%AD%EC%9D%91%EC%95%84+%EB%B9%8C%EB%9D%BC%28%ED%81%AC%EB%A0%88%EC%9D%B4%EC%A7%80+%ED%95%98%EC%9A%B0%EC%8A%A4%29/data=!4m10!3m9!1s0x317113331aee38a5:0x3f766cbad7773c86!5m2!4m1!1i2!8m2!3d11.9347331!4d108.4308805!16s%2Fm%2F0bbvkrv!19sChIJpTjuGjMTcTERhjx317psdj8?authuser=0&hl=ko&rclk=1,13501,4.3
9,Vietnam,Da Lat,Puppy Farm,"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 263 3709 333 홈페이지: https://www.facebook.com/pg/nongtraicun/,https://www.google.com/maps/place/?q=place_id:ChIJ0_q8BhJtcTERbdJWwhlkJPU,11758,4.4
10,Vietnam,Da Lat,고! 달랏,,,,,,https://www.google.com/maps/place/%EA%B3%A0!+%EB%8B%AC%EB%9E%8F/data=!4m7!3m6!1s0x31711324cc1c7593:0xf5f9cd223eca9770!8m2!3d11.9381817!4d108.4446013!16s%2Fg%2F1ptyc_5nf!19sChIJk3UczCQTcTERcJfKPiLN-fU?authuser=0&hl=ko&rclk=1,11648,4.2
