data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Da Lat,다딴라 폭포(Datanla Waterfall),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,홈페이지: https://dalattourist.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJQTO5pKEUcTERZcAVKbeOzvg,20568,4.3
2,Vietnam,Da Lat,Đường Hầm Điêu Khắc,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 338 985 899 홈페이지: https://dalattourist.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJv2dGwzhrcTERWbixSfB_mD0,14697,4.1
3,Vietnam,Da Lat,사랑의 계곡(Valley Of Love),"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,홈페이지: https://www.klook.com/en-US/activity/75307-valley-of-love-da-lat-admission-ticket/?aid=58993&aff_adid=892868&aff_label1=V%C3%A9%20Tham%20Quan%20Thung%20L%C5%A9ng%20T%C3%ACnh%20Y%C3%AAu%20%E1%BB%9F%20%C4%90%C3%A0%20L%E1%BA%A1t&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=58993&utm_term=&utm_content=&aff_klick_id=73504902775-58993-892868-144e1f8&spm=Activity.TopNavigation.SelectCurrency&clickId=2fe598a318,https://www.google.com/maps/place/?q=place_id:ChIJc6HmQ70ScTER9nFcY5EPR7k,13824,4.4
4,Vietnam,Da Lat,달랏 야시장(Da Lat Night Market),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 263 3821 586,https://www.google.com/maps/place/?q=place_id:ChIJw-dBTv8TcTERPCSnIa35zyE,13782,4.2
5,Vietnam,Da Lat,Puppy Farm,"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 263 3709 333 홈페이지: https://www.facebook.com/pg/nongtraicun/,https://www.google.com/maps/place/?q=place_id:ChIJ0_q8BhJtcTERbdJWwhlkJPU,11758,4.4
6,Vietnam,Da Lat,Lâm Viên Square,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJKQb-oyQTcTERiVn-etOO62Y,11297,4.5
7,Vietnam,Da Lat,수오이짠관광지(Spillway of Tuyền Lâm Lake),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJQcvL-n2OpzER-x9SuaGmArk,9507,4.2
8,Vietnam,Da Lat,Linh Phuoc Pagoda,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ24TIxRsTcTERG9_-OgIyiSA,9466,4.6
9,Vietnam,Da Lat,바오다이황제여름별장(Dinh III Bảo Đại),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJD6_GOjUTcTERT0qgP1esodo,7905,4.1
10,Vietnam,Da Lat,Domaine de Marie,"월, 화, 수, 목, 금, 토, 일: 7:30 – 11:30 AM, 1:30 – 5:30 PM (unparsed)",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ94S-Y9UScTER509fieB9s5I,6627,4.6
11,Vietnam,Da Lat,Bao Dai Palace 1,,,,,국제전화번호: +84 901 556 915 홈페이지: http://dinhbaodai.com/,https://www.google.com/maps/place/?q=place_id:ChIJES1bgwETcTERmuKW99fNdIc,6071,4.3
12,Vietnam,Da Lat,ZooDoo Zoo,"월, 화, 수, 목, 금, 토, 일: 08:00~16:00",,,,국제전화번호: +84 979 110 007 홈페이지: https://www.zoodoodalat.com/,https://www.google.com/maps/place/?q=place_id:ChIJ2UqhWvYIcTERBsIJ4kIZl30,5765,4.3
13,Vietnam,Da Lat,Mongo Land Dalat,"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,국제전화번호: +84 983 577 377,https://www.google.com/maps/place/?q=place_id:ChIJ5T-k5YBtcTERonwbdDhPzUg,5035,4.4
14,Vietnam,Da Lat,Garden hydrangeas,"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1aNbAC0ScTER4LPDF4K-nW8,4188,4.2
15,Vietnam,Da Lat,달랏 케이블카역(Da Lat Cable Car Station),"월, 화, 수, 목, 금: 7:30 – 11:45 AM, 1:00 – 4:45 PM (unparsed); 토, 일: 07:30~16:45",,,,국제전화번호: +84 263 3837 938 홈페이지: https://www.dalattourist.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJE8cuCEcTcTERB0WLwyEghrw,3452,4.3
16,Vietnam,Da Lat,링언사(靈隱寺)(Linh Ẩn Pagoda),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 986 618 889,https://www.google.com/maps/place/?q=place_id:ChIJ957z5P9BcTERJEaADqvwbC8,3441,4.7
17,Vietnam,Da Lat,Maple Leaf tourist area,"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 907 592 603,https://www.google.com/maps/place/?q=place_id:ChIJKbqQUD4TcTERUAXkyRkE5Ss,3256,4.1
18,Vietnam,Da Lat,Thiền viện Vạn Hạnh,"월, 화, 수, 목, 금, 토, 일: 07:00~19:00",,,,국제전화번호: +84 263 3826 487,https://www.google.com/maps/place/?q=place_id:ChIJH_7rytsScTER5rbDMu7mYGQ,2952,4.5
19,Vietnam,Da Lat,달랏역(Da Lat Railway Station),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJg63CWVQScTER-2-TYuyq4PY,2856,4.3
20,Vietnam,Da Lat,Khu du lịch Fresh Garden Dalat,"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 908 974 949 홈페이지: https://freshdalat.vn/,https://www.google.com/maps/place/?q=place_id:ChIJzXuSUrZtcTERMCq6MmWKNTg,2746,4.2
