data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Da Nang,N서울타워(N Seoul Tower),"월, 화, 수, 목, 금, 일: 10:00~23:00; 토: 10:00~00:00",,,,국제전화번호: +82 2-3455-9277 홈페이지: http://www.nseoultower.co.kr/,https://www.google.com/maps/place/?q=place_id:ChIJqWqOqFeifDURpYJ5LnxX-Fw,59368,4.5
2,Vietnam,Da Nang,바나힐 썬월드(Ba Na Hills SunWorld),"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,국제전화번호: +84 905 766 777 홈페이지: https://www.banahills.com.vn/en,https://www.google.com/maps/place/?q=place_id:ChIJyUQ4aw72QTERCXl5YV-4U1w,44291,4.5
3,Vietnam,Da Nang,바나힐 썬월드,,,스릴 넘치는 놀이기구와 케이블카가 있는 놀이공원으로 골드 브리지에서는 탁 트인 산 전망을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%EB%B0%94%EB%82%98%ED%9E%90+%EC%8D%AC%EC%9B%94%EB%93%9C/data=!4m7!3m6!1s0x3141f60e6b3844c9:0x5c53b85f61797909!8m2!3d16.0265144!4d108.0327972!16s%2Fg%2F11b6_zyfvd!19sChIJyUQ4aw72QTERCXl5YV-4U1w?authuser=0&hl=ko&rclk=1,44287,4.5
4,Vietnam,Da Nang,마블마운틴(The Marble Mountains),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 236 3961 114 홈페이지: https://nguhanhson.org/,https://www.google.com/maps/place/?q=place_id:ChIJ2y5L4dQNQjERxeSLc68fbrw,28678,4.3
5,Vietnam,Da Nang,마블마운틴,,,"여러 개의 동굴, 정교한 사원, 멋진 전망을 갖추고 있으며 5개의 대리석 산맥이 연결되어 있습니다.",,,https://www.google.com/maps/place/%EB%A7%88%EB%B8%94%EB%A7%88%EC%9A%B4%ED%8B%B4/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0034756!4d108.2645803!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=ko&rclk=1,28676,4.3
6,Vietnam,Da Nang,바나 힐(Ba Na Hills),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://www.klook.com/en-US/activity/13283-ba-na-hills-ticket-da-nang/?aid=30843&aff_adid=636529&aff_label1=v%C3%A9%20b%C3%A0%20n%C3%A0%20hill&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=24595325149-30843-636529-ade0c6d&spm=Activity.TopNavigation.SelectCurrency&clickId=189cb3f01d,https://www.google.com/maps/place/?q=place_id:ChIJyWFmArX3QTERon6tUT6re4Q,21118,4.6
7,Vietnam,Da Nang,바나 힐,,,,,,https://www.google.com/maps/place/%EB%B0%94%EB%82%98+%ED%9E%90/data=!4m7!3m6!1s0x3141f7b5026661c9:0x847bab3e51ad7ea2!8m2!3d15.9951358!4d107.9961386!16s%2Fm%2F0gfdsrk!19sChIJyWFmArX3QTERon6tUT6re4Q?authuser=0&hl=ko&rclk=1,21109,4.6
8,Vietnam,Da Nang,안방 해변(An Bang Beach),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJq5ZTbfkNQjER77EyOpeeDe0,14429,4.3
9,Vietnam,Da Nang,미케비치,,,,,,https://www.google.com/maps/place/%EB%AF%B8%EC%BC%80%EB%B9%84%EC%B9%98/data=!4m7!3m6!1s0x314217c69fbdb1e7:0x18a48929cb06c1de!8m2!3d16.0643167!4d108.2465468!16s%2Fg%2F11b8zr4hg4!19sChIJ57G9n8YXQjER3sEGyymJpBg?authuser=0&hl=ko&rclk=1,10119,4.5
10,Vietnam,Da Nang,썬월드 다낭 아시아파크(DA NANG DOWNTOWN),"월, 화, 수, 목, 금, 토, 일: 03:00~22:00",,,,국제전화번호: +84 911 305 568 홈페이지: https://asiapark.sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJF8yRoecZQjERdDBeBdSRD-Y,10020,4.4
