data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Da Nang,N서울타워(N Seoul Tower),"월, 화, 수, 목, 금, 일: 10:00~23:00; 토: 10:00~00:00",,,,국제전화번호: +82 2-3455-9277 홈페이지: http://www.nseoultower.co.kr/,https://www.google.com/maps/place/?q=place_id:ChIJqWqOqFeifDURpYJ5LnxX-Fw,59368,4.5
2,Vietnam,Da Nang,바나힐 썬월드(Ba Na Hills SunWorld),"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,국제전화번호: +84 905 766 777 홈페이지: https://www.banahills.com.vn/en,https://www.google.com/maps/place/?q=place_id:ChIJyUQ4aw72QTERCXl5YV-4U1w,44291,4.5
3,Vietnam,Da Nang,마블마운틴(The Marble Mountains),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 236 3961 114 홈페이지: https://nguhanhson.org/,https://www.google.com/maps/place/?q=place_id:ChIJ2y5L4dQNQjERxeSLc68fbrw,28678,4.3
4,Vietnam,Da Nang,바나 힐(Ba Na Hills),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://www.klook.com/en-US/activity/13283-ba-na-hills-ticket-da-nang/?aid=30843&aff_adid=636529&aff_label1=v%C3%A9%20b%C3%A0%20n%C3%A0%20hill&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=24595325149-30843-636529-ade0c6d&spm=Activity.TopNavigation.SelectCurrency&clickId=189cb3f01d,https://www.google.com/maps/place/?q=place_id:ChIJyWFmArX3QTERon6tUT6re4Q,21118,4.6
5,Vietnam,Da Nang,안방 해변(An Bang Beach),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJq5ZTbfkNQjER77EyOpeeDe0,14429,4.3
6,Vietnam,Da Nang,썬월드 다낭 아시아파크(DA NANG DOWNTOWN),"월, 화, 수, 목, 금, 토, 일: 03:00~22:00",,,,국제전화번호: +84 911 305 568 홈페이지: https://asiapark.sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJF8yRoecZQjERdDBeBdSRD-Y,10020,4.4
7,Vietnam,Da Nang,선짜 야시장(Son Tra Night Market),"월, 화, 수, 목, 금, 토, 일: 17:30~00:00",,,,국제전화번호: +84 912 965 179,https://www.google.com/maps/place/?q=place_id:ChIJvZJYM1oZQjERYP7A83Y59Qg,8930,4
8,Vietnam,Da Nang,서울식물원(Seoul Botanic Park),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~18:00",,,,국제전화번호: +82 2-2104-9716 홈페이지: http://botanicpark.seoul.go.kr/,https://www.google.com/maps/place/?q=place_id:ChIJ6x48UAGdfDURmnBHA9MWdZQ,7475,4.3
9,Vietnam,Da Nang,주석관저식물원(Vườn bách thảo Hà Nội),"월, 화, 수, 목, 금, 토, 일: 05:00~21:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ9sXGqerNTERhMiL59VDKrs,6510,4.2
10,Vietnam,Da Nang,참 박물관(Da Nang Museum of Cham Sculpture),"월, 화, 수, 목, 금, 토, 일: 07:30~17:00",,,,국제전화번호: +84 236 3572 935 홈페이지: http://chammuseum.vn/,https://www.google.com/maps/place/?q=place_id:ChIJLWoAs80ZQjERLKHDYD-ZymI,6324,4.2
