data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Dak Lak,Dray Nur Waterfall,,,,,,https://www.google.com/maps/place/Dray+Nur+Waterfall/data=!4m7!3m6!1s0x31722293c4a21bf5:0x32a4bc75aaeb4738!8m2!3d12.5414316!4d107.8905648!16s%2Fg%2F120s282p!19sChIJ9RuixJMicjEROEfrqnW8pDI?authuser=0&hl=ko&rclk=1,7000,4.5
2,Vietnam,Dak Lak,The World Coffee Museum,,,,,,https://www.google.com/maps/place/The+World+Coffee+Museum/data=!4m7!3m6!1s0x31721d7985c65ab7:0x4a255fac7ca13a88!8m2!3d12.6914726!4d108.0448378!16s%2Fg%2F11gn1vg97f!19sChIJt1rGhXkdcjERiDqhfKxfJUo?authuser=0&hl=ko&rclk=1,5319,4.2
3,Vietnam,Dak Lak,Buon Ma Thuot Market,,,,,,https://www.google.com/maps/place/Buon+Ma+Thuot+Market/data=!4m7!3m6!1s0x31721d81f1316f71:0x21127c67928ba5bc!8m2!3d12.6799229!4d108.0424514!16s%2Fg%2F11b69b0360!19sChIJcW8x8YEdcjERvKWLkmd8EiE?authuser=0&hl=ko&rclk=1,2176,4.2
4,Vietnam,Dak Lak,Buon Don Tourist Center,,,,,,https://www.google.com/maps/place/Buon+Don+Tourist+Center/data=!4m7!3m6!1s0x317209973de443e3:0xdbaf65a3fe4a08f8!8m2!3d12.8864018!4d107.783269!16s%2Fg%2F11h0x9yhs!19sChIJ40PkPZcJcjER-AhK_qNlr9s?authuser=0&hl=ko&rclk=1,1726,3.9
5,Vietnam,Dak Lak,Cầu Treo Sàn Si,,,,,,https://www.google.com/maps/place/C%E1%BA%A7u+Treo+S%C3%A0n+Si/data=!4m7!3m6!1s0x3172099749e63d41:0x52527c6442499078!8m2!3d12.8868718!4d107.7819424!16s%2Fg%2F11g_7fypk!19sChIJQT3mSZcJcjEReJBJQmR8UlI?authuser=0&hl=ko&rclk=1,1350,4.0
6,Vietnam,Dak Lak,Trohbu Botanic Garden,,,,,,https://www.google.com/maps/place/Trohbu+Botanic+Garden/data=!4m7!3m6!1s0x31721c9e3156330b:0x9ac04d889a66e598!8m2!3d12.7098689!4d107.958772!16s%2Fg%2F11dxghmkv8!19sChIJCzNWMZ4ccjERmOVmmohNwJo?authuser=0&hl=ko&rclk=1,914,3.9
7,Vietnam,Dak Lak,Dak Lak Museum,,,,,,https://www.google.com/maps/place/Dak+Lak+Museum/data=!4m7!3m6!1s0x31721d877f3d97f7:0x9747a15cfa13bcac!8m2!3d12.6760325!4d108.042094!16s%2Fg%2F1hd_sk_pw!19sChIJ95c9f4cdcjERrLwT-lyhR5c?authuser=0&hl=ko&rclk=1,797,4.5
8,Vietnam,Dak Lak,Thác Đray Sáp,,,,,,https://www.google.com/maps/place/Th%C3%A1c+%C4%90ray+S%C3%A1p/data=!4m7!3m6!1s0x3172238419250ebb:0xcf3c68d554c2a78c!8m2!3d12.5378174!4d107.8902844!16s%2Fg%2F120nkzb5!19sChIJuw4lGYQjcjERjKfCVNVoPM8?authuser=0&hl=ko&rclk=1,790,4.3
9,Vietnam,Dak Lak,에아소자연보호구역,,,,,,https://www.google.com/maps/place/%EC%97%90%EC%95%84%EC%86%8C%EC%9E%90%EC%97%B0%EB%B3%B4%ED%98%B8%EA%B5%AC%EC%97%AD/data=!4m7!3m6!1s0x316e2eeb024863c9:0x4bfd61a0359fa7b4!8m2!3d12.9879973!4d108.6650678!16s%2Fg%2F122s99qy!19sChIJyWNIAusubjERtKefNaBh_Us?authuser=0&hl=ko&rclk=1,623,4.1
10,Vietnam,Dak Lak,Water Park in Dak Lak,,,,,,https://www.google.com/maps/place/Water+Park+in+Dak+Lak/data=!4m7!3m6!1s0x3171f7c05340d0c1:0xe466088d80c2df4a!8m2!3d12.6970641!4d108.0699412!16s%2Fg%2F1tr7fwdx!19sChIJwdBAU8D3cTERSt_CgI0IZuQ?authuser=0&hl=ko&rclk=1,608,3.9
11,Vietnam,Dak Lak,Travel Ban Don - Thanh Ha,,,,,,https://www.google.com/maps/place/Travel+Ban+Don+-+Thanh+Ha/data=!4m10!3m9!1s0x317208eff37d4bcd:0x8d8290f1ee8400fd!5m2!4m1!1i2!8m2!3d12.8547782!4d107.8175277!16s%2Fg%2F11dxlb311s!19sChIJzUt98-8IcjER_QCE7vGQgo0?authuser=0&hl=ko&rclk=1,597,3.9
12,Vietnam,Dak Lak,House exiled Ban Me Thuot,,,,,,https://www.google.com/maps/place/House+exiled+Ban+Me+Thuot/data=!4m7!3m6!1s0x31721d8063698265:0x59d9e5a992199243!8m2!3d12.6767933!4d108.0471656!16s%2Fg%2F122chs3_!19sChIJZYJpY4AdcjERQ5IZkqnl2Vk?authuser=0&hl=ko&rclk=1,586,4.4
13,Vietnam,Dak Lak,Dinh Bảo Đại bên hồ Lăk,,,,,,https://www.google.com/maps/place/Dinh+B%E1%BA%A3o+%C4%90%E1%BA%A1i+b%C3%AAn+h%E1%BB%93+L%C4%83k/data=!4m7!3m6!1s0x31718f118baa2ed9:0xd30fbd02aa933486!8m2!3d12.4145782!4d108.1768998!16s%2Fg%2F11hdsg4mxq!19sChIJ2S6qixGPcTERhjSTqgK9D9M?authuser=0&hl=ko&rclk=1,584,3.7
14,Vietnam,Dak Lak,Khu du lịch Ea Kao,,,,,,https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+Ea+Kao/data=!4m7!3m6!1s0x31721f59e8430be9:0xc923ce7762c55e0d!8m2!3d12.6115567!4d108.0410359!16s%2Fg%2F11j015kk4x!19sChIJ6QtD6FkfcjERDV7FYnfOI8k?authuser=0&hl=ko&rclk=1,526,4.1
15,Vietnam,Dak Lak,Bee Stream Tourist Area,,,,,,https://www.google.com/maps/place/Bee+Stream+Tourist+Area/data=!4m10!3m9!1s0x31721f627efa8b8d:0x8994bc17be48ae76!5m2!4m1!1i2!8m2!3d12.6314345!4d107.9953909!16s%2Fg%2F11h01tflbf!19sChIJjYv6fmIfcjERdq5Ivhe8lIk?authuser=0&hl=ko&rclk=1,508,3.9
16,Vietnam,Dak Lak,Cho Phan Chu Trinh,,,,,,https://www.google.com/maps/place/Cho+Phan+Chu+Trinh/data=!4m7!3m6!1s0x3171f7dead391cf5:0xb7ed0dc9282c9dd7!8m2!3d12.6953848!4d108.0532123!16s%2Fg%2F1tq6gkr_!19sChIJ9Rw5rd73cTER150sKMkN7bc?authuser=0&hl=ko&rclk=1,466,3.9
17,Vietnam,Dak Lak,Dak Lak Museums coffee,,,,,,https://www.google.com/maps/place/Dak+Lak+Museums+coffee/data=!4m7!3m6!1s0x31721d816916dacb:0x3b2c9b7a395f5707!8m2!3d12.6760416!4d108.0427398!16s%2Fg%2F122yyp1v!19sChIJy9oWaYEdcjERB1dfOXqbLDs?authuser=0&hl=ko&rclk=1,456,4.0
18,Vietnam,Dak Lak,Khu Du Lịch Sinh Thái Ako-EA,,,,,,https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+Ako-EA/data=!4m7!3m6!1s0x31721d01ae05874d:0xe4fba7b124b21afb!8m2!3d12.7003018!4d108.0451804!16s%2Fg%2F11gxgjbjv5!19sChIJTYcFrgEdcjER-xqyJLGn--Q?authuser=0&hl=ko&rclk=1,378,4.3
19,Vietnam,Dak Lak,"Zoo Camping - Cà phê, Vườn thú, Cắm trại, Homestay",,,,,,"https://www.google.com/maps/place/Zoo+Camping+-+Ca%CC%80+ph%C3%AA,+V%C6%B0%E1%BB%9Dn+th%C3%BA,+C%E1%BA%AFm+tr%E1%BA%A1i,+Homestay/data=!4m7!3m6!1s0x31721d863ceb7493:0x413f5c1c23d28881!8m2!3d12.5970716!4d108.0397245!16s%2Fg%2F11g__gjlz6!19sChIJk3TrPIYdcjERgYjSIxxcP0E?authuser=0&hl=ko&rclk=1",273,4.2
20,Vietnam,Dak Lak,Hồ Tà Đùng,,,,,,https://www.google.com/maps/place/H%E1%BB%93+T%C3%A0+%C4%90%C3%B9ng/data=!4m7!3m6!1s0x3173dd7a710d58eb:0xe226d09e60214982!8m2!3d11.8268209!4d107.8880075!16s%2Fg%2F11scbxdfj2!19sChIJ61gNcXrdczERgkkhYJ7QJuI?authuser=0&hl=ko&rclk=1,272,4.7
21,Vietnam,Dak Lak,Khu Du lịch Sinh thái Đầu Nguồn,,,,,,https://www.google.com/maps/place/Khu+Du+l%E1%BB%8Bch+Sinh+th%C3%A1i+%C4%90%E1%BA%A7u+Ngu%E1%BB%93n/data=!4m7!3m6!1s0x31721d6079575089:0xf7df9586f898a5db!8m2!3d12.7006971!4d108.0446782!16s%2Fg%2F11b7w2_xsz!19sChIJiVBXeWAdcjER26WY-IaV3_c?authuser=0&hl=ko&rclk=1,259,3.9
22,Vietnam,Dak Lak,Angel Fairy Mountains Hiking trail start,,,,,,https://www.google.com/maps/place/Angel+Fairy+Mountains+Hiking+trail+start/data=!4m7!3m6!1s0x3170699c283d5b8b:0xc087ebfa24f4b48d!8m2!3d12.2940981!4d109.2075526!16s%2Fg%2F11h5_tylg1!19sChIJi1s9KJxpcDERjbT0JPrrh8A?authuser=0&hl=ko&rclk=1,247,4.7
23,Vietnam,Dak Lak,Thác Băng Rup (Trinh Nữ),,,,,,https://www.google.com/maps/place/Th%C3%A1c+B%C4%83ng+Rup+%28Trinh+N%E1%BB%AF%29/data=!4m7!3m6!1s0x31721862679c2d21:0x22af762d5a3d31ae!8m2!3d12.5710673!4d107.9043674!16s%2Fg%2F1211chtc!19sChIJIS2cZ2IYcjERrjE9Wi12ryI?authuser=0&hl=ko&rclk=1,222,3.9
24,Vietnam,Dak Lak,Khu Du lịch Bản Đôn - Ánh Dương,,,,,,https://www.google.com/maps/place/Khu+Du+l%E1%BB%8Bch+B%E1%BA%A3n+%C4%90%C3%B4n+-+%C3%81nh+D%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x317208299a5912b9:0x468283581549d703!8m2!3d12.9145661!4d107.8178515!16s%2Fg%2F11c54n7y_z!19sChIJuRJZmikIcjERA9dJFViDgkY?authuser=0&hl=ko&rclk=1,222,3.8
