data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Dong Nai,브우롱 관광문화센터,,,아름다운 언덕 위 전망을 볼 수 있는 경치 좋은 공원으로 어린이 놀이터가 있고 호수에서 백조 보트를 탈 수 있습니다.,,,https://www.google.com/maps/place/%EB%B8%8C%EC%9A%B0%EB%A1%B1+%EA%B4%80%EA%B4%91%EB%AC%B8%ED%99%94%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x3174dbdf20151cb9:0xaa30f651ebd39e29!8m2!3d10.960879!4d106.7908031!16s%2Fg%2F1tlmktp3!19sChIJuRwVIN_bdDERKZ7T61H2MKo?authuser=0&hl=ko&rclk=1,11167,4.3
2,Vietnam,Dong Nai,호찌민 시 미술관,,,우아한 식민지 시대 건물에서 고전부터 현대에 이르는 베트남 및 해외 미술작품을 전시하는 미술관입니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%B0%8C%EB%AF%BC+%EC%8B%9C+%EB%AF%B8%EC%88%A0%EA%B4%80/data=!4m7!3m6!1s0x31752f4077edf9b1:0xb1466bf707230576!8m2!3d10.7699332!4d106.6991155!16s%2Fg%2F1td4m5v5!19sChIJsfntd0AvdTERdgUjB_drRrE?authuser=0&hl=ko&rclk=1,7769,4.3
3,Vietnam,Dong Nai,BigC Dong Nai,,,,,,https://www.google.com/maps/place/BigC+Dong+Nai/data=!4m7!3m6!1s0x3174df1b85b09b1f:0xd25922dd76a3040f!8m2!3d10.9056093!4d106.8504338!16s%2Fg%2F1hc1g88j7!19sChIJH5uwhRvfdDERDwSjdt0iWdI?authuser=0&hl=ko&rclk=1,6365,4.2
4,Vietnam,Dong Nai,Công viên Suối Mơ,,,,,,https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+Su%E1%BB%91i+M%C6%A1/data=!4m10!3m9!1s0x317467a8e5de413d:0x21d43525f4aec338!5m2!4m1!1i2!8m2!3d11.2309993!4d107.4401813!16s%2Fg%2F11bbwmj9qp!19sChIJPUHe5ahndDEROMOu9CU11CE?authuser=0&hl=ko&rclk=1,5796,4.4
5,Vietnam,Dong Nai,April 30th Park,,,"분수 주변에 나무가 늘어서 있는 작은 공원으로 길, 울타리, 놀이터가 있습니다.",,,https://www.google.com/maps/place/April+30th+Park/data=!4m7!3m6!1s0x3174ddebb98f8ba9:0xa2c2b6d9c8305c58!8m2!3d10.9707802!4d106.891968!16s%2Fg%2F1tsym7_s!19sChIJqYuPuevddDERWFwwyNm2wqI?authuser=0&hl=ko&rclk=1,5004,4.2
6,Vietnam,Dong Nai,Đồng Nai Provincial Square,,,,,,https://www.google.com/maps/place/%C4%90%E1%BB%93ng+Nai+Provincial+Square/data=!4m7!3m6!1s0x3174dc02c44e4291:0x4b38cf0c4c17b34b!8m2!3d10.9580685!4d106.8285896!16s%2Fg%2F1td9n06f!19sChIJkUJOxALcdDERS7MXTAzPOEs?authuser=0&hl=ko&rclk=1,3872,4.3
7,Vietnam,Dong Nai,Golden Scorpion Ecological Tourist Area,,,,,,https://www.google.com/maps/place/Golden+Scorpion+Ecological+Tourist+Area/data=!4m7!3m6!1s0x31753ce4cb99da75:0x1c25aaba0592c4d4!8m2!3d10.6586852!4d106.856163!16s%2Fg%2F12vzpmvry!19sChIJddqZy-Q8dTER1MSSBbqqJRw?authuser=0&hl=ko&rclk=1,3595,4.2
8,Vietnam,Dong Nai,Park Bien Hung,,,,,,https://www.google.com/maps/place/Park+Bien+Hung/data=!4m7!3m6!1s0x3174deac758010bd:0x416e14dee46bd234!8m2!3d10.951501!4d106.822311!16s%2Fg%2F11c0p_1hsn!19sChIJvRCAdazedDERNNJr5N4UbkE?authuser=0&hl=ko&rclk=1,3322,4.3
9,Vietnam,Dong Nai,Giang Dien waterfall,,,,,,https://www.google.com/maps/place/Giang+Dien+waterfall/data=!4m7!3m6!1s0x3174e16c1f7b43a7:0x9a4673251bc5d1d5!8m2!3d10.9185234!4d106.9892328!16s%2Fg%2F1vqtd8s6!19sChIJp0N7H2zhdDER1dHFGyVzRpo?authuser=0&hl=ko&rclk=1,2506,4.4
10,Vietnam,Dong Nai,장디엔 폭포리조트,,,폭포 옆에서 수영을 즐길 수 있는 실외 단지로 현지 음식을 판매하는 레스토랑과 캠핑장이 있습니다.,,,https://www.google.com/maps/place/%EC%9E%A5%EB%94%94%EC%97%94+%ED%8F%AD%ED%8F%AC%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m7!3m6!1s0x3174e1155fef2487:0x36d644e568cc7785!8m2!3d10.9174042!4d106.9883582!16s%2Fg%2F121n9w_m!19sChIJhyTvXxXhdDERhXfMaOVE1jY?authuser=0&hl=ko&rclk=1,2162,4.1
11,Vietnam,Dong Nai,The Amazing Bay,,,,,,https://www.google.com/maps/place/The+Amazing+Bay/data=!4m7!3m6!1s0x3174dfdef316d5b3:0xdbbfe990f253f8e9!8m2!3d10.8773033!4d106.8718031!16s%2Fg%2F11s404l9_m!19sChIJs9UW897fdDER6fhT8pDpv9s?authuser=0&hl=ko&rclk=1,2007,4.4
12,Vietnam,Dong Nai,Artinus 3D Art Museum,,,가족 단위로 찾기 좋은 색다른 참여형 박물관으로 3D 예술작품과 다채로운 벽화를 배경으로 사진을 찍을 수 있습니다.,,,https://www.google.com/maps/place/Artinus+3D+Art+Museum/data=!4m7!3m6!1s0x31752fa12879dc29:0xfd1d29fda8717ae2!8m2!3d10.7418126!4d106.6952407!16s%2Fg%2F11bw2fydjg!19sChIJKdx5KKEvdTER4npxqP0pHf0?authuser=0&hl=ko&rclk=1,1947,4.3
13,Vietnam,Dong Nai,Da Ba Chong Dinh Quan,,,,,,https://www.google.com/maps/place/Da+Ba+Chong+Dinh+Quan/data=!4m7!3m6!1s0x31746083063a5095:0x16ce054c6aa33e6c!8m2!3d11.1908265!4d107.3483458!16s%2Fg%2F11b6vg_fxl!19sChIJlVA6BoNgdDERbD6jakwFzhY?authuser=0&hl=ko&rclk=1,1720,4.4
