data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Fukui Prefecture,도진보,,,동해가 내려다보이는 험준한 절벽으로 고대 지형을 볼 수 있는 대표적인 장소입니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%A7%84%EB%B3%B4/data=!4m7!3m6!1s0x5ff8e5db955f0ff3:0x3b55fc2e0bea2ac6!8m2!3d36.2376576!4d136.1255242!16zL20vMDNjcTFn!19sChIJ8w9fldvl-F8RxirqCy78VTs?authuser=0&hl=ko&rclk=1,15244,4.1
2,Japan,Fukui Prefecture,니혼카이 사카나마치,,,,,,https://www.google.com/maps/place/%EB%8B%88%ED%98%BC%EC%B9%B4%EC%9D%B4+%EC%82%AC%EC%B9%B4%EB%82%98%EB%A7%88%EC%B9%98/data=!4m7!3m6!1s0x6001e5310ed0b6ed:0x76465f8ae5313a52!8m2!3d35.6345731!4d136.049895!16s%2Fg%2F1tf1bnzk!19sChIJ7bbQDjHlAWARUjox5YpfRnY?authuser=0&hl=ko&rclk=1,12563,3.6
3,Japan,Fukui Prefecture,후쿠이현 공룡 박물관,,,현대 고생물학 박물관으로 재구성된 공룡 뼈와 화석을 전시하며 야외 발굴지를 볼 수 있습니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%9D%B4%ED%98%84+%EA%B3%B5%EB%A3%A1+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x5ff89af3546bd879:0x55d1ff4a7646b4e1!8m2!3d36.0824428!4d136.5065904!16s%2Fm%2F04f4ltr!19sChIJedhrVPOa-F8R4bRGdkr_0VU?authuser=0&hl=ko&rclk=1,12525,4.5
4,Japan,Fukui Prefecture,아마노하시다테 뷰랜드,,,,,,https://www.google.com/maps/place/%EC%95%84%EB%A7%88%EB%85%B8%ED%95%98%EC%8B%9C%EB%8B%A4%ED%85%8C+%EB%B7%B0%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x5fff9139d014fdeb:0x887258de2a32f66a!8m2!3d35.5519555!4d135.1813454!16s%2Fg%2F121s4gdh!19sChIJ6_0U0DmR_18RavYyKt5Ycog?authuser=0&hl=ko&rclk=1,8294,4.3
5,Japan,Fukui,에이헤이지(영평사),,,,,,https://www.google.com/maps/place/%EC%97%90%EC%9D%B4%ED%97%A4%EC%9D%B4%EC%A7%80%28%EC%98%81%ED%8F%89%EC%82%AC%29/data=!4m7!3m6!1s0x5ff897c462388acd:0x2c53ae27fc7829e9!8m2!3d36.0565933!4d136.3568759!16zL20vMDNjcTYw!19sChIJzYo4YsSX-F8R6Sl4_CeuUyw?authuser=0&hl=ko&rclk=1,6897,4.4
6,Japan,Fukui Prefecture,Hida no Sato Open Air Museum,,,초가 지붕과 목재 건축으로 유명한 에도 시대의 농가를 볼 수 있는 야외 박물관입니다.,,,https://www.google.com/maps/place/Hida+no+Sato+Open+Air+Museum/data=!4m7!3m6!1s0x6002bb39afd86499:0xd6a4b260c226fc44!8m2!3d36.1324902!4d137.2350898!16zL20vMGNxZjhq!19sChIJmWTYrzm7AmARRPwmwmCypNY?authuser=0&hl=ko&rclk=1,4582,4.4
7,Japan,Fukui Prefecture,마루오카 성,,,,,,https://www.google.com/maps/place/%EB%A7%88%EB%A3%A8%EC%98%A4%EC%B9%B4+%EC%84%B1/data=!4m7!3m6!1s0x5ff8eb5c5de97a79:0x1359328eaf9c03c8!8m2!3d36.1523454!4d136.2721028!16zL20vMDR2NnY5!19sChIJeXrpXVzr-F8RyAOcr44yWRM?authuser=0&hl=ko&rclk=1,4519,4.1
8,Japan,Fukui Prefecture,Katsuyama Dinosaur Forest Nagaoyama Park,,,,,,https://www.google.com/maps/place/Katsuyama+Dinosaur+Forest+Nagaoyama+Park/data=!4m7!3m6!1s0x5ff89af311ff2df1:0x31f486d3b7a228f1!8m2!3d36.0843049!4d136.5076811!16s%2Fg%2F11h3l5wg27!19sChIJ8S3_EfOa-F8R8Siit9OG9DE?authuser=0&hl=ko&rclk=1,4361,4.3
9,Japan,Fukui,게로 갓쇼마을,,,"재현된 산악 마을에 들어선 문화 박물관으로 민속품 전시관과 공예품 공방, 티하우스가 있습니다.",,,https://www.google.com/maps/place/%EA%B2%8C%EB%A1%9C+%EA%B0%93%EC%87%BC%EB%A7%88%EC%9D%84/data=!4m7!3m6!1s0x6002dbca7bee52b1:0x15ceb1c533f5a12a!8m2!3d35.8083288!4d137.2496949!16s%2Fg%2F121djry8!19sChIJsVLue8rbAmARKqH1M8WxzhU?authuser=0&hl=ko&rclk=1,4038,3.9
10,Japan,Fukui Prefecture,게히신궁,,,,,,https://www.google.com/maps/place/%EA%B2%8C%ED%9E%88%EC%8B%A0%EA%B6%81/data=!4m7!3m6!1s0x6001fadfcdc1bce9:0x77cd128cc8dcb72d!8m2!3d35.6547802!4d136.0747217!16s%2Fm%2F011q3pds!19sChIJ6bzBzd_6AWARLbfcyIwSzXc?authuser=0&hl=ko&rclk=1,3874,4.2
11,Japan,Fukui Prefecture,Echizen Matsushima Aquarium,,,,,,https://www.google.com/maps/place/Echizen+Matsushima+Aquarium/data=!4m7!3m6!1s0x5ff8e5af256f3bd3:0x765dc3b784e3d1a5!8m2!3d36.252703!4d136.147069!16s%2Fg%2F11b6snw26n!19sChIJ0ztvJa_l-F8RpdHjhLfDXXY?authuser=0&hl=ko&rclk=1,3752,4.1
12,Japan,Fukui Prefecture,Ichijōdani Asakura Ruins,,,,,,https://www.google.com/maps/place/Ichij%C5%8Ddani+Asakura+Ruins/data=!4m7!3m6!1s0x5ff8a4a9c8e8dbb3:0x708f90dd2e348a85!8m2!3d35.9994633!4d136.2959322!16zL20vMGNrX3Fy!19sChIJs9voyKmk-F8RhYo0Lt2Qj3A?authuser=0&hl=ko&rclk=1,3261,4.2
13,Japan,Fukui Prefecture,코이시카와 식물원,,,피크닉을 즐기기 좋은 잔디밭과 산책로가 있는 편안한 분위기의 공원 겸 정원으로 계절마다 다양한 꽃이 핍니다.,,,https://www.google.com/maps/place/%EC%BD%94%EC%9D%B4%EC%8B%9C%EC%B9%B4%EC%99%80+%EC%8B%9D%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x60188db3e92ec1bb:0xb8d81a9078dce5c5!8m2!3d35.7198069!4d139.7445706!16s%2Fm%2F02z7cpl!19sChIJu8Eu6bONGGARxeXceJAa2Lg?authuser=0&hl=ko&rclk=1,2553,4.3
14,Japan,Fukui Prefecture,Happiring,,,,,,https://www.google.com/maps/place/Happiring/data=!4m7!3m6!1s0x5ff8beed2845a8a9:0x8d762a89d41bb667!8m2!3d36.0612834!4d136.2222364!16s%2Fg%2F11c2mzlk4n!19sChIJqahFKO2--F8RZ7Yb1Ikqdo0?authuser=0&hl=ko&rclk=1,2407,3.7
15,Japan,Fukui Prefecture,Nishiyama Park,,,,,,https://www.google.com/maps/place/Nishiyama+Park/data=!4m7!3m6!1s0x5ff8b0283547e053:0x798e24c89880d0a8!8m2!3d35.9502778!4d136.1819444!16s%2Fg%2F11r7pkp5p!19sChIJU-BHNSiw-F8RqNCAmMgkjnk?authuser=0&hl=ko&rclk=1,2390,4.3
16,Japan,Fukui Prefecture,Ishikawa Zoo,,,,,,https://www.google.com/maps/place/Ishikawa+Zoo/data=!4m7!3m6!1s0x5ff84f0433a227a9:0xce716d3eab173651!8m2!3d36.4331479!4d136.5459045!16s%2Fg%2F12396wzj!19sChIJqSeiMwRP-F8RUTYXqz5tcc4?authuser=0&hl=ko&rclk=1,2300,4.3
17,Japan,Fukui Prefecture,Kasumigajo Park,,,,,,https://www.google.com/maps/place/Kasumigajo+Park/data=!4m7!3m6!1s0x5ff8eb5c41a25539:0x437f452aabcadfcb!8m2!3d36.152209!4d136.2738109!16s%2Fg%2F119vwk8wc!19sChIJOVWiQVzr-F8Ry9_KqypFf0M?authuser=0&hl=ko&rclk=1,2257,4.0
18,Japan,Fukui Prefecture,Ski Jam Katsuyama,,,,,,https://www.google.com/maps/place/Ski+Jam+Katsuyama/data=!4m10!3m9!1s0x5ff89b3e3e3a5169:0x41f5c459c4d99f55!5m2!4m1!1i2!8m2!3d36.0726717!4d136.5557174!16s%2Fg%2F1217ntqk!19sChIJaVE6Pj6b-F8RVZ_ZxFnE9UE?authuser=0&hl=ko&rclk=1,2188,4.1
19,Japan,Fukui Prefecture,오노성,,,,,,https://www.google.com/maps/place/%EC%98%A4%EB%85%B8%EC%84%B1/data=!4m7!3m6!1s0x5ff89f7904429fd7:0x9284a442af9de1a!8m2!3d35.9865864!4d136.4830622!16s%2Fm%2F0404h1x!19sChIJ159CBHmf-F8RGt75KkRKKAk?authuser=0&hl=ko&rclk=1,1887,3.9
