data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Ha Giang,지방호족의 지역왕궁,,,,,,https://www.google.com/maps/place/%EC%A7%80%EB%B0%A9%ED%98%B8%EC%A1%B1%EC%9D%98+%EC%A7%80%EC%97%AD%EC%99%95%EA%B6%81/data=!4m7!3m6!1s0x36cbe4f9c196cd53:0xf1f3ba80d8a874f4!8m2!3d23.2563483!4d105.2621695!16s%2Fg%2F11b6rz35hl!19sChIJU82WwfnkyzYR9HSo2IC68_E?authuser=0&hl=ko&rclk=1,5876,4.4
2,Vietnam,Ha Giang,Bông Hostel and Motorbike Tour,,,,,,https://www.google.com/maps/place/B%C3%B4ng+Hostel+and+Motorbike+Tour/data=!4m10!3m9!1s0x36cc7852b42bea35:0x34124015b502f7e3!5m2!4m1!1i2!8m2!3d22.8212431!4d104.9846399!16s%2Fg%2F11cmh1d077!19sChIJNeortFJ4zDYR4_cCtRVAEjQ?authuser=0&hl=ko&rclk=1,3801,4.9
3,Vietnam,Ha Giang,Jasmine HosteI,,,,,,https://www.google.com/maps/place/Jasmine+HosteI/data=!4m10!3m9!1s0x36cc7906421c8bef:0xa278799945ea05ba!5m2!4m1!1i2!8m2!3d22.8010011!4d104.980184!16s%2Fg%2F11f4wv522q!19sChIJ74scQgZ5zDYRugXqRZl5eKI?authuser=0&hl=ko&rclk=1,1865,4.8
4,Vietnam,Ha Giang,Motorbike Rental and Ha Giang 1 Hostel,,,,,,https://www.google.com/maps/place/Motorbike+Rental+and+Ha+Giang+1+Hostel/data=!4m10!3m9!1s0x36cc784d6045cd3b:0xf13234dae33ea7e6!5m2!4m1!1i2!8m2!3d22.8198041!4d104.9871656!16s%2Fg%2F11f4wtkb1j!19sChIJO81FYE14zDYR5qc-49o0MvE?authuser=0&hl=ko&rclk=1,1590,4.9
5,Vietnam,Ha Giang,Hà Giang Market,,,,,,https://www.google.com/maps/place/H%C3%A0+Giang+Market/data=!4m7!3m6!1s0x36cc783546a2eba5:0x2e88a162498878d6!8m2!3d22.8323373!4d104.9867284!16s%2Fg%2F1hc4tdbyc!19sChIJpeuiRjV4zDYR1niISWKhiC4?authuser=0&hl=ko&rclk=1,889,4.0
6,Vietnam,Ha Giang,Ha Giang Hostel,,,,,,https://www.google.com/maps/place/Ha+Giang+Hostel/data=!4m10!3m9!1s0x36cc79bf6f116663:0x39073d9add3c323f!5m2!4m1!1i2!8m2!3d22.8175435!4d104.9594537!16s%2Fg%2F11fk3_g2s0!19sChIJY2YRb795zDYRPzI83Zo9Bzk?authuser=0&hl=ko&rclk=1,862,4.8
7,Vietnam,Ha Giang,Pavi Hmong Village,,,,,,https://www.google.com/maps/place/Pavi+Hmong+Village/data=!4m7!3m6!1s0x36cbdd5ca0cd3c8d:0xf6339e8ead072b6!8m2!3d23.2058469!4d105.4153661!16s%2Fg%2F11rf16yc9w!19sChIJjTzNoFzdyzYRtnLQ6ug5Yw8?authuser=0&hl=ko&rclk=1,826,4.5
8,Vietnam,Ha Giang,Ha giang loop tour Mr Hung,,,,,,https://www.google.com/maps/place/Ha+giang+loop+tour+Mr+Hung/data=!4m7!3m6!1s0x36cc7919e05f1637:0xf844b7088a2a173f!8m2!3d22.8246499!4d104.9864678!16s%2Fg%2F11f_j3nf56!19sChIJNxZf4Bl5zDYRPxcqigi3RPg?authuser=0&hl=ko&rclk=1,741,5.0
9,Vietnam,Ha Giang,Mã Pí Lèng Pass Viewpoint,,,,,,https://www.google.com/maps/place/M%C3%A3+P%C3%AD+L%C3%A8ng+Pass+Viewpoint/data=!4m7!3m6!1s0x36cbdd8669d86521:0xd2f3d769da6c16f4!8m2!3d23.2399909!4d105.4122845!16s%2Fg%2F11c2l0g79q!19sChIJIWXYaYbdyzYR9BZs2mnX89I?authuser=0&hl=ko&rclk=1,715,4.8
10,Vietnam,Ha Giang,Mã Pí Lèng Pass,,,,,,https://www.google.com/maps/place/M%C3%A3+P%C3%AD+L%C3%A8ng+Pass/data=!4m7!3m6!1s0x36cbe77b910dabfd:0xcfeb25a7dd0331da!8m2!3d23.24!4d105.4!16s%2Fm%2F0n52znk!19sChIJ_asNkXvnyzYR2jED3acl688?authuser=0&hl=ko&rclk=1,702,4.8
11,Vietnam,Ha Giang,Du Gia Homestay,,,,,,https://www.google.com/maps/place/Du+Gia+Homestay/data=!4m10!3m9!1s0x36cb9203f271037d:0x78b541a5fdcf870b!5m2!4m1!1i2!8m2!3d22.9299984!4d105.2270897!16s%2Fg%2F11cs9mc3yr!19sChIJfQNx8gOSyzYRC4fP_aVBtXg?authuser=0&hl=ko&rclk=1,686,4.6
12,Vietnam,Ha Giang,Yen Minh Pine Forests,,,,,,https://www.google.com/maps/place/Yen+Minh+Pine+Forests/data=!4m7!3m6!1s0x36cbf6350b37bb13:0x57521a14343290d0!8m2!3d23.1672751!4d105.0544567!16s%2Fg%2F11clgd0z7p!19sChIJE7s3CzX2yzYR0JAyNBQaUlc?authuser=0&hl=ko&rclk=1,591,4.3
13,Vietnam,Ha Giang,Chín Khoanh ramp,,,,,,https://www.google.com/maps/place/Ch%C3%ADn+Khoanh+ramp/data=!4m7!3m6!1s0x36cbfa9f6e1a75d3:0x20ee5b6709841278!8m2!3d23.20984!4d105.1950442!16s%2Fg%2F11dfvjbqdm!19sChIJ03Uabp_6yzYReBKECWdb7iA?authuser=0&hl=ko&rclk=1,497,4.7
14,Vietnam,Ha Giang,Ma Pi Leng Skywalk,,,,,,https://www.google.com/maps/place/Ma+Pi+Leng+Skywalk/data=!4m7!3m6!1s0x36cbe7bd685b95a5:0x1f16c21ad60565f2!8m2!3d23.2493374!4d105.3943328!16s%2Fg%2F11gvzb39j3!19sChIJpZVbaL3nyzYR8mUF1hrCFh8?authuser=0&hl=ko&rclk=1,474,4.6
15,Vietnam,Ha Giang,Sông Nho Quế,,,,,,https://www.google.com/maps/place/S%C3%B4ng+Nho+Qu%E1%BA%BF/data=!4m7!3m6!1s0x36cbddff25c0fad7:0x5f067a2b76784fa5!8m2!3d23.2351495!4d105.4200085!16s%2Fg%2F11sk5wm_cz!19sChIJ1_rAJf_dyzYRpU94dit6Bl8?authuser=0&hl=ko&rclk=1,339,4.8
16,Vietnam,Ha Giang,Ha Giang Historic House,,,,,,https://www.google.com/maps/place/Ha+Giang+Historic+House/data=!4m10!3m9!1s0x36cc7946d3f80d75:0xa82cb9d19ee61f0a!5m2!4m1!1i2!8m2!3d22.8146699!4d104.9895237!16s%2Fg%2F11fjz70n2x!19sChIJdQ3400Z5zDYRCh_mntG5LKg?authuser=0&hl=ko&rclk=1,322,4.8
17,Vietnam,Ha Giang,Hong Hao Hostel and Motorbikes,,,,,,https://www.google.com/maps/place/Hong+Hao+Hostel+and+Motorbikes/data=!4m10!3m9!1s0x36cc784c69691f29:0xd741a17254b0cc67!5m2!4m1!1i2!8m2!3d22.8275018!4d104.9856859!16s%2Fg%2F11mtk8bs3r!19sChIJKR9paUx4zDYRZ8ywVHKhQdc?authuser=0&hl=ko&rclk=1,309,4.5
18,Vietnam,Ha Giang,Thach Son Than Buckwheat Flowers Fields,,,,,,https://www.google.com/maps/place/Thach+Son+Than+Buckwheat+Flowers+Fields/data=!4m7!3m6!1s0x36cc74c45fdf670f:0xb9b20816c7237cdf!8m2!3d23.0265916!4d104.9702126!16s%2Fg%2F11fy2gls2m!19sChIJD2ffX8R0zDYR33wjxxYIsrk?authuser=0&hl=ko&rclk=1,296,4.1
19,Vietnam,Ha Giang,Mỏm Đá Tử Thần,,,,,,https://www.google.com/maps/place/M%E1%BB%8Fm+%C4%90%C3%A1+T%E1%BB%AD+Th%E1%BA%A7n/data=!4m7!3m6!1s0x36cbe77966841c53:0xa375f371f2f81f06!8m2!3d23.2428988!4d105.3973084!16s%2Fg%2F11fsw3sqg1!19sChIJUxyEZnnnyzYRBh_48nHzdaM?authuser=0&hl=ko&rclk=1,273,4.7
20,Vietnam,Ha Giang,Tiem Tour Ha Giang,,,,,,https://www.google.com/maps/place/Tiem+Tour+Ha+Giang/data=!4m7!3m6!1s0x36cc7995e1740c21:0xd6536690e4edb250!8m2!3d22.8097393!4d104.9789512!16s%2Fg%2F11vjhjp2z3!19sChIJIQx04ZV5zDYRULLt5JBmU9Y?authuser=0&hl=ko&rclk=1,233,5.0
21,Vietnam,Ha Giang,Du Già Stream Lodge,,,,,,https://www.google.com/maps/place/Du+Gi%C3%A0+Stream+Lodge/data=!4m10!3m9!1s0x36cb8df30248a3c7:0x478f94f4e243204d!5m2!4m1!1i2!8m2!3d22.9319422!4d105.2230188!16s%2Fg%2F11qnk5mcpc!19sChIJx6NIAvONyzYRTSBD4vSUj0c?authuser=0&hl=ko&rclk=1,192,4.5
22,Vietnam,Ha Giang,Bia tưởng niệm Đường Hạnh Phúc,,,,,,https://www.google.com/maps/place/Bia+t%C6%B0%E1%BB%9Fng+ni%E1%BB%87m+%C4%90%C6%B0%E1%BB%9Dng+H%E1%BA%A1nh+Ph%C3%BAc/data=!4m7!3m6!1s0x36cbc2a1b73fe5af:0xadb94ca73996a3e2!8m2!3d23.1633551!4d105.4103735!16s%2Fg%2F11gbnfmdy7!19sChIJr-U_t6HCyzYR4qOWOadMua0?authuser=0&hl=ko&rclk=1,183,4.4
23,Vietnam,Ha Giang,Lùng Tám Market,,,,,,https://www.google.com/maps/place/L%C3%B9ng+T%C3%A1m+Market/data=!4m7!3m6!1s0x36cbf55ac195a6d9:0x4d1344f465f1cc7f!8m2!3d23.0502428!4d105.0434074!16s%2Fg%2F11csb1mxwy!19sChIJ2aaVwVr1yzYRf8zxZfREE00?authuser=0&hl=ko&rclk=1,172,4.1
24,Vietnam,Ha Giang,Anh Anh Motel / Massage Body & Massage Foot / Motor Bike Rental,,,,,,https://www.google.com/maps/place/Anh+Anh+Motel+%2F+Massage+Body+%26+Massage+Foot+%2F+Motor+Bike+Rental/data=!4m10!3m9!1s0x36cc7919fda77117:0x1c3b00ca29414997!5m2!4m1!1i2!8m2!3d22.8021791!4d104.9792844!16s%2Fg%2F11c6lp4s9l!19sChIJF3Gn_Rl5zDYRl0lBKcoAOxw?authuser=0&hl=ko&rclk=1,170,4.3
25,Vietnam,Ha Giang,NoMadders Ha Giang,,,,,,https://www.google.com/maps/place/NoMadders+Ha+Giang/data=!4m10!3m9!1s0x36cc79042309b99f:0xb344c1e62eb6174b!5m2!4m1!1i2!8m2!3d22.8510972!4d104.9584228!16s%2Fg%2F11gsltctvq!19sChIJn7kJIwR5zDYRSxe2LubBRLM?authuser=0&hl=ko&rclk=1,167,4.9
26,Vietnam,Ha Giang,Giang Son Hostel,,,,,,https://www.google.com/maps/place/Giang+Son+Hostel/data=!4m10!3m9!1s0x36cc79040e0171c5:0xf527910d3b02f152!5m2!4m1!1i2!8m2!3d22.8011342!4d104.98048!16s%2Fg%2F11dzdcj8w2!19sChIJxXEBDgR5zDYRUvECOw2RJ_U?authuser=0&hl=ko&rclk=1,163,4.8
27,Vietnam,Ha Giang,View point of Tu San canyon,,,,,,https://www.google.com/maps/place/View+point+of+Tu+San+canyon/data=!4m7!3m6!1s0x36cbdd79d3eee23d:0xc28e2c5b2bf62e1b!8m2!3d23.2272689!4d105.4180953!16s%2Fg%2F11ggb3q9_z!19sChIJPeLu03ndyzYRGy72K1ssjsI?authuser=0&hl=ko&rclk=1,156,4.6
28,Vietnam,Ha Giang,Tớ Dày Du Già Village,,,,,,https://www.google.com/maps/place/T%E1%BB%9B+D%C3%A0y+Du+Gi%C3%A0+Village/data=!4m10!3m9!1s0x36cb8d207a40220f:0xb891816e0e6c00e4!5m2!4m1!1i2!8m2!3d22.9340153!4d105.2019027!16s%2Fg%2F11llcv5z4m!19sChIJDyJAeiCNyzYR5ABsDm6Bkbg?authuser=0&hl=ko&rclk=1,156,4.7
29,Vietnam,Ha Giang,Ha Giang Vision Tour,,,,,,https://www.google.com/maps/place/Ha+Giang+Vision+Tour/data=!4m7!3m6!1s0x36cc79780387f829:0xe244ed9e3fe10f73!8m2!3d22.8141831!4d104.9638136!16s%2Fg%2F11kptqt8zm!19sChIJKfiHA3h5zDYRcw_hP57tROI?authuser=0&hl=ko&rclk=1,154,4.9
30,Vietnam,Ha Giang,Lung Khuy Cave(Hang Lùng Khúy),,,,,,https://www.google.com/maps/place/Lung+Khuy+Cave%28Hang+L%C3%B9ng+Kh%C3%BAy%29/data=!4m7!3m6!1s0x36cc0beee9fc74ab:0xcd8c96a06a2cf449!8m2!3d23.0786152!4d105.0200054!16s%2Fg%2F11fpp436g1!19sChIJq3T86e4LzDYRSfQsaqCWjM0?authuser=0&hl=ko&rclk=1,151,4.7
31,Vietnam,Ha Giang,Thach Lam Vien - Ha Giang,,,,,,https://www.google.com/maps/place/Thach+Lam+Vien+-+Ha+Giang/data=!4m7!3m6!1s0x36cc79dd41bd656d:0xd6aff18a2867f2bf!8m2!3d22.8465652!4d104.9634389!16s%2Fg%2F11c6v6cgw0!19sChIJbWW9Qd15zDYRv_JnKIrxr9Y?authuser=0&hl=ko&rclk=1,142,3.8
32,Vietnam,Ha Giang,Ha Giang Adventure,,,,,,https://www.google.com/maps/place/Ha+Giang+Adventure/data=!4m7!3m6!1s0x36cc79f7b9168cdd:0xd528323ca3640edb!8m2!3d22.79342!4d104.9514552!16s%2Fg%2F11jgh7hq8h!19sChIJ3YwWufd5zDYR2w5kozwyKNU?authuser=0&hl=ko&rclk=1,138,4.9
33,Vietnam,Ha Giang,Ha Giang Loop Hostel,,,,,,https://www.google.com/maps/place/Ha+Giang+Loop+Hostel/data=!4m10!3m9!1s0x36cc799ddb96e101:0x374e83062a305e9d!5m2!4m1!1i2!8m2!3d22.8437853!4d105.0102675!16s%2Fg%2F11q9m0_cv2!19sChIJAeGW2515zDYRnV4wKgaDTjc?authuser=0&hl=ko&rclk=1,133,4.7
34,Vietnam,Ha Giang,Di tích đồn Pháp,,,,,,https://www.google.com/maps/place/Di+t%C3%ADch+%C4%91%E1%BB%93n+Ph%C3%A1p/data=!4m7!3m6!1s0x36cb8df59ff203f1:0x773bd1c3085ff77a!8m2!3d22.9921836!4d105.2179353!16s%2Fg%2F11gsbdv9fh!19sChIJ8QPyn_WNyzYRevdfCMPRO3c?authuser=0&hl=ko&rclk=1,124,4.5
35,Vietnam,Ha Giang,Hà Giang Amazing Tour,,,,,,https://www.google.com/maps/place/H%C3%A0+Giang+Amazing+Tour/data=!4m7!3m6!1s0x36cc794f31c43c29:0xbef60bec2a2b22bb!8m2!3d22.8044458!4d104.9774714!16s%2Fg%2F11fljhy65l!19sChIJKTzEMU95zDYRuyIrKuwL9r4?authuser=0&hl=ko&rclk=1,112,4.4
36,Vietnam,Ha Giang,Skyview Khanh Dinh,,,,,,https://www.google.com/maps/place/Skyview+Khanh+Dinh/data=!4m7!3m6!1s0x36cc8b2397840b65:0x6efd21fdf2c2fba8!8m2!3d22.6898926!4d104.6654958!16s%2Fg%2F11j8m_4wc3!19sChIJZQuElyOLzDYRqPvC8v0h_W4?authuser=0&hl=ko&rclk=1,109,4.6
37,Vietnam,Ha Giang,Ha Giang,,,,,,https://www.google.com/maps/place/Ha+Giang/data=!4m7!3m6!1s0x36cc7904466da30f:0x5dfea336209e3f54!8m2!3d22.8014282!4d104.9776895!16s%2Fg%2F11bwkyw3f6!19sChIJD6NtRgR5zDYRVD-eIDaj_l0?authuser=0&hl=ko&rclk=1,109,4.0
38,Vietnam,Ha Giang,Ha Giang City Viewpoint,,,,,,https://www.google.com/maps/place/Ha+Giang+City+Viewpoint/data=!4m7!3m6!1s0x36cc79e7a8974679:0xfe1a56c72657ae0e!8m2!3d22.8232515!4d104.978342!16s%2Fg%2F11h_9lg3b4!19sChIJeUaXqOd5zDYRDq5XJsdWGv4?authuser=0&hl=ko&rclk=1,95,4.7
39,Vietnam,Ha Giang,Dragon Tourism Co .LTD,,,,,,https://www.google.com/maps/place/Dragon+Tourism+Co+.LTD/data=!4m7!3m6!1s0x36cc799581936ffb:0xa08109c464c2ef59!8m2!3d22.841231!4d104.998743!16s%2Fg%2F11st9v44hs!19sChIJ-2-TgZV5zDYRWe_CZMQJgaA?authuser=0&hl=ko&rclk=1,94,5.0
40,Vietnam,Ha Giang,Sông Miện,,,,,,https://www.google.com/maps/place/S%C3%B4ng+Mi%E1%BB%87n/data=!4m7!3m6!1s0x36cbf567b7ab76ff:0x2c453d03a0c3ed42!8m2!3d23.0588257!4d105.0465896!16s%2Fg%2F1ptyrv730!19sChIJ_3art2f1yzYRQu3DoAM9RSw?authuser=0&hl=ko&rclk=1,90,4.4
41,Vietnam,Ha Giang,Dốc bắc sum viewpoint,,,,,,https://www.google.com/maps/place/D%E1%BB%91c+b%E1%BA%AFc+sum+viewpoint/data=!4m7!3m6!1s0x36cc7340cda94b33:0x23fdbd259dd29824!8m2!3d22.9917863!4d104.9359151!16s%2Fg%2F11mvr4mw0q!19sChIJM0upzUBzzDYRJJjSnSW9_SM?authuser=0&hl=ko&rclk=1,81,4.1
42,Vietnam,Ha Giang,Sky Bay Lodge,,,,,,https://www.google.com/maps/place/Sky+Bay+Lodge/data=!4m10!3m9!1s0x36cc7852c7f62413:0xbb827c3829d3868a!5m2!4m1!1i2!8m2!3d22.7767047!4d104.9692188!16s%2Fg%2F11gd3bdvhl!19sChIJEyT2x1J4zDYRiobTKTh8grs?authuser=0&hl=ko&rclk=1,79,4.8
