data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hai An,호이안 중앙시장,,,"활기찬 실내외 공간에 농산물, 의류, 기념품을 판매하는 다양한 상점이 모여 있습니다.",,,https://www.google.com/maps/place/%ED%98%B8%EC%9D%B4%EC%95%88+%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31420e7f74e9fb9d:0x227b7d9724e95f4f!8m2!3d15.8767981!4d108.3313384!16s%2Fg%2F1tq8g0pn!19sChIJnfvpdH8OQjERT1_pJJd9eyI?authuser=0&hl=ko&rclk=1,16632,4.4
2,Vietnam,Hai An,썬 월드 하롱 컴플렉스,,,"놀이 기구, 기차, 공연, 인상적인 건축물, 멋진 조경 구역이 있는 환상적인 놀이공원입니다.",,,https://www.google.com/maps/place/%EC%8D%AC+%EC%9B%94%EB%93%9C+%ED%95%98%EB%A1%B1+%EC%BB%B4%ED%94%8C%EB%A0%89%EC%8A%A4/data=!4m7!3m6!1s0x314a58f4f6ab5013:0xf9f7d05ae5b631e3!8m2!3d20.9553865!4d107.0495176!16s%2Fg%2F11c0rsk2gk!19sChIJE1Cr9vRYSjER4zG25VrQ9_k?authuser=0&hl=ko&rclk=1,10641,4.4
3,Vietnam,Hai An,Bảo tàng Quảng Ninh,,,,,,https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+Qu%E1%BA%A3ng+Ninh/data=!4m7!3m6!1s0x314a58213aea329b:0xfdebf2e95b28d582!8m2!3d20.9487077!4d107.097508!16s%2Fg%2F12hk8x6mw!19sChIJmzLqOiFYSjERgtUoW-ny6_0?authuser=0&hl=ko&rclk=1,10036,4.5
4,Vietnam,Hai An,깟바 국립공원,,,멸종 위기에 놓인 흰머리랑구르의 고향인 대규모 국립공원으로 숲이 우거진 석회암 봉우리를 볼 수 있습니다.,,,https://www.google.com/maps/place/%EA%B9%9F%EB%B0%94+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x314a444affffffff:0x5e913e302ca9088f!8m2!3d20.8135118!4d107.0080181!16s%2Fm%2F02z4p59!19sChIJ_____0pESjERjwipLDA-kV4?authuser=0&hl=ko&rclk=1,3725,4.4
5,Vietnam,Hai An,Lan Ha Bay,,,"300개 이상의 석회암 섬에 경치 좋은 요트, 야생동물, 하이킹 명소가 곳곳에 있습니다.",,,https://www.google.com/maps/place/Lan+Ha+Bay/data=!4m7!3m6!1s0x314a5ac42efd423d:0xcabdcf2fe3423885!8m2!3d20.7582934!4d107.0893798!16s%2Fg%2F11gzd8tr9!19sChIJPUL9LsRaSjERhThC4y_Pvco?authuser=0&hl=ko&rclk=1,2987,4.6
6,Vietnam,Hai An,Di Tích Bạch Đằng Giang,,,,,,https://www.google.com/maps/place/Di+T%C3%ADch+B%E1%BA%A1ch+%C4%90%E1%BA%B1ng+Giang/data=!4m7!3m6!1s0x314a62e2c726821d:0x4706db8b59e321ed!8m2!3d20.9638491!4d106.7638687!16s%2Fg%2F11g6x7xnkd!19sChIJHYImx-JiSjER7SHjWYvbBkc?authuser=0&hl=ko&rclk=1,2954,4.6
7,Vietnam,Hai An,썬 월드 하롱 파크,,,"롤러코스터, 2층 회전목마, 워터파크가 있는 인기 테마파크입니다.",,,https://www.google.com/maps/place/%EC%8D%AC+%EC%9B%94%EB%93%9C+%ED%95%98%EB%A1%B1+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x314a58f42ee3c251:0x2f8211536e215e36!8m2!3d20.9557495!4d107.0491696!16s%2Fg%2F11c1my2jny!19sChIJUcLjLvRYSjERNl4hblMRgi8?authuser=0&hl=ko&rclk=1,2074,4.4
8,Vietnam,Hai An,Haidang Plaza,,,,,,https://www.google.com/maps/place/Haidang+Plaza/data=!4m7!3m6!1s0x314a7aeea262dba7:0x1aa446a14c0d5758!8m2!3d20.862729!4d106.6925119!16s%2Fg%2F1tks3tpn!19sChIJp9tiou56SjERWFcNTKFGpBo?authuser=0&hl=ko&rclk=1,1695,4.3
9,Vietnam,Hai An,Hang Market,,,,,,https://www.google.com/maps/place/Hang+Market/data=!4m7!3m6!1s0x314a7a8018398bd5:0x8c5c0b1e289f4d5c!8m2!3d20.8348337!4d106.6774719!16s%2Fg%2F1vnrn2rr!19sChIJ1Ys5GIB6SjERXE2fKB4LXIw?authuser=0&hl=ko&rclk=1,1597,4.3
10,Vietnam,Hai An,Trung Trang Cave,,,,,,https://www.google.com/maps/place/Trung+Trang+Cave/data=!4m7!3m6!1s0x314a435a5f079b97:0x8c21f7045ad56471!8m2!3d20.7885655!4d106.9979417!16s%2Fg%2F1tdmgz1x!19sChIJl5sHX1pDSjERcWTVWgT3IYw?authuser=0&hl=ko&rclk=1,1567,4.4
11,Vietnam,Hai An,루온 동굴,,,,,,https://www.google.com/maps/place/%EB%A3%A8%EC%98%A8+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x314a5b337a398e6d:0x87c38dd2e7f860a!8m2!3d20.8536842!4d107.0948389!16s%2Fg%2F11s4y7qsck!19sChIJbY45ejNbSjERCoZ_Lt04fAg?authuser=0&hl=ko&rclk=1,1528,4.6
12,Vietnam,Hai An,Nhà hát Thành phố Hải Phòng,,,,,,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A1t+Th%C3%A0nh+ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng/data=!4m7!3m6!1s0x314a7b15a4559941:0xaaead3b47e5359a2!8m2!3d20.8572884!4d106.681862!16s%2Fm%2F0k2lv0g!19sChIJQZlVpBV7SjERollTfrTT6qo?authuser=0&hl=ko&rclk=1,1454,4.7
13,Vietnam,Hai An,Hospital Cave,,,,,,https://www.google.com/maps/place/Hospital+Cave/data=!4m7!3m6!1s0x314a4490dcb9fe27:0x6af91a04c035511f!8m2!3d20.7698879!4d107.0207727!16s%2Fg%2F1v8g8hvf!19sChIJJ_653JBESjERH1E1wAQa-Wo?authuser=0&hl=ko&rclk=1,1453,4.0
