data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hai Phong,썬 월드 하롱 컴플렉스,,,"놀이 기구, 기차, 공연, 인상적인 건축물, 멋진 조경 구역이 있는 환상적인 놀이공원입니다.",,,https://www.google.com/maps/place/%EC%8D%AC+%EC%9B%94%EB%93%9C+%ED%95%98%EB%A1%B1+%EC%BB%B4%ED%94%8C%EB%A0%89%EC%8A%A4/data=!4m7!3m6!1s0x314a58f4f6ab5013:0xf9f7d05ae5b631e3!8m2!3d20.9553865!4d107.0495176!16s%2Fg%2F11c0rsk2gk!19sChIJE1Cr9vRYSjER4zG25VrQ9_k?authuser=0&hl=ko&rclk=1,10641,4.4
2,Vietnam,Hai Phong,승솟 동굴,,,이 유명한 대규모 동굴에는 산책로와 다채로운 색상의 조명이 있으며 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EC%8A%B9%EC%86%9F+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x314a5a7c9bef882f:0xf9041186f474b990!8m2!3d20.8439787!4d107.0914838!16s%2Fg%2F120v_0qg!19sChIJL4jvm3xaSjERkLl09IYRBPk?authuser=0&hl=ko&rclk=1,8605,4.5
3,Vietnam,Hai Phong,주석관저식물원,,,"울창한 나무, 산책로, 어린이 놀이터가 있는 고요한 대규모 도시공원입니다.",,,https://www.google.com/maps/place/%EC%A3%BC%EC%84%9D%EA%B4%80%EC%A0%80%EC%8B%9D%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x3135aba71a17db43:0xbb2a43d5e78bc884!8m2!3d21.0416041!4d105.8310206!16s%2Fg%2F1235km_g!19sChIJQ9sXGqerNTERhMiL59VDKrs?authuser=0&hl=ko&rclk=1,7776,4.2
4,Vietnam,Hai Phong,고 하이퐁,,,,,,https://www.google.com/maps/place/%EA%B3%A0+%ED%95%98%EC%9D%B4%ED%90%81/data=!4m7!3m6!1s0x314a7abb0de43311:0xb1f22e753b40e0ff!8m2!3d20.8454971!4d106.7074223!16s%2Fg%2F1tjgxvs0!19sChIJETPkDbt6SjER_-BAO3Uu8rE?authuser=0&hl=ko&rclk=1,5864,4.1
5,Vietnam,Hai Phong,이온 몰 하이퐁점,,,,,,https://www.google.com/maps/place/%EC%9D%B4%EC%98%A8+%EB%AA%B0+%ED%95%98%EC%9D%B4%ED%90%81%EC%A0%90/data=!4m7!3m6!1s0x314a7115f37d12fb:0xad7a0c64ee9d474c!8m2!3d20.8329538!4d106.682395!16s%2Fg%2F11qm3dw25h!19sChIJ-xJ98xVxSjERTEed7mQMeq0?authuser=0&hl=ko&rclk=1,4864,4.6
6,Vietnam,Hai Phong,깟바 국립공원,,,멸종 위기에 놓인 흰머리랑구르의 고향인 대규모 국립공원으로 숲이 우거진 석회암 봉우리를 볼 수 있습니다.,,,https://www.google.com/maps/place/%EA%B9%9F%EB%B0%94+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x314a444affffffff:0x5e913e302ca9088f!8m2!3d20.8135118!4d107.0080181!16s%2Fm%2F02z4p59!19sChIJ_____0pESjERjwipLDA-kV4?authuser=0&hl=ko&rclk=1,3723,4.4
7,Vietnam,Hai Phong,하롱 파크(드래곤 파크),,,,,,https://www.google.com/maps/place/%ED%95%98%EB%A1%B1+%ED%8C%8C%ED%81%AC%28%EB%93%9C%EB%9E%98%EA%B3%A4+%ED%8C%8C%ED%81%AC%29/data=!4m7!3m6!1s0x314a58f44dd2b597:0x3fb030cffc52a9a!8m2!3d20.9537499!4d107.0495142!16s%2Fg%2F11c6qsw7py!19sChIJl7XSTfRYSjERmirF_wwD-wM?authuser=0&hl=ko&rclk=1,2276,4.5
8,Vietnam,Hai Phong,썬 월드 하롱 파크,,,"롤러코스터, 2층 회전목마, 워터파크가 있는 인기 테마파크입니다.",,,https://www.google.com/maps/place/%EC%8D%AC+%EC%9B%94%EB%93%9C+%ED%95%98%EB%A1%B1+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x314a58f42ee3c251:0x2f8211536e215e36!8m2!3d20.9557495!4d107.0491696!16s%2Fg%2F11c1my2jny!19sChIJUcLjLvRYSjERNl4hblMRgi8?authuser=0&hl=ko&rclk=1,2069,4.4
9,Vietnam,Hai Phong,Vincom Plaza Lê Thánh Tông,,,"아늑하면서도 고급스러운 쇼핑몰로 패션 부티크, 식당, 영화관, 슈퍼마켓, 어린이 놀이 공간이 있습니다.",,,https://www.google.com/maps/place/Vincom+Plaza+L%C3%AA+Th%C3%A1nh+T%C3%B4ng/data=!4m7!3m6!1s0x314a7aef0ae39633:0x13291dc04c4248f4!8m2!3d20.865855!4d106.6915453!16s%2Fg%2F11b723700b!19sChIJM5bjCu96SjER9EhCTMAdKRM?authuser=0&hl=ko&rclk=1,1866,4.3
10,Vietnam,Hai Phong,Haidang Plaza,,,,,,https://www.google.com/maps/place/Haidang+Plaza/data=!4m7!3m6!1s0x314a7aeea262dba7:0x1aa446a14c0d5758!8m2!3d20.862729!4d106.6925119!16s%2Fg%2F1tks3tpn!19sChIJp9tiou56SjERWFcNTKFGpBo?authuser=0&hl=ko&rclk=1,1695,4.3
