data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Halong Bay,Bảo tàng Quảng Ninh,"월, 화, 수, 목, 금, 토, 일: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM (unparsed)",,,,국제전화번호: +84 203 3825 031 홈페이지: http://www.baotangquangninh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJmzLqOiFYSjERgtUoW-ny6_0,9976,4.5
2,Vietnam,Halong Bay,승솟 동굴(Sung Sot Cave),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,홈페이지: http://halongbaycruiseinstant.com/hang-sung-sot.html,https://www.google.com/maps/place/?q=place_id:ChIJL4jvm3xaSjERkLl09IYRBPk,8578,4.5
3,Vietnam,Halong Bay,승솟 동굴,,,이 유명한 대규모 동굴에는 산책로와 다채로운 색상의 조명이 있으며 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EC%8A%B9%EC%86%9F+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x314a5a7c9bef882f:0xf9041186f474b990!8m2!3d20.8439787!4d107.0914838!16s%2Fg%2F120v_0qg!19sChIJL4jvm3xaSjERkLl09IYRBPk?authuser=0&hl=ko&rclk=1,8577,4.5
4,Vietnam,Halong Bay,할롱 만(Hạ Long Bay),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJh-6MUZZXSjER23hUyLywxlU,7041,4.6
5,Vietnam,Halong Bay,할롱 만,,,"다양한 종류의 나무로 뒤덮인 석회암 섬에 경치 좋은 스쿠버다이빙, 암벽 등반, 등산 명소가 곳곳에 있습니다.",,,https://www.google.com/maps/place/%ED%95%A0%EB%A1%B1+%EB%A7%8C/data=!4m7!3m6!1s0x314a5796518cee87:0x55c6b0bcc85478db!8m2!3d20.9100512!4d107.1839024!16zL20vMDFmeG16!19sChIJh-6MUZZXSjER23hUyLywxlU?authuser=0&hl=ko&rclk=1,7041,4.6
6,Vietnam,Halong Bay,Ha Long 2 Market,"월, 화, 수, 목, 금, 토, 일: 06:00~19:00",,,,홈페이지: https://tripmap.vn/place/tp-ha-long/cho-ha-long-2-cho-loong-toong/,https://www.google.com/maps/place/?q=place_id:ChIJs5me6xZYSjERmXZwHs3iowE,3874,4.2
7,Vietnam,Halong Bay,Ha Long Market,"월, 화, 수, 목, 금, 토, 일: 02:00~21:15",,,,국제전화번호: +84 963 246 416,https://www.google.com/maps/place/?q=place_id:ChIJJcSvehhYSjERnvYvfSKkmoI,3377,4.1
8,Vietnam,Halong Bay,Bai Chay Beach,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJz2nAcPpYSjERfcYtwMuGQN0,3360,4.2
9,Vietnam,Halong Bay,Lan Ha Bay,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPUL9LsRaSjERhThC4y_Pvco,2985,4.6
10,Vietnam,Halong Bay,Ti Top Beach,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJm2RgzGtaSjER1GXMHW48HSU,2863,4.1
11,Vietnam,Halong Bay,Ambassador Cruise,"월, 화, 수, 목, 금, 토, 일: 08:30~17:30",,,,국제전화번호: +84 1900 3045 홈페이지: https://www.ambassadorcruise.com/,https://www.google.com/maps/place/?q=place_id:ChIJV-lLrr5fSjERTXIdtxSl2vA,2849,4.9
12,Vietnam,Halong Bay,썬 휠(Sun Wheel),"월, 화, 수, 목, 금, 토, 일: 09:00~20:00",,,,국제전화번호: +84 977 112 777 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJnbw_8GlYSjERTzjJCAiXPcg,2340,4.4
13,Vietnam,Halong Bay,하롱 파크(드래곤 파크)(Halong Park (Dragon Park)),"월, 화, 수, 목, 금: 02:00~17:00; 토, 일: 09:00~17:00",,,,국제전화번호: +84 977 112 777 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJl7XSTfRYSjERmirF_wwD-wM,2271,4.5
14,Vietnam,Halong Bay,하롱 파크(드래곤 파크),,,,,,https://www.google.com/maps/place/%ED%95%98%EB%A1%B1+%ED%8C%8C%ED%81%AC%28%EB%93%9C%EB%9E%98%EA%B3%A4+%ED%8C%8C%ED%81%AC%29/data=!4m7!3m6!1s0x314a58f44dd2b597:0x3fb030cffc52a9a!8m2!3d20.9537499!4d107.0495142!16s%2Fg%2F11c6qsw7py!19sChIJl7XSTfRYSjERmirF_wwD-wM?authuser=0&hl=ko&rclk=1,2270,4.5
15,Vietnam,Halong Bay,Halong International Cruise Port,,,,,,https://www.google.com/maps/place/Halong+International+Cruise+Port/data=!4m7!3m6!1s0x314a599fe53f38c1:0xbe13a199388f605!8m2!3d20.9529857!4d107.0560779!16s%2Fg%2F11h0xdrb2d!19sChIJwTg_5Z9ZSjERBfaIkxk64Qs?authuser=0&hl=ko&rclk=1,2197,4.4
16,Vietnam,Halong Bay,썬 월드 하롱 파크,,,"롤러코스터, 2층 회전목마, 워터파크가 있는 인기 테마파크입니다.",,,https://www.google.com/maps/place/%EC%8D%AC+%EC%9B%94%EB%93%9C+%ED%95%98%EB%A1%B1+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x314a58f42ee3c251:0x2f8211536e215e36!8m2!3d20.9557495!4d107.0491696!16s%2Fg%2F11c1my2jny!19sChIJUcLjLvRYSjERNl4hblMRgi8?authuser=0&hl=ko&rclk=1,2047,4.4
17,Vietnam,Halong Bay,썬 월드 하롱 파크(Sun World Halong Park),"월, 화, 수, 목, 금: 02:00~20:00; 토, 일: 09:00~20:00",,,,국제전화번호: +84 203 2238 888 홈페이지: https://halongcomplex.sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJUcLjLvRYSjERNl4hblMRgi8,2047,4.4
18,Vietnam,Halong Bay,노보텔하롱베이호텔,,,,,,https://www.google.com/maps/place/%EB%85%B8%EB%B3%B4%ED%85%94%ED%95%98%EB%A1%B1%EB%B2%A0%EC%9D%B4%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x314a58ee1f6374e3:0xc0556103e1b26cc0!5m2!4m1!1i2!8m2!3d20.9518098!4d107.0420793!16s%2Fg%2F1thkzb5d!19sChIJ43RjH-5YSjERwGyy4QNhVcA?authuser=0&hl=ko&rclk=1,1857,4.3
19,Vietnam,Halong Bay,노보텔하롱베이호텔(Novotel Ha Long Bay),,,,,국제전화번호: +84 203 3848 108 홈페이지: https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6185&merchantid=seo-maps-VN-6185&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.google.com/maps/place/?q=place_id:ChIJ43RjH-5YSjERwGyy4QNhVcA,1857,4.3
20,Vietnam,Halong Bay,루온 동굴,,,,,,https://www.google.com/maps/place/%EB%A3%A8%EC%98%A8+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x314a5b337a398e6d:0x87c38dd2e7f860a!8m2!3d20.8536842!4d107.0948389!16s%2Fg%2F11s4y7qsck!19sChIJbY45ejNbSjERCoZ_Lt04fAg?authuser=0&hl=ko&rclk=1,1512,4.6
21,Vietnam,Halong Bay,Hospital Cave,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ_653JBESjERH1E1wAQa-Wo,1444,4.0
22,Vietnam,Halong Bay,Bãi Cháy Market,"월, 화, 수, 목, 금, 토, 일: 04:00~19:00",,,,국제전화번호: +84 973 167 932,https://www.google.com/maps/place/?q=place_id:ChIJVVVV6WZYSjERtuLYVrrJ5z8,1351,3.8
23,Vietnam,Halong Bay,더우고동굴,,,다양한 조명색으로 빛나는 종유석과 석순이 있는 석회암 동굴이며 가이드 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EB%8D%94%EC%9A%B0%EA%B3%A0%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x314a59489c7cd733:0x34baeee35467fe26!8m2!3d20.9111568!4d107.0186591!16s%2Fg%2F121_c8df!19sChIJM9d8nEhZSjERJv5nVOPuujQ?authuser=0&hl=ko&rclk=1,1085,4.5
24,Vietnam,Halong Bay,더우고동굴(Dau Go Cave),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://vetauthamvinhhalong.com/hang-dau-go-vinh-ha-long/?fbclid=IwAR253HTDUphL0_9F8cmuhuaVb5OLIKQiNvEibzrxtzqsX5Y3UmIlq3skTXk,https://www.google.com/maps/place/?q=place_id:ChIJM9d8nEhZSjERJv5nVOPuujQ,1085,4.5
25,Vietnam,Halong Bay,Clock Tower Roundabout,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 702 222 123,https://www.google.com/maps/place/?q=place_id:ChIJwYTFSzxYSjERYFyv1V6mo2c,948,4.5
26,Vietnam,Halong Bay,Cát Bà Island,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJoUx6blNDSjERHYq_EXZxPu4,906,4.4
27,Vietnam,Halong Bay,하롱팰리스호텔,,,,,,https://www.google.com/maps/place/%ED%95%98%EB%A1%B1%ED%8C%B0%EB%A6%AC%EC%8A%A4%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x314a58c5d66fcdeb:0x5169916891fc328d!5m2!4m1!1i2!8m2!3d20.9554457!4d107.0208559!16s%2Fg%2F12mkqy7xn!19sChIJ681v1sVYSjERjTL8kWiRaVE?authuser=0&hl=ko&rclk=1,859,4.2
28,Vietnam,Halong Bay,Hon Gai beach,"월, 화, 수, 목, 금, 토, 일: 08:00~17:30",,,,국제전화번호: +84 868 666 106,https://www.google.com/maps/place/?q=place_id:ChIJd9-iGlZXSjEReDcorYan4ug,843,4.5
29,Vietnam,Halong Bay,FLC Ha Long Bay,,,,,국제전화번호: +84 932 699 993 홈페이지: http://khachsanflchalong.com/,https://www.google.com/maps/place/?q=place_id:ChIJSyNX2ENXSjER8Tm4zUUHEvY,796,4.4
30,Vietnam,Halong Bay,Hạ Long Pearl Museum,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 913 264 082,https://www.google.com/maps/place/?q=place_id:ChIJN8vYd35aSjERYTVpU1nCjN0,762,3.9
31,Vietnam,Halong Bay,Poem Mountain,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJWePWljhYSjERQyoGE6-IDuY,743,4.1
32,Vietnam,Halong Bay,Long Tien Pagoda,,,,,,https://www.google.com/maps/place/Long+Tien+Pagoda/data=!4m7!3m6!1s0x314a583f2b356ded:0x871befa0562e5527!8m2!3d20.9498928!4d107.0802524!16s%2Fg%2F1tf6zf4z!19sChIJ7W01Kz9YSjERJ1UuVqDvG4c?authuser=0&hl=ko&rclk=1,713,4.4
33,Vietnam,Halong Bay,Bhaya Cruise Center,,,,,,https://www.google.com/maps/place/Bhaya+Cruise+Center/data=!4m7!3m6!1s0x314a5866e955550b:0x5bd5665e2fd1ff35!8m2!3d20.9189629!4d106.9857155!16s%2Fg%2F1tcwt65_!19sChIJC1VV6WZYSjERNf_RL15m1Vs?authuser=0&hl=ko&rclk=1,582,4.5
34,Vietnam,Halong Bay,Ocean Park,,,,,,https://www.google.com/maps/place/Ocean+Park/data=!4m7!3m6!1s0x314a58ee3601d2eb:0x2523c5fefde708f6!8m2!3d20.950384!4d107.0407412!16s%2Fg%2F1hcb3cgj5!19sChIJ69IBNu5YSjER9gjn_f7FIyU?authuser=0&hl=ko&rclk=1,527,4.3
35,Vietnam,Halong Bay,Khách sạn Mường Thanh Grand Bãi Cháy,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3563 666 홈페이지: https://grandbaichay.muongthanh.com/,https://www.google.com/maps/place/?q=place_id:ChIJF7uMmORZSjERhftEb6t14hQ,509,4.4
36,Vietnam,Halong Bay,Halong Night Market,"월, 화, 수, 목, 금, 토: 06:00~23:30; 일: 05:30~23:30",,,,국제전화번호: +84 917 608 999,https://www.google.com/maps/place/?q=place_id:ChIJaeVtefRYSjER8mZ1BjqlgzM,490,3.9
37,Vietnam,Halong Bay,띠똡 아일랜드 전망대,,,,,,https://www.google.com/maps/place/%EB%9D%A0%EB%98%A1+%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x314a5b04084bd147:0x7b8702e6de034220!8m2!3d20.8594895!4d107.0803!16s%2Fg%2F11j7j43qm7!19sChIJR9FLCARbSjERIEID3uYCh3s?authuser=0&hl=ko&rclk=1,480,4.5
38,Vietnam,Halong Bay,Halong Typhoon Water Park,"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +84 838 886 816 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqo5YSjERrM0SfWoXwgo,465,4.3
39,Vietnam,Halong Bay,Đỉnh Ngự Lâm,,,,,,https://www.google.com/maps/place/%C4%90%E1%BB%89nh+Ng%E1%BB%B1+L%C3%A2m/data=!4m7!3m6!1s0x314a433d90efa6e9:0x4f8dedbcc1df7216!8m2!3d20.7933929!4d106.9989653!16s%2Fg%2F11g4d5dbv1!19sChIJ6abvkD1DSjERFnLfwbztjU8?authuser=0&hl=ko&rclk=1,393,4.7
40,Vietnam,Halong Bay,Indochina Sails,,,,,,https://www.google.com/maps/place/Indochina+Sails/data=!4m7!3m6!1s0x3135abfa1dece47f:0x27714d8feaf5a303!8m2!3d20.9236419!4d106.9816821!16s%2Fg%2F1hf3vd0nf!19sChIJf-TsHfqrNTERA6P16o9NcSc?authuser=0&hl=ko&rclk=1,379,4.5
41,Vietnam,Halong Bay,Bai Chay old lighthouse,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJiyPhS2dYSjERkCBV5dA6VT0,357,4.4
42,Vietnam,Halong Bay,Bai Tu Long Bay,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjf1nWU1USjERx-qARYK1n-M,316,4.6
43,Vietnam,Halong Bay,Chợ Đêm Hải Sản Hạ Long,"월, 화, 수, 목, 금, 토, 일: 07:00~23:00",,,,국제전화번호: +84 364 490 924,https://www.google.com/maps/place/?q=place_id:ChIJjTv41M5YSjER55Ptkq6Xy9k,309,3.8
44,Vietnam,Halong Bay,Halong Bay Cruises,,,,,홈페이지: http://halongbaycruiseinstant.com/,https://www.google.com/maps/place/?q=place_id:ChIJlVCgJsVeSjERr5qHy_YDzhs,303,4.6
45,Vietnam,Halong Bay,Tuần Châu Park,,,,,,https://www.google.com/maps/place/Tu%E1%BA%A7n+Ch%C3%A2u+Park/data=!4m7!3m6!1s0x314a5ec4ed9758a9:0xd60bf8040be50a13!8m2!3d20.9277676!4d106.9906971!16s%2Fg%2F11c45_j1fm!19sChIJqViX7cReSjEREwrlCwT4C9Y?authuser=0&hl=ko&rclk=1,295,4.2
46,Vietnam,Halong Bay,Ha Long Natural heritage,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtV5TN4xXSjERO6ZIAuhUR_4,282,4.6
47,Vietnam,Halong Bay,Halong Solar Cycle,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJq6qqBmpYSjERGZ3VBGY5bLs,266,4.5
48,Vietnam,Halong Bay,Dora Cruise,,,,,,https://www.google.com/maps/place/Dora+Cruise/data=!4m7!3m6!1s0x3135abd597a965b9:0xb826d8fe4495380b!8m2!3d20.920015!4d106.9825147!16s%2Fg%2F11btsvf157!19sChIJuWWpl9WrNTERCziVRP7YJrg?authuser=0&hl=ko&rclk=1,234,4.6
49,Vietnam,Halong Bay,Hòn Trống Mái Hạ Long,,,,,,https://www.google.com/maps/place/H%C3%B2n+Tr%E1%BB%91ng+M%C3%A1i+H%E1%BA%A1+Long/data=!4m7!3m6!1s0x314a5bffe7efbc67:0xcde5c8a9c6ecb167!8m2!3d20.8905171!4d107.0261877!16s%2Fg%2F11fp93__fn!19sChIJZ7zv5_9bSjERZ7HsxqnI5c0?authuser=0&hl=ko&rclk=1,217,4.7
50,Vietnam,Halong Bay,Greenbay Garden Hạ Long,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 975 511 566,https://www.google.com/maps/place/?q=place_id:ChIJj7AX0sRZSjERKs5RD1qDLwE,173,4.5
51,Vietnam,Halong Bay,La Muse Cruise,"월, 화, 수, 목, 금: 08:00~17:30; 토, 일: 08:30~17:30",,,,홈페이지: https://www.indochina-junk.com/nang-tien-junk/,https://www.google.com/maps/place/?q=place_id:ChIJPfqK8qxZSjERLduA05kWK7U,163,4.6
52,Vietnam,Halong Bay,Thiên Canh Sơn Beach,,,,,,https://www.google.com/maps/place/Thi%C3%AAn+Canh+S%C6%A1n+Beach/data=!4m7!3m6!1s0x314a56caf7b0867f:0xafe6d334b9a09b8b!8m2!3d20.881698!4d107.1691525!16s%2Fg%2F11dfh7c671!19sChIJf4aw98pWSjERi5uguTTT5q8?authuser=0&hl=ko&rclk=1,149,4.3
53,Vietnam,Halong Bay,Halong Bay Vietnam,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 961 780 199 홈페이지: http://halongbaycruisestour.com/,https://www.google.com/maps/place/?q=place_id:ChIJnxnhT4NfSjERUCQNVSI_xWo,114,4.8
54,Vietnam,Halong Bay,Vung Vieng Fishing Village,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_dsC7w5RSjERZRFxONc5SBw,108,4.4
55,Vietnam,Halong Bay,Beach Paradise Bay,,,,,,https://www.google.com/maps/place/Beach+Paradise+Bay/data=!4m7!3m6!1s0x314a5fbcde1a8373:0xa7ddc7e165cfe949!8m2!3d20.9366188!4d106.9952485!16s%2Fg%2F11f6cs7fcf!19sChIJc4Ma3rxfSjERSenPZeHH3ac?authuser=0&hl=ko&rclk=1,102,4.3
56,Vietnam,Halong Bay,퀸 케이블 카(Sun Wheel cable car (Sun World)),"월, 화, 수, 목, 금, 토, 일: 10:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6ToO-2lYSjERJRNlyOutnn0,86,4.6
57,Vietnam,Halong Bay,퀸 케이블 카,,,,,,https://www.google.com/maps/place/%ED%80%B8+%EC%BC%80%EC%9D%B4%EB%B8%94+%EC%B9%B4/data=!4m7!3m6!1s0x314a5869fb0e3ae9:0x7d9eadebc8651325!8m2!3d20.9568177!4d107.0678381!16s%2Fg%2F11dzwbq9n4!19sChIJ6ToO-2lYSjERJRNlyOutnn0?authuser=0&hl=ko&rclk=1,86,4.6
58,Vietnam,Halong Bay,Paradise Delight,,,,,,https://www.google.com/maps/place/Paradise+Delight/data=!4m7!3m6!1s0x314a5f7c6c23a509:0x76cdda4833ac63c7!8m2!3d20.9168669!4d106.9876263!16s%2Fg%2F11s1qrb50_!19sChIJCaUjbHxfSjERx2OsM0jazXY?authuser=0&hl=ko&rclk=1,80,4.6
59,Vietnam,Halong Bay,Ga Hạ Long,"월, 화, 수, 목, 금, 토, 일: 09:00~14:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFbJYSjERZLJv45LihDk,80,3.8
60,Vietnam,Halong Bay,The Au Co Cruise - Halong Bay,"월, 화, 수, 목, 금: 06:00~18:00; 토, 일: 07:00~18:00",,,,국제전화번호: +84 933 446 542 홈페이지: https://www.booking.com/hotel/vn/auco-cruiser.en-us.html?aid=7955654,https://www.google.com/maps/place/?q=place_id:ChIJAbtBucZeSjEREIkPE-aSrWY,71,4.5
61,Vietnam,Halong Bay,Capella Cruise,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 24 7307 3886 홈페이지: http://capellacruise.com/,https://www.google.com/maps/place/?q=place_id:ChIJoc6no3BfSjERPk2wyG59nMc,70,4.8
62,Vietnam,Halong Bay,Halong Bay Cruise,"월, 화, 수, 목, 금, 토, 일: 07:30~19:00",,,,국제전화번호: +84 966 439 966,https://www.google.com/maps/place/?q=place_id:ChIJkfo3AfJYSjERfXE-NCekBec,70,4.6
63,Vietnam,Halong Bay,Chung Cư Times Garden,,,,,,https://www.google.com/maps/place/Chung+C%C6%B0+Times+Garden/data=!4m7!3m6!1s0x314a59a795ae7f1b:0x6ed6f7a4fa0d7be!8m2!3d20.9515679!4d107.0825456!16s%2Fg%2F11vf413g6g!19sChIJG3-uladZSjERvtegT3pv7QY?authuser=0&hl=ko&rclk=1,65,4.4
64,Vietnam,Halong Bay,H.Vụng Hà,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYTiq5wtRSjERiJNvZD_OH9g,64,4.6
65,Vietnam,Halong Bay,Hạ Long By Night,,,,,국제전화번호: +84 919 811 605,https://www.google.com/maps/place/?q=place_id:ChIJxdGZ95pXSjER_M28j5nWscA,63,4.3
66,Vietnam,Halong Bay,Halong Phoenix Cruiser,,,,,,https://www.google.com/maps/place/Halong+Phoenix+Cruiser/data=!4m7!3m6!1s0x314a58c7b4ea30e5:0x13c6c700c7d1bba8!8m2!3d20.958674!4d107.020246!16s%2Fg%2F1hhn10fdq!19sChIJ5TDqtMdYSjERqLvRxwDHxhM?authuser=0&hl=ko&rclk=1,58,4.4
67,Vietnam,Halong Bay,Khu vui chơi giải trí hạ long view,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3822 666 홈페이지: http://www.anhduonghalong.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ5z-F_99ZSjER34zKTSIsrZg,53,4.2
68,Vietnam,Halong Bay,Queen Cable Car (Tower 2),"월, 화, 수, 목, 금: 01:30~20:00; 토, 일: 09:00~20:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJKW-gt19YSjER7NnV88O9pUw,50,4.2
69,Vietnam,Halong Bay,CÔNG TY DU LỊCH VỊNH HẠ LONG,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 936 282 389 홈페이지: http://dulichvinhhalong.net.vn/,https://www.google.com/maps/place/?q=place_id:ChIJsamdQYtYSjEREGoUbQliEq8,49,4.6
70,Vietnam,Halong Bay,Paradise Grand Cruise,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 983 199 948 홈페이지: https://www.paradisevietnam.com/,https://www.google.com/maps/place/?q=place_id:ChIJddc_sJarNTERMfjtmCGysRY,45,4.6
71,Vietnam,Halong Bay,Cấp Ngân,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4RwHXFdZSjER6o-ACvBXvGc,39,4.5
72,Vietnam,Halong Bay,Cổng chào khu 6,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJs-cNy2tYSjERbZNKMO-OzgI,36,3.9
73,Vietnam,Halong Bay,Orchid Trendy Cruise,,,,,홈페이지: http://orchidtrendycruises.com/,https://www.google.com/maps/place/?q=place_id:ChIJMT1mzN1eSjERQRb-Sr1dZOs,36,4.3
74,Vietnam,Halong Bay,Heritage Cruises Binh Chuan Cat Ba Archipelago,,,,,국제전화번호: +84 886 036 668 홈페이지: https://heritagecruises.com/heritage-discover-cruise-in-2-days/,https://www.google.com/maps/place/?q=place_id:ChIJmWwzcwZoSjERCyb9R15LM88,34,4.2
75,Vietnam,Halong Bay,Ha Long Bay View,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3853 666 홈페이지: http://halongbayview.vn/,https://www.google.com/maps/place/?q=place_id:ChIJIf7LjDZZSjER5CexXjzIFB4,29,4.7
76,Vietnam,Halong Bay,Memorial wins first match,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJB64lGWdYSjERZ6wGcZjAFXg,28,3.9
77,Vietnam,Halong Bay,Nostalgia Cruises Ha Long,,,,,,https://www.google.com/maps/place/Nostalgia+Cruises+Ha+Long/data=!4m7!3m6!1s0x314a5fed5d23b48d:0x62667c6db0290a77!8m2!3d20.9214788!4d106.9804461!16s%2Fg%2F11s8b9_sv5!19sChIJjbQjXe1fSjERdwopsG18ZmI?authuser=0&hl=ko&rclk=1,26,4.4
78,Vietnam,Halong Bay,Hồng Cổ Gia Viên,,,,,,https://www.google.com/maps/place/H%E1%BB%93ng+C%E1%BB%95+Gia+Vi%C3%AAn/data=!4m7!3m6!1s0x314a87f8680aa2e1:0xb3f8bebe10ec34e8!8m2!3d21.0562964!4d106.6416596!16s%2Fg%2F11h2hmm_s8!19sChIJ4aIKaPiHSjER6DTsEL6--LM?authuser=0&hl=ko&rclk=1,21,3.7
79,Vietnam,Halong Bay,Ha Long Bay Night Market,"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ22LAlNVZSjERdnJFM9_hl8I,21,3.7
80,Vietnam,Halong Bay,Nắng Tháng Mười Secret Garden,,,,,,https://www.google.com/maps/place/N%E1%BA%AFng+Th%C3%A1ng+M%C6%B0%E1%BB%9Di+Secret+Garden/data=!4m7!3m6!1s0x314a7d97603dbb6f:0x4f0ba0156a3b53fa!8m2!3d20.9437205!4d106.7214537!16s%2Fg%2F11fjxg2d0w!19sChIJb7s9YJd9SjER-lM7ahWgC08?authuser=0&hl=ko&rclk=1,19,4.5
81,Vietnam,Halong Bay,Dragon’s Run,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ82WvIoVZSjERDyKwNVf_90M,17,4.5
82,Vietnam,Halong Bay,Nature reserve Dong Son - Ky Thuong,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9bBe6GrlSjER3bZeTnlHaqY,17,4.8
