data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Halong Bay,Bảo tàng Quảng Ninh,"월, 화, 수, 목, 금, 토, 일: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM (unparsed)",,,,국제전화번호: +84 203 3825 031 홈페이지: http://www.baotangquangninh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJmzLqOiFYSjERgtUoW-ny6_0,9976,4.5
2,Vietnam,Halong Bay,승솟 동굴(Sung Sot Cave),"월, 화, 수, 목, 금, 토, 일: 08:00~18:00",,,,홈페이지: http://halongbaycruiseinstant.com/hang-sung-sot.html,https://www.google.com/maps/place/?q=place_id:ChIJL4jvm3xaSjERkLl09IYRBPk,8578,4.5
3,Vietnam,Halong Bay,할롱 만(Hạ Long Bay),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJh-6MUZZXSjER23hUyLywxlU,7041,4.6
4,Vietnam,Halong Bay,Ha Long 2 Market,"월, 화, 수, 목, 금, 토, 일: 06:00~19:00",,,,홈페이지: https://tripmap.vn/place/tp-ha-long/cho-ha-long-2-cho-loong-toong/,https://www.google.com/maps/place/?q=place_id:ChIJs5me6xZYSjERmXZwHs3iowE,3874,4.2
5,Vietnam,Halong Bay,Ha Long Market,"월, 화, 수, 목, 금, 토, 일: 02:00~21:15",,,,국제전화번호: +84 963 246 416,https://www.google.com/maps/place/?q=place_id:ChIJJcSvehhYSjERnvYvfSKkmoI,3377,4.1
6,Vietnam,Halong Bay,Bai Chay Beach,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJz2nAcPpYSjERfcYtwMuGQN0,3360,4.2
7,Vietnam,Halong Bay,Lan Ha Bay,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPUL9LsRaSjERhThC4y_Pvco,2985,4.6
8,Vietnam,Halong Bay,Ti Top Beach,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJm2RgzGtaSjER1GXMHW48HSU,2863,4.1
9,Vietnam,Halong Bay,Ambassador Cruise,"월, 화, 수, 목, 금, 토, 일: 08:30~17:30",,,,국제전화번호: +84 1900 3045 홈페이지: https://www.ambassadorcruise.com/,https://www.google.com/maps/place/?q=place_id:ChIJV-lLrr5fSjERTXIdtxSl2vA,2849,4.9
10,Vietnam,Halong Bay,썬 휠(Sun Wheel),"월, 화, 수, 목, 금, 토, 일: 09:00~20:00",,,,국제전화번호: +84 977 112 777 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJnbw_8GlYSjERTzjJCAiXPcg,2340,4.4
11,Vietnam,Halong Bay,하롱 파크(드래곤 파크)(Halong Park (Dragon Park)),"월, 화, 수, 목, 금: 02:00~17:00; 토, 일: 09:00~17:00",,,,국제전화번호: +84 977 112 777 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJl7XSTfRYSjERmirF_wwD-wM,2271,4.5
12,Vietnam,Halong Bay,썬 월드 하롱 파크(Sun World Halong Park),"월, 화, 수, 목, 금: 02:00~20:00; 토, 일: 09:00~20:00",,,,국제전화번호: +84 203 2238 888 홈페이지: https://halongcomplex.sunworld.vn/,https://www.google.com/maps/place/?q=place_id:ChIJUcLjLvRYSjERNl4hblMRgi8,2047,4.4
13,Vietnam,Halong Bay,노보텔하롱베이호텔(Novotel Ha Long Bay),,,,,국제전화번호: +84 203 3848 108 홈페이지: https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6185&merchantid=seo-maps-VN-6185&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.google.com/maps/place/?q=place_id:ChIJ43RjH-5YSjERwGyy4QNhVcA,1857,4.3
14,Vietnam,Halong Bay,Hospital Cave,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ_653JBESjERH1E1wAQa-Wo,1444,4
15,Vietnam,Halong Bay,Bãi Cháy Market,"월, 화, 수, 목, 금, 토, 일: 04:00~19:00",,,,국제전화번호: +84 973 167 932,https://www.google.com/maps/place/?q=place_id:ChIJVVVV6WZYSjERtuLYVrrJ5z8,1351,3.8
16,Vietnam,Halong Bay,더우고동굴(Dau Go Cave),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://vetauthamvinhhalong.com/hang-dau-go-vinh-ha-long/?fbclid=IwAR253HTDUphL0_9F8cmuhuaVb5OLIKQiNvEibzrxtzqsX5Y3UmIlq3skTXk,https://www.google.com/maps/place/?q=place_id:ChIJM9d8nEhZSjERJv5nVOPuujQ,1085,4.5
17,Vietnam,Halong Bay,Clock Tower Roundabout,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 702 222 123,https://www.google.com/maps/place/?q=place_id:ChIJwYTFSzxYSjERYFyv1V6mo2c,948,4.5
18,Vietnam,Halong Bay,Cát Bà Island,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJoUx6blNDSjERHYq_EXZxPu4,906,4.4
19,Vietnam,Halong Bay,Hon Gai beach,"월, 화, 수, 목, 금, 토, 일: 08:00~17:30",,,,국제전화번호: +84 868 666 106,https://www.google.com/maps/place/?q=place_id:ChIJd9-iGlZXSjEReDcorYan4ug,843,4.5
20,Vietnam,Halong Bay,FLC Ha Long Bay,,,,,국제전화번호: +84 932 699 993 홈페이지: http://khachsanflchalong.com/,https://www.google.com/maps/place/?q=place_id:ChIJSyNX2ENXSjER8Tm4zUUHEvY,796,4.4
21,Vietnam,Halong Bay,Hạ Long Pearl Museum,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 913 264 082,https://www.google.com/maps/place/?q=place_id:ChIJN8vYd35aSjERYTVpU1nCjN0,762,3.9
22,Vietnam,Halong Bay,Poem Mountain,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJWePWljhYSjERQyoGE6-IDuY,743,4.1
23,Vietnam,Halong Bay,A La Carte Ha Long Bay Hotel,,,,,국제전화번호: +84 203 3559 555 홈페이지: http://www.alacartehalongbay.com/,https://www.google.com/maps/place/?q=place_id:ChIJWWZ6q6NZSjERaXJ6JhPmQ5k,512,3.9
24,Vietnam,Halong Bay,Khách sạn Mường Thanh Grand Bãi Cháy,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3563 666 홈페이지: https://grandbaichay.muongthanh.com/,https://www.google.com/maps/place/?q=place_id:ChIJF7uMmORZSjERhftEb6t14hQ,509,4.4
25,Vietnam,Halong Bay,Halong Night Market,"월, 화, 수, 목, 금, 토: 06:00~23:30; 일: 05:30~23:30",,,,국제전화번호: +84 917 608 999,https://www.google.com/maps/place/?q=place_id:ChIJaeVtefRYSjER8mZ1BjqlgzM,490,3.9
26,Vietnam,Halong Bay,Halong Typhoon Water Park,"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +84 838 886 816 홈페이지: https://vetauthamvinhhalong.com/gia-ve-sun-world-ha-long/,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqo5YSjERrM0SfWoXwgo,465,4.3
27,Vietnam,Halong Bay,Bai Chay old lighthouse,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJiyPhS2dYSjERkCBV5dA6VT0,357,4.4
28,Vietnam,Halong Bay,Bai Tu Long Bay,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjf1nWU1USjERx-qARYK1n-M,316,4.6
29,Vietnam,Halong Bay,Chợ Đêm Hải Sản Hạ Long,"월, 화, 수, 목, 금, 토, 일: 07:00~23:00",,,,국제전화번호: +84 364 490 924,https://www.google.com/maps/place/?q=place_id:ChIJjTv41M5YSjER55Ptkq6Xy9k,309,3.8
30,Vietnam,Halong Bay,Halong Bay Cruises,,,,,홈페이지: http://halongbaycruiseinstant.com/,https://www.google.com/maps/place/?q=place_id:ChIJlVCgJsVeSjERr5qHy_YDzhs,303,4.6
31,Vietnam,Halong Bay,Halong View karaoke,"월, 화, 수, 목, 금, 토, 일: 11:00~02:00",,,,국제전화번호: +84 936 218 866 홈페이지: http://www.anhduonghalong.vn/,https://www.google.com/maps/place/?q=place_id:ChIJr2BpAGxYSjERikb4Q-K2uxA,290,4.2
32,Vietnam,Halong Bay,Ha Long Natural heritage,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtV5TN4xXSjERO6ZIAuhUR_4,282,4.6
33,Vietnam,Halong Bay,Halong Solar Cycle,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJq6qqBmpYSjERGZ3VBGY5bLs,266,4.5
34,Vietnam,Halong Bay,Greenbay Garden Hạ Long,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 975 511 566,https://www.google.com/maps/place/?q=place_id:ChIJj7AX0sRZSjERKs5RD1qDLwE,173,4.5
35,Vietnam,Halong Bay,La Muse Cruise,"월, 화, 수, 목, 금: 08:00~17:30; 토, 일: 08:30~17:30",,,,홈페이지: https://www.indochina-junk.com/nang-tien-junk/,https://www.google.com/maps/place/?q=place_id:ChIJPfqK8qxZSjERLduA05kWK7U,163,4.6
36,Vietnam,Halong Bay,Halong Bay Vietnam,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 961 780 199 홈페이지: http://halongbaycruisestour.com/,https://www.google.com/maps/place/?q=place_id:ChIJnxnhT4NfSjERUCQNVSI_xWo,114,4.8
37,Vietnam,Halong Bay,Vung Vieng Fishing Village,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_dsC7w5RSjERZRFxONc5SBw,108,4.4
38,Vietnam,Halong Bay,퀸 케이블 카(Sun Wheel cable car (Sun World)),"월, 화, 수, 목, 금, 토, 일: 10:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6ToO-2lYSjERJRNlyOutnn0,86,4.6
39,Vietnam,Halong Bay,Ga Hạ Long,"월, 화, 수, 목, 금, 토, 일: 09:00~14:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFbJYSjERZLJv45LihDk,80,3.8
40,Vietnam,Halong Bay,The Au Co Cruise - Halong Bay,"월, 화, 수, 목, 금: 06:00~18:00; 토, 일: 07:00~18:00",,,,국제전화번호: +84 933 446 542 홈페이지: https://www.booking.com/hotel/vn/auco-cruiser.en-us.html?aid=7955654,https://www.google.com/maps/place/?q=place_id:ChIJAbtBucZeSjEREIkPE-aSrWY,71,4.5
41,Vietnam,Halong Bay,Halong Bay Cruise,"월, 화, 수, 목, 금, 토, 일: 07:30~19:00",,,,국제전화번호: +84 966 439 966,https://www.google.com/maps/place/?q=place_id:ChIJkfo3AfJYSjERfXE-NCekBec,70,4.6
42,Vietnam,Halong Bay,Capella Cruise,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 24 7307 3886 홈페이지: http://capellacruise.com/,https://www.google.com/maps/place/?q=place_id:ChIJoc6no3BfSjERPk2wyG59nMc,70,4.8
43,Vietnam,Halong Bay,H.Vụng Hà,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYTiq5wtRSjERiJNvZD_OH9g,64,4.6
44,Vietnam,Halong Bay,Hạ Long By Night,,,,,국제전화번호: +84 919 811 605,https://www.google.com/maps/place/?q=place_id:ChIJxdGZ95pXSjER_M28j5nWscA,63,4.3
45,Vietnam,Halong Bay,Khu vui chơi giải trí hạ long view,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3822 666 홈페이지: http://www.anhduonghalong.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ5z-F_99ZSjER34zKTSIsrZg,53,4.2
46,Vietnam,Halong Bay,Queen Cable Car (Tower 2),"월, 화, 수, 목, 금: 01:30~20:00; 토, 일: 09:00~20:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJKW-gt19YSjER7NnV88O9pUw,50,4.2
47,Vietnam,Halong Bay,CÔNG TY DU LỊCH VỊNH HẠ LONG,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 936 282 389 홈페이지: http://dulichvinhhalong.net.vn/,https://www.google.com/maps/place/?q=place_id:ChIJsamdQYtYSjEREGoUbQliEq8,49,4.6
48,Vietnam,Halong Bay,Paradise Grand Cruise,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 983 199 948 홈페이지: https://www.paradisevietnam.com/,https://www.google.com/maps/place/?q=place_id:ChIJddc_sJarNTERMfjtmCGysRY,45,4.6
49,Vietnam,Halong Bay,Cấp Ngân,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4RwHXFdZSjER6o-ACvBXvGc,39,4.5
50,Vietnam,Halong Bay,Cổng chào khu 6,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJs-cNy2tYSjERbZNKMO-OzgI,36,3.9
51,Vietnam,Halong Bay,Orchid Trendy Cruise,,,,,홈페이지: http://orchidtrendycruises.com/,https://www.google.com/maps/place/?q=place_id:ChIJMT1mzN1eSjERQRb-Sr1dZOs,36,4.3
52,Vietnam,Halong Bay,Heritage Cruises Binh Chuan Cat Ba Archipelago,,,,,국제전화번호: +84 886 036 668 홈페이지: https://heritagecruises.com/heritage-discover-cruise-in-2-days/,https://www.google.com/maps/place/?q=place_id:ChIJmWwzcwZoSjERCyb9R15LM88,34,4.2
53,Vietnam,Halong Bay,Ha Long Bay View,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 203 3853 666 홈페이지: http://halongbayview.vn/,https://www.google.com/maps/place/?q=place_id:ChIJIf7LjDZZSjER5CexXjzIFB4,29,4.7
54,Vietnam,Halong Bay,Memorial wins first match,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJB64lGWdYSjERZ6wGcZjAFXg,28,3.9
55,Vietnam,Halong Bay,Ha Long Bay Night Market,"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ22LAlNVZSjERdnJFM9_hl8I,21,3.7
56,Vietnam,Halong Bay,Nature reserve Dong Son - Ky Thuong,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9bBe6GrlSjER3bZeTnlHaqY,17,4.8
57,Vietnam,Halong Bay,Dragon’s Run,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ82WvIoVZSjERDyKwNVf_90M,17,4.5
58,Vietnam,Halong Bay,Halong Bay,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-8cXZMZZSjERdKujdJqmaGw,16,4.9
59,Vietnam,Halong Bay,Cổng Tuần Châu,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4djezPlfSjERan_SxO7RMTo,15,4.7
60,Vietnam,Halong Bay,Halong Bay Cruise,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 961 780 199 홈페이지: https://www.booking.com/searchresults.en-gb.html?aid=7955654&label=gog235jc-1DCAso9AFCEHN0YXJsaWdodC1jcnVpc2VICVgDaPQBiAEBmAEJuAEHyAEM2AED6AEB-AECiAIBqAIDuALh1LixBsACAdICJDZjMGE3NWQ1LTIzYWItNDFlMy1iZTNkLTYyZjY4MDczNDU3MNgCBOACAQ&sid=191f4aafb87a33c973fed960d5753f76&dest_id=-3715715&dest_type=city&hlrd=14&,https://www.google.com/maps/place/?q=place_id:ChIJ-RiB72ZYSjERUMwWFsDNic4,11,3
61,Vietnam,Halong Bay,Bai Tu Long National Park,,,,,국제전화번호: +84 203 3793 365,https://www.google.com/maps/place/?q=place_id:ChIJTxujv3oPSzERqVL7Geb-Jlc,9,4.2
62,Vietnam,Halong Bay,Halong Bazaar,"월, 화, 수, 목, 금, 토, 일: 06:00~23:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-Ul9S_BYSjEREQ_GzXpxGic,8,3.4
63,Vietnam,Halong Bay,Thành Duy Garden,,,,,국제전화번호: +84 372 367 868,https://www.google.com/maps/place/?q=place_id:ChIJV2KQjMNfSjERK-oDvYMvT3Q,8,4.3
64,Vietnam,Halong Bay,Pegasus Cruises Halong Bay - Lan Ha Bay,"월, 화, 금, 토, 일: 10:30~13:00; 수, 목: 10:00~13:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJo5LTgjhfSjERg3HBBhRJGYE,6,3.3
65,Vietnam,Halong Bay,Cửa hàng Hải sản Hạ Long - Hasabay,"월, 화, 수, 목, 금, 토, 일: 09:00~19:30",,,,국제전화번호: +84 982 751 620,https://www.google.com/maps/place/?q=place_id:ChIJJxS6SsJZSjERtI3i2_TIfFU,3,5
66,Vietnam,Halong Bay,Tượng đài đồng chí Vũ Văn Hiếu,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJf6UMwyJYSjERVOIUtXi1yiA,2,4.5
67,Vietnam,Halong Bay,Lô cốt phường Hà Lầm,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJh5fELjtXSjERpoF9iW_aj5s,1,5
68,Vietnam,Halong Bay,Dù Lượn Hạ Long,"월, 금, 일: 09:00~22:00; 화, 수, 목, 토: 09:00~22:30",,,,국제전화번호: +84 783 335 881,https://www.google.com/maps/place/?q=place_id:ChIJUcKoyhBZSjERmLTRg538yv8,1,5
69,Vietnam,Halong Bay,Công Ty Tnhh Thổ Địa Hạ Long,"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +84 972 811 999 홈페이지: http://www.thodiahalong.com/,https://www.google.com/maps/place/?q=place_id:ChIJTffJWwBZSjERViVnh9VjUhY,0,0
70,Vietnam,Halong Bay,할롱(Hạ Long),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyfJfgj9YSjERRI3iC1FD0cU,0,0
