data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hanoi,하노이 오페라 하우스,,,"1911년에 문을 연 화려한 공연장에서 클래식 음악, 무용, 오페라 공연이 열립니다.",,,https://www.google.com/maps/place/%ED%95%98%EB%85%B8%EC%9D%B4+%EC%98%A4%ED%8E%98%EB%9D%BC+%ED%95%98%EC%9A%B0%EC%8A%A4/data=!4m7!3m6!1s0x3135abebf87e0011:0x647af200da508d2b!8m2!3d21.0241651!4d105.8579035!16s%2Fm%2F02pxggv!19sChIJEQB--OurNTERK41Q2gDyemQ?authuser=0&hl=ko&rclk=1,18102,4.6
2,Vietnam,Hanoi,하노이 오페라 하우스(Hanoi Opera House),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 7:00 ~ 오후 5:00",,,,국제전화번호: +84 24 3933 0113 홈페이지: http://hanoioperahouse.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJEQB--OurNTERK41Q2gDyemQ,17981,4.6
3,Vietnam,Hanoi,호찌민 묘소,,,베트남 지도자 호치민의 시신이 안치되어 있는 묘이며 역사적인 의미를 갖습니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%B0%8C%EB%AF%BC+%EB%AC%98%EC%86%8C/data=!4m7!3m6!1s0x3135aba15ec15d17:0x620e85c2cfe14d4c!8m2!3d21.0368973!4d105.8346667!16s%2Fm%2F02xbhg7!19sChIJF13BXqGrNTERTE3hz8KFDmI?authuser=0&hl=ko&rclk=1,17479,4.5
4,Vietnam,Hanoi,호찌민 묘소(Ho Chi Minh's Mausoleum),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 7:00 ~ 오후 5:00",,,,홈페이지: https://www.bqllang.gov.vn/,https://www.google.com/maps/place/?q=place_id:ChIJF13BXqGrNTERTE3hz8KFDmI,17371,4.5
5,Vietnam,Hanoi,투레공원,,,"여러 종의 동물, 놀이기구, 보트, 산책로를 갖춘 도심 속 작은 동물원입니다.",,,https://www.google.com/maps/place/%ED%88%AC%EB%A0%88%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3135ab6a6de9738b:0xdc2851012dc3be70!8m2!3d21.0305802!4d105.8055016!16s%2Fg%2F11r80q0w2!19sChIJi3PpbWqrNTERcL7DLQFRKNw?authuser=0&hl=ko&rclk=1,15827,4.1
6,Vietnam,Hanoi,투레공원(Thu Le Zoo),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 6:00 ~ 오후 6:00",,,,국제전화번호: +84 24 3834 7395 홈페이지: http://hanoizoo.com/,https://www.google.com/maps/place/?q=place_id:ChIJi3PpbWqrNTERcL7DLQFRKNw,15737,4.1
7,Vietnam,Hanoi,통일공원(Thong Nhat Park),"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,홈페이지: https://www.facebook.com/thongnhatpark,https://www.google.com/maps/place/?q=place_id:ChIJfyTf5o6rNTER6dKWJmY9GOY,14768,4.3
8,Vietnam,Hanoi,통일공원,,,"그늘이 있는 활기찬 도시공원으로 울창한 나무가 주변을 둘러싸고 있으며 넓은 호수, 운동 공간, 카페가 있습니다.",,,https://www.google.com/maps/place/%ED%86%B5%EC%9D%BC%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3135ab8ee6df247f:0xe6183d662696d2e9!8m2!3d21.0109357!4d105.8423861!16s%2Fg%2F1212gxkt!19sChIJfyTf5o6rNTER6dKWJmY9GOY?authuser=0&hl=ko&rclk=1,14768,4.3
9,Vietnam,Hanoi,탕롱 수상인형극장(Thang Long Water Puppet Theatre),"월, 화, 수, 목, 금, 토, 일: 03:00~20:00",,,,국제전화번호: +84 24 3824 9494,https://www.google.com/maps/place/?q=place_id:ChIJiUJFE8CrNTERHK060qWnXk4,14671,4.3
10,Vietnam,Hanoi,탕롱 수상인형극장,,,음악에 맞춰 수상 인형극을 펼치는 공연 예술 극장입니다.,,,https://www.google.com/maps/place/%ED%83%95%EB%A1%B1+%EC%88%98%EC%83%81%EC%9D%B8%ED%98%95%EA%B7%B9%EC%9E%A5/data=!4m7!3m6!1s0x3135abc013454289:0x4e5ea7a5d23aad1c!8m2!3d21.0316826!4d105.8533466!16s%2Fg%2F1tdp2j4q!19sChIJiUJFE8CrNTERHK060qWnXk4?authuser=0&hl=ko&rclk=1,14659,4.3
