data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hanoi,하노이 오페라 하우스(Hanoi Opera House),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 7:00 ~ 오후 5:00",,,,국제전화번호: +84 24 3933 0113 홈페이지: http://hanoioperahouse.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJEQB--OurNTERK41Q2gDyemQ,17981,4.6
2,Vietnam,Hanoi,호찌민 묘소(Ho Chi Minh's Mausoleum),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 7:00 ~ 오후 5:00",,,,홈페이지: https://www.bqllang.gov.vn/,https://www.google.com/maps/place/?q=place_id:ChIJF13BXqGrNTERTE3hz8KFDmI,17371,4.5
3,Vietnam,Hanoi,투레공원(Thu Le Zoo),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 6:00 ~ 오후 6:00",,,,국제전화번호: +84 24 3834 7395 홈페이지: http://hanoizoo.com/,https://www.google.com/maps/place/?q=place_id:ChIJi3PpbWqrNTERcL7DLQFRKNw,15737,4.1
4,Vietnam,Hanoi,통일공원(Thong Nhat Park),"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,홈페이지: https://www.facebook.com/thongnhatpark,https://www.google.com/maps/place/?q=place_id:ChIJfyTf5o6rNTER6dKWJmY9GOY,14768,4.3
5,Vietnam,Hanoi,탕롱 수상인형극장(Thang Long Water Puppet Theatre),"월, 화, 수, 목, 금, 토, 일: 03:00~20:00",,,,국제전화번호: +84 24 3824 9494,https://www.google.com/maps/place/?q=place_id:ChIJiUJFE8CrNTERHK060qWnXk4,14671,4.3
6,Vietnam,Hanoi,탕롱황성(昇龍皇城)(Imperial Citadel of Thang Long),"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 24 3734 5427 홈페이지: http://www.hoangthanhthanglong.com/,https://www.google.com/maps/place/?q=place_id:ChIJSXwdOKOrNTERNylYj9mnIbU,14554,4.4
7,Vietnam,Hanoi,호아 로 감옥 박물관(Hoa Lo Prison Relic),"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 825 112 668 홈페이지: http://hoalo.vn/,https://www.google.com/maps/place/?q=place_id:ChIJld5RqparNTERVK8x7gvhAZc,14343,4.5
8,Vietnam,Hanoi,호안끼엠 호수(Hoan Kiem Lake),"월, 화, 수, 목, 금, 토: Open 24 hours; 일: 휴무",,,,,https://www.google.com/maps/place/?q=place_id:ChIJP69h-GmsNTERKPrSLNdQEjM,13472,4.7
9,Vietnam,Hanoi,베트남 민족학박물관(Vietnam Museum of Ethnology),"월: 휴무; 화, 수, 목, 금, 토, 일: 08:30~17:30",,,,국제전화번호: +84 24 3756 2193 홈페이지: http://www.vme.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJIbhTQzmrNTERHBoID7tQyUc,13028,4.6
10,Vietnam,Hanoi,Hoa Binh Park,"월, 화, 수, 목, 금: 07:30~16:30; 토, 일: 휴무",,,,,https://www.google.com/maps/place/?q=place_id:ChIJX28Xl-OrNTERB0Lyt3TW0Aw,10687,4.3
11,Vietnam,Hanoi,Công Viên Thiên Đường Bảo Sơn,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 1900 066808 홈페이지: http://www.baosonparadise.vn/,https://www.google.com/maps/place/?q=place_id:ChIJd-PAAZ9TNDERD_Xj7oNXYRs,10469,4
12,Vietnam,Hanoi,리타이또공원(Ly Thai To Garden),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ49QP_eqrNTERexSvgaFUDN0,9762,4.5
13,Vietnam,Hanoi,호안끼엠 호(Hoàn Kiếm Lake),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlclXM5WrNTERDqL5tGu_ugE,9432,4.7
14,Vietnam,Hanoi,동킨 응이아툭 광장(Dong Kinh Nghia Thuc Square),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ_617L-rNTERbG1UGCP1G98,8451,4.5
15,Vietnam,Hanoi,Ban Gioc Waterfalls,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJG8cqpzxkyjYRNw9KrGsADNA,8428,4.6
16,Vietnam,Hanoi,서호공원(Ho Tay Water Park),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 오전 8:00 ~ 오후 8:00",,,,국제전화번호: +84 24 3718 4222 홈페이지: https://www.congvienhotay.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ8yTc1xirNTER-6v9RI-w7jQ,7505,4.1
17,Vietnam,Hanoi,못꼿 사원(한기둥 사원)(One Pillar Pagoda),"월, 화, 수, 목, 금, 토, 일: 07:00~18:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7XWEcqGrNTERrsLf6W8259s,6887,4.3
18,Vietnam,Hanoi,주석관저식물원(Vườn bách thảo Hà Nội),"월, 화, 수, 목, 금, 토, 일: 05:00~21:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ9sXGqerNTERhMiL59VDKrs,6510,4.2
19,Vietnam,Hanoi,리 타이 또 동상(Emperor Ly Thai To Monument Statue),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJSX175OqrNTERx4JiHQUE76E,6125,4.6
20,Vietnam,Hanoi,베트남군역사박물관(Vietnam Military History Museum),"월, 금: 휴무; 화, 수, 목, 토, 일: 8:00 – 11:00 AM, 1:00 – 4:30 PM (unparsed)",,,,국제전화번호: +84 24 6253 1367,https://www.google.com/maps/place/?q=place_id:ChIJE109t6KrNTERsaAoYzbvoKY,5604,4.2
21,Vietnam,Hanoi,경남 랜드마크 타워 하노이(Keangnam Landmark Tower 72),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: http://www.landmark72.com/,https://www.google.com/maps/place/?q=place_id:ChIJ28TAQ6tUNDERBhGZ1uv_bts,5541,4.4
22,Vietnam,Hanoi,36거리(구시가지)(Hanoi Old Quarter),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJp0o4Er6rNTERjlTif_IXU1k,5453,4.5
23,Vietnam,Hanoi,하노이 기찻길(Hanoi Train Street),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 24시간 영업",,,,홈페이지: https://shippedaway.com/hanoi-train-street,https://www.google.com/maps/place/?q=place_id:ChIJhdgfXrirNTER-EREhqaQx28,5184,4
24,Vietnam,Hanoi,선떠이고성(古城)(Sơn Tây Old Fortress),"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,홈페이지: http://www.nuibavi.com/son-tay/Thanh-co-Son-Tay.html,https://www.google.com/maps/place/?q=place_id:ChIJp-96zQb2NDERsdAD--zhil4,4267,4.5
25,Vietnam,Hanoi,"인터콘티넨탈 하노이 랜드마크(InterContinental Hanoi Landmark72, an IHG Hotel)",,,,,국제전화번호: +84 24 3698 8888 홈페이지: https://www.ihg.com/intercontinental/hotels/us/en/hanoi/hanha/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-VN-_-HANHA,https://www.google.com/maps/place/?q=place_id:ChIJZ4R031SrNTERUyJ1Ykae4bw,3899,4.8
26,Vietnam,Hanoi,하노이 박물관(Hanoi Museum),"월: 휴무; 화, 수, 목, 금, 토, 일: 8:00 – 11:30 AM, 1:30 – 5:00 PM (unparsed)",,,,국제전화번호: +84 984 997 579 홈페이지: https://baotanghanoi.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJxwnWy6usNTERS_TY4hfsH2s,3740,4.3
27,Vietnam,Hanoi,하노이소셜클럽(The Hanoi Social Club),"월, 화, 수, 목, 금, 토, 일: 08:00~23:00",,,,국제전화번호: +84 24 3938 2117 홈페이지: http://www.facebook.com/TheHanoiSocialClub,https://www.google.com/maps/place/?q=place_id:ChIJjYqdcZarNTERacQiFGpjQ2E,3501,4.4
28,Vietnam,Hanoi,Vietnam Fine Arts Museum(Vietnam National Fine Arts Museum),"월, 화, 수, 목, 금, 토, 일: 08:30~17:00",,,,국제전화번호: +84 24 3823 3084 홈페이지: https://vnfam.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ9dt7lJirNTERTqzApIMfQv0,3327,4.5
29,Vietnam,Hanoi,레닌공원(Lenin Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJo6y7oKKrNTERZAt2jOTgRjs,3200,4.3
30,Vietnam,Hanoi,Bảo tàng Lịch sử Quốc gia,"월: 휴무; 화, 수, 목, 금, 토, 일: 8:00 AM – 12:00 PM, 1:30 – 5:00 PM (unparsed)",,,,국제전화번호: +84 24 3825 2853 홈페이지: http://www.baotanglichsu.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ1zQSZumrNTERkijOtf97SX0,3097,4.3
