data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Ho Chi Minh City,벤탄시장(Ben Thanh Market),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTeYpMT8vdTERMH8sUnkta40,58096,4.0
2,Vietnam,Ho Chi Minh City,벤탄시장,,,"현지 먹거리와 함께 수공예품, 기념품, 의류 등 다양한 물품으로 유명한 시장입니다.",,,https://www.google.com/maps/place/%EB%B2%A4%ED%83%84%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31752f3f3129e64d:0x8d6b2d79522c7f30!8m2!3d10.7725168!4d106.6980208!16s%2Fm%2F02q30t6!19sChIJTeYpMT8vdTERMH8sUnkta40?authuser=0&hl=ko&rclk=1,58044,4.0
3,Vietnam,Ho Chi Minh City,베트남 통일궁(Independence Palace),"월, 화, 수, 목, 금, 토, 일: 08:00~15:30",,,,국제전화번호: +84 28 3822 3652 홈페이지: https://www.dinhdoclap.gov.vn/,https://www.google.com/maps/place/?q=place_id:ChIJL0dwVTgvdTERao3t8B1Jhxc,35434,4.4
4,Vietnam,Ho Chi Minh City,베트남 통일궁,,,"베트남 전쟁 시대의 역사적 건물로 관청, 사령실, 유물 투어를 운영 중입니다.",,,https://www.google.com/maps/place/%EB%B2%A0%ED%8A%B8%EB%82%A8+%ED%86%B5%EC%9D%BC%EA%B6%81/data=!4m7!3m6!1s0x31752f385570472f:0x1787491df0ed8d6a!8m2!3d10.7769942!4d106.6953021!16zL20vMDk4NHg5!19sChIJL0dwVTgvdTERao3t8B1Jhxc?authuser=0&hl=ko&rclk=1,35406,4.4
5,Vietnam,Ho Chi Minh City,호치민 전쟁박물관(War Remnants Museum),"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 28 3930 5587 홈페이지: https://baotangchungtichchientranh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJzwg3ojAvdTERqnQUK99K2Xw,33422,4.5
6,Vietnam,Ho Chi Minh City,호치민 전쟁박물관,,,"베트남 및 인도차이나 전쟁의 사진, 무기, 기타 물품이 전시되어 있는 기념 박물관입니다.",,,https://www.google.com/maps/place/%ED%98%B8%EC%B9%98%EB%AF%BC+%EC%A0%84%EC%9F%81%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x31752f30a23708cf:0x7cd94adf2b1474aa!8m2!3d10.7795106!4d106.6920916!16s%2Fm%2F02pt71k!19sChIJzwg3ojAvdTERqnQUK99K2Xw?authuser=0&hl=ko&rclk=1,33406,4.5
7,Vietnam,Ho Chi Minh City,담센 워터파크(Dam Sen Water Park),"월, 화, 수, 목, 금: 08:30~17:00; 토, 일: 08:00~17:00",,,,국제전화번호: +84 28 3858 8418 홈페이지: https://www.damsenwaterpark.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ4RqUkJkudTER-QHI35eZcWI,29312,4.3
8,Vietnam,Ho Chi Minh City,사이공 동식물원(Saigon Zoo and Botanical Garden),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,국제전화번호: +84 28 3829 1425 홈페이지: https://saigonzoo.net/,https://www.google.com/maps/place/?q=place_id:ChIJx7wwM0svdTERjuH2a9dkuU0,28823,4.2
9,Vietnam,Ho Chi Minh City,사이공 동식물원,,,"기린, 낙타, 코끼리, 뱀 등의 다양한 동물을 볼 수 있는 깔끔한 동물원입니다.",,,https://www.google.com/maps/place/%EC%82%AC%EC%9D%B4%EA%B3%B5+%EB%8F%99%EC%8B%9D%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x31752f4b3330bcc7:0x4db964d76bf6e18e!8m2!3d10.7875434!4d106.7052906!16s%2Fm%2F02pxd7b!19sChIJx7wwM0svdTERjuH2a9dkuU0?authuser=0&hl=ko&rclk=1,28808,4.2
10,Vietnam,Ho Chi Minh City,호치민 노트르담 대성당,,,58m 높이의 로마네스크 양식 종탑이 있는 1880년대 성당으로 프랑스풍 벽돌로 지어졌습니다.,,,https://www.google.com/maps/place/%ED%98%B8%EC%B9%98%EB%AF%BC+%EB%85%B8%ED%8A%B8%EB%A5%B4%EB%8B%B4+%EB%8C%80%EC%84%B1%EB%8B%B9/data=!4m7!3m6!1s0x31752f37e6d82451:0xe84f59936ced5b45!8m2!3d10.7797855!4d106.6990189!16s%2Fm%2F027b16m!19sChIJUSTY5jcvdTERRVvtbJNZT-g?authuser=0&hl=ko&rclk=1,22639,4.4
11,Vietnam,Ho Chi Minh City,Suoi Tien Theme Park,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 28 3896 0260 홈페이지: http://suoitien.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJDXlfx1sndTERFg6NcPqJ8e8,20492,4.3
12,Vietnam,Ho Chi Minh City,부이비엔 워킹 스트리트(Bui Vien Walking Street),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJCdzLBRYvdTERpsMyNScNwPE,16804,4.3
13,Vietnam,Ho Chi Minh City,부이비엔 워킹 스트리트,,,,,,https://www.google.com/maps/place/%EB%B6%80%EC%9D%B4%EB%B9%84%EC%97%94+%EC%9B%8C%ED%82%B9+%EC%8A%A4%ED%8A%B8%EB%A6%AC%ED%8A%B8/data=!4m7!3m6!1s0x31752f1605cbdc09:0xf1c00d273532c3a6!8m2!3d10.7674231!4d106.6939905!16s%2Fg%2F11fz_hbt2k!19sChIJCdzLBRYvdTERpsMyNScNwPE?authuser=0&hl=ko&rclk=1,16782,4.3
14,Vietnam,Ho Chi Minh City,따오단 공원(Tao Dan Park),"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,홈페이지: https://congvientaodan.com/,https://www.google.com/maps/place/?q=place_id:ChIJsXOVajkvdTERcBdP0Xow8j4,14512,4.5
