data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Ho Chi Minh City,벤탄시장(Ben Thanh Market),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTeYpMT8vdTERMH8sUnkta40,58096,4
2,Vietnam,Ho Chi Minh City,베트남 통일궁(Independence Palace),"월, 화, 수, 목, 금, 토, 일: 08:00~15:30",,,,국제전화번호: +84 28 3822 3652 홈페이지: https://www.dinhdoclap.gov.vn/,https://www.google.com/maps/place/?q=place_id:ChIJL0dwVTgvdTERao3t8B1Jhxc,35434,4.4
3,Vietnam,Ho Chi Minh City,호치민 전쟁박물관(War Remnants Museum),"월, 화, 수, 목, 금, 토, 일: 07:30~17:30",,,,국제전화번호: +84 28 3930 5587 홈페이지: https://baotangchungtichchientranh.vn/,https://www.google.com/maps/place/?q=place_id:ChIJzwg3ojAvdTERqnQUK99K2Xw,33422,4.5
4,Vietnam,Ho Chi Minh City,담센 워터파크(Dam Sen Water Park),"월, 화, 수, 목, 금: 08:30~17:00; 토, 일: 08:00~17:00",,,,국제전화번호: +84 28 3858 8418 홈페이지: https://www.damsenwaterpark.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJ4RqUkJkudTER-QHI35eZcWI,29312,4.3
5,Vietnam,Ho Chi Minh City,사이공 동식물원(Saigon Zoo and Botanical Garden),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,국제전화번호: +84 28 3829 1425 홈페이지: https://saigonzoo.net/,https://www.google.com/maps/place/?q=place_id:ChIJx7wwM0svdTERjuH2a9dkuU0,28823,4.2
6,Vietnam,Ho Chi Minh City,Suoi Tien Theme Park,"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,국제전화번호: +84 28 3896 0260 홈페이지: http://suoitien.see-ticket.com/,https://www.google.com/maps/place/?q=place_id:ChIJDXlfx1sndTERFg6NcPqJ8e8,20492,4.3
7,Vietnam,Ho Chi Minh City,부이비엔 워킹 스트리트(Bui Vien Walking Street),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJCdzLBRYvdTERpsMyNScNwPE,16804,4.3
8,Vietnam,Ho Chi Minh City,따오단 공원(Tao Dan Park),"월, 화, 수, 목, 금, 토, 일: 07:00~22:00",,,,홈페이지: https://congvientaodan.com/,https://www.google.com/maps/place/?q=place_id:ChIJsXOVajkvdTERcBdP0Xow8j4,14512,4.5
9,Vietnam,Ho Chi Minh City,호치민 오페라 하우스(Ho Chi Minh City Opera House),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,홈페이지: https://www.facebook.com/groups/nhahatthanhphohochiminh,https://www.google.com/maps/place/?q=place_id:ChIJKcrnSUYvdTERO64MErYx9VU,13609,4.5
10,Vietnam,Ho Chi Minh City,꾸찌 땅굴(Cu Chi Tunnel),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 28 3794 8830 홈페이지: http://diadaocuchi.com.vn/,https://www.google.com/maps/place/?q=place_id:ChIJKXVC7sAyCzERLxR747WgrZg,12811,4.5
