data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hoi An,마블마운틴(The Marble Mountains),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 236 3961 114 홈페이지: https://nguhanhson.org/,https://www.google.com/maps/place/?q=place_id:ChIJ2y5L4dQNQjERxeSLc68fbrw,28750,4.3
2,Vietnam,Hoi An,호이안 야시장(Hội An Night Market),"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJLUlfw30OQjER32jWkRuwRAo,25881,4.4
3,Vietnam,Hoi An,호이안 야시장,,,"길거리 음식, 기념품, 의류 가판대가 있는 흥겨운 분위기의 야시장입니다.",,,https://www.google.com/maps/place/%ED%98%B8%EC%9D%B4%EC%95%88+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31420e7dc35f492d:0xa44b01b91d668df!8m2!3d15.8759693!4d108.3260184!16s%2Fg%2F11c5g5kv4y!19sChIJLUlfw30OQjER32jWkRuwRAo?authuser=0&hl=ko&rclk=1,25817,4.4
4,Vietnam,Hoi An,Chùa Cầu,,,,,홈페이지: https://www.klook.com/en-US/activity/72346-hoi-an-ancient-town-attractions-adminssion-ticket/?aid=30843&aff_adid=715594&aff_label1=c%C3%A1c%20v%C3%A9%20%E1%BB%9F%20h%E1%BB%99i%20an&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=36781476998-30843-715594-1481948,https://www.google.com/maps/place/?q=place_id:ChIJWewCLXwOQjERRkh9adZkWHY,20697,4.2
5,Vietnam,Hoi An,호이안 중앙시장(Hoi An Market),"월, 화, 수, 목, 금, 토, 일: 06:00~20:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJnfvpdH8OQjERT1_pJJd9eyI,16574,4.4
6,Vietnam,Hoi An,호이안 중앙시장,,,"활기찬 실내외 공간에 농산물, 의류, 기념품을 판매하는 다양한 상점이 모여 있습니다.",,,https://www.google.com/maps/place/%ED%98%B8%EC%9D%B4%EC%95%88+%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31420e7f74e9fb9d:0x227b7d9724e95f4f!8m2!3d15.8767981!4d108.3313384!16s%2Fg%2F1tq8g0pn!19sChIJnfvpdH8OQjERT1_pJJd9eyI?authuser=0&hl=ko&rclk=1,16541,4.4
7,Vietnam,Hoi An,안방 해변(An Bang Beach),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJq5ZTbfkNQjER77EyOpeeDe0,14468,4.3
8,Vietnam,Hoi An,안방 해변,,,"백사장, 팔라파, 라운지 의자, 간이 식당을 갖춘 고요하고 나무가 늘어선 해변입니다.",,,https://www.google.com/maps/place/%EC%95%88%EB%B0%A9+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x31420df96d5396ab:0xed0d9e973a32b1ef!8m2!3d15.9136072!4d108.3406489!16s%2Fg%2F1pp2vlmtm!19sChIJq5ZTbfkNQjER77EyOpeeDe0?authuser=0&hl=ko&rclk=1,14427,4.3
9,Vietnam,Hoi An,Precious Heritage Art Gallery Museum,"월, 화, 수, 목, 금, 토, 일: 08:00~20:00",,,,국제전화번호: +84 949 820 698 홈페이지: https://www.rehahnphotographer.com/precious-heritage-museum/,https://www.google.com/maps/place/?q=place_id:ChIJYZyytdUNQjERLxS6JetDlfA,3002,4.9
10,Vietnam,Hoi An,VinWonders Nam Hội An,"월, 화, 수, 목, 금, 토, 일: 09:00~19:15",,,,국제전화번호: +84 898 219 889 홈페이지: https://vinwonders.com/vi/vinwonders-nam-hoi-an/,https://www.google.com/maps/place/?q=place_id:ChIJ0RGf5P0LQjERykFOB_kuQkk,2849,4.6
