data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hoi An,마블마운틴(The Marble Mountains),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 236 3961 114 홈페이지: https://nguhanhson.org/,https://www.google.com/maps/place/?q=place_id:ChIJ2y5L4dQNQjERxeSLc68fbrw,28750,4.3
2,Vietnam,Hoi An,호이안 야시장(Hội An Night Market),"월, 화, 수, 목, 금, 토, 일: 06:00~22:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJLUlfw30OQjER32jWkRuwRAo,25881,4.4
3,Vietnam,Hoi An,Chùa Cầu,,,,,홈페이지: https://www.klook.com/en-US/activity/72346-hoi-an-ancient-town-attractions-adminssion-ticket/?aid=30843&aff_adid=715594&aff_label1=c%C3%A1c%20v%C3%A9%20%E1%BB%9F%20h%E1%BB%99i%20an&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=30843&utm_term=&utm_content=&aff_klick_id=36781476998-30843-715594-1481948,https://www.google.com/maps/place/?q=place_id:ChIJWewCLXwOQjERRkh9adZkWHY,20697,4.2
4,Vietnam,Hoi An,호이안 중앙시장(Hoi An Market),"월, 화, 수, 목, 금, 토, 일: 06:00~20:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJnfvpdH8OQjERT1_pJJd9eyI,16574,4.4
5,Vietnam,Hoi An,안방 해변(An Bang Beach),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJq5ZTbfkNQjER77EyOpeeDe0,14468,4.3
6,Vietnam,Hoi An,빈펄 리조트 & 골프 남 호이안(Vinpearl),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 235 3676 888 홈페이지: https://vinpearl.com/vi/hotels/vinpearl-resort-golf-nam-hoi-an,https://www.google.com/maps/place/?q=place_id:ChIJZUcm1dJ0QjERcTcXfiWtG2w,12838,4.9
7,Vietnam,Hoi An,Precious Heritage Art Gallery Museum,"월, 화, 수, 목, 금, 토, 일: 08:00~20:00",,,,국제전화번호: +84 949 820 698 홈페이지: https://www.rehahnphotographer.com/precious-heritage-museum/,https://www.google.com/maps/place/?q=place_id:ChIJYZyytdUNQjERLxS6JetDlfA,3002,4.9
8,Vietnam,Hoi An,VinWonders Nam Hội An,"월, 화, 수, 목, 금, 토, 일: 09:00~19:15",,,,국제전화번호: +84 898 219 889 홈페이지: https://vinwonders.com/vi/vinwonders-nam-hoi-an/,https://www.google.com/maps/place/?q=place_id:ChIJ0RGf5P0LQjERykFOB_kuQkk,2849,4.6
9,Vietnam,Hoi An,호이안 실크빌리지(Silk Village Hoi An - The Tourist),"월, 화, 수, 목, 금, 토, 일: 08:30~16:30",,,,국제전화번호: +84 235 3921 144 홈페이지: http://www.hoiansilkvillage.com/,https://www.google.com/maps/place/?q=place_id:ChIJWRDF7W8OQjERx3nwjhecy9M,2667,4.3
10,Vietnam,Hoi An,호이안 임프레션 테마파크 공연장(Hoi An Memories Land),"월, 수, 목, 금, 토, 일: 03:00~22:00; 화: 휴무",,,,국제전화번호: +84 904 636 600 홈페이지: http://hoianmemoriesland.com/,https://www.google.com/maps/place/?q=place_id:ChIJly5aDdMNQjERiCUtZVu1Brc,2527,4.6
