data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hue,"왕립 식물원, 큐(Royal Botanic Gardens, Kew)","월, 화, 수, 목, 금: 10:00~19:00; 토, 일: 10:00~20:00",,,,국제전화번호: +44 20 8332 5655 홈페이지: https://www.kew.org/,https://www.google.com/maps/place/?q=place_id:ChIJQzRbYMUNdkgRfvuRYk-Rb9E,46652,4.7
2,Vietnam,Hue,후에 성,,,벽으로 둘러싸인 금단의 도시에 유서 깊은 왕궁이 있습니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%97%90+%EC%84%B1/data=!4m7!3m6!1s0x3141a6d3467e9b3d:0xbc393903490905c4!8m2!3d16.47694!4d107.5739587!16s%2Fg%2F11b7lnm4g2!19sChIJPZt-RtOmQTERxAUJSQM5Obw?authuser=0&hl=ko&rclk=1,35313,4.5
3,Vietnam,Hue,후에 성(Hue Historic Citadel),"월, 화, 수, 목, 금, 토, 일: 07:30~17:00",,,,국제전화번호: +84 234 3523 237 홈페이지: https://www.hueworldheritage.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJPZt-RtOmQTERxAUJSQM5Obw,35304,4.5
4,Vietnam,Hue,다이 누이,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EC%9D%B4+%EB%88%84%EC%9D%B4/data=!4m7!3m6!1s0x3141a13267443a6d:0x6ad4c978e20497!8m2!3d16.468451!4d107.578589!16s%2Fg%2F1q5bkxsqv!19sChIJbTpEZzKhQTERlwTieMnUagA?authuser=0&hl=ko&rclk=1,16254,4.5
5,Vietnam,Hue,다이 누이(Đại Nội),"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,홈페이지: https://www.klook.com/vi/activity/74899-hue-monuments-complex-admission-ticket/?aid=58993&aff_adid=892876&aff_label1=V%C3%A9%20Qu%E1%BA%A7n%20th%E1%BB%83%20Di%20t%C3%ADch%20C%E1%BB%91%20%C4%91%C3%B4%20Hu%E1%BA%BF&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=58993&utm_term=&utm_content=&aff_klick_id=73505959499-58993-892876-a7e78a0&spm=Activity.TopNavigation.SelectCurrency&clickId=3ee7a48203,https://www.google.com/maps/place/?q=place_id:ChIJbTpEZzKhQTERlwTieMnUagA,16246,4.5
6,Vietnam,Hue,티엔무 사원,,,1601년에 지어진 유명한 7층 높이의 불교 사찰에는 승려들이 살고 있으며 아름다운 경관을 자랑합니다.,,,https://www.google.com/maps/place/%ED%8B%B0%EC%97%94%EB%AC%B4+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x3141a6972c6005d3:0xf7268b7a4cf579ba!8m2!3d16.4531082!4d107.5449069!16s%2Fm%2F03nrcy5!19sChIJ0wVgLJemQTERunn1THqLJvc?authuser=0&hl=ko&rclk=1,14485,4.5
7,Vietnam,Hue,카이딘 황제릉,,,정교한 건축 양식과 화려한 디테일을 자랑하는 베트남 황제의 층계식 묘입니다.,,,https://www.google.com/maps/place/%EC%B9%B4%EC%9D%B4%EB%94%98+%ED%99%A9%EC%A0%9C%EB%A6%89/data=!4m7!3m6!1s0x3141a39bb06a2097:0xf44d575ac6988ee9!8m2!3d16.3990173!4d107.5903623!16s%2Fm%2F0dln97l!19sChIJlyBqsJujQTER6Y6YxlpXTfQ?authuser=0&hl=ko&rclk=1,12732,4.4
8,Vietnam,Hue,카이딘 황제릉(Mausoleum of Emperor Khai Dinh),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJlyBqsJujQTER6Y6YxlpXTfQ,12721,4.4
9,Vietnam,Hue,서울숲공원(Seoul Forest Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +82 2-460-2905 홈페이지: https://parks.seoul.go.kr/template/sub/seoulforest.do,https://www.google.com/maps/place/?q=place_id:ChIJK_b0UX2jfDURmkYPvmWYm90,9867,4.6
10,Vietnam,Hue,하늘공원(Haneul Park),,,,,국제전화번호: +82 2-300-5501,https://www.google.com/maps/place/?q=place_id:ChIJX2GTuVJFezURGK4FSyWdbak,8096,4.5
11,Vietnam,Hue,서울식물원(Seoul Botanic Park),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~18:00",,,,국제전화번호: +82 2-2104-9716 홈페이지: http://botanicpark.seoul.go.kr/,https://www.google.com/maps/place/?q=place_id:ChIJ6x48UAGdfDURmnBHA9MWdZQ,7476,4.3
12,Vietnam,Hue,뜨득 황제릉,,,"19세기의 황제를 기리는 묘지 및 사원 단지로, 수련 연못이 있는 아름다운 풍경으로 둘러싸여 있습니다.",,,https://www.google.com/maps/place/%EB%9C%A8%EB%93%9D+%ED%99%A9%EC%A0%9C%EB%A6%89/data=!4m7!3m6!1s0x3141a4038bc6d6c7:0x5976327fac723a0e!8m2!3d16.4330054!4d107.5664315!16s%2Fm%2F0ds24jl!19sChIJx9bGiwOkQTERDjpyrH8ydlk?authuser=0&hl=ko&rclk=1,7268,4.5
13,Vietnam,Hue,뜨득 황제릉(Mausoleum of Emperor Tu Duc),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJx9bGiwOkQTERDjpyrH8ydlk,7264,4.5
14,Vietnam,Hue,이마트 월계점(Emart Wolgye),"월, 화, 수, 목, 금, 토, 일: 10:00~23:00",,,,국제전화번호: +82 2-2092-1234 홈페이지: https://www.emart.com/,https://www.google.com/maps/place/?q=place_id:ChIJD-jBmsK7fDURVb70i9BiEck,4692,4.2
15,Vietnam,Hue,이화동 벽화마을(Ihwa Mural Village),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: http://korean.visitseoul.net/attractions/%EC%9D%B4%ED%99%94%EB%B2%BD%ED%99%94%EB%A7%88%EC%9D%84_/848,https://www.google.com/maps/place/?q=place_id:ChIJ63NnRS6jfDURt-efnKIjXzs,4531,4.1
16,Vietnam,Hue,민망 왕릉,,,정교한 19세기 황제의 묘소를 중심으로 자리한 호숫가의 고요한 사원 단지입니다.,,,https://www.google.com/maps/place/%EB%AF%BC%EB%A7%9D+%EC%99%95%EB%A6%89/data=!4m7!3m6!1s0x3141a48171bcf4f9:0xaefcad54b905fa88!8m2!3d16.3876431!4d107.5690752!16s%2Fg%2F12bfg07w4!19sChIJ-fS8cYGkQTERiPoFuVSt_K4?authuser=0&hl=ko&rclk=1,4487,4.5
17,Vietnam,Hue,이마트 자양점(Emart Jayang),"월, 화, 수, 목, 금, 토, 일: 10:00~23:00",,,,국제전화번호: +82 2-6742-1234 홈페이지: https://www.emart.com/,https://www.google.com/maps/place/?q=place_id:ChIJYZdsMuakfDUR4lmnSMUqXeA,3446,4.2
18,Vietnam,Hue,Meliá Vinpearl Hue,,,,,국제전화번호: +84 234 3688 666 홈페이지: https://www.melia.com/en/hotels/vietnam/hue-city/melia-vinpearl-hue,https://www.google.com/maps/place/?q=place_id:ChIJzYZQjj6hQTERUZt1NuNxsCk,2832,4.8
19,Vietnam,Hue,북한산국립공원(Bukhansan National Park),"월, 화, 수, 목, 금, 토, 일: 04:00~17:00",,,,국제전화번호: +82 2-909-0497 홈페이지: https://www.knps.or.kr/bukhan,https://www.google.com/maps/place/?q=place_id:ChIJN2x0fu2ifDURheJ4-U3YaAA,2666,4.6
20,Vietnam,Hue,이마트 천호점(Emart Cheonho),"월, 화, 수, 목, 금, 토, 일: 10:00~23:00",,,,국제전화번호: +82 2-2224-1234 홈페이지: https://store.emart.com/main/main.do,https://www.google.com/maps/place/?q=place_id:ChIJz8S0fFWlfDUR6Qjj2hMwGuk,2659,3.7
21,Vietnam,Hue,이마트 창동점,"월, 화, 수, 목, 금, 토, 일: 10:00~22:00",,,,국제전화번호: +82 2-901-1234 홈페이지: http://emart.com/,https://www.google.com/maps/place/?q=place_id:ChIJ8_fZnE65fDUR0rtceJrYqLw,2425,3.7
22,Vietnam,Hue,Ke Go Nature Reserve,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWfgJMe_2ODERXIak51qWjMw,2226,4.3
23,Vietnam,Hue,이마트 검단점(Emart),"월, 화, 수, 목, 금, 토, 일: 10:00~23:00",,,,국제전화번호: +82 32-440-1234 홈페이지: https://www.emart.com/,https://www.google.com/maps/place/?q=place_id:ChIJBQdL-ZiBfDURx3xLVZIod7Y,1976,3.9
24,Vietnam,Hue,An Dinh Palace,"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +84 234 3524 429,https://www.google.com/maps/place/?q=place_id:ChIJ_f52qGqhQTER1DiQ_bSUgM0,1907,4.5
25,Vietnam,Hue,서울창포원(Seoul Iris Garden),"월, 화, 수, 목, 금, 토, 일: 05:00~21:00",,,,국제전화번호: +82 2-954-0031 홈페이지: https://parks.seoul.go.kr/template/sub/irisgarden.do,https://www.google.com/maps/place/?q=place_id:ChIJy24sNc64fDURY3PZAJ1CtHM,1888,4.4
26,Vietnam,Hue,Dong Ba Market,,,,,,https://www.google.com/maps/place/Dong+Ba+Market/data=!4m7!3m6!1s0x3141a1d58fee6cef:0xe451747b74a5dfef!8m2!3d16.4726978!4d107.5883419!16s%2Fg%2F11np7plq34!19sChIJ72zuj9WhQTER79-ldHt0UeQ?authuser=0&hl=ko&rclk=1,1867,4.2
27,Vietnam,Hue,Vong Canh Hill,,,,,,https://www.google.com/maps/place/Vong+Canh+Hill/data=!4m7!3m6!1s0x3141a4057f2d72d9:0x22369b16118967e0!8m2!3d16.4272545!4d107.5652241!16s%2Fg%2F1vlz7vp0!19sChIJ2XItfwWkQTER4GeJERabNiI?authuser=0&hl=ko&rclk=1,1708,4.6
28,Vietnam,Hue,Phu Cam Cathedral,,,스테인드글라스 창과 높이 솟은 콘크리트 아치가 있는 현대적인 로마 가톨릭교회입니다.,,,https://www.google.com/maps/place/Phu+Cam+Cathedral/data=!4m7!3m6!1s0x3141a145d957db7f:0x70ddae85173e67ec!8m2!3d16.452848!4d107.5877285!16s%2Fg%2F1227_4px!19sChIJf9tX2UWhQTER7Gc-F4Wu3XA?authuser=0&hl=ko&rclk=1,1540,4.7
29,Vietnam,Hue,오문,,,,,,https://www.google.com/maps/place/%EC%98%A4%EB%AC%B8/data=!4m7!3m6!1s0x3141a133c94c1643:0x43fd52385dcfacbf!8m2!3d16.4676928!4d107.5791741!16s%2Fm%2F0gtwzxc!19sChIJQxZMyTOhQTERv6zPXThS_UM?authuser=0&hl=ko&rclk=1,1511,4.6
30,Vietnam,Hue,오문(Meridian Gate),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,홈페이지: http://www.hueworldheritage.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJQxZMyTOhQTERv6zPXThS_UM,1510,4.6
31,Vietnam,Hue,Hue Night Walking Street,"월, 화, 수, 목, 금, 토: 18:00~02:00; 일: 18:00~00:00",,,,,https://www.google.com/maps/place/?q=place_id:ChIJRVlqMj2hQTERvNX9tYJ48mI,1486,4.4
32,Vietnam,Hue,투 히에우 사원,,,,,,https://www.google.com/maps/place/%ED%88%AC+%ED%9E%88%EC%97%90%EC%9A%B0+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x3141a6aaa0010a7d:0x6b0872228dbbfa6b!8m2!3d16.4388776!4d107.572025!16s%2Fg%2F1221mxpt!19sChIJfQoBoKqmQTERa_q7jSJyCGs?authuser=0&hl=ko&rclk=1,1342,4.8
33,Vietnam,Hue,Hồ Thuỷ Tiên,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJg7gIaImjQTERQjXdxTkooV8,1301,4.5
34,Vietnam,Hue,Nguyen Dinh Chieu Walking Street,"월, 화, 수, 목, 금, 토: 04:00~22:00; 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJq3G3BzuhQTERfnUyGO323K8,1298,4.5
35,Vietnam,Hue,Huyen Khong Son Thuong Pagoda,,,,,,https://www.google.com/maps/place/Huyen+Khong+Son+Thuong+Pagoda/data=!4m7!3m6!1s0x3141a5fdf130b239:0x27de8526adeef6f8!8m2!3d16.4512429!4d107.4941086!16s%2Fm%2F0n48y49!19sChIJObIw8f2lQTER-PburSaF3ic?authuser=0&hl=ko&rclk=1,1197,4.7
36,Vietnam,Hue,Indochine Palace,,,,,,https://www.google.com/maps/place/Indochine+Palace/data=!4m10!3m9!1s0x3141a115407f817f:0xcbe1ce9be533d2a0!5m2!4m1!1i2!8m2!3d16.4612252!4d107.5983186!16s%2Fg%2F11bbx04t62!19sChIJf4F_QBWhQTERoNIz5ZvO4cs?authuser=0&hl=ko&rclk=1,1130,4.6
