data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Hue,"왕립 식물원, 큐(Royal Botanic Gardens, Kew)","월, 화, 수, 목, 금: 10:00~19:00; 토, 일: 10:00~20:00",,,,국제전화번호: +44 20 8332 5655 홈페이지: https://www.kew.org/,https://www.google.com/maps/place/?q=place_id:ChIJQzRbYMUNdkgRfvuRYk-Rb9E,46652,4.7
2,Vietnam,Hue,후에 성(Hue Historic Citadel),"월, 화, 수, 목, 금, 토, 일: 07:30~17:00",,,,국제전화번호: +84 234 3523 237 홈페이지: https://www.hueworldheritage.org.vn/,https://www.google.com/maps/place/?q=place_id:ChIJPZt-RtOmQTERxAUJSQM5Obw,35304,4.5
3,Vietnam,Hue,다이 누이(Đại Nội),"월, 화, 수, 목, 금, 토, 일: 08:00~17:00",,,,홈페이지: https://www.klook.com/vi/activity/74899-hue-monuments-complex-admission-ticket/?aid=58993&aff_adid=892876&aff_label1=V%C3%A9%20Qu%E1%BA%A7n%20th%E1%BB%83%20Di%20t%C3%ADch%20C%E1%BB%91%20%C4%91%C3%B4%20Hu%E1%BA%BF&aff_label2=&aff_label3=&aff_pid=&aff_sid=&utm_medium=affiliate-alwayson&utm_source=non-network&utm_campaign=58993&utm_term=&utm_content=&aff_klick_id=73505959499-58993-892876-a7e78a0&spm=Activity.TopNavigation.SelectCurrency&clickId=3ee7a48203,https://www.google.com/maps/place/?q=place_id:ChIJbTpEZzKhQTERlwTieMnUagA,16246,4.5
4,Vietnam,Hue,카이딘 황제릉(Mausoleum of Emperor Khai Dinh),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJlyBqsJujQTER6Y6YxlpXTfQ,12721,4.4
5,Vietnam,Hue,서울숲공원(Seoul Forest Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +82 2-460-2905 홈페이지: https://parks.seoul.go.kr/template/sub/seoulforest.do,https://www.google.com/maps/place/?q=place_id:ChIJK_b0UX2jfDURmkYPvmWYm90,9867,4.6
6,Vietnam,Hue,하늘공원(Haneul Park),,,,,국제전화번호: +82 2-300-5501,https://www.google.com/maps/place/?q=place_id:ChIJX2GTuVJFezURGK4FSyWdbak,8096,4.5
7,Vietnam,Hue,서울식물원(Seoul Botanic Park),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~18:00",,,,국제전화번호: +82 2-2104-9716 홈페이지: http://botanicpark.seoul.go.kr/,https://www.google.com/maps/place/?q=place_id:ChIJ6x48UAGdfDURmnBHA9MWdZQ,7476,4.3
8,Vietnam,Hue,뜨득 황제릉(Mausoleum of Emperor Tu Duc),"월, 화, 수, 목, 금, 토, 일: 07:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJx9bGiwOkQTERDjpyrH8ydlk,7264,4.5
9,Vietnam,Hue,이마트 월계점(Emart Wolgye),"월, 화, 수, 목, 금, 토, 일: 10:00~23:00",,,,국제전화번호: +82 2-2092-1234 홈페이지: https://www.emart.com/,https://www.google.com/maps/place/?q=place_id:ChIJD-jBmsK7fDURVb70i9BiEck,4692,4.2
10,Vietnam,Hue,이화동 벽화마을(Ihwa Mural Village),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: http://korean.visitseoul.net/attractions/%EC%9D%B4%ED%99%94%EB%B2%BD%ED%99%94%EB%A7%88%EC%9D%84_/848,https://www.google.com/maps/place/?q=place_id:ChIJ63NnRS6jfDURt-efnKIjXzs,4531,4.1
