data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Lam Dong,다딴라 폭포,,,"작은 폭포가 모여있고 롤러코스터, 케이블카, 등산로가 있는 경치 좋은 인기 명소입니다.",,,https://www.google.com/maps/place/%EB%8B%A4%EB%94%B4%EB%9D%BC+%ED%8F%AD%ED%8F%AC/data=!4m7!3m6!1s0x317114a1a4b93341:0xf8ce8eb72915c065!8m2!3d11.9039259!4d108.4495704!16s%2Fg%2F1hb_d7my5!19sChIJQTO5pKEUcTERZcAVKbeOzvg?authuser=0&hl=ko&rclk=1,20649,4.3
2,Vietnam,Lam Dong,Đường Hầm Điêu Khắc,,,도마뱀부터 기차까지 거대한 점토 조각을 다채롭게 만나 볼 수 있는 설치 미술 구역입니다.,,,https://www.google.com/maps/place/%C4%90%C6%B0%E1%BB%9Dng+H%E1%BA%A7m+%C4%90i%C3%AAu+Kh%E1%BA%AFc/data=!4m7!3m6!1s0x31716b38c34667bf:0x3d987ff049b1b859!8m2!3d11.8833774!4d108.4109891!16s%2Fg%2F11b60s6wct!19sChIJv2dGwzhrcTERWbixSfB_mD0?authuser=0&hl=ko&rclk=1,14719,4.1
3,Vietnam,Lam Dong,달랏 야시장,,,"상인들이 생활용품, 건조 제품, 조리된 현지 음식을 판매하는 북적이는 시장입니다.",,,https://www.google.com/maps/place/%EB%8B%AC%EB%9E%8F+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x317113ff4e41e7c3:0x21cff9ad21a7243c!8m2!3d11.9414015!4d108.4372912!16s%2Fg%2F11hylzhqyv!19sChIJw-dBTv8TcTERPCSnIa35zyE?authuser=0&hl=ko&rclk=1,13860,4.2
4,Vietnam,Lam Dong,사랑의 계곡,,,독특한 예술작품과 화려한 정원이 있는 낭만적인 공원으로 호수에서 백조 모양 배를 탈 수 있습니다.,,,https://www.google.com/maps/place/%EC%82%AC%EB%9E%91%EC%9D%98+%EA%B3%84%EA%B3%A1/data=!4m7!3m6!1s0x317112bd43e6a173:0xb9470f91635c71f6!8m2!3d11.977789!4d108.4470313!16s%2Fg%2F122z_vxt!19sChIJc6HmQ70ScTER9nFcY5EPR7k?authuser=0&hl=ko&rclk=1,13858,4.4
5,Vietnam,Lam Dong,항응아 빌라(크레이지 하우스),,,,,,https://www.google.com/maps/place/%ED%95%AD%EC%9D%91%EC%95%84+%EB%B9%8C%EB%9D%BC%28%ED%81%AC%EB%A0%88%EC%9D%B4%EC%A7%80+%ED%95%98%EC%9A%B0%EC%8A%A4%29/data=!4m10!3m9!1s0x317113331aee38a5:0x3f766cbad7773c86!5m2!4m1!1i2!8m2!3d11.9347331!4d108.4308805!16s%2Fm%2F0bbvkrv!19sChIJpTjuGjMTcTERhjx317psdj8?authuser=0&hl=ko&rclk=1,13567,4.3
6,Vietnam,Lam Dong,Puppy Farm,,,언덕에 자리한 정원으로 토마토밭과 꽃밭이 있고 딸기 수확 체험을 하거나 강아지와 놀 수 있습니다.,,,https://www.google.com/maps/place/Puppy+Farm/data=!4m7!3m6!1s0x31716d1206bcfad3:0xf5246419c256d26d!8m2!3d11.9630853!4d108.3890505!16s%2Fg%2F11f792j7hw!19sChIJ0_q8BhJtcTERbdJWwhlkJPU?authuser=0&hl=ko&rclk=1,12049,4.4
7,Vietnam,Lam Dong,Lâm Viên Square,,,"모더니즘 양식의 유리 건물로 대표되는 호숫가 광장으로, 먹거리 노점상과 음악 공연을 볼 수 있습니다.",,,https://www.google.com/maps/place/L%C3%A2m+Vi%C3%AAn+Square/data=!4m7!3m6!1s0x31711324a3fe0629:0x66eb8ed37afe5989!8m2!3d11.9393622!4d108.445203!16s%2Fg%2F11f2sw5q3l!19sChIJKQb-oyQTcTERiVn-etOO62Y?authuser=0&hl=ko&rclk=1,11348,4.5
8,Vietnam,Lam Dong,수오이짠관광지,,,이국적인 조각 공원에서 짧은 오르막길을 따라가면 바위로 된 풀장이 있는 이 작은 폭포로 이어집니다.,,,https://www.google.com/maps/place/%EC%88%98%EC%98%A4%EC%9D%B4%EC%A7%A0%EA%B4%80%EA%B4%91%EC%A7%80/data=!4m7!3m6!1s0x31a78e7dfacbcb41:0xb902a6a1b9521ffb!8m2!3d11.9006438!4d108.4387486!16s%2Fg%2F12176k_l!19sChIJQcvL-n2OpzER-x9SuaGmArk?authuser=0&hl=ko&rclk=1,9511,4.2
9,Vietnam,Lam Dong,Linh Phuoc Pagoda,,,유리와 세라믹 조각으로 만든 정교한 모자이크로 유명한 현대식 대형 탑입니다.,,,https://www.google.com/maps/place/Linh+Phuoc+Pagoda/data=!4m7!3m6!1s0x3171131bc5c884db:0x208932023afedf1b!8m2!3d11.9444704!4d108.4994102!16s%2Fg%2F120_98hg!19sChIJ24TIxRsTcTERG9_-OgIyiSA?authuser=0&hl=ko&rclk=1,9488,4.6
10,Vietnam,Lam Dong,바오다이황제여름별장,,,베트남의 마지막 황제가 거주했던 대규모 왕궁으로 1938년에 완공되었으며 조경 정원이 있고 투어가 진행됩니다.,,,https://www.google.com/maps/place/%EB%B0%94%EC%98%A4%EB%8B%A4%EC%9D%B4%ED%99%A9%EC%A0%9C%EC%97%AC%EB%A6%84%EB%B3%84%EC%9E%A5/data=!4m7!3m6!1s0x317113353ac6af0f:0xdaa1ac573fa04a4f!8m2!3d11.930145!4d108.4295879!16s%2Fg%2F1229l3mq!19sChIJD6_GOjUTcTERT0qgP1esodo?authuser=0&hl=ko&rclk=1,7939,4.1
11,Vietnam,Lam Dong,Domaine de Marie,,,고즈넉한 풍경 속 명소인 분홍색 교회로 조경이 잘 된 정원과 작은 상점이 있습니다.,,,https://www.google.com/maps/place/Domaine+de+Marie/data=!4m7!3m6!1s0x317112d563be84f7:0x92b37de0895f4fe7!8m2!3d11.9494928!4d108.4302847!16s%2Fg%2F1215vyrr!19sChIJ94S-Y9UScTER509fieB9s5I?authuser=0&hl=ko&rclk=1,6643,4.6
12,Vietnam,Lam Dong,Bao Dai Palace 1,,,소나무 숲 가운데 자리한 웅장한 유럽 스타일 주거지로 베트남의 마지막 황제가 살던 곳입니다.,,,https://www.google.com/maps/place/Bao+Dai+Palace+1/data=!4m7!3m6!1s0x31711301835b2d11:0x8774cdd7f796e29a!8m2!3d11.9443357!4d108.4697101!16s%2Fg%2F1w4f5lr4!19sChIJES1bgwETcTERmuKW99fNdIc?authuser=0&hl=ko&rclk=1,6075,4.3
13,Vietnam,Lam Dong,ZooDoo Zoo,,,,,,https://www.google.com/maps/place/ZooDoo+Zoo/data=!4m7!3m6!1s0x317108f65aa14ad9:0x7d971942e209c206!8m2!3d12.1120052!4d108.5861358!16s%2Fg%2F11g8p0ndfk!19sChIJ2UqhWvYIcTERBsIJ4kIZl30?authuser=0&hl=ko&rclk=1,5830,4.3
