data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Lang Co,마블마운틴,,,"여러 개의 동굴, 정교한 사원, 멋진 전망을 갖추고 있으며 5개의 대리석 산맥이 연결되어 있습니다.",,,https://www.google.com/maps/place/%EB%A7%88%EB%B8%94%EB%A7%88%EC%9A%B4%ED%8B%B4/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0034756!4d108.2645803!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=ko&rclk=1,28865,4.3
2,Vietnam,Lang Co,뜨득 황제릉,,,"19세기의 황제를 기리는 묘지 및 사원 단지로, 수련 연못이 있는 아름다운 풍경으로 둘러싸여 있습니다.",,,https://www.google.com/maps/place/%EB%9C%A8%EB%93%9D+%ED%99%A9%EC%A0%9C%EB%A6%89/data=!4m7!3m6!1s0x3141a4038bc6d6c7:0x5976327fac723a0e!8m2!3d16.4330054!4d107.5664315!16s%2Fm%2F0ds24jl!19sChIJx9bGiwOkQTERDjpyrH8ydlk?authuser=0&hl=ko&rclk=1,7298,4.5
3,Vietnam,Lang Co,참 박물관,,,"조각품, 의상, 악기와 같은 문화용품 컬렉션이 전시되어 있는 소형 박물관입니다.",,,https://www.google.com/maps/place/%EC%B0%B8+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x314219cdb3006a2d:0x62ca993f60c3a12c!8m2!3d16.0603007!4d108.2232677!16s%2Fm%2F02pvbjt!19sChIJLWoAs80ZQjERLKHDYD-ZymI?authuser=0&hl=ko&rclk=1,6367,4.2
4,Vietnam,Lang Co,"앙사나 랑코, 베트남",,,,,,"https://www.google.com/maps/place/%EC%95%99%EC%82%AC%EB%82%98+%EB%9E%91%EC%BD%94,+%EB%B2%A0%ED%8A%B8%EB%82%A8/data=!4m10!3m9!1s0x314186759f4a1b17:0x8970827f44a5628b!5m2!4m1!1i2!8m2!3d16.334153!4d107.956568!16s%2Fg%2F11xp80v0w!19sChIJFxtKn3WGQTERi2KlRH-CcIk?authuser=0&hl=ko&rclk=1",3711,4.8
5,Vietnam,Lang Co,반얀트리 랑코,,,,,,https://www.google.com/maps/place/%EB%B0%98%EC%96%80%ED%8A%B8%EB%A6%AC+%EB%9E%91%EC%BD%94/data=!4m10!3m9!1s0x3142270b698a3645:0xc7bcb8c4b4088c42!5m2!4m1!1i2!8m2!3d16.3380543!4d107.9537805!16s%2Fg%2F12mj_lb9n!19sChIJRTaKaQsnQjERQowItMS4vMc?authuser=0&hl=ko&rclk=1,3443,4.9
6,Vietnam,Lang Co,다낭 전망대,,,"다낭과 바다의 풍경을 감상할 수 있는 언덕의 전망대로, 사색에 잠긴 체스 기사의 조각상이 있습니다.",,,https://www.google.com/maps/place/%EB%8B%A4%EB%82%AD+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x31423d6e34ee0105:0x69e23a6263ffc6ec!8m2!3d16.1189365!4d108.2719826!16s%2Fg%2F11bbwpgtdk!19sChIJBQHuNG49QjER7Mb_Y2I64mk?authuser=0&hl=ko&rclk=1,3401,4.6
7,Vietnam,Lang Co,Lap An Lagoon,,,,,,https://www.google.com/maps/place/Lap+An+Lagoon/data=!4m7!3m6!1s0x3142273dc4ef0a27:0x4d10cf2063696ea1!8m2!3d16.2202105!4d108.0628636!16s%2Fg%2F11c53grj2_!19sChIJJwrvxD0nQjERoW5pYyDPEE0?authuser=0&hl=ko&rclk=1,3356,4.3
8,Vietnam,Lang Co,Vong Canh Hill,,,,,,https://www.google.com/maps/place/Vong+Canh+Hill/data=!4m7!3m6!1s0x3141a4057f2d72d9:0x22369b16118967e0!8m2!3d16.4272545!4d107.5652241!16s%2Fg%2F1vlz7vp0!19sChIJ2XItfwWkQTER4GeJERabNiI?authuser=0&hl=ko&rclk=1,1723,4.6
9,Vietnam,Lang Co,Hồ Thuỷ Tiên,,,,,,https://www.google.com/maps/place/H%E1%BB%93+Thu%E1%BB%B7+Ti%C3%AAn/data=!4m7!3m6!1s0x3141a3896808b883:0x5fa12839c5dd3542!8m2!3d16.4079295!4d107.5785719!16s%2Fg%2F11sccpb48d!19sChIJg7gIaImjQTERQjXdxTkooV8?authuser=0&hl=ko&rclk=1,1313,4.5
10,Vietnam,Lang Co,Hue Museum of Royal Antiquities,,,"도자기, 직물, 동전, 응우옌 왕조의 의상 등을 소장한 오래된 박물관입니다.",,,https://www.google.com/maps/place/Hue+Museum+of+Royal+Antiquities/data=!4m7!3m6!1s0x3141a12e238f97ed:0x2785f852d78ff1c!8m2!3d16.471343!4d107.58208!16s%2Fm%2F03hnkbw!19sChIJ7ZePIy6hQTERHP94LYVfeAI?authuser=0&hl=ko&rclk=1,1104,4.5
11,Vietnam,Lang Co,랑코 베이,,,,,,https://www.google.com/maps/place/%EB%9E%91%EC%BD%94+%EB%B2%A0%EC%9D%B4/data=!4m7!3m6!1s0x314227268c68c2bd:0xbb930841a8b69633!8m2!3d16.2302908!4d108.0845691!16s%2Fg%2F11c2rbhzkp!19sChIJvcJojCYnQjERM5a2qEEIk7s?authuser=0&hl=ko&rclk=1,845,4.5
12,Vietnam,Lang Co,Laguna Parkside Residences Lăng Cô,,,,,,https://www.google.com/maps/place/Laguna+Parkside+Residences+L%C4%83ng+C%C3%B4/data=!4m10!3m9!1s0x3141860bcf3d8b99:0x2290c053c0ff9844!5m2!4m1!1i2!8m2!3d16.3311817!4d107.9569865!16s%2Fg%2F11f4wtc01d!19sChIJmYs9zwuGQTERRJj_wFPAkCI?authuser=0&hl=ko&rclk=1,802,4.8
13,Vietnam,Lang Co,Mausoleum of Emperor Gia Long,,,,,,https://www.google.com/maps/place/Mausoleum+of+Emperor+Gia+Long/data=!4m7!3m6!1s0x3141a34086f368d7:0xe2405d40f33c77bc!8m2!3d16.3617847!4d107.5968282!16s%2Fm%2F05q96rp!19sChIJ12jzhkCjQTERvHc880BdQOI?authuser=0&hl=ko&rclk=1,759,4.7
14,Vietnam,Lang Co,Lang Co Beach,,,,,,https://www.google.com/maps/place/Lang+Co+Beach/data=!4m7!3m6!1s0x3142270b4503f9d7:0x812ddac020790670!8m2!3d16.2688157!4d108.064221!16s%2Fg%2F11bw3zwpx5!19sChIJ1_kDRQsnQjERcAZ5IMDaLYE?authuser=0&hl=ko&rclk=1,402,4.5
15,Vietnam,Lang Co,티에우찌왕릉(紹治君陵),,,,,,https://www.google.com/maps/place/%ED%8B%B0%EC%97%90%EC%9A%B0%EC%B0%8C%EC%99%95%EB%A6%89%28%E7%B4%B9%E6%B2%BB%E5%90%9B%E9%99%B5%29/data=!4m7!3m6!1s0x3141a40a87c327a7:0xe6ebef6a593dde94!8m2!3d16.4178679!4d107.572561!16s%2Fg%2F122_mctt!19sChIJpyfDhwqkQTERlN49WWrv6-Y?authuser=0&hl=ko&rclk=1,401,4.3
16,Vietnam,Lang Co,Dream Spring,,,,,,https://www.google.com/maps/place/Dream+Spring/data=!4m7!3m6!1s0x31418a1de76452f7:0x33d7669e58e71624!8m2!3d16.2150625!4d108.0310625!16s%2Fg%2F11bzsfljj0!19sChIJ91Jk5x2KQTERJBbnWJ5m1zM?authuser=0&hl=ko&rclk=1,390,4.2
17,Vietnam,Lang Co,Lộc Bình Beach,,,,,,https://www.google.com/maps/place/L%E1%BB%99c+B%C3%ACnh+Beach/data=!4m7!3m6!1s0x314185dbbb7bb9af:0xb0769f0601a86d9c!8m2!3d16.3440884!4d107.9449362!16s%2Fg%2F11g6qlbldt!19sChIJr7l7u9uFQTERnG2oAQafdrA?authuser=0&hl=ko&rclk=1,373,4.5
18,Vietnam,Lang Co,Hải Vân Quan,,,,,,https://www.google.com/maps/place/H%E1%BA%A3i+V%C3%A2n+Quan/data=!4m7!3m6!1s0x3142219e02bc568b:0xb04a3eba486386b5!8m2!3d16.1875838!4d108.1313353!16s%2Fg%2F11p5lgqrq9!19sChIJi1a8Ap4hQjERtYZjSLo-SrA?authuser=0&hl=ko&rclk=1,344,4.6
19,Vietnam,Lang Co,Lebadang Memory Space,,,,,,https://www.google.com/maps/place/Lebadang+Memory+Space/data=!4m7!3m6!1s0x3141a3c24dc8fe17:0x2b609a1876d24f8c!8m2!3d16.4042598!4d107.5831265!16s%2Fg%2F11hyz2r3k8!19sChIJF_7ITcKjQTERjE_SdhiaYCs?authuser=0&hl=ko&rclk=1,255,4.6
