data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Lang Son,Chợ Đông Kinh,,,,,,https://www.google.com/maps/place/Ch%E1%BB%A3+%C4%90%C3%B4ng+Kinh/data=!4m7!3m6!1s0x36b54e7b22c8444f:0xa8bb2b094078e637!8m2!3d21.851383!4d106.7622054!16s%2Fg%2F1tj31dpc!19sChIJT0TIIntOtTYRN-Z4QAkru6g?authuser=0&hl=ko&rclk=1,3937,3.9
2,Vietnam,Lang Son,Night Market Ky Lua,,,,,,https://www.google.com/maps/place/Night+Market+Ky+Lua/data=!4m7!3m6!1s0x36b54e6f185156e3:0x22963ea1e20f4ee5!8m2!3d21.8585503!4d106.7576021!16s%2Fg%2F1tx4mn8q!19sChIJ41ZRGG9OtTYR5U4P4qE-liI?authuser=0&hl=ko&rclk=1,3348,4.1
3,Vietnam,Lang Son,Tân Thanh Market,,,,,,https://www.google.com/maps/place/T%C3%A2n+Thanh+Market/data=!4m7!3m6!1s0x36b55b09d143c0bd:0x22934e897d757342!8m2!3d22.0038181!4d106.679707!16s%2Fg%2F1v41yrgw!19sChIJvcBD0QlbtTYRQnN1fYlOkyI?authuser=0&hl=ko&rclk=1,1494,3.9
4,Vietnam,Lang Son,Dong Dang Market,,,,,,https://www.google.com/maps/place/Dong+Dang+Market/data=!4m7!3m6!1s0x36b55a9857d3b33f:0x202b0e1bd9b7466c!8m2!3d21.9512526!4d106.6972664!16s%2Fg%2F11btrr7vq4!19sChIJP7PTV5hatTYRbEa32RsOKyA?authuser=0&hl=ko&rclk=1,885,4.0
5,Vietnam,Lang Son,Chợ Đồng Mỏ,,,,,,https://www.google.com/maps/place/Ch%E1%BB%A3+%C4%90%E1%BB%93ng+M%E1%BB%8F/data=!4m7!3m6!1s0x314aa99e8a7be75f:0x598dae9fea42b978!8m2!3d21.6589471!4d106.5786036!16s%2Fg%2F11bccm7v0k!19sChIJX-d7ip6pSjEReLlC6p-ujVk?authuser=0&hl=ko&rclk=1,813,4.1
6,Vietnam,Lang Son,Khu du lịch Suối Mỏ Mắm,,,,,,https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+Su%E1%BB%91i+M%E1%BB%8F+M%E1%BA%AFm/data=!4m7!3m6!1s0x36cab5370c1f9321:0xbbfb753f042d64e8!8m2!3d21.8187304!4d106.1850165!16s%2Fg%2F11f1145hmh!19sChIJIZMfDDe1yjYR6GQtBD91-7s?authuser=0&hl=ko&rclk=1,773,4.1
7,Vietnam,Lang Son,Hava Homestay,,,,,,https://www.google.com/maps/place/Hava+Homestay/data=!4m10!3m9!1s0x36b54f8b299b07c7:0xef36a591e990c111!5m2!4m1!1i2!8m2!3d21.8476161!4d106.7629127!16s%2Fg%2F11fkf9149y!19sChIJxwebKYtPtTYREcGQ6ZGlNu8?authuser=0&hl=ko&rclk=1,735,4.9
8,Vietnam,Lang Son,Chi Lăng Market Chợ Tỉnh,,,,,,https://www.google.com/maps/place/Chi+L%C4%83ng+Market+Ch%E1%BB%A3+T%E1%BB%89nh/data=!4m7!3m6!1s0x36b54e77af39aeb7:0x3ffa6c5137ba9d93!8m2!3d21.8453879!4d106.7569013!16s%2Fg%2F1tgb5n06!19sChIJt645r3dOtTYRk526N1Fs-j8?authuser=0&hl=ko&rclk=1,616,4.0
9,Vietnam,Lang Son,Citadel of Mạc Dynasty,,,,,,https://www.google.com/maps/place/Citadel+of+M%E1%BA%A1c+Dynasty/data=!4m7!3m6!1s0x36b54e6d725d16d5:0x4642b6ea8dffd4be!8m2!3d21.8571399!4d106.7487213!16s%2Fg%2F11rc41zq_4!19sChIJ1RZdcm1OtTYRvtT_jeq2QkY?authuser=0&hl=ko&rclk=1,546,4.3
10,Vietnam,Lang Son,Lang Son View point 시내 전망대,,,,,,https://www.google.com/maps/place/Lang+Son+View+point+%EC%8B%9C%EB%82%B4+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x36b54e7b7b0c1a89:0xd472c7dabd72b305!8m2!3d21.8515103!4d106.7642915!16s%2Fg%2F11c1wq51tm!19sChIJiRoMe3tOtTYRBbNyvdrHctQ?authuser=0&hl=ko&rclk=1,382,4.4
11,Vietnam,Lang Son,Mau Son,,,,,,https://www.google.com/maps/place/Mau+Son/data=!4m7!3m6!1s0x36b536f3e1cd4aa7:0x4da04a26668fefc8!8m2!3d21.85!4d106.9666667!16s%2Fm%2F05zpqsm!19sChIJp0rN4fM2tTYRyO-PZiZKoE0?authuser=0&hl=ko&rclk=1,373,4.4
12,Vietnam,Lang Son,Temple United Together,,,,,,https://www.google.com/maps/place/Temple+United+Together/data=!4m7!3m6!1s0x36b54e70896387cf:0x5e4358f542adf72b!8m2!3d21.8513526!4d106.7580229!16s%2Fg%2F12lnhys75!19sChIJz4djiXBOtTYRK_etQvVYQ14?authuser=0&hl=ko&rclk=1,328,4.4
13,Vietnam,Lang Son,Cầu Kỳ Cùng,,,,,,https://www.google.com/maps/place/C%E1%BA%A7u+K%E1%BB%B3+C%C3%B9ng/data=!4m7!3m6!1s0x36b54e6f96033c0f:0x7d68f26db431dd89!8m2!3d21.8505048!4d106.7579658!16s%2Fg%2F1215jw9n!19sChIJDzwDlm9OtTYRid0xtG3yaH0?authuser=0&hl=ko&rclk=1,297,4.4
14,Vietnam,Lang Son,Dong Kinh Stadium,,,,,,https://www.google.com/maps/place/Dong+Kinh+Stadium/data=!4m7!3m6!1s0x36b54e7b22c8444f:0xa948f755eae4f64c!8m2!3d21.8524754!4d106.762861!16s%2Fg%2F1tdyz78z!19sChIJT0TIIntOtTYRTPbk6lX3SKk?authuser=0&hl=ko&rclk=1,291,3.9
15,Vietnam,Lang Son,Khách Sạn Triệu Ký Vòong,,,,,,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+Tri%E1%BB%87u+K%C3%BD+V%C3%B2ong/data=!4m10!3m9!1s0x36b54e66bf82b4e1:0x458dfe15a949b03e!5m2!4m1!1i2!8m2!3d21.8612215!4d106.7635743!16s%2Fg%2F11btrrj49n!19sChIJ4bSCv2ZOtTYRPrBJqRX-jUU?authuser=0&hl=ko&rclk=1,267,3.8
16,Vietnam,Lang Son,Thảo nguyên Đồng Lâm,,,,,,https://www.google.com/maps/place/Th%E1%BA%A3o+nguy%C3%AAn+%C4%90%E1%BB%93ng+L%C3%A2m/data=!4m7!3m6!1s0x313551157610e5bf:0xde87326dda1065a5!8m2!3d21.6929038!4d106.3588323!16s%2Fg%2F11fm_b3qb8!19sChIJv-UQdhVRNTERpWUQ2m0yh94?authuser=0&hl=ko&rclk=1,245,4.5
17,Vietnam,Lang Son,Bac Son Flower Valley,,,,,,https://www.google.com/maps/place/Bac+Son+Flower+Valley/data=!4m7!3m6!1s0x36caad6dd0e3f615:0xcd68d198c7682eac!8m2!3d21.8232716!4d106.3645267!16s%2Fg%2F11f15d3trw!19sChIJFfbj0G2tyjYRrC5ox5jRaM0?authuser=0&hl=ko&rclk=1,215,4.1
18,Vietnam,Lang Son,Bac Son Viewpoint,,,,,,https://www.google.com/maps/place/Bac+Son+Viewpoint/data=!4m7!3m6!1s0x36cab1effabf41e9:0x2392e3f114c057cd!8m2!3d21.8984554!4d106.3344222!16s%2Fg%2F1pp2x575q!19sChIJ6UG_-u-xyjYRzVfAFPHjkiM?authuser=0&hl=ko&rclk=1,174,4.5
19,Vietnam,Lang Son,Bac Son Uprising Museum,,,,,,https://www.google.com/maps/place/Bac+Son+Uprising+Museum/data=!4m7!3m6!1s0x36cab1c3b517b4f7:0xc36afb5b0e51cb4!8m2!3d21.9131824!4d106.3303639!16s%2Fg%2F1pp2x6p57!19sChIJ97QXtcOxyjYRtBzlsLWvNgw?authuser=0&hl=ko&rclk=1,150,4.3
20,Vietnam,Lang Son,Thác Bản Khiếng,,,,,,https://www.google.com/maps/place/Th%C3%A1c+B%E1%BA%A3n+Khi%E1%BA%BFng/data=!4m7!3m6!1s0x36b5344be999de87:0xbe5e32afb03f96f2!8m2!3d21.7939966!4d106.9638789!16s%2Fg%2F11cmzp4f53!19sChIJh96Z6Us0tTYR8pY_sK8yXr4?authuser=0&hl=ko&rclk=1,144,4.1
21,Vietnam,Lang Son,Thuy Mon Dinh,,,,,,https://www.google.com/maps/place/Thuy+Mon+Dinh/data=!4m7!3m6!1s0x36b55aa18fe41727:0x24eb1ecef6243889!8m2!3d21.9488268!4d106.7016723!16s%2Fg%2F11cs4gf5rr!19sChIJJxfkj6FatTYRiTgk9s4e6yQ?authuser=0&hl=ko&rclk=1,116,3.9
22,Vietnam,Lang Son,Three Social Market,,,,,,https://www.google.com/maps/place/Three+Social+Market/data=!4m7!3m6!1s0x36b55492f8d790e3:0xfad9ab37e6e5486b!8m2!3d21.798221!4d106.6083241!16s%2Fg%2F11clyqy56_!19sChIJ45DX-JJUtTYRa0jl5jer2fo?authuser=0&hl=ko&rclk=1,107,4.0
