data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Mui Ne,붉은모래사막,,,바다가 내려다보이는 인상적인 사구 지대로 모래 썰매 타기와 아름다운 일몰 풍경으로 유명합니다.,,,https://www.google.com/maps/place/%EB%B6%89%EC%9D%80%EB%AA%A8%EB%9E%98%EC%82%AC%EB%A7%89/data=!4m7!3m6!1s0x31768fac53024b1b:0x153b24c8ad4ca418!8m2!3d10.9492961!4d108.2963502!16s%2Fg%2F11j490y2lh!19sChIJG0sCU6yPdjERGKRMrcgkOxU?authuser=0&hl=ko&rclk=1,4774,4.0
2,Vietnam,Mui Ne,Doi Duong Beach,,,,,,https://www.google.com/maps/place/Doi+Duong+Beach/data=!4m7!3m6!1s0x3176830a7d2b5d53:0x4a0851115bfe6583!8m2!3d10.9242215!4d108.1150157!16s%2Fg%2F11cfjrnj_!19sChIJU10rfQqDdjERg2X-WxFRCEo?authuser=0&hl=ko&rclk=1,4087,4.2
3,Vietnam,Mui Ne,무이네 어촌시장,,,,,,https://www.google.com/maps/place/%EB%AC%B4%EC%9D%B4%EB%84%A4+%EC%96%B4%EC%B4%8C%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x31768fcbfdce4a8d:0xda181fa599ff193c!8m2!3d10.9403776!4d108.2796535!16s%2Fg%2F11bt_k18j4!19sChIJjUrO_cuPdjERPBn_maUfGNo?authuser=0&hl=ko&rclk=1,2834,3.8
4,Vietnam,Mui Ne,"Fairy Stream, Mui Ne",,,,,,"https://www.google.com/maps/place/Fairy+Stream,+Mui+Ne/data=!4m7!3m6!1s0x31768fbf22d8de49:0x781da0ae90c8ad81!8m2!3d10.9512027!4d108.2564479!16s%2Fg%2F1219y7j1!19sChIJSd7YIr-PdjERga3IkK6gHXg?authuser=0&hl=ko&rclk=1",2304,3.9
5,Vietnam,Mui Ne,White Sand Dunes,,,,,,https://www.google.com/maps/place/White+Sand+Dunes/data=!4m7!3m6!1s0x3176eb2cd2c55a23:0xe333462b56c6a928!8m2!3d11.070942!4d108.4276532!16s%2Fg%2F11c1nxcygy!19sChIJI1rF0izrdjERKKnGVitGM-M?authuser=0&hl=ko&rclk=1,1973,4.3
6,Vietnam,Mui Ne,Doi Duong Beach Park,,,,,,https://www.google.com/maps/place/Doi+Duong+Beach+Park/data=!4m7!3m6!1s0x3176830a60aa35dd:0x53fc03edb2e2394b!8m2!3d10.9255169!4d108.1156513!16s%2Fg%2F12mjs4y79!19sChIJ3TWqYAqDdjERSznisu0D_FM?authuser=0&hl=ko&rclk=1,1790,4.3
7,Vietnam,Mui Ne,무이네 어촌마을,,,이 마을은 잡아 온 생선을 직접 보고 맛보려는 관광객들로 북적입니다.,,,https://www.google.com/maps/place/%EB%AC%B4%EC%9D%B4%EB%84%A4+%EC%96%B4%EC%B4%8C%EB%A7%88%EC%9D%84/data=!4m7!3m6!1s0x31768fc953f45d09:0x7eab3988ab5bea53!8m2!3d10.9410098!4d108.2791267!16s%2Fg%2F11cjj_8gsk!19sChIJCV30U8mPdjERU-pbq4g5q34?authuser=0&hl=ko&rclk=1,1729,3.9
8,Vietnam,Mui Ne,조스 카페 무이네,,,,,,https://www.google.com/maps/place/%EC%A1%B0%EC%8A%A4+%EC%B9%B4%ED%8E%98+%EB%AC%B4%EC%9D%B4%EB%84%A4/data=!4m10!3m9!1s0x317685378dccd845:0x97a3a9db02ed6aa5!5m2!4m1!1i2!8m2!3d10.9519256!4d108.2121717!16s%2Fg%2F11b6h_75x8!19sChIJRdjMjTeFdjERpWrtAtupo5c?authuser=0&hl=ko&rclk=1,1335,4.2
9,Vietnam,Mui Ne,Van Thuy Tu Temple,,,,,,https://www.google.com/maps/place/Van+Thuy+Tu+Temple/data=!4m7!3m6!1s0x317683aa346e547f:0xc9a4889225bce5fc!8m2!3d10.9229174!4d108.1001302!16s%2Fg%2F1z44b0g85!19sChIJf1RuNKqDdjER_OW8JZKIpMk?authuser=0&hl=ko&rclk=1,1312,4.3
10,Vietnam,Mui Ne,Ham Tien Market,,,,,,https://www.google.com/maps/place/Ham+Tien+Market/data=!4m7!3m6!1s0x31768ffbf530d66f:0x8b2df7bdb9c54a10!8m2!3d10.9542465!4d108.2451172!16s%2Fg%2F11b60n76mj!19sChIJb9Yw9fuPdjEREErFub33LYs?authuser=0&hl=ko&rclk=1,1074,4.0
11,Vietnam,Mui Ne,Pineapple Mũi Né,,,,,,https://www.google.com/maps/place/Pineapple+M%C5%A9i+N%C3%A9/data=!4m7!3m6!1s0x31768f892d5685b3:0x570574403103e3fa!8m2!3d10.9515486!4d108.2496248!16s%2Fg%2F11k3pfm2ns!19sChIJs4VWLYmPdjER-uMDMUB0BVc?authuser=0&hl=ko&rclk=1,1051,4.6
12,Vietnam,Mui Ne,썬셋온더비치,,,,,,https://www.google.com/maps/place/%EC%8D%AC%EC%85%8B%EC%98%A8%EB%8D%94%EB%B9%84%EC%B9%98/data=!4m7!3m6!1s0x317685340a50592b:0xb3c554b901a0723b!8m2!3d10.9538557!4d108.2195895!16s%2Fg%2F11sb5135wc!19sChIJK1lQCjSFdjERO3KgAblUxbM?authuser=0&hl=ko&rclk=1,1002,4.9
13,Vietnam,Mui Ne,더 안남 무이네,,,,,,https://www.google.com/maps/place/%EB%8D%94+%EC%95%88%EB%82%A8+%EB%AC%B4%EC%9D%B4%EB%84%A4/data=!4m10!3m9!1s0x31768560fadd3569:0x377cd94d4e5dcf23!5m2!4m1!1i2!8m2!3d10.9432635!4d108.1943945!16s%2Fg%2F11t0q0h6xc!19sChIJaTXd-mCFdjERI89dTk3ZfDc?authuser=0&hl=ko&rclk=1,996,4.9
14,Vietnam,Mui Ne,Ocean Vista,,,,,,https://www.google.com/maps/place/Ocean+Vista/data=!4m10!3m9!1s0x317684e6cb2ea2f9:0x4a9c87c5083b2822!5m2!4m1!1i2!8m2!3d10.9382141!4d108.1832183!16s%2Fg%2F11b63vxcf1!19sChIJ-aIuy-aEdjERIig7CMWHnEo?authuser=0&hl=ko&rclk=1,868,4.3
15,Vietnam,Mui Ne,Bảo tàng nước mắm Làng Chài Xưa - Fish Sauce Museum,,,,,,https://www.google.com/maps/place/B%E1%BA%A3o+t%C3%A0ng+n%C6%B0%E1%BB%9Bc+m%E1%BA%AFm+L%C3%A0ng+Ch%C3%A0i+X%C6%B0a+-+Fish+Sauce+Museum/data=!4m7!3m6!1s0x3176858ee1cd061d:0xa8a5fb8a1d76f1eb!8m2!3d10.93922!4d108.1648321!16s%2Fg%2F11f5q8yhq4!19sChIJHQbN4Y6FdjER6_F2HYr7pag?authuser=0&hl=ko&rclk=1,862,4.2
16,Vietnam,Mui Ne,Phan Thiet Water Tower,,,,,,https://www.google.com/maps/place/Phan+Thiet+Water+Tower/data=!4m7!3m6!1s0x317683013d0f3a2f:0x5b2d27eb3525a9dd!8m2!3d10.9288079!4d108.0999388!16s%2Fg%2F122l8fnx!19sChIJLzoPPQGDdjER3aklNesnLVs?authuser=0&hl=ko&rclk=1,762,4.5
17,Vietnam,Mui Ne,Mui Ne Beach,,,,,,https://www.google.com/maps/place/Mui+Ne+Beach/data=!4m7!3m6!1s0x31768f968d091985:0xa5ddca44155e4260!8m2!3d10.9537503!4d108.3065046!16s%2Fg%2F11h2n76gkd!19sChIJhRkJjZaPdjERYEJeFUTK3aU?authuser=0&hl=ko&rclk=1,696,4.2
