data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,My Tho,White Rabbit Amusement Park,,,,,,https://www.google.com/maps/place/White+Rabbit+Amusement+Park/data=!4m7!3m6!1s0x31752ed1f53481f5:0x366adde0d5174734!8m2!3d10.7855015!4d106.666053!16s%2Fg%2F11h188mrf!19sChIJ9YE09dEudTERNEcX1eDdajY?authuser=0&hl=ko&rclk=1,8021,4.3
2,Vietnam,My Tho,Khu Du lịch - Văn Hóa & Thể Thao Lan Vương,,,"보트 타기, 밧줄 다리 건너기 등 팀빌딩 활동이 가능하고 레스토랑이 있는 어드벤처 복합 시설입니다.",,,https://www.google.com/maps/place/Khu+Du+l%E1%BB%8Bch+-+V%C4%83n+H%C3%B3a+%26+Th%E1%BB%83+Thao+Lan+V%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x310aa822ea2d9fef:0x5b296993bb58f1c7!8m2!3d10.2085801!4d106.3706958!16s%2Fg%2F1hc4ksgsd!19sChIJ758t6iKoCjERx_FYu5NpKVs?authuser=0&hl=ko&rclk=1,4249,4.2
3,Vietnam,My Tho,껀저 원숭이섬,,,습지가 있는 아름다운 맹그로브 숲으로 야생 악어와 영리한 원숭이가 살고 있으며 카페도 있습니다.,,,https://www.google.com/maps/place/%EA%BB%80%EC%A0%80+%EC%9B%90%EC%88%AD%EC%9D%B4%EC%84%AC/data=!4m7!3m6!1s0x3175426a66c18b13:0x4ac7d72562222c51!8m2!3d10.4094821!4d106.888644!16s%2Fg%2F1tgtb_22!19sChIJE4vBZmpCdTERUSwiYiXXx0o?authuser=0&hl=ko&rclk=1,2403,4.1
4,Vietnam,My Tho,Lac Hong park.,,,,,,https://www.google.com/maps/place/Lac+Hong+park./data=!4m7!3m6!1s0x310aafeae2c78821:0x502da7c01657870b!8m2!3d10.3524123!4d106.3669856!16s%2Fg%2F1tdff463!19sChIJIYjH4uqvCjERC4dXFsCnLVA?authuser=0&hl=ko&rclk=1,1684,4.3
5,Vietnam,My Tho,My Tho Market,,,,,,https://www.google.com/maps/place/My+Tho+Market/data=!4m7!3m6!1s0x310aafe9bcff793f:0x9f6b53919ba1095f!8m2!3d10.3572474!4d106.367737!16s%2Fg%2F1tlcyn0_!19sChIJP3n_vOmvCjERXwmhm5FTa58?authuser=0&hl=ko&rclk=1,1306,4.2
6,Vietnam,My Tho,My Tho Night Market,,,,,,https://www.google.com/maps/place/My+Tho+Night+Market/data=!4m7!3m6!1s0x310aaff661d1253b:0xc2569190467b50e3!8m2!3d10.3559382!4d106.3487358!16s%2Fg%2F11c1nc_svh!19sChIJOyXRYfavCjER41B7RpCRVsI?authuser=0&hl=ko&rclk=1,1209,4.1
7,Vietnam,My Tho,Song Tien Tourist Site,,,,,,https://www.google.com/maps/place/Song+Tien+Tourist+Site/data=!4m7!3m6!1s0x310aafa7d4c8d1ff:0x3ffdfc8d1dee86af!8m2!3d10.3427148!4d106.3537532!16s%2Fg%2F11gns89j7d!19sChIJ_9HI1KevCjERr4buHY38_T8?authuser=0&hl=ko&rclk=1,1147,4.2
8,Vietnam,My Tho,Thanh Tri Market,,,,,,https://www.google.com/maps/place/Thanh+Tri+Market/data=!4m7!3m6!1s0x310aafe50ffbd853:0x5f2207d0c5b459b5!8m2!3d10.3635545!4d106.3604231!16s%2Fg%2F1tslg5dg!19sChIJU9j7D-WvCjERtVm0xdAHIl8?authuser=0&hl=ko&rclk=1,1094,4.2
9,Vietnam,My Tho,Khu Du Lịch Vinh Sang,,,,,,https://www.google.com/maps/place/Khu+Du+L%E1%BB%8Bch+Vinh+Sang/data=!4m7!3m6!1s0x310a83248ea5114f:0xf525de610eebbf35!8m2!3d10.2702869!4d105.9537676!16s%2Fg%2F11h188mp0!19sChIJTxGljiSDCjERNb_rDmHeJfU?authuser=0&hl=ko&rclk=1,1078,3.9
10,Vietnam,My Tho,Vincom Plaza Mỹ Tho,,,,,,https://www.google.com/maps/place/Vincom+Plaza+M%E1%BB%B9+Tho/data=!4m7!3m6!1s0x310aafc90cfd12e3:0xf6c1531f953a33f!8m2!3d10.3578338!4d106.3638957!16s%2Fg%2F11pv31381c!19sChIJ4xL9DMmvCjERP6NT-TEVbA8?authuser=0&hl=ko&rclk=1,702,4.3
