data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Nha Trang,포나가르사원,,,2개의 교회 탑이 있는 3층짜리 사원으로 조용한 분위기에서 역사적인 전시물과 사진을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%ED%8F%AC%EB%82%98%EA%B0%80%EB%A5%B4%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x3170678c61b8f251:0x115f6f97f1af1d7c!8m2!3d12.2653665!4d109.1953678!16s%2Fm%2F02x5pgr!19sChIJUfK4YYxncDERfB2v8ZdvXxE?authuser=0&hl=ko&rclk=1,22764,4.4
2,Vietnam,Nha Trang,포나가르사원(Ponagar Temple),"월, 화, 수, 목, 금, 토, 일: 06:00~17:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJUfK4YYxncDERfB2v8ZdvXxE,22762,4.4
3,Vietnam,Nha Trang,담시장(Dam Market),"월, 화, 수, 목, 금, 토, 일: 05:00~18:30",,,,,https://www.google.com/maps/place/?q=place_id:ChIJjz9TQYZncDERdYcVnKtZn-c,15407,3.8
4,Vietnam,Nha Trang,담시장,,,도시의 중앙 시장인 이 분주한 3층 건물에는 음식점과 기념품 매장이 밀집해 있습니다.,,,https://www.google.com/maps/place/%EB%8B%B4%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x3170678641533f8f:0xe79f59ab9c158775!8m2!3d12.2549514!4d109.1918164!16s%2Fg%2F120yf4rw!19sChIJjz9TQYZncDERdYcVnKtZn-c?authuser=0&hl=ko&rclk=1,15404,3.8
5,Vietnam,Nha Trang,빈펄리조트 나트랑,,,,,,https://www.google.com/maps/place/%EB%B9%88%ED%8E%84%EB%A6%AC%EC%A1%B0%ED%8A%B8+%EB%82%98%ED%8A%B8%EB%9E%91/data=!4m10!3m9!1s0x317066e1dd9688bb:0x6ae039c3dfc181db!5m2!4m1!1i2!8m2!3d12.221438!4d109.2461363!16s%2Fg%2F11f_b_h9mk!19sChIJu4iW3eFmcDER24HB38M54Go?authuser=0&hl=ko&rclk=1,13459,4.9
6,Vietnam,Nha Trang,세일링클럽,,,"인도, 베트남, 서양 요리와 칵테일, DJ 공연을 즐기며 춤을 출 수 있는 세련된 공간입니다.",,,https://www.google.com/maps/place/%EC%84%B8%EC%9D%BC%EB%A7%81%ED%81%B4%EB%9F%BD/data=!4m7!3m6!1s0x3170676518181f8b:0xb87e85ceb9dd568c!8m2!3d12.2340918!4d109.1980213!16s%2Fg%2F1tcwj14j!19sChIJix8YGGVncDERjFbduc6Ffrg?authuser=0&hl=ko&rclk=1,13017,4.5
7,Vietnam,Nha Trang,빈펄 콘도텔 비치프런트 냐짱(Vinpearl Beachfront Nha Trang),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +84 258 3599 099 홈페이지: https://vinpearl.com/vi/hotels/vinpearl-beachfront-nha-trang,https://www.google.com/maps/place/?q=place_id:ChIJXZ2cGO9ncDERm5wUjlVIb6c,12023,4.9
8,Vietnam,Nha Trang,빈펄 콘도텔 비치프런트 냐짱,,,,,,https://www.google.com/maps/place/%EB%B9%88%ED%8E%84+%EC%BD%98%EB%8F%84%ED%85%94+%EB%B9%84%EC%B9%98%ED%94%84%EB%9F%B0%ED%8A%B8+%EB%83%90%EC%A7%B1/data=!4m10!3m9!1s0x317067ef189c9d5d:0xa76f48558e149c9b!5m2!4m1!1i2!8m2!3d12.232931!4d109.1970385!16s%2Fg%2F11f614fmp4!19sChIJXZ2cGO9ncDERm5wUjlVIb6c?authuser=0&hl=ko&rclk=1,12005,4.9
9,Vietnam,Nha Trang,롱선사(Long Son Pagoda),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6VnfP3ldcDERHoQBNdIRQhs,11286,4.3
10,Vietnam,Nha Trang,롱선사,,,언덕 위에 콘크리트 불상이 있는 대형 불교 사원으로 도시 경관을 볼 수 있습니다.,,,https://www.google.com/maps/place/%EB%A1%B1%EC%84%A0%EC%82%AC/data=!4m7!3m6!1s0x31705d793fdf59e9:0x1b4211d23501841e!8m2!3d12.2502013!4d109.1801783!16s%2Fm%2F03qhn_n!19sChIJ6VnfP3ldcDERHoQBNdIRQhs?authuser=0&hl=ko&rclk=1,11286,4.3
11,Vietnam,Nha Trang,탑짬흐엉(Tháp Trầm Hương),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJEwTU1HtncDERBl13UGJnQ3Y,10130,4.4
12,Vietnam,Nha Trang,탑짬흐엉,,,분홍색과 연꽃 모양의 독특한 외관으로 명소가 된 해변의 건축물입니다.,,,https://www.google.com/maps/place/%ED%83%91%EC%A7%AC%ED%9D%90%EC%97%89/data=!4m7!3m6!1s0x3170677bd4d40413:0x7643676250775d06!8m2!3d12.240404!4d109.1969225!16s%2Fg%2F1vnrn2yy!19sChIJEwTU1HtncDERBl13UGJnQ3Y?authuser=0&hl=ko&rclk=1,10129,4.4
13,Vietnam,Nha Trang,나트랑 센터,,,,,,https://www.google.com/maps/place/%EB%82%98%ED%8A%B8%EB%9E%91+%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x3170678245d4a09f:0xe29f60a4f8071f33!8m2!3d12.2480844!4d109.1959534!16s%2Fg%2F1v82zl24!19sChIJn6DURYJncDERMx8H-KRgn-I?authuser=0&hl=ko&rclk=1,10053,4.1
14,Vietnam,Nha Trang,씀모이 가든(Xóm Mới Garden Nha Trang (씀모이가든 나트랑)),"월, 화, 수, 목, 금, 토, 일: 06:30~22:00",,,,국제전화번호: +84 777 651 004 홈페이지: http://www.xommoigarden.com/,https://www.google.com/maps/place/?q=place_id:ChIJWU9s5chncDERTiomOGbHjQM,7765,4.8
